49773, predicted: Business, actual: Business
52866, predicted: Games, actual: Games
47293, predicted: Arts, actual: Arts
47365, predicted: Arts, actual: Arts
47459, predicted: Arts, actual: Arts
49619, predicted: Business, actual: Business
49697, predicted: Business, actual: Business
49701, predicted: Business, actual: Business
49740, predicted: Business, actual: Business
52720, predicted: Computers, actual: Computers
52729, predicted: Computers, actual: Computers
52749, predicted: Computers, actual: Computers
52846, predicted: Games, actual: Games
52858, predicted: Games, actual: Games
45276, predicted: Adult, actual: Adult
45409, predicted: Adult, actual: Adult
45541, predicted: Arts, actual: Arts
45949, predicted: Arts, actual: Arts
45951, predicted: Arts, actual: Arts
46320, predicted: Arts, actual: Arts
46510, predicted: Arts, actual: Arts
46567, predicted: Arts, actual: Arts
47118, predicted: Arts, actual: Arts
48141, predicted: Business, actual: Business
48208, predicted: Business, actual: Business
48282, predicted: Business, actual: Business
48323, predicted: Business, actual: Business
48366, predicted: Business, actual: Business
48368, predicted: Business, actual: Business
48432, predicted: Business, actual: Business
48506, predicted: Business, actual: Business
48507, predicted: Business, actual: Business
48519, predicted: Business, actual: Business
48536, predicted: Business, actual: Business
48566, predicted: Business, actual: Business
48585, predicted: Business, actual: Business
48630, predicted: Business, actual: Business
48664, predicted: Business, actual: Business
48717, predicted: Business, actual: Business
48724, predicted: Business, actual: Business
48772, predicted: Business, actual: Business
48789, predicted: Business, actual: Business
48792, predicted: Business, actual: Business
48851, predicted: Business, actual: Business
48877, predicted: Business, actual: Business
48915, predicted: Business, actual: Business
49024, predicted: Business, actual: Business
49043, predicted: Business, actual: Business
49091, predicted: Business, actual: Business
49213, predicted: Business, actual: Business
49230, predicted: Business, actual: Business
49390, predicted: Business, actual: Business
49435, predicted: Business, actual: Business
49444, predicted: Business, actual: Business
49490, predicted: Business, actual: Business
49515, predicted: Business, actual: Business
51699, predicted: Computers, actual: Computers
51743, predicted: Computers, actual: Computers
51795, predicted: Computers, actual: Computers
51829, predicted: Computers, actual: Computers
51947, predicted: Computers, actual: Computers
52069, predicted: Computers, actual: Computers
52250, predicted: Computers, actual: Computers
52414, predicted: Computers, actual: Computers
52534, predicted: Computers, actual: Computers
52580, predicted: Computers, actual: Computers
37301, predicted: Society, actual: Society
37517, predicted: Society, actual: Society
38254, predicted: Sports, actual: Sports
38405, predicted: Sports, actual: Sports
38447, predicted: Sports, actual: Sports
38466, predicted: Sports, actual: Sports
38496, predicted: Sports, actual: Sports
38803, predicted: Sports, actual: Sports
38868, predicted: Sports, actual: Sports
39085, predicted: Sports, actual: Sports
39604, predicted: Sports, actual: Sports
40260, predicted: Sports, actual: Sports
40426, predicted: Sports, actual: Sports
40429, predicted: Sports, actual: Sports
40625, predicted: Sports, actual: Sports
40724, predicted: Sports, actual: Sports
40732, predicted: Sports, actual: Sports
40765, predicted: Sports, actual: Sports
40784, predicted: Sports, actual: Sports
40792, predicted: Sports, actual: Sports
41250, predicted: Sports, actual: Sports
41643, predicted: Sports, actual: Sports
42022, predicted: Sports, actual: Sports
42036, predicted: Sports, actual: Sports
42553, predicted: Sports, actual: Sports
42583, predicted: Sports, actual: Sports
42657, predicted: Sports, actual: Sports
42707, predicted: Sports, actual: Sports
42760, predicted: Sports, actual: Sports
42811, predicted: Sports, actual: Sports
42869, predicted: Sports, actual: Sports
42914, predicted: Sports, actual: Sports
42998, predicted: Sports, actual: Sports
43142, predicted: Sports, actual: Sports
43170, predicted: Sports, actual: Sports
43412, predicted: Adult, actual: Adult
43729, predicted: Business, actual: Business
43780, predicted: Computers, actual: Computers
44033, predicted: Health, actual: Health
44085, predicted: Health, actual: Health
44144, predicted: Business, actual: Business
44171, predicted: Home, actual: Home
44273, predicted: News, actual: News
44290, predicted: Business, actual: Business
44297, predicted: News, actual: News
44315, predicted: Recreation, actual: Recreation
44378, predicted: Recreation, actual: Recreation
44399, predicted: Recreation, actual: Recreation
44441, predicted: Reference, actual: Reference
44455, predicted: Reference, actual: Reference
44463, predicted: Regional, actual: Regional
44639, predicted: Shopping, actual: Shopping
44681, predicted: Society, actual: Society
44785, predicted: Sports, actual: Sports
44789, predicted: Sports, actual: Sports
44807, predicted: Sports, actual: Sports
45250, predicted: Adult, actual: Adult
45362, predicted: Adult, actual: Adult
45389, predicted: Adult, actual: Adult
45413, predicted: Adult, actual: Adult
45497, predicted: Arts, actual: Arts
45528, predicted: Arts, actual: Arts
45548, predicted: Arts, actual: Arts
45559, predicted: Arts, actual: Arts
45647, predicted: Arts, actual: Arts
45668, predicted: Arts, actual: Arts
45680, predicted: Arts, actual: Arts
45704, predicted: Arts, actual: Arts
45830, predicted: Arts, actual: Arts
45884, predicted: Arts, actual: Arts
45892, predicted: Arts, actual: Arts
45896, predicted: Arts, actual: Arts
45899, predicted: Arts, actual: Arts
45935, predicted: Arts, actual: Arts
45998, predicted: Arts, actual: Arts
46057, predicted: Arts, actual: Arts
46071, predicted: Arts, actual: Arts
46073, predicted: Arts, actual: Arts
46077, predicted: Arts, actual: Arts
46101, predicted: Arts, actual: Arts
46171, predicted: Arts, actual: Arts
46203, predicted: Arts, actual: Arts
46217, predicted: Arts, actual: Arts
46264, predicted: Arts, actual: Arts
46283, predicted: Arts, actual: Arts
46319, predicted: Arts, actual: Arts
46327, predicted: Arts, actual: Arts
46352, predicted: Arts, actual: Arts
46358, predicted: Arts, actual: Arts
46376, predicted: Arts, actual: Arts
46419, predicted: Arts, actual: Arts
46423, predicted: Arts, actual: Arts
46506, predicted: Arts, actual: Arts
46566, predicted: Arts, actual: Arts
46590, predicted: Arts, actual: Arts
46684, predicted: Arts, actual: Arts
46774, predicted: Arts, actual: Arts
46796, predicted: Arts, actual: Arts
46820, predicted: Arts, actual: Arts
46847, predicted: Arts, actual: Arts
46911, predicted: Arts, actual: Arts
46924, predicted: Arts, actual: Arts
46988, predicted: Arts, actual: Arts
47047, predicted: Arts, actual: Arts
47092, predicted: Arts, actual: Arts
47093, predicted: Arts, actual: Arts
47129, predicted: Arts, actual: Arts
47213, predicted: Arts, actual: Arts
47223, predicted: Arts, actual: Arts
47248, predicted: Arts, actual: Arts
47263, predicted: Arts, actual: Arts
47297, predicted: Arts, actual: Arts
47318, predicted: Arts, actual: Arts
47319, predicted: Arts, actual: Arts
47367, predicted: Arts, actual: Arts
47446, predicted: Arts, actual: Arts
47472, predicted: Arts, actual: Arts
47506, predicted: Arts, actual: Arts
47521, predicted: Arts, actual: Arts
47559, predicted: Arts, actual: Arts
47636, predicted: Business, actual: Business
47678, predicted: Business, actual: Business
47686, predicted: Society, actual: Society
47722, predicted: Business, actual: Business
47747, predicted: Business, actual: Business
47770, predicted: Business, actual: Business
47784, predicted: Business, actual: Business
47786, predicted: Business, actual: Business
47802, predicted: Business, actual: Business
47825, predicted: Business, actual: Business
47890, predicted: Business, actual: Business
47891, predicted: Business, actual: Business
47893, predicted: Shopping, actual: Shopping
47916, predicted: Business, actual: Business
47965, predicted: Business, actual: Business
47984, predicted: Business, actual: Business
48194, predicted: Business, actual: Business
48199, predicted: Business, actual: Business
47311, predicted: Business, actual: Business
47459, predicted: Business, actual: Business
47549, predicted: Business, actual: Business
49552, predicted: Business, actual: Business
49559, predicted: Business, actual: Business
49564, predicted: Business, actual: Business
49587, predicted: Business, actual: Business
49619, predicted: Recreation, actual: Recreation
49667, predicted: Business, actual: Business
49701, predicted: Business, actual: Business
49714, predicted: Business, actual: Business
52669, predicted: Business, actual: Business
52707, predicted: Business, actual: Business
52733, predicted: Business, actual: Business
52749, predicted: Business, actual: Business
52789, predicted: Business, actual: Business
52837, predicted: Business, actual: Business
45627, predicted: Computers, actual: Computers
45949, predicted: Business, actual: Business
46221, predicted: Business, actual: Business
46320, predicted: Business, actual: Business
46930, predicted: Business, actual: Business
47118, predicted: Business, actual: Business
48141, predicted: Business, actual: Business
48208, predicted: Business, actual: Business
48223, predicted: Business, actual: Business
48234, predicted: Business, actual: Business
48267, predicted: Business, actual: Business
48282, predicted: Business, actual: Business
48330, predicted: Business, actual: Business
48368, predicted: Business, actual: Business
48506, predicted: Computers, actual: Computers
48522, predicted: Computers, actual: Computers
48557, predicted: Computers, actual: Computers
48566, predicted: Computers, actual: Computers
48591, predicted: Computers, actual: Computers
48597, predicted: Computers, actual: Computers
48717, predicted: Computers, actual: Computers
48731, predicted: Computers, actual: Computers
48792, predicted: Science, actual: Science
48877, predicted: Computers, actual: Computers
48915, predicted: Computers, actual: Computers
49024, predicted: Computers, actual: Computers
49230, predicted: Recreation, actual: Recreation
49346, predicted: Reference, actual: Reference
49368, predicted: Science, actual: Science
49408, predicted: Arts, actual: Arts
49444, predicted: Health, actual: Health
51614, predicted: Health, actual: Health
51647, predicted: Health, actual: Health
51795, predicted: Home, actual: Home
51923, predicted: Home, actual: Home
52069, predicted: Kids, actual: Kids
52280, predicted: Recreation, actual: Recreation
52334, predicted: Kids, actual: Kids
52337, predicted: Kids, actual: Kids
52374, predicted: Kids, actual: Kids
52514, predicted: News, actual: News
52534, predicted: News, actual: News
52580, predicted: News, actual: News
4053, predicted: News, actual: News
37132, predicted: News, actual: News
38436, predicted: News, actual: News
39604, predicted: News, actual: News
39656, predicted: News, actual: News
39729, predicted: News, actual: News
40792, predicted: Recreation, actual: Recreation
42036, predicted: Recreation, actual: Recreation
42998, predicted: Recreation, actual: Recreation
43170, predicted: Recreation, actual: Recreation
43412, predicted: Recreation, actual: Recreation
43533, predicted: Recreation, actual: Recreation
43681, predicted: Recreation, actual: Recreation
43692, predicted: Recreation, actual: Recreation
43729, predicted: Recreation, actual: Recreation
43901, predicted: Recreation, actual: Recreation
44033, predicted: Recreation, actual: Recreation
44085, predicted: Recreation, actual: Recreation
44106, predicted: Recreation, actual: Recreation
44131, predicted: Recreation, actual: Recreation
44136, predicted: Recreation, actual: Recreation
44138, predicted: Recreation, actual: Recreation
44173, predicted: Recreation, actual: Recreation
44184, predicted: Recreation, actual: Recreation
44209, predicted: Recreation, actual: Recreation
44315, predicted: Recreation, actual: Recreation
44316, predicted: Recreation, actual: Recreation
44331, predicted: Recreation, actual: Recreation
44339, predicted: Recreation, actual: Recreation
44340, predicted: Recreation, actual: Recreation
44376, predicted: Recreation, actual: Recreation
44399, predicted: Recreation, actual: Recreation
44407, predicted: Recreation, actual: Recreation
44407, predicted: Recreation, actual: Recreation
44434, predicted: Recreation, actual: Recreation
44454, predicted: Recreation, actual: Recreation
44457, predicted: Recreation, actual: Recreation
44499, predicted: Recreation, actual: Recreation
44556, predicted: Recreation, actual: Recreation
44561, predicted: Recreation, actual: Recreation
44591, predicted: Recreation, actual: Recreation
44639, predicted: Recreation, actual: Recreation
44681, predicted: Recreation, actual: Recreation
45237, predicted: Recreation, actual: Recreation
45403, predicted: Recreation, actual: Recreation
45413, predicted: Recreation, actual: Recreation
45497, predicted: Recreation, actual: Recreation
45559, predicted: Recreation, actual: Recreation
45647, predicted: Recreation, actual: Recreation
45680, predicted: Recreation, actual: Recreation
45830, predicted: Recreation, actual: Recreation
45884, predicted: Recreation, actual: Recreation
45987, predicted: Recreation, actual: Recreation
45998, predicted: Recreation, actual: Recreation
46007, predicted: Recreation, actual: Recreation
46032, predicted: Recreation, actual: Recreation
46057, predicted: Recreation, actual: Recreation
46077, predicted: Recreation, actual: Recreation
46100, predicted: Recreation, actual: Recreation
46101, predicted: Recreation, actual: Recreation
46127, predicted: Recreation, actual: Recreation
46203, predicted: Recreation, actual: Recreation
46220, predicted: Recreation, actual: Recreation
46264, predicted: Recreation, actual: Recreation
46283, predicted: Recreation, actual: Recreation
46313, predicted: Recreation, actual: Recreation
46407, predicted: Recreation, actual: Recreation
46451, predicted: Recreation, actual: Recreation
46462, predicted: Recreation, actual: Recreation
46463, predicted: Recreation, actual: Recreation
46507, predicted: Recreation, actual: Recreation
46544, predicted: Recreation, actual: Recreation
46590, predicted: Recreation, actual: Recreation
46640, predicted: Recreation, actual: Recreation
46745, predicted: Recreation, actual: Recreation
46754, predicted: Recreation, actual: Recreation
46764, predicted: Recreation, actual: Recreation
46820, predicted: Recreation, actual: Recreation
46849, predicted: Recreation, actual: Recreation
46911, predicted: Recreation, actual: Recreation
46924, predicted: Recreation, actual: Recreation
46934, predicted: Recreation, actual: Recreation
46962, predicted: Recreation, actual: Recreation
46964, predicted: Recreation, actual: Recreation
47035, predicted: Recreation, actual: Recreation
47055, predicted: Recreation, actual: Recreation
47129, predicted: Recreation, actual: Recreation
47213, predicted: Recreation, actual: Recreation
47397, predicted: Reference, actual: Reference
47441, predicted: Reference, actual: Reference
47446, predicted: Reference, actual: Reference
47472, predicted: Reference, actual: Reference
47529, predicted: Reference, actual: Reference
47618, predicted: Reference, actual: Reference
47678, predicted: Reference, actual: Reference
47722, predicted: Reference, actual: Reference
47725, predicted: Reference, actual: Reference
47861, predicted: Reference, actual: Reference
47885, predicted: Reference, actual: Reference
47912, predicted: Reference, actual: Reference
47914, predicted: Reference, actual: Reference
47916, predicted: Reference, actual: Reference
47984, predicted: Reference, actual: Reference
48050, predicted: Reference, actual: Reference
48081, predicted: Reference, actual: Reference
48199, predicted: Reference, actual: Reference
47549, predicted: Reference, actual: Reference
49667, predicted: Regional, actual: Regional
46320, predicted: Regional, actual: Regional
48187, predicted: Science, actual: Science
48208, predicted: Science, actual: Science
48282, predicted: Science, actual: Science
48473, predicted: Science, actual: Science
48557, predicted: Science, actual: Science
48731, predicted: Science, actual: Science
48772, predicted: Science, actual: Science
48871, predicted: Science, actual: Science
48877, predicted: Science, actual: Science
49213, predicted: Science, actual: Science
49260, predicted: Science, actual: Science
49346, predicted: Science, actual: Science
49408, predicted: Science, actual: Science
49515, predicted: Science, actual: Science
51555, predicted: Science, actual: Science
51614, predicted: Science, actual: Science
52280, predicted: Science, actual: Science
52334, predicted: Science, actual: Science
52374, predicted: Science, actual: Science
52414, predicted: Science, actual: Science
52449, predicted: Science, actual: Science
52457, predicted: Science, actual: Science
52593, predicted: Science, actual: Science
39085, predicted: Science, actual: Science
40429, predicted: Science, actual: Science
40732, predicted: Science, actual: Science
40784, predicted: Science, actual: Science
42553, predicted: Science, actual: Science
42760, predicted: Science, actual: Science
42869, predicted: Science, actual: Science
43400, predicted: Science, actual: Science
43909, predicted: Science, actual: Science
44106, predicted: Science, actual: Science
44138, predicted: Science, actual: Science
44244, predicted: Science, actual: Science
44290, predicted: Shopping, actual: Shopping
44297, predicted: Shopping, actual: Shopping
44316, predicted: Shopping, actual: Shopping
44318, predicted: Shopping, actual: Shopping
44339, predicted: Shopping, actual: Shopping
44407, predicted: Shopping, actual: Shopping
44413, predicted: Shopping, actual: Shopping
44441, predicted: Shopping, actual: Shopping
44455, predicted: Shopping, actual: Shopping
44499, predicted: Shopping, actual: Shopping
44539, predicted: Shopping, actual: Shopping
44553, predicted: Shopping, actual: Shopping
44561, predicted: Shopping, actual: Shopping
44598, predicted: Shopping, actual: Shopping
44725, predicted: Shopping, actual: Shopping
44789, predicted: Shopping, actual: Shopping
44807, predicted: Shopping, actual: Shopping
44838, predicted: Shopping, actual: Shopping
44934, predicted: Shopping, actual: Shopping
45081, predicted: Shopping, actual: Shopping
45219, predicted: Shopping, actual: Shopping
45222, predicted: Shopping, actual: Shopping
45389, predicted: Shopping, actual: Shopping
45403, predicted: Shopping, actual: Shopping
45413, predicted: Shopping, actual: Shopping
45497, predicted: Shopping, actual: Shopping
45528, predicted: Shopping, actual: Shopping
45548, predicted: Shopping, actual: Shopping
45595, predicted: Shopping, actual: Shopping
45605, predicted: Shopping, actual: Shopping
45647, predicted: Shopping, actual: Shopping
45680, predicted: Shopping, actual: Shopping
45704, predicted: Shopping, actual: Shopping
45835, predicted: Shopping, actual: Shopping
45884, predicted: Shopping, actual: Shopping
45896, predicted: Shopping, actual: Shopping
45899, predicted: Shopping, actual: Shopping
45926, predicted: Shopping, actual: Shopping
45935, predicted: Shopping, actual: Shopping
45998, predicted: Shopping, actual: Shopping
46007, predicted: Shopping, actual: Shopping
46057, predicted: Shopping, actual: Shopping
46071, predicted: Shopping, actual: Shopping
46077, predicted: Shopping, actual: Shopping
46100, predicted: Shopping, actual: Shopping
46101, predicted: Shopping, actual: Shopping
46172, predicted: Shopping, actual: Shopping
46264, predicted: Shopping, actual: Shopping
46361, predicted: Shopping, actual: Shopping
46407, predicted: Shopping, actual: Shopping
46451, predicted: Shopping, actual: Shopping
46462, predicted: Shopping, actual: Shopping
46463, predicted: Shopping, actual: Shopping
46500, predicted: Shopping, actual: Shopping
46544, predicted: Shopping, actual: Shopping
46549, predicted: Shopping, actual: Shopping
46640, predicted: Shopping, actual: Shopping
46691, predicted: Shopping, actual: Shopping
46715, predicted: Shopping, actual: Shopping
46774, predicted: Shopping, actual: Shopping
