52866, predicted: Society, actual: Games
47238, predicted: News, actual: Arts
47293, predicted: News, actual: Arts
49552, predicted: Computers, actual: Business
49564, predicted: Science, actual: Business
49568, predicted: Computers, actual: Business
49667, predicted: Shopping, actual: Business
49701, predicted: Science, actual: Business
52669, predicted: Arts, actual: Computers
52789, predicted: Business, actual: Computers
45211, predicted: Shopping, actual: Adult
45276, predicted: Business, actual: Adult
45541, predicted: Health, actual: Arts
45627, predicted: Reference, actual: Arts
46425, predicted: Business, actual: Arts
48187, predicted: Shopping, actual: Business
48208, predicted: Shopping, actual: Business
48223, predicted: Shopping, actual: Business
48234, predicted: Business, actual: Sports
48252, predicted: Shopping, actual: Business
48267, predicted: Shopping, actual: Business
48473, predicted: Computers, actual: Business
48522, predicted: Business, actual: Regional
48664, predicted: Health, actual: Business
48731, predicted: Society, actual: Business
49021, predicted: Business, actual: Science
49022, predicted: Computers, actual: Business
49037, predicted: Health, actual: Business
49101, predicted: Sports, actual: Business
49128, predicted: Shopping, actual: Business
49253, predicted: Computers, actual: Business
49346, predicted: Society, actual: Business
49515, predicted: Computers, actual: Business
49545, predicted: Science, actual: Business
51543, predicted: Business, actual: Computers
51555, predicted: Business, actual: Computers
51694, predicted: Business, actual: Computers
51699, predicted: Business, actual: Computers
51828, predicted: Shopping, actual: Computers
52280, predicted: Business, actual: Computers
52405, predicted: Business, actual: Computers
52514, predicted: Arts, actual: Computers
52564, predicted: Business, actual: Computers
4053, predicted: Society, actual: Arts
37132, predicted: Regional, actual: Society
37290, predicted: Sports, actual: Society
37919, predicted: News, actual: Society
37932, predicted: Health, actual: Society
39656, predicted: Kids, actual: Sports
40472, predicted: Recreation, actual: Sports
41486, predicted: Arts, actual: Sports
43142, predicted: Recreation, actual: Sports
43354, predicted: Arts, actual: Sports
43400, predicted: Society, actual: Regional
43412, predicted: Society, actual: Adult
43533, predicted: Society, actual: Adult
43681, predicted: News, actual: Business
43729, predicted: Computers, actual: Business
43901, predicted: Computers, actual: Kids
43935, predicted: Arts, actual: Games
44105, predicted: Health, actual: Regional
44106, predicted: Computers, actual: Home
44131, predicted: Recreation, actual: Home
44136, predicted: Computers, actual: Society
44138, predicted: Shopping, actual: Home
44145, predicted: Business, actual: Home
44161, predicted: Business, actual: Regional
44171, predicted: Recreation, actual: Home
44173, predicted: Business, actual: Home
44175, predicted: Recreation, actual: Home
44184, predicted: Shopping, actual: Home
44190, predicted: Sports, actual: Kids
44203, predicted: Society, actual: Kids
44209, predicted: Shopping, actual: Kids
44244, predicted: News, actual: Kids
44250, predicted: Sports, actual: News
44302, predicted: News, actual: Regional
44316, predicted: Regional, actual: Recreation
44327, predicted: Recreation, actual: Regional
44331, predicted: Regional, actual: Recreation
44339, predicted: Arts, actual: Recreation
44340, predicted: Recreation, actual: Science
44376, predicted: Business, actual: Recreation
44401, predicted: Business, actual: Recreation
44407, predicted: Business, actual: Regional
44407, predicted: Business, actual: Recreation
44413, predicted: Health, actual: Reference
44434, predicted: Regional, actual: Reference
44441, predicted: Health, actual: Reference
44454, predicted: Health, actual: Reference
44457, predicted: Business, actual: Reference
44463, predicted: Arts, actual: Regional
44487, predicted: Computers, actual: Regional
44496, predicted: Business, actual: Regional
44499, predicted: Business, actual: Regional
44499, predicted: Business, actual: Shopping
44506, predicted: News, actual: Regional
44553, predicted: Business, actual: Science
44558, predicted: Society, actual: Science
44561, predicted: Business, actual: Science
44583, predicted: Computers, actual: Science
44591, predicted: Society, actual: Science
44598, predicted: Society, actual: Science
44632, predicted: Regional, actual: Shopping
44681, predicted: Arts, actual: Society
44784, predicted: Business, actual: Sports
44838, predicted: Recreation, actual: Sports
45148, predicted: Recreation, actual: Adult
45181, predicted: Shopping, actual: Adult
45219, predicted: Sports, actual: Adult
45222, predicted: Shopping, actual: Adult
45237, predicted: Recreation, actual: Adult
45389, predicted: Society, actual: Adult
45413, predicted: Society, actual: Adult
45528, predicted: Society, actual: Arts
45548, predicted: Computers, actual: Arts
45605, predicted: Health, actual: Arts
45758, predicted: Health, actual: Arts
45835, predicted: Health, actual: Arts
45836, predicted: Health, actual: Arts
45899, predicted: Reference, actual: Arts
45902, predicted: Computers, actual: Arts
45926, predicted: Reference, actual: Arts
45987, predicted: Arts, actual: Kids
46071, predicted: Shopping, actual: Arts
46101, predicted: Shopping, actual: Arts
46127, predicted: Society, actual: Arts
46220, predicted: Shopping, actual: Arts
46283, predicted: Computers, actual: Arts
46313, predicted: Shopping, actual: Arts
46319, predicted: Society, actual: Arts
46361, predicted: Health, actual: Arts
46376, predicted: Health, actual: Arts
46423, predicted: Business, actual: Arts
46439, predicted: Business, actual: Arts
46462, predicted: Computers, actual: Arts
46544, predicted: Arts, actual: Games
46587, predicted: Shopping, actual: Arts
46691, predicted: Kids, actual: Arts
46715, predicted: Health, actual: Arts
46745, predicted: Sports, actual: Arts
46754, predicted: News, actual: Arts
46778, predicted: Business, actual: Arts
46781, predicted: Society, actual: Arts
46839, predicted: Games, actual: Arts
46849, predicted: Recreation, actual: Arts
46934, predicted: Society, actual: Arts
46962, predicted: Games, actual: Arts
46964, predicted: Reference, actual: Arts
47055, predicted: Society, actual: Arts
47077, predicted: Society, actual: Arts
47100, predicted: Arts, actual: Shopping
47160, predicted: Society, actual: Arts
47213, predicted: Computers, actual: Arts
47223, predicted: Shopping, actual: Arts
47361, predicted: Sports, actual: Arts
47367, predicted: Shopping, actual: Arts
47385, predicted: Computers, actual: Arts
47397, predicted: Computers, actual: Arts
47420, predicted: Computers, actual: Arts
47435, predicted: Computers, actual: Arts
47441, predicted: Computers, actual: Arts
47451, predicted: Games, actual: Arts
47490, predicted: Arts, actual: Recreation
47502, predicted: Computers, actual: Arts
47517, predicted: Society, actual: Arts
47530, predicted: Computers, actual: Arts
47575, predicted: Health, actual: Arts
47678, predicted: Recreation, actual: Business
47686, predicted: Business, actual: Society
47731, predicted: Science, actual: Business
47743, predicted: Recreation, actual: Business
47747, predicted: Science, actual: Business
47770, predicted: Recreation, actual: Business
47786, predicted: Recreation, actual: Business
47802, predicted: Science, actual: Business
47810, predicted: Arts, actual: Business
47818, predicted: Health, actual: Business
47860, predicted: Recreation, actual: Business
47890, predicted: Shopping, actual: Business
47893, predicted: Business, actual: Shopping
47906, predicted: Health, actual: Business
47963, predicted: Science, actual: Business
48050, predicted: Business, actual: Society
48120, predicted: Arts, actual: Business
48128, predicted: Shopping, actual: Business
49773, predicted: Sports, actual: Business
52866, predicted: Shopping, actual: Business
47238, predicted: Shopping, actual: Business
47365, predicted: Computers, actual: Business
49568, predicted: Adult, actual: Business
49600, predicted: Arts, actual: Business
49697, predicted: Shopping, actual: Business
52720, predicted: Shopping, actual: Business
52749, predicted: Health, actual: Business
52789, predicted: Computers, actual: Business
45276, predicted: Science, actual: Business
45627, predicted: Business, actual: Computers
45832, predicted: Computers, actual: Business
45949, predicted: Computers, actual: Business
46510, predicted: News, actual: Business
46567, predicted: Shopping, actual: Business
46887, predicted: Computers, actual: Business
48252, predicted: Shopping, actual: Business
48366, predicted: Home, actual: Business
48506, predicted: Business, actual: Computers
48519, predicted: Sports, actual: Computers
48585, predicted: Health, actual: Computers
48613, predicted: Business, actual: Computers
48664, predicted: Business, actual: Computers
48717, predicted: Reference, actual: Computers
48724, predicted: Business, actual: Computers
48731, predicted: Business, actual: Computers
48772, predicted: Business, actual: Computers
48789, predicted: Business, actual: Computers
48792, predicted: Computers, actual: Science
49006, predicted: Shopping, actual: Computers
49151, predicted: Business, actual: Recreation
49253, predicted: Health, actual: Recreation
49260, predicted: Computers, actual: Reference
49271, predicted: Computers, actual: Reference
49358, predicted: Business, actual: Regional
49362, predicted: Science, actual: Regional
49390, predicted: Business, actual: Science
49422, predicted: Shopping, actual: Computers
49435, predicted: News, actual: Games
49444, predicted: Society, actual: Health
49490, predicted: Arts, actual: Health
51543, predicted: Computers, actual: Health
51694, predicted: Society, actual: Health
51699, predicted: Business, actual: Home
51743, predicted: Business, actual: Society
51828, predicted: Health, actual: Home
51829, predicted: Arts, actual: Home
51959, predicted: Arts, actual: Home
52060, predicted: Business, actual: Home
52069, predicted: Arts, actual: Kids
52125, predicted: Arts, actual: Kids
52147, predicted: Health, actual: Kids
52169, predicted: Recreation, actual: Kids
52250, predicted: Science, actual: Kids
52334, predicted: Recreation, actual: Kids
52337, predicted: Recreation, actual: Kids
52374, predicted: Recreation, actual: Kids
52405, predicted: Business, actual: Sports
52414, predicted: Business, actual: Kids
52427, predicted: Sports, actual: Kids
52449, predicted: Home, actual: Kids
52457, predicted: Health, actual: Kids
