49773, predicted: Business, actual: Business
47293, predicted: Arts, actual: Arts
47311, predicted: Arts, actual: Arts
47365, predicted: Arts, actual: Arts
47459, predicted: Arts, actual: Arts
47549, predicted: Arts, actual: Arts
49559, predicted: Business, actual: Business
49587, predicted: Business, actual: Business
49697, predicted: Business, actual: Business
49701, predicted: Business, actual: Business
49714, predicted: Business, actual: Business
49740, predicted: Business, actual: Business
52669, predicted: Computers, actual: Computers
52707, predicted: Computers, actual: Computers
52720, predicted: Computers, actual: Computers
52733, predicted: Computers, actual: Computers
52780, predicted: Computers, actual: Computers
52858, predicted: Games, actual: Games
45409, predicted: Adult, actual: Adult
46510, predicted: Arts, actual: Arts
46567, predicted: Arts, actual: Arts
46930, predicted: Arts, actual: Arts
48141, predicted: Business, actual: Business
48168, predicted: Business, actual: Business
48208, predicted: Business, actual: Business
48223, predicted: Business, actual: Business
48323, predicted: Business, actual: Business
48330, predicted: Business, actual: Business
48366, predicted: Business, actual: Business
48432, predicted: Business, actual: Business
48445, predicted: Business, actual: Business
48473, predicted: Business, actual: Business
48532, predicted: Business, actual: Business
48536, predicted: Business, actual: Business
48557, predicted: Business, actual: Business
48566, predicted: Business, actual: Business
48585, predicted: Business, actual: Business
48589, predicted: Business, actual: Business
48597, predicted: Business, actual: Business
48657, predicted: Business, actual: Business
48664, predicted: Business, actual: Business
48717, predicted: Business, actual: Business
48724, predicted: Business, actual: Business
48772, predicted: Business, actual: Business
48789, predicted: Business, actual: Business
48851, predicted: Business, actual: Business
48872, predicted: Business, actual: Business
48915, predicted: Business, actual: Business
49006, predicted: Business, actual: Business
49022, predicted: Business, actual: Business
49024, predicted: Business, actual: Business
49043, predicted: Business, actual: Business
49075, predicted: Business, actual: Business
49229, predicted: Business, actual: Business
49230, predicted: Business, actual: Business
49253, predicted: Business, actual: Business
49260, predicted: Business, actual: Business
49346, predicted: Business, actual: Business
49362, predicted: Business, actual: Business
49368, predicted: Business, actual: Business
49408, predicted: Business, actual: Business
49422, predicted: Business, actual: Business
49444, predicted: Business, actual: Business
49490, predicted: Business, actual: Business
49515, predicted: Business, actual: Business
51543, predicted: Computers, actual: Computers
51555, predicted: Computers, actual: Computers
51590, predicted: Computers, actual: Computers
51614, predicted: Computers, actual: Computers
51694, predicted: Computers, actual: Computers
51699, predicted: Computers, actual: Computers
51959, predicted: Computers, actual: Computers
52069, predicted: Computers, actual: Computers
52125, predicted: Computers, actual: Computers
52147, predicted: Computers, actual: Computers
52250, predicted: Computers, actual: Computers
52334, predicted: Computers, actual: Computers
52405, predicted: Computers, actual: Computers
52414, predicted: Computers, actual: Computers
52449, predicted: Computers, actual: Computers
52534, predicted: Computers, actual: Computers
52593, predicted: Computers, actual: Computers
52650, predicted: Computers, actual: Computers
58230, predicted: Science, actual: Science
