52866, predicted: Business, actual: Games
47238, predicted: Sports, actual: Arts
49552, predicted: Computers, actual: Business
49564, predicted: Computers, actual: Business
49568, predicted: Computers, actual: Business
49574, predicted: Computers, actual: Business
49600, predicted: Society, actual: Business
49619, predicted: Arts, actual: Business
49667, predicted: Shopping, actual: Business
52683, predicted: Shopping, actual: Computers
52729, predicted: Health, actual: Computers
52749, predicted: Science, actual: Computers
52789, predicted: Business, actual: Computers
52830, predicted: Arts, actual: Computers
52837, predicted: Business, actual: Computers
52846, predicted: Business, actual: Games
58235, predicted: Reference, actual: Science
45211, predicted: Shopping, actual: Adult
45276, predicted: Business, actual: Adult
45541, predicted: Computers, actual: Arts
45627, predicted: Sports, actual: Arts
45832, predicted: Computers, actual: Arts
45949, predicted: Society, actual: Arts
45951, predicted: Health, actual: Arts
46041, predicted: Sports, actual: Arts
46221, predicted: Shopping, actual: Arts
46320, predicted: Business, actual: Arts
46425, predicted: Reference, actual: Arts
46887, predicted: Society, actual: Arts
47118, predicted: Business, actual: Arts
48187, predicted: Shopping, actual: Business
48234, predicted: Business, actual: Sports
48252, predicted: Shopping, actual: Business
48267, predicted: Shopping, actual: Business
48282, predicted: Arts, actual: Business
48368, predicted: Computers, actual: Business
48440, predicted: Shopping, actual: Business
48506, predicted: Health, actual: Business
48507, predicted: Health, actual: Business
48519, predicted: Computers, actual: Business
48522, predicted: Business, actual: Regional
48591, predicted: Business, actual: Shopping
48613, predicted: Computers, actual: Business
48630, predicted: Computers, actual: Business
48731, predicted: Shopping, actual: Business
48753, predicted: Shopping, actual: Business
48792, predicted: Computers, actual: Business
48871, predicted: Health, actual: Business
48877, predicted: Arts, actual: Business
48960, predicted: Computers, actual: Business
49021, predicted: Business, actual: Science
49037, predicted: Computers, actual: Business
49091, predicted: Science, actual: Business
49101, predicted: Shopping, actual: Business
49128, predicted: Shopping, actual: Business
49151, predicted: Health, actual: Business
49213, predicted: Computers, actual: Business
49271, predicted: Shopping, actual: Business
49358, predicted: Arts, actual: Business
49390, predicted: Society, actual: Business
49435, predicted: Home, actual: Business
49545, predicted: Health, actual: Business
51647, predicted: Business, actual: Computers
51665, predicted: Shopping, actual: Computers
51691, predicted: Business, actual: Computers
51743, predicted: Business, actual: Computers
51795, predicted: Arts, actual: Computers
51828, predicted: Sports, actual: Computers
51829, predicted: Arts, actual: Computers
51923, predicted: Business, actual: Computers
51947, predicted: Business, actual: Computers
52060, predicted: Recreation, actual: Computers
52169, predicted: Sports, actual: Computers
52280, predicted: Arts, actual: Computers
52337, predicted: Business, actual: Computers
52374, predicted: Business, actual: Computers
52427, predicted: Business, actual: Computers
52457, predicted: Shopping, actual: Computers
52514, predicted: Society, actual: Computers
52564, predicted: Health, actual: Computers
52580, predicted: Business, actual: Computers
37132, predicted: Kids, actual: Society
37290, predicted: Recreation, actual: Society
37301, predicted: Business, actual: Society
37350, predicted: Sports, actual: Society
37919, predicted: News, actual: Society
