47238, predicted: Society, actual: Arts
47311, predicted: Kids, actual: Arts
47549, predicted: Society, actual: Arts
49552, predicted: Arts, actual: Business
49559, predicted: Sports, actual: Business
49564, predicted: Health, actual: Business
49568, predicted: Computers, actual: Business
49574, predicted: Computers, actual: Business
49587, predicted: Games, actual: Business
49697, predicted: Computers, actual: Business
52669, predicted: Arts, actual: Computers
52707, predicted: Home, actual: Computers
52733, predicted: Society, actual: Computers
52780, predicted: Society, actual: Computers
52789, predicted: Sports, actual: Computers
52830, predicted: Recreation, actual: Computers
52858, predicted: Computers, actual: Games
58235, predicted: Computers, actual: Science
45211, predicted: Regional, actual: Adult
45276, predicted: Computers, actual: Adult
45409, predicted: Shopping, actual: Adult
45541, predicted: Business, actual: Arts
45627, predicted: Business, actual: Arts
45949, predicted: Recreation, actual: Arts
45951, predicted: Society, actual: Arts
46221, predicted: Business, actual: Arts
46320, predicted: Business, actual: Arts
46510, predicted: Society, actual: Arts
46930, predicted: Shopping, actual: Arts
47118, predicted: Computers, actual: Arts
48168, predicted: Recreation, actual: Business
48208, predicted: Sports, actual: Business
48234, predicted: Business, actual: Sports
48252, predicted: Shopping, actual: Business
48267, predicted: News, actual: Business
48330, predicted: Computers, actual: Business
48440, predicted: Society, actual: Business
48507, predicted: Computers, actual: Business
48519, predicted: Computers, actual: Business
48522, predicted: Business, actual: Regional
48532, predicted: Health, actual: Business
48536, predicted: Computers, actual: Business
48557, predicted: Science, actual: Business
48566, predicted: Health, actual: Business
48585, predicted: Computers, actual: Business
48591, predicted: Business, actual: Shopping
48597, predicted: Computers, actual: Business
48613, predicted: Society, actual: Business
48657, predicted: Recreation, actual: Business
48792, predicted: Regional, actual: Business
48871, predicted: Health, actual: Business
48877, predicted: Society, actual: Business
48915, predicted: Computers, actual: Business
48960, predicted: Kids, actual: Business
49006, predicted: Shopping, actual: Business
49021, predicted: Business, actual: Science
49022, predicted: Computers, actual: Business
49037, predicted: Health, actual: Business
49043, predicted: Computers, actual: Business
49128, predicted: Shopping, actual: Business
49213, predicted: Computers, actual: Business
49230, predicted: Society, actual: Business
49260, predicted: Society, actual: Business
49271, predicted: Science, actual: Business
49346, predicted: Arts, actual: Business
49368, predicted: Home, actual: Business
49422, predicted: Computers, actual: Business
49435, predicted: Home, actual: Business
49515, predicted: Home, actual: Business
49545, predicted: Computers, actual: Business
51543, predicted: Business, actual: Computers
51590, predicted: Society, actual: Computers
51647, predicted: Business, actual: Computers
51665, predicted: Shopping, actual: Computers
51691, predicted: Business, actual: Computers
51694, predicted: Business, actual: Computers
51699, predicted: Business, actual: Computers
51743, predicted: Shopping, actual: Computers
51829, predicted: Arts, actual: Computers
51923, predicted: Business, actual: Computers
51947, predicted: Business, actual: Computers
52250, predicted: Business, actual: Computers
52334, predicted: Sports, actual: Computers
52337, predicted: Business, actual: Computers
52374, predicted: Business, actual: Computers
52414, predicted: Business, actual: Computers
52457, predicted: Games, actual: Computers
52514, predicted: Arts, actual: Computers
52564, predicted: Health, actual: Computers
52650, predicted: Recreation, actual: Computers
4053, predicted: News, actual: Arts
37132, predicted: Computers, actual: Society
37301, predicted: Shopping, actual: Society
37350, predicted: Computers, actual: Society
37919, predicted: Shopping, actual: Society
38674, predicted: Society, actual: Sports
38803, predicted: Society, actual: Sports
39656, predicted: Business, actual: Sports
40472, predicted: Society, actual: Sports
41250, predicted: Shopping, actual: Sports
41642, predicted: Games, actual: Sports
41643, predicted: Shopping, actual: Sports
42811, predicted: Computers, actual: Sports
42998, predicted: Games, actual: Sports
43170, predicted: Arts, actual: Sports
43400, predicted: Shopping, actual: Regional
43412, predicted: Sports, actual: Adult
43533, predicted: Arts, actual: Adult
43681, predicted: News, actual: Business
43692, predicted: News, actual: Business
43729, predicted: Computers, actual: Business
