47238, predicted: Shopping, actual: Arts
47311, predicted: Recreation, actual: Arts
49552, predicted: Recreation, actual: Business
49559, predicted: Arts, actual: Business
49564, predicted: Society, actual: Business
49587, predicted: Shopping, actual: Business
49600, predicted: Shopping, actual: Business
49667, predicted: Shopping, actual: Business
52669, predicted: Business, actual: Computers
52707, predicted: Recreation, actual: Computers
52729, predicted: Recreation, actual: Computers
52733, predicted: Business, actual: Computers
52780, predicted: Recreation, actual: Computers
52789, predicted: Recreation, actual: Computers
52830, predicted: Society, actual: Computers
52837, predicted: Games, actual: Computers
58235, predicted: Kids, actual: Science
45211, predicted: Arts, actual: Adult
45627, predicted: Society, actual: Arts
46425, predicted: Business, actual: Arts
46510, predicted: Sports, actual: Arts
46930, predicted: Business, actual: Arts
48168, predicted: Science, actual: Business
48187, predicted: Recreation, actual: Business
48234, predicted: Business, actual: Sports
48267, predicted: Shopping, actual: Business
48432, predicted: Shopping, actual: Business
48440, predicted: Sports, actual: Business
48473, predicted: Arts, actual: Business
48522, predicted: Business, actual: Regional
48536, predicted: Arts, actual: Business
48557, predicted: Computers, actual: Business
48591, predicted: Business, actual: Shopping
48597, predicted: Computers, actual: Business
48613, predicted: Arts, actual: Business
48657, predicted: Science, actual: Business
48731, predicted: Arts, actual: Business
48753, predicted: Shopping, actual: Business
48871, predicted: Kids, actual: Business
48960, predicted: Shopping, actual: Business
49006, predicted: Shopping, actual: Business
49021, predicted: Business, actual: Science
49022, predicted: Computers, actual: Business
49037, predicted: Society, actual: Business
49151, predicted: Arts, actual: Business
49229, predicted: Arts, actual: Business
49253, predicted: Society, actual: Business
49260, predicted: Recreation, actual: Business
49271, predicted: Shopping, actual: Business
49346, predicted: Health, actual: Business
49358, predicted: Computers, actual: Business
49362, predicted: Arts, actual: Business
49368, predicted: Sports, actual: Business
49422, predicted: Arts, actual: Business
49515, predicted: Health, actual: Business
49545, predicted: Reference, actual: Business
51543, predicted: Business, actual: Computers
51555, predicted: Business, actual: Computers
51590, predicted: Games, actual: Computers
51614, predicted: Recreation, actual: Computers
51665, predicted: Arts, actual: Computers
51691, predicted: Business, actual: Computers
51694, predicted: Sports, actual: Computers
51743, predicted: Arts, actual: Computers
51828, predicted: Arts, actual: Computers
51829, predicted: Arts, actual: Computers
51923, predicted: Arts, actual: Computers
51959, predicted: Society, actual: Computers
52060, predicted: Recreation, actual: Computers
52125, predicted: Arts, actual: Computers
52147, predicted: Arts, actual: Computers
52169, predicted: Arts, actual: Computers
52250, predicted: Arts, actual: Computers
52280, predicted: Business, actual: Computers
52334, predicted: Arts, actual: Computers
52337, predicted: Arts, actual: Computers
52374, predicted: Business, actual: Computers
52405, predicted: Business, actual: Computers
52427, predicted: Adult, actual: Computers
52449, predicted: Recreation, actual: Computers
52457, predicted: Kids, actual: Computers
52514, predicted: Arts, actual: Computers
52564, predicted: Business, actual: Computers
52580, predicted: Science, actual: Computers
52593, predicted: Arts, actual: Computers
52650, predicted: Adult, actual: Computers
58230, predicted: Business, actual: Science
4053, predicted: News, actual: Arts
37132, predicted: Sports, actual: Society
