52866, predicted: Arts, actual: Games
47238, predicted: Sports, actual: Arts
47311, predicted: Business, actual: Arts
49552, predicted: Computers, actual: Business
49564, predicted: Computers, actual: Business
49574, predicted: Computers, actual: Business
49667, predicted: Shopping, actual: Business
49714, predicted: Shopping, actual: Business
52669, predicted: Business, actual: Computers
52789, predicted: Games, actual: Computers
52846, predicted: Computers, actual: Games
52858, predicted: Computers, actual: Games
58235, predicted: Recreation, actual: Science
45211, predicted: Business, actual: Adult
45276, predicted: Business, actual: Adult
45409, predicted: Sports, actual: Adult
45627, predicted: Science, actual: Arts
45949, predicted: Society, actual: Arts
45951, predicted: Society, actual: Arts
46041, predicted: Computers, actual: Arts
46221, predicted: Health, actual: Arts
46320, predicted: Shopping, actual: Arts
46425, predicted: Sports, actual: Arts
46510, predicted: Society, actual: Arts
46887, predicted: Sports, actual: Arts
46930, predicted: Sports, actual: Arts
48187, predicted: Shopping, actual: Business
48208, predicted: Sports, actual: Business
48234, predicted: Business, actual: Sports
48252, predicted: Shopping, actual: Business
48267, predicted: Shopping, actual: Business
48282, predicted: Recreation, actual: Business
48323, predicted: Health, actual: Business
48445, predicted: Computers, actual: Business
48506, predicted: Health, actual: Business
48507, predicted: Society, actual: Business
48522, predicted: Business, actual: Regional
48585, predicted: Computers, actual: Business
48591, predicted: Business, actual: Shopping
48613, predicted: Computers, actual: Business
48657, predicted: Health, actual: Business
48664, predicted: Health, actual: Business
48731, predicted: Arts, actual: Business
48753, predicted: Shopping, actual: Business
48792, predicted: Computers, actual: Business
49021, predicted: Business, actual: Science
49037, predicted: Society, actual: Business
49043, predicted: Health, actual: Business
49101, predicted: Sports, actual: Business
49128, predicted: Shopping, actual: Business
49213, predicted: Society, actual: Business
49253, predicted: Society, actual: Business
49260, predicted: Health, actual: Business
49271, predicted: Computers, actual: Business
49358, predicted: Computers, actual: Business
49362, predicted: Computers, actual: Business
49435, predicted: Home, actual: Business
49545, predicted: Computers, actual: Business
51543, predicted: Business, actual: Computers
51555, predicted: Science, actual: Computers
51590, predicted: Arts, actual: Computers
51665, predicted: Health, actual: Computers
51691, predicted: Business, actual: Computers
51694, predicted: Business, actual: Computers
51699, predicted: Business, actual: Computers
51743, predicted: Shopping, actual: Computers
51829, predicted: Kids, actual: Computers
51923, predicted: Business, actual: Computers
52334, predicted: Business, actual: Computers
52337, predicted: Business, actual: Computers
52457, predicted: Business, actual: Computers
52564, predicted: Business, actual: Computers
52593, predicted: Arts, actual: Computers
58230, predicted: Society, actual: Science
37132, predicted: Computers, actual: Society
37350, predicted: Shopping, actual: Society
37932, predicted: Computers, actual: Society
39656, predicted: Arts, actual: Sports
40472, predicted: Society, actual: Sports
41250, predicted: Shopping, actual: Sports
41643, predicted: Health, actual: Sports
42195, predicted: Recreation, actual: Sports
43412, predicted: Society, actual: Adult
43681, predicted: News, actual: Business
43692, predicted: News, actual: Business
43729, predicted: Computers, actual: Business
43780, predicted: Regional, actual: Computers
43901, predicted: Games, actual: Kids
43909, predicted: Society, actual: Games
44033, predicted: Business, actual: Health
44105, predicted: Society, actual: Regional
44106, predicted: Computers, actual: Home
44131, predicted: Business, actual: Home
44136, predicted: Home, actual: Society
44138, predicted: Business, actual: Home
44144, predicted: Home, actual: Business
44145, predicted: Society, actual: Home
44146, predicted: Business, actual: Home
44161, predicted: Home, actual: Regional
44173, predicted: Arts, actual: Home
44175, predicted: Arts, actual: Home
44184, predicted: Shopping, actual: Home
44190, predicted: Sports, actual: Kids
44203, predicted: Regional, actual: Kids
44209, predicted: Business, actual: Kids
44244, predicted: News, actual: Kids
44250, predicted: Arts, actual: News
44273, predicted: Regional, actual: News
44290, predicted: News, actual: Business
44297, predicted: Business, actual: News
44302, predicted: News, actual: Regional
44315, predicted: Business, actual: Recreation
44316, predicted: Regional, actual: Recreation
44318, predicted: Recreation, actual: Regional
44327, predicted: Recreation, actual: Regional
44331, predicted: Regional, actual: Recreation
44339, predicted: Arts, actual: Recreation
44340, predicted: Recreation, actual: Science
44376, predicted: Business, actual: Recreation
44378, predicted: Arts, actual: Recreation
44399, predicted: Home, actual: Recreation
44401, predicted: Computers, actual: Recreation
44407, predicted: Business, actual: Regional
44413, predicted: Regional, actual: Reference
44434, predicted: Computers, actual: Reference
44454, predicted: Society, actual: Reference
44455, predicted: Arts, actual: Reference
44457, predicted: Shopping, actual: Reference
44463, predicted: Reference, actual: Regional
44487, predicted: Computers, actual: Regional
44496, predicted: Business, actual: Regional
44499, predicted: Shopping, actual: Regional
44506, predicted: Society, actual: Regional
44539, predicted: Shopping, actual: Science
44553, predicted: Arts, actual: Science
44556, predicted: Society, actual: Science
44558, predicted: Health, actual: Science
44561, predicted: Business, actual: Science
44583, predicted: Computers, actual: Science
44591, predicted: Home, actual: Science
44598, predicted: Arts, actual: Science
44632, predicted: Computers, actual: Shopping
44807, predicted: Games, actual: Sports
44875, predicted: Society, actual: Adult
44990, predicted: Shopping, actual: Adult
45148, predicted: Business, actual: Adult
45181, predicted: Kids, actual: Adult
45237, predicted: Arts, actual: Adult
45250, predicted: Home, actual: Adult
45362, predicted: Games, actual: Adult
45389, predicted: Society, actual: Adult
45528, predicted: Society, actual: Arts
45605, predicted: Business, actual: Arts
45758, predicted: Health, actual: Arts
45830, predicted: Sports, actual: Arts
45835, predicted: Health, actual: Arts
45836, predicted: Shopping, actual: Arts
45896, predicted: Business, actual: Arts
45902, predicted: Computers, actual: Arts
45987, predicted: Arts, actual: Kids
45998, predicted: Sports, actual: Arts
46032, predicted: Computers, actual: Arts
46071, predicted: Shopping, actual: Arts
46077, predicted: Business, actual: Arts
46101, predicted: Business, actual: Arts
46127, predicted: Shopping, actual: Arts
46171, predicted: Society, actual: Arts
46203, predicted: Adult, actual: Arts
46220, predicted: Sports, actual: Arts
46264, predicted: Business, actual: Arts
46283, predicted: Computers, actual: Arts
46300, predicted: Sports, actual: Arts
46313, predicted: Shopping, actual: Arts
46352, predicted: Business, actual: Arts
46358, predicted: Games, actual: Arts
46361, predicted: Computers, actual: Arts
46376, predicted: Computers, actual: Arts
46407, predicted: Computers, actual: Arts
46419, predicted: Adult, actual: Arts
46451, predicted: Computers, actual: Arts
46462, predicted: Computers, actual: Arts
46506, predicted: Business, actual: Arts
46544, predicted: Arts, actual: Games
46620, predicted: Sports, actual: Arts
46640, predicted: Health, actual: Arts
46691, predicted: Kids, actual: Arts
46715, predicted: Society, actual: Arts
46754, predicted: Sports, actual: Arts
46765, predicted: Business, actual: Arts
46774, predicted: Society, actual: Arts
46778, predicted: Computers, actual: Arts
46781, predicted: Society, actual: Arts
46796, predicted: Society, actual: Arts
46815, predicted: Sports, actual: Arts
46839, predicted: Games, actual: Arts
46849, predicted: Games, actual: Arts
46894, predicted: Sports, actual: Arts
46934, predicted: Society, actual: Arts
46962, predicted: Computers, actual: Arts
46979, predicted: Society, actual: Arts
46988, predicted: Society, actual: Arts
47055, predicted: Society, actual: Arts
47077, predicted: Sports, actual: Arts
47100, predicted: Arts, actual: Shopping
47129, predicted: Shopping, actual: Arts
47160, predicted: Health, actual: Arts
47223, predicted: Society, actual: Arts
47297, predicted: Computers, actual: Arts
47319, predicted: Society, actual: Arts
47361, predicted: Sports, actual: Arts
47367, predicted: Business, actual: Arts
47375, predicted: Computers, actual: Arts
47385, predicted: Computers, actual: Arts
47392, predicted: Sports, actual: Arts
47397, predicted: Business, actual: Arts
47420, predicted: Computers, actual: Arts
47435, predicted: Business, actual: Arts
47441, predicted: Computers, actual: Arts
47451, predicted: Games, actual: Arts
47490, predicted: Kids, actual: Recreation
47502, predicted: Computers, actual: Arts
47517, predicted: Society, actual: Arts
47521, predicted: Business, actual: Arts
47523, predicted: Sports, actual: Arts
47529, predicted: Business, actual: Arts
47530, predicted: Society, actual: Arts
47559, predicted: Sports, actual: Arts
47575, predicted: Business, actual: Arts
47592, predicted: Computers, actual: Arts
47686, predicted: Business, actual: Society
47722, predicted: Shopping, actual: Business
47731, predicted: Computers, actual: Business
47743, predicted: Shopping, actual: Business
47747, predicted: Science, actual: Business
47762, predicted: Shopping, actual: Business
47770, predicted: Recreation, actual: Business
47784, predicted: Shopping, actual: Business
47786, predicted: Computers, actual: Business
47810, predicted: Shopping, actual: Business
47818, predicted: Society, actual: Business
47825, predicted: Recreation, actual: Business
47891, predicted: Society, actual: Business
47893, predicted: Business, actual: Shopping
47912, predicted: Health, actual: Business
47963, predicted: Health, actual: Business
47965, predicted: Health, actual: Business
47984, predicted: Shopping, actual: Business
48050, predicted: Business, actual: Society
48081, predicted: Health, actual: Business
48120, predicted: Arts, actual: Business
48128, predicted: Shopping, actual: Business
48246, predicted: Shopping, actual: Business
48248, predicted: Shopping, actual: Business
49773, predicted: Shopping, actual: Business
47293, predicted: Computers, actual: Business
47459, predicted: Computers, actual: Business
49552, predicted: Regional, actual: Business
49568, predicted: Shopping, actual: Business
49574, predicted: Computers, actual: Business
49587, predicted: Business, actual: Recreation
49600, predicted: Arts, actual: Business
52669, predicted: Shopping, actual: Business
52729, predicted: Arts, actual: Business
52733, predicted: Computers, actual: Business
58235, predicted: Science, actual: Business
45211, predicted: Society, actual: Business
45409, predicted: Business, actual: Computers
45627, predicted: Shopping, actual: Business
46320, predicted: Society, actual: Business
46425, predicted: Shopping, actual: Business
46510, predicted: Shopping, actual: Business
46887, predicted: Computers, actual: Business
46930, predicted: Society, actual: Business
47118, predicted: Computers, actual: Business
48208, predicted: Society, actual: Business
48223, predicted: Arts, actual: Business
48234, predicted: Computers, actual: Business
48366, predicted: Arts, actual: Business
48432, predicted: Computers, actual: Business
48440, predicted: Society, actual: Computers
48445, predicted: Business, actual: Computers
48473, predicted: Society, actual: Computers
48506, predicted: Sports, actual: Computers
48519, predicted: Health, actual: Computers
48557, predicted: Society, actual: Computers
48589, predicted: Shopping, actual: Computers
48597, predicted: Adult, actual: Computers
48630, predicted: Business, actual: Computers
48657, predicted: Business, actual: Computers
48724, predicted: Business, actual: Computers
48731, predicted: Business, actual: Computers
48753, predicted: Business, actual: Computers
48772, predicted: Computers, actual: Science
48789, predicted: Business, actual: Computers
48871, predicted: Society, actual: Computers
48877, predicted: Business, actual: Computers
48915, predicted: Shopping, actual: Computers
49021, predicted: Business, actual: Computers
49022, predicted: Business, actual: Computers
49024, predicted: Society, actual: Computers
49037, predicted: Society, actual: Computers
49043, predicted: Arts, actual: Computers
49075, predicted: Recreation, actual: Computers
49091, predicted: Computers, actual: Recreation
49101, predicted: Business, actual: Recreation
49128, predicted: Business, actual: Recreation
49151, predicted: Sports, actual: Recreation
49213, predicted: Shopping, actual: Recreation
49229, predicted: Adult, actual: Recreation
49230, predicted: Computers, actual: Reference
49253, predicted: Society, actual: Reference
49260, predicted: Business, actual: Reference
49271, predicted: Business, actual: Regional
49346, predicted: Games, actual: Regional
49362, predicted: Arts, actual: Science
49390, predicted: Business, actual: Computers
49408, predicted: Computers, actual: Games
49422, predicted: Science, actual: Health
49435, predicted: Adult, actual: Health
49444, predicted: Arts, actual: Health
49515, predicted: Arts, actual: Health
49545, predicted: Recreation, actual: Health
51555, predicted: Business, actual: Health
51694, predicted: Science, actual: Society
51699, predicted: Science, actual: Home
51743, predicted: Health, actual: Home
51795, predicted: Arts, actual: Home
51828, predicted: Arts, actual: Home
51829, predicted: Recreation, actual: Home
51923, predicted: Arts, actual: Home
51947, predicted: Kids, actual: Home
52060, predicted: Arts, actual: Kids
52069, predicted: Health, actual: Kids
52125, predicted: Recreation, actual: Kids
52147, predicted: Business, actual: Kids
52169, predicted: Kids, actual: Recreation
52280, predicted: Recreation, actual: Kids
52334, predicted: Recreation, actual: Kids
52337, predicted: Arts, actual: Sports
52374, predicted: Sports, actual: Kids
52427, predicted: Society, actual: News
52449, predicted: Business, actual: News
52534, predicted: Recreation, actual: News
52564, predicted: Reference, actual: News
52580, predicted: Arts, actual: Business
52650, predicted: Arts, actual: News
58230, predicted: Business, actual: News
4053, predicted: Sports, actual: News
37132, predicted: News, actual: Society
37290, predicted: Health, actual: News
37301, predicted: Arts, actual: News
37517, predicted: Regional, actual: News
37919, predicted: Business, actual: News
37932, predicted: Recreation, actual: News
38254, predicted: Science, actual: News
38330, predicted: Sports, actual: News
38405, predicted: Recreation, actual: News
38436, predicted: Reference, actual: News
38447, predicted: Recreation, actual: News
38466, predicted: Science, actual: News
38496, predicted: Recreation, actual: News
38674, predicted: Business, actual: News
38803, predicted: Computers, actual: News
38868, predicted: Recreation, actual: News
39604, predicted: Games, actual: News
39729, predicted: Home, actual: Recreation
39869, predicted: Arts, actual: Recreation
