49773, predicted: Business, actual: Business
47293, predicted: Arts, actual: Arts
47365, predicted: Arts, actual: Arts
47549, predicted: Arts, actual: Arts
49564, predicted: Business, actual: Business
49600, predicted: Business, actual: Business
49619, predicted: Business, actual: Business
49701, predicted: Business, actual: Business
49714, predicted: Business, actual: Business
49740, predicted: Business, actual: Business
52683, predicted: Computers, actual: Computers
52720, predicted: Computers, actual: Computers
52729, predicted: Computers, actual: Computers
52749, predicted: Computers, actual: Computers
52837, predicted: Computers, actual: Computers
52846, predicted: Games, actual: Games
52858, predicted: Games, actual: Games
45832, predicted: Arts, actual: Arts
46041, predicted: Arts, actual: Arts
46425, predicted: Arts, actual: Arts
46510, predicted: Arts, actual: Arts
46567, predicted: Arts, actual: Arts
46887, predicted: Arts, actual: Arts
47118, predicted: Arts, actual: Arts
48141, predicted: Business, actual: Business
48187, predicted: Business, actual: Business
48223, predicted: Business, actual: Business
48282, predicted: Business, actual: Business
48323, predicted: Business, actual: Business
48366, predicted: Business, actual: Business
48368, predicted: Business, actual: Business
48432, predicted: Business, actual: Business
48440, predicted: Business, actual: Business
48445, predicted: Business, actual: Business
48473, predicted: Business, actual: Business
48506, predicted: Business, actual: Business
48536, predicted: Business, actual: Business
48589, predicted: Business, actual: Business
48664, predicted: Business, actual: Business
48717, predicted: Business, actual: Business
48724, predicted: Business, actual: Business
48731, predicted: Business, actual: Business
48753, predicted: Business, actual: Business
48772, predicted: Business, actual: Business
48789, predicted: Business, actual: Business
48851, predicted: Business, actual: Business
48872, predicted: Business, actual: Business
48877, predicted: Business, actual: Business
48960, predicted: Business, actual: Business
49024, predicted: Business, actual: Business
49075, predicted: Business, actual: Business
49101, predicted: Business, actual: Business
49151, predicted: Business, actual: Business
49213, predicted: Business, actual: Business
49229, predicted: Business, actual: Business
49230, predicted: Business, actual: Business
49253, predicted: Business, actual: Business
49346, predicted: Business, actual: Business
49358, predicted: Business, actual: Business
49362, predicted: Business, actual: Business
49390, predicted: Business, actual: Business
49408, predicted: Business, actual: Business
49444, predicted: Business, actual: Business
49490, predicted: Business, actual: Business
49515, predicted: Business, actual: Business
51647, predicted: Computers, actual: Computers
51795, predicted: Computers, actual: Computers
51828, predicted: Computers, actual: Computers
51947, predicted: Computers, actual: Computers
51959, predicted: Computers, actual: Computers
52060, predicted: Computers, actual: Computers
52125, predicted: Computers, actual: Computers
52147, predicted: Computers, actual: Computers
52169, predicted: Computers, actual: Computers
52337, predicted: Computers, actual: Computers
52405, predicted: Computers, actual: Computers
52427, predicted: Computers, actual: Computers
52449, predicted: Computers, actual: Computers
52534, predicted: Computers, actual: Computers
52580, predicted: Computers, actual: Computers
52593, predicted: Computers, actual: Computers
58230, predicted: Science, actual: Science
37132, predicted: Society, actual: Society
37290, predicted: Society, actual: Society
37517, predicted: Society, actual: Society
37932, predicted: Society, actual: Society
38254, predicted: Sports, actual: Sports
38304, predicted: Sports, actual: Sports
38330, predicted: Sports, actual: Sports
38405, predicted: Sports, actual: Sports
38436, predicted: Sports, actual: Sports
38447, predicted: Sports, actual: Sports
38466, predicted: Sports, actual: Sports
38496, predicted: Sports, actual: Sports
38868, predicted: Sports, actual: Sports
39085, predicted: Sports, actual: Sports
39604, predicted: Sports, actual: Sports
39869, predicted: Sports, actual: Sports
40260, predicted: Sports, actual: Sports
40426, predicted: Sports, actual: Sports
40429, predicted: Sports, actual: Sports
40625, predicted: Sports, actual: Sports
40724, predicted: Sports, actual: Sports
40732, predicted: Sports, actual: Sports
40765, predicted: Sports, actual: Sports
40784, predicted: Sports, actual: Sports
40792, predicted: Sports, actual: Sports
41219, predicted: Sports, actual: Sports
41486, predicted: Sports, actual: Sports
41642, predicted: Sports, actual: Sports
42022, predicted: Sports, actual: Sports
42036, predicted: Sports, actual: Sports
42195, predicted: Sports, actual: Sports
42553, predicted: Sports, actual: Sports
42583, predicted: Sports, actual: Sports
42657, predicted: Sports, actual: Sports
42707, predicted: Sports, actual: Sports
42760, predicted: Sports, actual: Sports
42869, predicted: Sports, actual: Sports
42914, predicted: Sports, actual: Sports
43122, predicted: Sports, actual: Sports
43142, predicted: Sports, actual: Sports
43170, predicted: Sports, actual: Sports
43354, predicted: Sports, actual: Sports
43935, predicted: Games, actual: Games
44085, predicted: Health, actual: Health
44171, predicted: Home, actual: Home
44273, predicted: News, actual: News
44315, predicted: Recreation, actual: Recreation
44441, predicted: Reference, actual: Reference
44539, predicted: Science, actual: Science
44561, predicted: Science, actual: Science
44725, predicted: Society, actual: Society
44784, predicted: Sports, actual: Sports
44785, predicted: Sports, actual: Sports
44789, predicted: Sports, actual: Sports
44835, predicted: Sports, actual: Sports
44875, predicted: Adult, actual: Adult
44990, predicted: Adult, actual: Adult
45081, predicted: Adult, actual: Adult
45237, predicted: Adult, actual: Adult
45250, predicted: Adult, actual: Adult
45362, predicted: Adult, actual: Adult
45389, predicted: Adult, actual: Adult
45403, predicted: Adult, actual: Adult
45559, predicted: Arts, actual: Arts
45647, predicted: Arts, actual: Arts
45668, predicted: Arts, actual: Arts
45680, predicted: Arts, actual: Arts
45830, predicted: Arts, actual: Arts
45884, predicted: Arts, actual: Arts
45892, predicted: Arts, actual: Arts
45899, predicted: Arts, actual: Arts
45926, predicted: Arts, actual: Arts
45935, predicted: Arts, actual: Arts
46100, predicted: Arts, actual: Arts
46203, predicted: Arts, actual: Arts
46220, predicted: Arts, actual: Arts
46264, predicted: Arts, actual: Arts
46327, predicted: Arts, actual: Arts
46358, predicted: Arts, actual: Arts
46361, predicted: Arts, actual: Arts
46451, predicted: Arts, actual: Arts
46529, predicted: Arts, actual: Arts
46566, predicted: Arts, actual: Arts
46590, predicted: Arts, actual: Arts
46640, predicted: Arts, actual: Arts
46764, predicted: Arts, actual: Arts
46774, predicted: Arts, actual: Arts
46796, predicted: Arts, actual: Arts
46877, predicted: Arts, actual: Arts
46898, predicted: Arts, actual: Arts
47035, predicted: Arts, actual: Arts
47042, predicted: Arts, actual: Arts
47092, predicted: Arts, actual: Arts
47093, predicted: Arts, actual: Arts
47129, predicted: Arts, actual: Arts
47213, predicted: Arts, actual: Arts
47248, predicted: Arts, actual: Arts
47297, predicted: Arts, actual: Arts
47318, predicted: Arts, actual: Arts
47367, predicted: Arts, actual: Arts
47446, predicted: Arts, actual: Arts
47472, predicted: Arts, actual: Arts
47474, predicted: Arts, actual: Arts
47506, predicted: Arts, actual: Arts
47517, predicted: Arts, actual: Arts
47523, predicted: Arts, actual: Arts
47529, predicted: Arts, actual: Arts
47530, predicted: Arts, actual: Arts
47618, predicted: Business, actual: Business
47619, predicted: Business, actual: Business
47664, predicted: Business, actual: Business
47678, predicted: Business, actual: Business
47810, predicted: Business, actual: Business
47818, predicted: Business, actual: Business
47890, predicted: Business, actual: Business
47891, predicted: Business, actual: Business
47906, predicted: Business, actual: Business
47912, predicted: Business, actual: Business
47914, predicted: Business, actual: Business
47916, predicted: Business, actual: Business
48029, predicted: Business, actual: Business
48037, predicted: Business, actual: Business
48057, predicted: Business, actual: Business
48081, predicted: Business, actual: Business
48108, predicted: Business, actual: Business
48111, predicted: Business, actual: Business
48199, predicted: Business, actual: Business
48246, predicted: Business, actual: Business
48278, predicted: Business, actual: Business
48354, predicted: Business, actual: Business
48359, predicted: Business, actual: Business
48747, predicted: Business, actual: Business
48814, predicted: Business, actual: Business
48840, predicted: Business, actual: Business
48891, predicted: Business, actual: Business
48934, predicted: Business, actual: Business
48949, predicted: Business, actual: Business
49046, predicted: Business, actual: Business
49068, predicted: Business, actual: Business
49078, predicted: Business, actual: Business
49117, predicted: Business, actual: Business
49211, predicted: Business, actual: Business
49223, predicted: Business, actual: Business
49526, predicted: Business, actual: Business
49713, predicted: Business, actual: Business
49727, predicted: Business, actual: Business
49734, predicted: Business, actual: Business
49751, predicted: Business, actual: Business
49806, predicted: Business, actual: Business
50038, predicted: Business, actual: Business
50064, predicted: Business, actual: Business
50109, predicted: Business, actual: Business
50183, predicted: Business, actual: Business
50196, predicted: Business, actual: Business
50317, predicted: Business, actual: Business
50358, predicted: Business, actual: Business
50359, predicted: Business, actual: Business
50407, predicted: Business, actual: Business
50662, predicted: Computers, actual: Computers
50694, predicted: Computers, actual: Computers
50696, predicted: Computers, actual: Computers
50801, predicted: Computers, actual: Computers
50829, predicted: Computers, actual: Computers
50863, predicted: Computers, actual: Computers
50902, predicted: Computers, actual: Computers
51014, predicted: Computers, actual: Computers
51016, predicted: Computers, actual: Computers
51046, predicted: Computers, actual: Computers
51193, predicted: Computers, actual: Computers
51246, predicted: Computers, actual: Computers
51251, predicted: Computers, actual: Computers
51295, predicted: Computers, actual: Computers
51305, predicted: Computers, actual: Computers
51383, predicted: Computers, actual: Computers
56998, predicted: Recreation, actual: Recreation
57111, predicted: Recreation, actual: Recreation
58058, predicted: Regional, actual: Regional
58183, predicted: Science, actual: Science
3553, predicted: Arts, actual: Arts
17076, predicted: Health, actual: Health
17338, predicted: Health, actual: Health
17611, predicted: Health, actual: Health
17651, predicted: Health, actual: Health
17897, predicted: Health, actual: Health
17957, predicted: Health, actual: Health
19145, predicted: Kids, actual: Kids
19820, predicted: Kids, actual: Kids
20096, predicted: News, actual: News
20521, predicted: Business, actual: Business
20770, predicted: News, actual: News
21289, predicted: News, actual: News
21314, predicted: News, actual: News
21362, predicted: News, actual: News
21376, predicted: News, actual: News
21406, predicted: News, actual: News
21505, predicted: Recreation, actual: Recreation
21520, predicted: Recreation, actual: Recreation
21553, predicted: Recreation, actual: Recreation
21573, predicted: Recreation, actual: Recreation
21574, predicted: Recreation, actual: Recreation
21578, predicted: Recreation, actual: Recreation
21743, predicted: Recreation, actual: Recreation
21776, predicted: Recreation, actual: Recreation
21794, predicted: Recreation, actual: Recreation
21801, predicted: Recreation, actual: Recreation
21807, predicted: Recreation, actual: Recreation
21836, predicted: Recreation, actual: Recreation
21897, predicted: Recreation, actual: Recreation
21932, predicted: Recreation, actual: Recreation
21960, predicted: Recreation, actual: Recreation
21972, predicted: Recreation, actual: Recreation
21992, predicted: Recreation, actual: Recreation
22001, predicted: Recreation, actual: Recreation
22011, predicted: Recreation, actual: Recreation
22035, predicted: Recreation, actual: Recreation
22046, predicted: Recreation, actual: Recreation
22057, predicted: Recreation, actual: Recreation
22076, predicted: Recreation, actual: Recreation
22147, predicted: Recreation, actual: Recreation
22155, predicted: Recreation, actual: Recreation
22182, predicted: Recreation, actual: Recreation
22215, predicted: Recreation, actual: Recreation
22270, predicted: Recreation, actual: Recreation
22297, predicted: Recreation, actual: Recreation
22309, predicted: Recreation, actual: Recreation
22339, predicted: Recreation, actual: Recreation
22340, predicted: Recreation, actual: Recreation
22350, predicted: Recreation, actual: Recreation
22353, predicted: Recreation, actual: Recreation
22392, predicted: Recreation, actual: Recreation
22394, predicted: Recreation, actual: Recreation
22420, predicted: Recreation, actual: Recreation
22429, predicted: Recreation, actual: Recreation
22497, predicted: Recreation, actual: Recreation
22529, predicted: Recreation, actual: Recreation
22539, predicted: Recreation, actual: Recreation
22578, predicted: Recreation, actual: Recreation
22589, predicted: Recreation, actual: Recreation
22594, predicted: Recreation, actual: Recreation
22630, predicted: Recreation, actual: Recreation
22759, predicted: Recreation, actual: Recreation
22827, predicted: Recreation, actual: Recreation
22836, predicted: Recreation, actual: Recreation
22899, predicted: Recreation, actual: Recreation
22908, predicted: Recreation, actual: Recreation
23011, predicted: Recreation, actual: Recreation
23061, predicted: Recreation, actual: Recreation
23287, predicted: Recreation, actual: Recreation
23332, predicted: Recreation, actual: Recreation
23333, predicted: Recreation, actual: Recreation
23415, predicted: Recreation, actual: Recreation
23419, predicted: Recreation, actual: Recreation
23471, predicted: Recreation, actual: Recreation
23583, predicted: Recreation, actual: Recreation
23689, predicted: Recreation, actual: Recreation
23737, predicted: Recreation, actual: Recreation
23822, predicted: Recreation, actual: Recreation
23831, predicted: Recreation, actual: Recreation
23856, predicted: Recreation, actual: Recreation
23903, predicted: Recreation, actual: Recreation
24023, predicted: Recreation, actual: Recreation
24024, predicted: Recreation, actual: Recreation
24054, predicted: Recreation, actual: Recreation
24068, predicted: Recreation, actual: Recreation
24149, predicted: Recreation, actual: Recreation
24208, predicted: Recreation, actual: Recreation
24232, predicted: Recreation, actual: Recreation
24233, predicted: Recreation, actual: Recreation
24385, predicted: Recreation, actual: Recreation
