52866, predicted: Games, actual: Games
47293, predicted: Arts, actual: Arts
47365, predicted: Arts, actual: Arts
47459, predicted: Arts, actual: Arts
47549, predicted: Arts, actual: Arts
49564, predicted: Business, actual: Business
49587, predicted: Business, actual: Business
49600, predicted: Business, actual: Business
49619, predicted: Business, actual: Business
49697, predicted: Business, actual: Business
49701, predicted: Business, actual: Business
49714, predicted: Business, actual: Business
49740, predicted: Business, actual: Business
52720, predicted: Computers, actual: Computers
52749, predicted: Computers, actual: Computers
52830, predicted: Computers, actual: Computers
52846, predicted: Games, actual: Games
52858, predicted: Games, actual: Games
45276, predicted: Adult, actual: Adult
45409, predicted: Adult, actual: Adult
45541, predicted: Arts, actual: Arts
45832, predicted: Arts, actual: Arts
45949, predicted: Arts, actual: Arts
45951, predicted: Arts, actual: Arts
46041, predicted: Arts, actual: Arts
46320, predicted: Arts, actual: Arts
46567, predicted: Arts, actual: Arts
46887, predicted: Arts, actual: Arts
47118, predicted: Arts, actual: Arts
48141, predicted: Business, actual: Business
48208, predicted: Business, actual: Business
48282, predicted: Business, actual: Business
48323, predicted: Business, actual: Business
48366, predicted: Business, actual: Business
48368, predicted: Business, actual: Business
48506, predicted: Business, actual: Business
48507, predicted: Business, actual: Business
48532, predicted: Business, actual: Business
48566, predicted: Business, actual: Business
48585, predicted: Business, actual: Business
48589, predicted: Business, actual: Business
48597, predicted: Business, actual: Business
48613, predicted: Business, actual: Business
48630, predicted: Business, actual: Business
48664, predicted: Business, actual: Business
48717, predicted: Business, actual: Business
48724, predicted: Business, actual: Business
48772, predicted: Business, actual: Business
48792, predicted: Business, actual: Business
48851, predicted: Business, actual: Business
48877, predicted: Business, actual: Business
48915, predicted: Business, actual: Business
49024, predicted: Business, actual: Business
49043, predicted: Business, actual: Business
49075, predicted: Business, actual: Business
49091, predicted: Business, actual: Business
49128, predicted: Business, actual: Business
49213, predicted: Business, actual: Business
49230, predicted: Business, actual: Business
49390, predicted: Business, actual: Business
49408, predicted: Business, actual: Business
49435, predicted: Business, actual: Business
49444, predicted: Business, actual: Business
49515, predicted: Business, actual: Business
49545, predicted: Business, actual: Business
51699, predicted: Computers, actual: Computers
51795, predicted: Computers, actual: Computers
51947, predicted: Computers, actual: Computers
52125, predicted: Computers, actual: Computers
52280, predicted: Computers, actual: Computers
52414, predicted: Computers, actual: Computers
52427, predicted: Computers, actual: Computers
52534, predicted: Computers, actual: Computers
52580, predicted: Computers, actual: Computers
37301, predicted: Society, actual: Society
37517, predicted: Society, actual: Society
38254, predicted: Sports, actual: Sports
38330, predicted: Sports, actual: Sports
38405, predicted: Sports, actual: Sports
38447, predicted: Sports, actual: Sports
38466, predicted: Sports, actual: Sports
38496, predicted: Sports, actual: Sports
38803, predicted: Sports, actual: Sports
38868, predicted: Sports, actual: Sports
39085, predicted: Sports, actual: Sports
39604, predicted: Sports, actual: Sports
40260, predicted: Sports, actual: Sports
40426, predicted: Sports, actual: Sports
40429, predicted: Sports, actual: Sports
40625, predicted: Sports, actual: Sports
40724, predicted: Sports, actual: Sports
40732, predicted: Sports, actual: Sports
40765, predicted: Sports, actual: Sports
40784, predicted: Sports, actual: Sports
40792, predicted: Sports, actual: Sports
41250, predicted: Sports, actual: Sports
41642, predicted: Sports, actual: Sports
41643, predicted: Sports, actual: Sports
42022, predicted: Sports, actual: Sports
42036, predicted: Sports, actual: Sports
42553, predicted: Sports, actual: Sports
42583, predicted: Sports, actual: Sports
42657, predicted: Sports, actual: Sports
42707, predicted: Sports, actual: Sports
42760, predicted: Sports, actual: Sports
42811, predicted: Sports, actual: Sports
42869, predicted: Sports, actual: Sports
42914, predicted: Sports, actual: Sports
42998, predicted: Sports, actual: Sports
43142, predicted: Sports, actual: Sports
43170, predicted: Sports, actual: Sports
43412, predicted: Adult, actual: Adult
43729, predicted: Business, actual: Business
43780, predicted: Computers, actual: Computers
44085, predicted: Health, actual: Health
44171, predicted: Home, actual: Home
44273, predicted: News, actual: News
44290, predicted: Business, actual: Business
44297, predicted: News, actual: News
44315, predicted: Recreation, actual: Recreation
44316, predicted: Recreation, actual: Recreation
44339, predicted: Recreation, actual: Recreation
44378, predicted: Recreation, actual: Recreation
44399, predicted: Recreation, actual: Recreation
44441, predicted: Reference, actual: Reference
44455, predicted: Reference, actual: Reference
44463, predicted: Regional, actual: Regional
44639, predicted: Shopping, actual: Shopping
44785, predicted: Sports, actual: Sports
44789, predicted: Sports, actual: Sports
44875, predicted: Adult, actual: Adult
44990, predicted: Adult, actual: Adult
45351, predicted: Adult, actual: Adult
45362, predicted: Adult, actual: Adult
45389, predicted: Adult, actual: Adult
45413, predicted: Adult, actual: Adult
45497, predicted: Arts, actual: Arts
45528, predicted: Arts, actual: Arts
45548, predicted: Arts, actual: Arts
45559, predicted: Arts, actual: Arts
45615, predicted: Arts, actual: Arts
45647, predicted: Arts, actual: Arts
45668, predicted: Arts, actual: Arts
45680, predicted: Arts, actual: Arts
45704, predicted: Arts, actual: Arts
45758, predicted: Arts, actual: Arts
45830, predicted: Arts, actual: Arts
45884, predicted: Arts, actual: Arts
45892, predicted: Arts, actual: Arts
45896, predicted: Arts, actual: Arts
45899, predicted: Arts, actual: Arts
45902, predicted: Arts, actual: Arts
45935, predicted: Arts, actual: Arts
45998, predicted: Arts, actual: Arts
46057, predicted: Arts, actual: Arts
46073, predicted: Arts, actual: Arts
46077, predicted: Arts, actual: Arts
46127, predicted: Arts, actual: Arts
46171, predicted: Arts, actual: Arts
46217, predicted: Arts, actual: Arts
46264, predicted: Arts, actual: Arts
46319, predicted: Arts, actual: Arts
46327, predicted: Arts, actual: Arts
46352, predicted: Arts, actual: Arts
46376, predicted: Arts, actual: Arts
46419, predicted: Arts, actual: Arts
46423, predicted: Arts, actual: Arts
46506, predicted: Arts, actual: Arts
46549, predicted: Arts, actual: Arts
46566, predicted: Arts, actual: Arts
46590, predicted: Arts, actual: Arts
46640, predicted: Arts, actual: Arts
46684, predicted: Arts, actual: Arts
46754, predicted: Arts, actual: Arts
46774, predicted: Arts, actual: Arts
46796, predicted: Arts, actual: Arts
46911, predicted: Arts, actual: Arts
46918, predicted: Arts, actual: Arts
46924, predicted: Arts, actual: Arts
46979, predicted: Arts, actual: Arts
46988, predicted: Arts, actual: Arts
47047, predicted: Arts, actual: Arts
47055, predicted: Arts, actual: Arts
47077, predicted: Arts, actual: Arts
47092, predicted: Arts, actual: Arts
47093, predicted: Arts, actual: Arts
47129, predicted: Arts, actual: Arts
47213, predicted: Arts, actual: Arts
47223, predicted: Arts, actual: Arts
47248, predicted: Arts, actual: Arts
47263, predicted: Arts, actual: Arts
47297, predicted: Arts, actual: Arts
47318, predicted: Arts, actual: Arts
47319, predicted: Arts, actual: Arts
47392, predicted: Arts, actual: Arts
47407, predicted: Arts, actual: Arts
47446, predicted: Arts, actual: Arts
47472, predicted: Arts, actual: Arts
47506, predicted: Arts, actual: Arts
47521, predicted: Arts, actual: Arts
47529, predicted: Arts, actual: Arts
47559, predicted: Arts, actual: Arts
47619, predicted: Business, actual: Business
47636, predicted: Business, actual: Business
47722, predicted: Business, actual: Business
47747, predicted: Business, actual: Business
47770, predicted: Business, actual: Business
47784, predicted: Business, actual: Business
47786, predicted: Business, actual: Business
47825, predicted: Business, actual: Business
47860, predicted: Business, actual: Business
47890, predicted: Business, actual: Business
47893, predicted: Shopping, actual: Shopping
47916, predicted: Business, actual: Business
47963, predicted: Business, actual: Business
47965, predicted: Business, actual: Business
47984, predicted: Business, actual: Business
48037, predicted: Business, actual: Business
48194, predicted: Business, actual: Business
48246, predicted: Business, actual: Business
48278, predicted: Business, actual: Business
48354, predicted: Business, actual: Business
48365, predicted: Business, actual: Business
48458, predicted: Business, actual: Business
48520, predicted: Business, actual: Business
48524, predicted: Business, actual: Business
48540, predicted: Business, actual: Business
48626, predicted: Business, actual: Business
48674, predicted: Recreation, actual: Recreation
48747, predicted: Business, actual: Business
48934, predicted: Business, actual: Business
48988, predicted: Business, actual: Business
49068, predicted: Business, actual: Business
49071, predicted: Business, actual: Business
49117, predicted: Business, actual: Business
49183, predicted: Business, actual: Business
49235, predicted: Business, actual: Business
49586, predicted: Computers, actual: Computers
49691, predicted: Business, actual: Business
49727, predicted: Business, actual: Business
49751, predicted: Business, actual: Business
49806, predicted: Business, actual: Business
49914, predicted: Business, actual: Business
50038, predicted: Business, actual: Business
50095, predicted: Business, actual: Business
50317, predicted: Business, actual: Business
50358, predicted: Business, actual: Business
50359, predicted: Business, actual: Business
50407, predicted: Business, actual: Business
50433, predicted: Business, actual: Business
50435, predicted: Business, actual: Business
50694, predicted: Computers, actual: Computers
50696, predicted: Computers, actual: Computers
50801, predicted: Computers, actual: Computers
50975, predicted: Computers, actual: Computers
51016, predicted: Computers, actual: Computers
51143, predicted: Computers, actual: Computers
51186, predicted: Computers, actual: Computers
51251, predicted: Computers, actual: Computers
51329, predicted: Computers, actual: Computers
57178, predicted: Recreation, actual: Recreation
57920, predicted: Reference, actual: Reference
58183, predicted: Science, actual: Science
3553, predicted: Arts, actual: Arts
15551, predicted: Health, actual: Health
17611, predicted: Health, actual: Health
17651, predicted: Health, actual: Health
18129, predicted: Home, actual: Home
18589, predicted: Home, actual: Home
19145, predicted: Kids, actual: Kids
19409, predicted: Recreation, actual: Recreation
19526, predicted: Kids, actual: Kids
19574, predicted: Kids, actual: Kids
19576, predicted: Kids, actual: Kids
20045, predicted: News, actual: News
20140, predicted: News, actual: News
20818, predicted: News, actual: News
21081, predicted: News, actual: News
21376, predicted: News, actual: News
21440, predicted: News, actual: News
21450, predicted: News, actual: News
21451, predicted: News, actual: News
21520, predicted: Recreation, actual: Recreation
21552, predicted: Recreation, actual: Recreation
21573, predicted: Recreation, actual: Recreation
21690, predicted: Recreation, actual: Recreation
21701, predicted: Recreation, actual: Recreation
21804, predicted: Recreation, actual: Recreation
21807, predicted: Recreation, actual: Recreation
21834, predicted: Recreation, actual: Recreation
21859, predicted: Recreation, actual: Recreation
21871, predicted: Recreation, actual: Recreation
21897, predicted: Recreation, actual: Recreation
21908, predicted: Recreation, actual: Recreation
21913, predicted: Recreation, actual: Recreation
21932, predicted: Recreation, actual: Recreation
21972, predicted: Recreation, actual: Recreation
21991, predicted: Recreation, actual: Recreation
21992, predicted: Recreation, actual: Recreation
22001, predicted: Recreation, actual: Recreation
22057, predicted: Recreation, actual: Recreation
22079, predicted: Recreation, actual: Recreation
22155, predicted: Recreation, actual: Recreation
22182, predicted: Recreation, actual: Recreation
22215, predicted: Recreation, actual: Recreation
22230, predicted: Recreation, actual: Recreation
22297, predicted: Recreation, actual: Recreation
22309, predicted: Recreation, actual: Recreation
22336, predicted: Recreation, actual: Recreation
22340, predicted: Recreation, actual: Recreation
22353, predicted: Recreation, actual: Recreation
22392, predicted: Recreation, actual: Recreation
22420, predicted: Recreation, actual: Recreation
22497, predicted: Recreation, actual: Recreation
22589, predicted: Recreation, actual: Recreation
22698, predicted: Recreation, actual: Recreation
22702, predicted: Recreation, actual: Recreation
22729, predicted: Recreation, actual: Recreation
22745, predicted: Recreation, actual: Recreation
22797, predicted: Recreation, actual: Recreation
23002, predicted: Recreation, actual: Recreation
23074, predicted: Recreation, actual: Recreation
23107, predicted: Recreation, actual: Recreation
23196, predicted: Recreation, actual: Recreation
23250, predicted: Recreation, actual: Recreation
23287, predicted: Recreation, actual: Recreation
23332, predicted: Recreation, actual: Recreation
23373, predicted: Recreation, actual: Recreation
23419, predicted: Recreation, actual: Recreation
23471, predicted: Recreation, actual: Recreation
23518, predicted: Recreation, actual: Recreation
23810, predicted: Recreation, actual: Recreation
23822, predicted: Recreation, actual: Recreation
23831, predicted: Recreation, actual: Recreation
23834, predicted: Recreation, actual: Recreation
23856, predicted: Recreation, actual: Recreation
23953, predicted: Recreation, actual: Recreation
23995, predicted: Recreation, actual: Recreation
24001, predicted: Recreation, actual: Recreation
24019, predicted: Recreation, actual: Recreation
24029, predicted: Recreation, actual: Recreation
24054, predicted: Recreation, actual: Recreation
24105, predicted: Recreation, actual: Recreation
24113, predicted: Recreation, actual: Recreation
24180, predicted: Recreation, actual: Recreation
24203, predicted: Recreation, actual: Recreation
24232, predicted: Recreation, actual: Recreation
24233, predicted: Recreation, actual: Recreation
24286, predicted: Recreation, actual: Recreation
24290, predicted: Recreation, actual: Recreation
