49773, predicted: Arts, actual: Business
47238, predicted: Shopping, actual: Arts
47311, predicted: Sports, actual: Arts
49552, predicted: Recreation, actual: Business
49559, predicted: Arts, actual: Business
49568, predicted: Adult, actual: Business
49574, predicted: Arts, actual: Business
49667, predicted: Shopping, actual: Business
52669, predicted: Arts, actual: Computers
52683, predicted: Recreation, actual: Computers
52707, predicted: Business, actual: Computers
52729, predicted: Recreation, actual: Computers
52733, predicted: Arts, actual: Computers
52780, predicted: Health, actual: Computers
52789, predicted: Business, actual: Computers
52837, predicted: Adult, actual: Computers
45211, predicted: Business, actual: Adult
45627, predicted: Recreation, actual: Arts
46221, predicted: Sports, actual: Arts
46425, predicted: Business, actual: Arts
46510, predicted: Society, actual: Arts
46930, predicted: Business, actual: Arts
48168, predicted: Science, actual: Business
48187, predicted: Adult, actual: Business
48223, predicted: Games, actual: Business
48234, predicted: Business, actual: Sports
48252, predicted: Adult, actual: Business
48267, predicted: Shopping, actual: Business
48330, predicted: Arts, actual: Business
48432, predicted: Arts, actual: Business
48440, predicted: Sports, actual: Business
48445, predicted: Arts, actual: Business
48473, predicted: Arts, actual: Business
48519, predicted: Arts, actual: Business
48522, predicted: Business, actual: Regional
48536, predicted: Arts, actual: Business
48557, predicted: Computers, actual: Business
48591, predicted: Business, actual: Shopping
48657, predicted: Sports, actual: Business
48731, predicted: Home, actual: Business
48753, predicted: Arts, actual: Business
48789, predicted: Adult, actual: Business
48871, predicted: Health, actual: Business
48872, predicted: Computers, actual: Business
48960, predicted: Shopping, actual: Business
49006, predicted: Computers, actual: Business
49021, predicted: Business, actual: Science
49022, predicted: Adult, actual: Business
49037, predicted: Society, actual: Business
49101, predicted: Shopping, actual: Business
49151, predicted: Adult, actual: Business
49229, predicted: Arts, actual: Business
49253, predicted: Society, actual: Business
49260, predicted: Recreation, actual: Business
49271, predicted: Shopping, actual: Business
49346, predicted: Society, actual: Business
49358, predicted: Computers, actual: Business
49362, predicted: Arts, actual: Business
49368, predicted: Sports, actual: Business
49422, predicted: Arts, actual: Business
49490, predicted: Arts, actual: Business
51543, predicted: Business, actual: Computers
51555, predicted: Business, actual: Computers
51590, predicted: Arts, actual: Computers
51614, predicted: Recreation, actual: Computers
51647, predicted: Business, actual: Computers
51665, predicted: Arts, actual: Computers
51691, predicted: Business, actual: Computers
51694, predicted: Sports, actual: Computers
51743, predicted: Arts, actual: Computers
51828, predicted: Arts, actual: Computers
51829, predicted: Arts, actual: Computers
51923, predicted: Arts, actual: Computers
51959, predicted: Arts, actual: Computers
52060, predicted: Recreation, actual: Computers
52147, predicted: Society, actual: Computers
52169, predicted: Arts, actual: Computers
52250, predicted: Arts, actual: Computers
52334, predicted: Arts, actual: Computers
52337, predicted: Business, actual: Computers
52374, predicted: Recreation, actual: Computers
52405, predicted: Arts, actual: Computers
52449, predicted: Adult, actual: Computers
52457, predicted: Recreation, actual: Computers
52514, predicted: Arts, actual: Computers
52564, predicted: Business, actual: Computers
52593, predicted: Adult, actual: Computers
52650, predicted: Recreation, actual: Computers
58230, predicted: Business, actual: Science
4053, predicted: News, actual: Arts
37132, predicted: Business, actual: Society
37290, predicted: Recreation, actual: Society
37350, predicted: Adult, actual: Society
37919, predicted: News, actual: Society
37932, predicted: Health, actual: Society
38304, predicted: Games, actual: Sports
38436, predicted: Shopping, actual: Sports
38674, predicted: Adult, actual: Sports
39656, predicted: Business, actual: Sports
39729, predicted: Arts, actual: Sports
39869, predicted: Arts, actual: Sports
40472, predicted: Business, actual: Sports
41219, predicted: Business, actual: Sports
41486, predicted: Arts, actual: Sports
42195, predicted: Shopping, actual: Sports
43122, predicted: Business, actual: Sports
43354, predicted: Arts, actual: Sports
43400, predicted: Reference, actual: Regional
43533, predicted: Shopping, actual: Adult
43681, predicted: News, actual: Business
43692, predicted: Arts, actual: Business
43901, predicted: News, actual: Kids
43909, predicted: Recreation, actual: Games
43935, predicted: Arts, actual: Games
44033, predicted: Society, actual: Health
44037, predicted: Computers, actual: Health
44105, predicted: News, actual: Regional
44106, predicted: Arts, actual: Home
44131, predicted: Adult, actual: Home
44136, predicted: Business, actual: Society
44138, predicted: Shopping, actual: Home
44144, predicted: Arts, actual: Business
44145, predicted: Recreation, actual: Home
44146, predicted: Business, actual: Home
44161, predicted: Health, actual: Regional
44173, predicted: Arts, actual: Home
44175, predicted: News, actual: Home
44184, predicted: Arts, actual: Home
44190, predicted: Sports, actual: Kids
44203, predicted: Reference, actual: Kids
44209, predicted: Sports, actual: Kids
44244, predicted: Adult, actual: Kids
44250, predicted: Games, actual: News
44302, predicted: News, actual: Regional
44318, predicted: Business, actual: Regional
44327, predicted: Recreation, actual: Regional
44331, predicted: News, actual: Recreation
44340, predicted: Arts, actual: Science
44376, predicted: Business, actual: Recreation
44401, predicted: Sports, actual: Recreation
44407, predicted: Business, actual: Regional
44413, predicted: Health, actual: Reference
44434, predicted: Regional, actual: Reference
44454, predicted: Health, actual: Reference
44457, predicted: Shopping, actual: Reference
44487, predicted: Computers, actual: Regional
44496, predicted: Business, actual: Regional
44499, predicted: Shopping, actual: Regional
44506, predicted: Computers, actual: Regional
44539, predicted: Business, actual: Science
44553, predicted: Home, actual: Science
44556, predicted: Sports, actual: Science
44558, predicted: Recreation, actual: Science
44561, predicted: Business, actual: Science
44583, predicted: Sports, actual: Science
44591, predicted: Arts, actual: Science
44598, predicted: Society, actual: Science
44632, predicted: Arts, actual: Shopping
44681, predicted: Computers, actual: Society
44725, predicted: Business, actual: Society
44784, predicted: Business, actual: Sports
44807, predicted: Recreation, actual: Sports
44835, predicted: Business, actual: Sports
44838, predicted: Business, actual: Sports
44934, predicted: Society, actual: Adult
45081, predicted: Arts, actual: Adult
45148, predicted: Society, actual: Adult
45181, predicted: Society, actual: Adult
45219, predicted: Arts, actual: Adult
45222, predicted: Shopping, actual: Adult
45237, predicted: Arts, actual: Adult
45250, predicted: Arts, actual: Adult
45403, predicted: Arts, actual: Adult
45595, predicted: Recreation, actual: Arts
45605, predicted: Computers, actual: Arts
45835, predicted: Health, actual: Arts
45836, predicted: Health, actual: Arts
45926, predicted: Computers, actual: Arts
45977, predicted: Adult, actual: Arts
45987, predicted: Arts, actual: Kids
46007, predicted: Society, actual: Arts
46032, predicted: Adult, actual: Arts
46071, predicted: Shopping, actual: Arts
46100, predicted: Society, actual: Arts
46101, predicted: Sports, actual: Arts
46191, predicted: Society, actual: Arts
46203, predicted: Recreation, actual: Arts
46220, predicted: News, actual: Arts
46283, predicted: Recreation, actual: Arts
46300, predicted: Sports, actual: Arts
46313, predicted: Business, actual: Arts
46358, predicted: Business, actual: Arts
46361, predicted: Adult, actual: Arts
46407, predicted: Recreation, actual: Arts
46439, predicted: Business, actual: Arts
46451, predicted: Society, actual: Arts
46462, predicted: Computers, actual: Arts
46463, predicted: Business, actual: Arts
46500, predicted: Society, actual: Arts
46507, predicted: Society, actual: Arts
46529, predicted: Adult, actual: Arts
46544, predicted: Arts, actual: Games
46587, predicted: Business, actual: Arts
46620, predicted: Society, actual: Arts
46691, predicted: Kids, actual: Arts
46715, predicted: Society, actual: Arts
46725, predicted: Computers, actual: Arts
46745, predicted: Computers, actual: Arts
46764, predicted: Recreation, actual: Arts
46765, predicted: Computers, actual: Arts
46778, predicted: Recreation, actual: Arts
46781, predicted: Recreation, actual: Arts
46790, predicted: Society, actual: Arts
46815, predicted: Business, actual: Arts
46820, predicted: News, actual: Arts
46839, predicted: Sports, actual: Arts
46847, predicted: Sports, actual: Arts
46849, predicted: Sports, actual: Arts
46877, predicted: Sports, actual: Arts
46894, predicted: Sports, actual: Arts
46898, predicted: Society, actual: Arts
46934, predicted: Games, actual: Arts
46962, predicted: Games, actual: Arts
46964, predicted: Reference, actual: Arts
47035, predicted: Recreation, actual: Arts
47042, predicted: Computers, actual: Arts
47100, predicted: Business, actual: Shopping
47160, predicted: Computers, actual: Arts
47361, predicted: Business, actual: Arts
47367, predicted: Recreation, actual: Arts
47375, predicted: Computers, actual: Arts
47385, predicted: Business, actual: Arts
47420, predicted: Shopping, actual: Arts
47435, predicted: Computers, actual: Arts
47441, predicted: Adult, actual: Arts
47451, predicted: Computers, actual: Arts
47474, predicted: Adult, actual: Arts
47476, predicted: Recreation, actual: Arts
47490, predicted: News, actual: Recreation
47502, predicted: Society, actual: Arts
47507, predicted: Recreation, actual: Arts
47517, predicted: Business, actual: Arts
47523, predicted: Sports, actual: Arts
47530, predicted: Adult, actual: Arts
47575, predicted: Health, actual: Arts
47592, predicted: Society, actual: Arts
47618, predicted: Computers, actual: Business
47664, predicted: Arts, actual: Business
47678, predicted: Sports, actual: Business
47686, predicted: Computers, actual: Society
47725, predicted: Arts, actual: Business
47731, predicted: Health, actual: Business
47743, predicted: Recreation, actual: Business
47749, predicted: Recreation, actual: Business
47762, predicted: Shopping, actual: Business
47773, predicted: Games, actual: Business
47780, predicted: Reference, actual: Business
47802, predicted: Recreation, actual: Business
47810, predicted: Arts, actual: Business
47818, predicted: Arts, actual: Business
47861, predicted: Arts, actual: Business
47885, predicted: Adult, actual: Business
47891, predicted: Adult, actual: Business
47906, predicted: Computers, actual: Business
47912, predicted: Science, actual: Business
47914, predicted: Sports, actual: Business
48029, predicted: Arts, actual: Business
48050, predicted: Business, actual: Society
48057, predicted: Society, actual: Business
