52866, predicted: Computers, actual: Games
47365, predicted: Sports, actual: Arts
47459, predicted: Shopping, actual: Arts
49564, predicted: Computers, actual: Business
49667, predicted: Arts, actual: Business
52669, predicted: Business, actual: Computers
52707, predicted: Games, actual: Computers
52733, predicted: Shopping, actual: Computers
52749, predicted: Shopping, actual: Computers
52780, predicted: Recreation, actual: Computers
52789, predicted: Business, actual: Computers
52846, predicted: Business, actual: Games
45211, predicted: Shopping, actual: Adult
45276, predicted: Business, actual: Adult
45541, predicted: Business, actual: Arts
45627, predicted: Business, actual: Arts
45832, predicted: Shopping, actual: Arts
45951, predicted: Society, actual: Arts
46041, predicted: Computers, actual: Arts
46221, predicted: Shopping, actual: Arts
46320, predicted: Shopping, actual: Arts
46425, predicted: Business, actual: Arts
46510, predicted: Society, actual: Arts
46930, predicted: Society, actual: Arts
48208, predicted: Arts, actual: Business
48223, predicted: Shopping, actual: Business
48234, predicted: Business, actual: Sports
48252, predicted: Shopping, actual: Business
48267, predicted: Shopping, actual: Business
48282, predicted: Shopping, actual: Business
48366, predicted: Computers, actual: Business
48368, predicted: Computers, actual: Business
48440, predicted: Society, actual: Business
48507, predicted: Society, actual: Business
48522, predicted: Business, actual: Regional
48589, predicted: Computers, actual: Business
48591, predicted: Business, actual: Shopping
48613, predicted: Computers, actual: Business
48731, predicted: Society, actual: Business
48871, predicted: Health, actual: Business
48915, predicted: Society, actual: Business
49006, predicted: Shopping, actual: Business
49021, predicted: Business, actual: Science
49101, predicted: Shopping, actual: Business
49128, predicted: Shopping, actual: Business
49213, predicted: Computers, actual: Business
49253, predicted: Recreation, actual: Business
49260, predicted: Society, actual: Business
49358, predicted: Computers, actual: Business
49435, predicted: Home, actual: Business
49515, predicted: Computers, actual: Business
49545, predicted: Computers, actual: Business
51543, predicted: Shopping, actual: Computers
51555, predicted: Shopping, actual: Computers
51590, predicted: Arts, actual: Computers
51665, predicted: Recreation, actual: Computers
51691, predicted: Business, actual: Computers
51694, predicted: Business, actual: Computers
51828, predicted: Shopping, actual: Computers
51923, predicted: Business, actual: Computers
52334, predicted: Society, actual: Computers
52337, predicted: Business, actual: Computers
52374, predicted: Business, actual: Computers
52414, predicted: Business, actual: Computers
52449, predicted: Business, actual: Computers
52514, predicted: Sports, actual: Computers
58230, predicted: Business, actual: Science
37132, predicted: Sports, actual: Society
37350, predicted: Computers, actual: Society
37932, predicted: Computers, actual: Society
39656, predicted: Society, actual: Sports
39869, predicted: Business, actual: Sports
40429, predicted: Shopping, actual: Sports
41250, predicted: Shopping, actual: Sports
42036, predicted: Shopping, actual: Sports
43412, predicted: Society, actual: Adult
43681, predicted: News, actual: Business
43692, predicted: News, actual: Business
43729, predicted: Computers, actual: Business
43780, predicted: Regional, actual: Computers
43901, predicted: Games, actual: Kids
43935, predicted: Recreation, actual: Games
44037, predicted: Society, actual: Health
44105, predicted: Home, actual: Regional
44106, predicted: Computers, actual: Home
44131, predicted: Shopping, actual: Home
44136, predicted: Home, actual: Society
44138, predicted: Business, actual: Home
44144, predicted: Home, actual: Business
44145, predicted: Society, actual: Home
44146, predicted: Shopping, actual: Home
44161, predicted: Home, actual: Regional
44171, predicted: Business, actual: Home
44173, predicted: Shopping, actual: Home
44175, predicted: Arts, actual: Home
44184, predicted: Computers, actual: Home
44190, predicted: Sports, actual: Kids
44203, predicted: Computers, actual: Kids
44209, predicted: Business, actual: Kids
44244, predicted: Regional, actual: Kids
44250, predicted: Arts, actual: News
44290, predicted: News, actual: Business
44297, predicted: Business, actual: News
44302, predicted: News, actual: Regional
44315, predicted: Society, actual: Recreation
44316, predicted: Regional, actual: Recreation
44318, predicted: Recreation, actual: Regional
44327, predicted: Recreation, actual: Regional
44331, predicted: Regional, actual: Recreation
44339, predicted: Society, actual: Recreation
44340, predicted: Recreation, actual: Science
44376, predicted: Business, actual: Recreation
44378, predicted: Sports, actual: Recreation
44401, predicted: Computers, actual: Recreation
44407, predicted: Business, actual: Regional
44413, predicted: Regional, actual: Reference
44434, predicted: Sports, actual: Reference
44454, predicted: Health, actual: Reference
44455, predicted: Arts, actual: Reference
44457, predicted: Shopping, actual: Reference
44463, predicted: Reference, actual: Regional
44496, predicted: Society, actual: Regional
44499, predicted: Shopping, actual: Regional
44506, predicted: Society, actual: Regional
44539, predicted: Computers, actual: Science
44553, predicted: Society, actual: Science
44556, predicted: Business, actual: Science
44558, predicted: Arts, actual: Science
44561, predicted: Business, actual: Science
44583, predicted: Computers, actual: Science
44591, predicted: Computers, actual: Science
44598, predicted: Arts, actual: Science
44632, predicted: Business, actual: Shopping
44838, predicted: Business, actual: Sports
44875, predicted: Computers, actual: Adult
44934, predicted: Sports, actual: Adult
44990, predicted: Sports, actual: Adult
45181, predicted: Shopping, actual: Adult
45219, predicted: Recreation, actual: Adult
45237, predicted: Sports, actual: Adult
45250, predicted: Business, actual: Adult
45351, predicted: Society, actual: Adult
45362, predicted: Society, actual: Adult
45389, predicted: Business, actual: Adult
45403, predicted: Society, actual: Adult
45413, predicted: Health, actual: Adult
45548, predicted: Business, actual: Arts
45595, predicted: Business, actual: Arts
45605, predicted: Society, actual: Arts
45615, predicted: Society, actual: Arts
45758, predicted: Health, actual: Arts
45830, predicted: Business, actual: Arts
45835, predicted: Health, actual: Arts
45836, predicted: Sports, actual: Arts
45896, predicted: Computers, actual: Arts
45899, predicted: Society, actual: Arts
45902, predicted: Computers, actual: Arts
45987, predicted: Arts, actual: Kids
45998, predicted: Shopping, actual: Arts
46007, predicted: Shopping, actual: Arts
46032, predicted: Computers, actual: Arts
46057, predicted: Society, actual: Arts
46071, predicted: Shopping, actual: Arts
46077, predicted: Shopping, actual: Arts
46127, predicted: Shopping, actual: Arts
46264, predicted: Society, actual: Arts
46283, predicted: Computers, actual: Arts
46300, predicted: Recreation, actual: Arts
46313, predicted: Shopping, actual: Arts
