2, predicted: ['Computers', 'Recreation', 'Kids'], actual: Adult
14340, predicted: ['Recreation', 'Computers', 'Arts'], actual: Games
20486, predicted: ['Arts', 'Shopping', 'Sports'], actual: News
20490, predicted: ['Shopping', 'Arts', 'Reference'], actual: News
22539, predicted: ['Business', 'Science', 'Shopping'], actual: Recreation
22542, predicted: ['Business', 'Computers', 'Health'], actual: Recreation
19117, predicted: ['Computers', 'Recreation', 'Games'], actual: Kids
20498, predicted: ['Business', 'Computers', 'Recreation'], actual: News
56261, predicted: ['Business', 'Arts', 'Society'], actual: Kids
40990, predicted: ['Business', 'Arts', 'Recreation'], actual: Sports
26655, predicted: ['Business', 'Computers', 'Arts'], actual: Regional
2084, predicted: ['Computers', 'Business', 'Recreation'], actual: Adult
26661, predicted: ['Business', 'Recreation', 'Sports'], actual: Regional
34858, predicted: ['Adult', 'Computers', 'Shopping'], actual: Society
26667, predicted: ['Shopping', 'Recreation', 'Arts'], actual: Regional
18476, predicted: ['Kids', 'Games', 'Arts'], actual: Home
34867, predicted: ['Reference', 'Regional', 'Sports'], actual: Society
55789, predicted: ['Health', 'Science', 'Society'], actual: Home
14393, predicted: ['Recreation', 'Business', 'Shopping'], actual: Games
14396, predicted: ['Business', 'Computers', 'Recreation'], actual: Games
10, predicted: ['Arts', 'Recreation', 'Business'], actual: Adult
26692, predicted: ['Society', 'Arts', 'News'], actual: Regional
19811, predicted: ['Recreation', 'Regional', 'Business'], actual: Kids
4180, predicted: ['Business', 'Computers', 'Recreation'], actual: Arts
85, predicted: ['Arts', 'Recreation', 'Reference'], actual: Adult
18521, predicted: ['Arts', 'Society', 'Recreation'], actual: Home
45148, predicted: ['Shopping', 'Arts', 'Sports'], actual: Adult
26298, predicted: ['Arts', 'Business', 'Society'], actual: Reference
28766, predicted: ['Health', 'Computers', 'Recreation'], actual: Science
26722, predicted: ['Health', 'Arts', 'Business'], actual: Regional
53349, predicted: ['Society', 'Kids', 'Computers'], actual: Games
16488, predicted: ['Business', 'Science', 'Regional'], actual: Health
26729, predicted: ['Science', 'News', 'Health'], actual: Regional
18, predicted: ['Business', 'Recreation', 'Kids'], actual: Arts
2749, predicted: ['Games', 'Kids', 'Sports'], actual: Arts
4208, predicted: ['Business', 'Health', 'Recreation'], actual: Games
53361, predicted: ['Home', 'Recreation', 'Shopping'], actual: Games
28786, predicted: ['Health', 'Computers', 'Recreation'], actual: Science
10233, predicted: ['Reference', 'News', 'Computers'], actual: Business
32884, predicted: ['Business', 'Computers', 'Sports'], actual: Shopping
21349, predicted: ['Arts', 'Business', 'Regional'], actual: News
55416, predicted: ['Business', 'Society', 'Computers'], actual: Health
55419, predicted: ['Business', 'Computers', 'Arts'], actual: Health
49276, predicted: ['Society', 'Arts', 'Computers'], actual: Business
45181, predicted: ['Arts', 'Shopping', 'Business'], actual: Adult
26750, predicted: ['Business', 'Arts', 'Home'], actual: Regional
55423, predicted: ['Kids', 'Business', 'Society'], actual: Health
45627, predicted: ['Business', 'Shopping', 'Science'], actual: Arts
26754, predicted: ['Science', 'Computers', 'Home'], actual: Regional
