49773, predicted: Games, actual: Business
47238, predicted: Shopping, actual: Arts
47311, predicted: Business, actual: Arts
47549, predicted: Home, actual: Arts
49552, predicted: Recreation, actual: Business
49559, predicted: Sports, actual: Business
49564, predicted: Society, actual: Business
49574, predicted: Arts, actual: Business
49587, predicted: Shopping, actual: Business
49600, predicted: Sports, actual: Business
49667, predicted: Shopping, actual: Business
49697, predicted: Society, actual: Business
49714, predicted: Games, actual: Business
52669, predicted: Business, actual: Computers
52683, predicted: Arts, actual: Computers
52707, predicted: Recreation, actual: Computers
52729, predicted: Sports, actual: Computers
52749, predicted: Society, actual: Computers
52780, predicted: Recreation, actual: Computers
52789, predicted: Games, actual: Computers
52830, predicted: Recreation, actual: Computers
52837, predicted: Arts, actual: Computers
52858, predicted: Adult, actual: Games
45211, predicted: Arts, actual: Adult
45276, predicted: Computers, actual: Adult
45541, predicted: Business, actual: Arts
45627, predicted: Society, actual: Arts
45832, predicted: Sports, actual: Arts
46221, predicted: Society, actual: Arts
46425, predicted: Business, actual: Arts
46930, predicted: Business, actual: Arts
47118, predicted: Business, actual: Arts
48168, predicted: Arts, actual: Business
48187, predicted: Reference, actual: Business
48208, predicted: Recreation, actual: Business
48234, predicted: Business, actual: Sports
48252, predicted: Shopping, actual: Business
48267, predicted: Shopping, actual: Business
48366, predicted: Sports, actual: Business
48432, predicted: Computers, actual: Business
48440, predicted: Sports, actual: Business
48473, predicted: Computers, actual: Business
48522, predicted: Business, actual: Regional
48536, predicted: Arts, actual: Business
48557, predicted: Computers, actual: Business
48585, predicted: Computers, actual: Business
48591, predicted: Business, actual: Shopping
48597, predicted: Computers, actual: Business
48613, predicted: Computers, actual: Business
48630, predicted: Computers, actual: Business
48657, predicted: Society, actual: Business
48664, predicted: Health, actual: Business
48724, predicted: Society, actual: Business
48753, predicted: Arts, actual: Business
48872, predicted: Society, actual: Business
48877, predicted: Society, actual: Business
48960, predicted: Arts, actual: Business
49006, predicted: Shopping, actual: Business
49021, predicted: Business, actual: Science
49022, predicted: Computers, actual: Business
49037, predicted: Society, actual: Business
49101, predicted: Arts, actual: Business
49128, predicted: Shopping, actual: Business
49151, predicted: Arts, actual: Business
49213, predicted: Society, actual: Business
49230, predicted: Computers, actual: Business
49253, predicted: Shopping, actual: Business
49260, predicted: Recreation, actual: Business
49271, predicted: Shopping, actual: Business
49346, predicted: Health, actual: Business
49358, predicted: Computers, actual: Business
49362, predicted: Adult, actual: Business
49422, predicted: Arts, actual: Business
49545, predicted: Reference, actual: Business
51543, predicted: Business, actual: Computers
51555, predicted: Shopping, actual: Computers
51614, predicted: Recreation, actual: Computers
51665, predicted: Arts, actual: Computers
51691, predicted: Business, actual: Computers
51699, predicted: Business, actual: Computers
51828, predicted: Adult, actual: Computers
51829, predicted: Sports, actual: Computers
51923, predicted: Arts, actual: Computers
51947, predicted: Sports, actual: Computers
52060, predicted: Society, actual: Computers
52147, predicted: Kids, actual: Computers
52169, predicted: Society, actual: Computers
52250, predicted: Adult, actual: Computers
52280, predicted: Shopping, actual: Computers
52337, predicted: Health, actual: Computers
52374, predicted: Business, actual: Computers
52405, predicted: Business, actual: Computers
52414, predicted: Business, actual: Computers
52449, predicted: Adult, actual: Computers
52514, predicted: Arts, actual: Computers
52564, predicted: Business, actual: Computers
58230, predicted: Business, actual: Science
4053, predicted: News, actual: Arts
37132, predicted: Arts, actual: Society
37290, predicted: Sports, actual: Society
37350, predicted: News, actual: Society
37919, predicted: Arts, actual: Society
37932, predicted: Health, actual: Society
38254, predicted: Shopping, actual: Sports
38304, predicted: Recreation, actual: Sports
38436, predicted: Shopping, actual: Sports
38674, predicted: Recreation, actual: Sports
39656, predicted: Arts, actual: Sports
39729, predicted: Recreation, actual: Sports
39869, predicted: Shopping, actual: Sports
40472, predicted: Business, actual: Sports
40732, predicted: Shopping, actual: Sports
41219, predicted: Business, actual: Sports
41250, predicted: Society, actual: Sports
41486, predicted: Arts, actual: Sports
41642, predicted: Recreation, actual: Sports
42195, predicted: Shopping, actual: Sports
42998, predicted: Society, actual: Sports
43122, predicted: Shopping, actual: Sports
43354, predicted: Arts, actual: Sports
43400, predicted: Business, actual: Regional
43533, predicted: Shopping, actual: Adult
43681, predicted: Society, actual: Business
43729, predicted: Computers, actual: Business
43780, predicted: Business, actual: Computers
43901, predicted: Regional, actual: Kids
43909, predicted: Sports, actual: Games
44033, predicted: Shopping, actual: Health
44037, predicted: Sports, actual: Health
44105, predicted: Business, actual: Regional
44106, predicted: Arts, actual: Home
44131, predicted: Society, actual: Home
44136, predicted: Sports, actual: Society
44138, predicted: Shopping, actual: Home
44145, predicted: Business, actual: Home
44161, predicted: Health, actual: Regional
44173, predicted: Sports, actual: Home
44175, predicted: Shopping, actual: Home
44184, predicted: Arts, actual: Home
44190, predicted: Sports, actual: Kids
44203, predicted: Health, actual: Kids
44209, predicted: Business, actual: Kids
44244, predicted: News, actual: Kids
44250, predicted: Games, actual: News
44297, predicted: Shopping, actual: News
44302, predicted: News, actual: Regional
44316, predicted: Shopping, actual: Recreation
44318, predicted: Recreation, actual: Regional
44327, predicted: Business, actual: Regional
44331, predicted: Shopping, actual: Recreation
44339, predicted: Society, actual: Recreation
44340, predicted: Society, actual: Science
44376, predicted: Business, actual: Recreation
44399, predicted: Business, actual: Recreation
44401, predicted: Sports, actual: Recreation
44407, predicted: Business, actual: Regional
44413, predicted: Health, actual: Reference
44434, predicted: Computers, actual: Reference
44457, predicted: Business, actual: Reference
44463, predicted: Shopping, actual: Regional
44487, predicted: Adult, actual: Regional
44496, predicted: Business, actual: Regional
44499, predicted: Business, actual: Regional
44506, predicted: Business, actual: Regional
44539, predicted: Business, actual: Science
44553, predicted: Health, actual: Science
44556, predicted: Shopping, actual: Science
44558, predicted: Health, actual: Science
44561, predicted: Arts, actual: Science
44583, predicted: Business, actual: Science
44591, predicted: Arts, actual: Science
44598, predicted: Society, actual: Science
44632, predicted: Business, actual: Shopping
44681, predicted: Arts, actual: Society
44725, predicted: Kids, actual: Society
44784, predicted: Business, actual: Sports
44785, predicted: Business, actual: Sports
44835, predicted: Business, actual: Sports
44875, predicted: Arts, actual: Adult
44934, predicted: Society, actual: Adult
44990, predicted: Arts, actual: Adult
45081, predicted: Arts, actual: Adult
45148, predicted: Shopping, actual: Adult
45181, predicted: Shopping, actual: Adult
45219, predicted: Society, actual: Adult
45222, predicted: Shopping, actual: Adult
45237, predicted: Sports, actual: Adult
45250, predicted: Society, actual: Adult
45351, predicted: Arts, actual: Adult
45362, predicted: Business, actual: Adult
45389, predicted: Recreation, actual: Adult
45403, predicted: Society, actual: Adult
45528, predicted: Society, actual: Arts
45605, predicted: Computers, actual: Arts
45758, predicted: Health, actual: Arts
45830, predicted: Adult, actual: Arts
45835, predicted: Health, actual: Arts
45836, predicted: Health, actual: Arts
45896, predicted: Society, actual: Arts
45899, predicted: Society, actual: Arts
45902, predicted: Computers, actual: Arts
45926, predicted: Society, actual: Arts
45987, predicted: Arts, actual: Kids
45998, predicted: Society, actual: Arts
46032, predicted: Shopping, actual: Arts
46073, predicted: Health, actual: Arts
46077, predicted: Business, actual: Arts
46100, predicted: Sports, actual: Arts
46101, predicted: Shopping, actual: Arts
46127, predicted: Adult, actual: Arts
46203, predicted: Sports, actual: Arts
46220, predicted: Shopping, actual: Arts
46300, predicted: Sports, actual: Arts
46313, predicted: Business, actual: Arts
46352, predicted: Games, actual: Arts
46376, predicted: Computers, actual: Arts
46407, predicted: Society, actual: Arts
46419, predicted: Business, actual: Arts
46439, predicted: Business, actual: Arts
46451, predicted: Adult, actual: Arts
46462, predicted: Adult, actual: Arts
46463, predicted: Society, actual: Arts
46500, predicted: Sports, actual: Arts
46507, predicted: Health, actual: Arts
46529, predicted: Recreation, actual: Arts
46544, predicted: Health, actual: Games
46620, predicted: Society, actual: Arts
46640, predicted: Sports, actual: Arts
46684, predicted: Society, actual: Arts
46691, predicted: Kids, actual: Arts
46715, predicted: Society, actual: Arts
46745, predicted: Society, actual: Arts
46764, predicted: Recreation, actual: Arts
46765, predicted: Business, actual: Arts
46778, predicted: Sports, actual: Arts
46781, predicted: Society, actual: Arts
46790, predicted: Computers, actual: Arts
46815, predicted: Business, actual: Arts
46839, predicted: Games, actual: Arts
46849, predicted: Home, actual: Arts
46877, predicted: Society, actual: Arts
46894, predicted: Business, actual: Arts
46898, predicted: Health, actual: Arts
46911, predicted: Computers, actual: Arts
46918, predicted: Health, actual: Arts
46934, predicted: Society, actual: Arts
46979, predicted: Adult, actual: Arts
47035, predicted: Society, actual: Arts
47077, predicted: Recreation, actual: Arts
47100, predicted: Business, actual: Shopping
47160, predicted: Society, actual: Arts
47213, predicted: Society, actual: Arts
47223, predicted: Sports, actual: Arts
47297, predicted: Computers, actual: Arts
47361, predicted: Society, actual: Arts
47367, predicted: Society, actual: Arts
47375, predicted: Society, actual: Arts
47385, predicted: Business, actual: Arts
47392, predicted: Sports, actual: Arts
47420, predicted: Shopping, actual: Arts
47435, predicted: Society, actual: Arts
47441, predicted: Computers, actual: Arts
47451, predicted: Computers, actual: Arts
47472, predicted: Computers, actual: Arts
47476, predicted: Recreation, actual: Arts
47490, predicted: News, actual: Recreation
47502, predicted: Adult, actual: Arts
47507, predicted: Recreation, actual: Arts
47517, predicted: Adult, actual: Arts
47523, predicted: Sports, actual: Arts
47559, predicted: Sports, actual: Arts
47575, predicted: Health, actual: Arts
47592, predicted: Society, actual: Arts
47619, predicted: Shopping, actual: Business
47636, predicted: Health, actual: Business
47678, predicted: Society, actual: Business
47722, predicted: Shopping, actual: Business
47725, predicted: Health, actual: Business
47731, predicted: Games, actual: Business
47747, predicted: Recreation, actual: Business
47749, predicted: Society, actual: Business
47770, predicted: Sports, actual: Business
47773, predicted: Computers, actual: Business
47780, predicted: Reference, actual: Business
47786, predicted: Arts, actual: Business
47810, predicted: Arts, actual: Business
47818, predicted: Society, actual: Business
47825, predicted: Home, actual: Business
47860, predicted: Society, actual: Business
47861, predicted: Society, actual: Business
47885, predicted: Adult, actual: Business
47906, predicted: Sports, actual: Business
47912, predicted: Society, actual: Business
47914, predicted: Science, actual: Business
47963, predicted: Shopping, actual: Business
48029, predicted: Adult, actual: Business
48050, predicted: Business, actual: Society
48081, predicted: Society, actual: Business
48120, predicted: Arts, actual: Business
48128, predicted: Shopping, actual: Business
48194, predicted: Computers, actual: Business
48199, predicted: Recreation, actual: Business
48248, predicted: Shopping, actual: Business
48278, predicted: Reference, actual: Business
48306, predicted: Kids, actual: Business
48359, predicted: Adult, actual: Business
48504, predicted: Recreation, actual: Business
48520, predicted: Computers, actual: Business
48524, predicted: Adult, actual: Business
48528, predicted: Shopping, actual: Business
48534, predicted: Computers, actual: Business
48540, predicted: Society, actual: Business
48626, predicted: Recreation, actual: Business
48747, predicted: Sports, actual: Business
48814, predicted: Shopping, actual: Business
48880, predicted: Games, actual: Business
48949, predicted: Reference, actual: Business
48997, predicted: Shopping, actual: Business
49046, predicted: Arts, actual: Business
49078, predicted: Recreation, actual: Business
49117, predicted: Computers, actual: Business
49183, predicted: Sports, actual: Business
49211, predicted: Arts, actual: Business
49223, predicted: Shopping, actual: Business
49252, predicted: Adult, actual: Business
49276, predicted: Sports, actual: Business
49526, predicted: Society, actual: Business
49572, predicted: Shopping, actual: Business
49586, predicted: Business, actual: Computers
49643, predicted: Computers, actual: Business
49691, predicted: Arts, actual: Business
49713, predicted: Sports, actual: Business
49846, predicted: Society, actual: Business
49914, predicted: Sports, actual: Business
49951, predicted: Sports, actual: Business
50055, predicted: Adult, actual: Business
50109, predicted: Arts, actual: Business
50183, predicted: Shopping, actual: Business
50317, predicted: Society, actual: Business
50433, predicted: Computers, actual: Business
50435, predicted: Sports, actual: Business
50495, predicted: Health, actual: Business
50604, predicted: Business, actual: Computers
50637, predicted: Business, actual: Computers
50677, predicted: Health, actual: Computers
50680, predicted: Adult, actual: Computers
50778, predicted: Business, actual: Computers
50801, predicted: Shopping, actual: Computers
50818, predicted: Adult, actual: Computers
50829, predicted: Society, actual: Computers
50863, predicted: Business, actual: Computers
50902, predicted: Society, actual: Computers
50922, predicted: Society, actual: Computers
51014, predicted: Sports, actual: Computers
51016, predicted: Business, actual: Computers
51033, predicted: Sports, actual: Computers
51046, predicted: Business, actual: Computers
51065, predicted: Shopping, actual: Computers
51081, predicted: Computers, actual: Science
51090, predicted: Games, actual: Computers
51110, predicted: Business, actual: Computers
51186, predicted: Society, actual: Computers
51251, predicted: Sports, actual: Computers
51295, predicted: Business, actual: Computers
51305, predicted: Recreation, actual: Computers
51358, predicted: Shopping, actual: Computers
51372, predicted: Arts, actual: Computers
51383, predicted: Kids, actual: Computers
56998, predicted: Arts, actual: Recreation
57056, predicted: Sports, actual: Recreation
57087, predicted: Arts, actual: Recreation
57111, predicted: Computers, actual: Recreation
57207, predicted: Games, actual: Recreation
57857, predicted: Computers, actual: Reference
57897, predicted: Health, actual: Reference
57920, predicted: Adult, actual: Reference
58058, predicted: Recreation, actual: Regional
58120, predicted: Business, actual: Regional
58187, predicted: Adult, actual: Science
13413, predicted: Shopping, actual: Computers
14311, predicted: Arts, actual: Games
15551, predicted: Society, actual: Health
15667, predicted: Arts, actual: Health
16961, predicted: Business, actual: Health
17076, predicted: Science, actual: Health
17078, predicted: Society, actual: Health
17254, predicted: Sports, actual: Health
17338, predicted: Games, actual: Health
17611, predicted: Science, actual: Health
17897, predicted: Recreation, actual: Health
17920, predicted: Shopping, actual: Health
17957, predicted: Computers, actual: Health
18011, predicted: Health, actual: Home
18047, predicted: Business, actual: Society
18251, predicted: Society, actual: Home
18521, predicted: Business, actual: Home
18663, predicted: Arts, actual: Home
18721, predicted: Computers, actual: Home
18730, predicted: Recreation, actual: Home
19170, predicted: Arts, actual: Kids
19255, predicted: Health, actual: Kids
19361, predicted: Recreation, actual: Kids
19390, predicted: Health, actual: Kids
19603, predicted: Business, actual: Sports
19668, predicted: Recreation, actual: Kids
19684, predicted: Home, actual: Kids
19820, predicted: Arts, actual: Kids
19987, predicted: Shopping, actual: News
20079, predicted: Shopping, actual: News
20096, predicted: Computers, actual: News
20140, predicted: Science, actual: News
20150, predicted: Business, actual: News
20770, predicted: Society, actual: News
20958, predicted: Business, actual: News
20976, predicted: Business, actual: News
21035, predicted: Reference, actual: Society
21041, predicted: Health, actual: News
21081, predicted: Home, actual: News
21289, predicted: Business, actual: News
21307, predicted: Business, actual: News
21314, predicted: Arts, actual: News
21349, predicted: Arts, actual: News
21362, predicted: Health, actual: News
21379, predicted: Sports, actual: News
21385, predicted: Recreation, actual: News
21386, predicted: Society, actual: News
21402, predicted: Recreation, actual: News
21403, predicted: Science, actual: News
21405, predicted: Arts, actual: News
21406, predicted: Computers, actual: News
21450, predicted: Recreation, actual: News
21461, predicted: Health, actual: News
21480, predicted: Arts, actual: News
21502, predicted: Shopping, actual: Recreation
21505, predicted: Arts, actual: Recreation
21512, predicted: Computers, actual: Recreation
21520, predicted: Society, actual: Recreation
21574, predicted: Arts, actual: Recreation
21578, predicted: Arts, actual: Recreation
21580, predicted: Arts, actual: Recreation
21621, predicted: News, actual: Recreation
21686, predicted: Computers, actual: Recreation
