49773, predicted: ['Business', 'Computers', 'Society'], actual: Business
47238, predicted: ['Arts', 'News', 'Society'], actual: Arts
47293, predicted: ['News', 'Arts', 'Sports'], actual: Arts
47459, predicted: ['Arts', 'Shopping', 'News'], actual: Arts
47549, predicted: ['Arts', 'Society', 'News'], actual: Arts
49552, predicted: ['Shopping', 'Sports', 'Business'], actual: Business
49559, predicted: ['Computers', 'Arts', 'Business'], actual: Business
49568, predicted: ['Business', 'Computers', 'Society'], actual: Business
49574, predicted: ['Business', 'Computers', 'Science'], actual: Business
49587, predicted: ['Shopping', 'Business', 'Computers'], actual: Business
49600, predicted: ['Shopping', 'Business', 'Recreation'], actual: Business
49619, predicted: ['Business', 'Computers', 'Science'], actual: Business
49667, predicted: ['Shopping', 'Business', 'Computers'], actual: Business
49697, predicted: ['Business', 'Computers', 'Society'], actual: Business
49701, predicted: ['Business', 'Computers', 'Society'], actual: Business
49714, predicted: ['Shopping', 'Computers', 'Business'], actual: Business
49740, predicted: ['Business', 'Computers', 'Society'], actual: Business
52669, predicted: ['Shopping', 'Computers', 'Sports'], actual: Computers
52683, predicted: ['Shopping', 'Computers', 'Sports'], actual: Computers
52707, predicted: ['Shopping', 'Computers', 'Sports'], actual: Computers
52720, predicted: ['Shopping', 'Computers', 'Sports'], actual: Computers
52729, predicted: ['Computers', 'Business', 'Sports'], actual: Computers
52733, predicted: ['Computers', 'Sports', 'Shopping'], actual: Computers
52749, predicted: ['Shopping', 'Computers', 'Sports'], actual: Computers
52780, predicted: ['Computers', 'Sports', 'Society'], actual: Computers
52789, predicted: ['Shopping', 'Sports', 'Computers'], actual: Computers
52830, predicted: ['Shopping', 'Sports', 'Computers'], actual: Computers
52837, predicted: ['Sports', 'Shopping', 'Computers'], actual: Computers
52846, predicted: ['Games', 'Shopping', 'Computers'], actual: Games
45409, predicted: ['Adult', 'Shopping', 'Sports'], actual: Adult
45832, predicted: ['Shopping', 'Computers', 'Arts'], actual: Arts
46221, predicted: ['Shopping', 'Sports', 'Arts'], actual: Arts
46320, predicted: ['Arts', 'Shopping', 'Reference'], actual: Arts
46425, predicted: ['Business', 'Arts', 'Society'], actual: Arts
