52866, predicted: ['Shopping', 'Computers', 'Sports'], actual: Games
47311, predicted: ['Computers', 'Business', 'Recreation'], actual: Arts
47365, predicted: ['Sports', 'Business', 'Health'], actual: Arts
49564, predicted: ['Computers', 'Society', 'Science'], actual: Business
52858, predicted: ['Shopping', 'Sports', 'Computers'], actual: Games
45211, predicted: ['Shopping', 'Business', 'Computers'], actual: Adult
45276, predicted: ['Shopping', 'Business', 'Computers'], actual: Adult
45541, predicted: ['Reference', 'Society', 'Business'], actual: Arts
45627, predicted: ['Shopping', 'Computers', 'Society'], actual: Arts
45949, predicted: ['Shopping', 'Society', 'Computers'], actual: Arts
45951, predicted: ['Shopping', 'Society', 'Sports'], actual: Arts
46041, predicted: ['Sports', 'Shopping', 'Business'], actual: Arts
46930, predicted: ['Shopping', 'Computers', 'Sports'], actual: Arts
48208, predicted: ['Sports', 'Recreation', 'Arts'], actual: Business
48234, predicted: ['Business', 'Computers', 'Science'], actual: Sports
48267, predicted: ['Shopping', 'Society', 'Arts'], actual: Business
48522, predicted: ['Business', 'Computers', 'Science'], actual: Regional
49021, predicted: ['Business', 'Shopping', 'Health'], actual: Science
49101, predicted: ['Shopping', 'Sports', 'Computers'], actual: Business
49545, predicted: ['Science', 'Society', 'Health'], actual: Business
51694, predicted: ['Shopping', 'Sports', 'Business'], actual: Computers
58230, predicted: ['Shopping', 'Computers', 'Society'], actual: Science
37132, predicted: ['Shopping', 'Sports', 'Computers'], actual: Society
37290, predicted: ['Shopping', 'Sports', 'Computers'], actual: Society
37350, predicted: ['Arts', 'Computers', 'Recreation'], actual: Society
43400, predicted: ['Society', 'Reference', 'Arts'], actual: Regional
43729, predicted: ['Shopping', 'Sports', 'Computers'], actual: Business
43901, predicted: ['Business', 'Home', 'Arts'], actual: Kids
43909, predicted: ['Sports', 'News', 'Society'], actual: Games
44033, predicted: ['Shopping', 'Society', 'Business'], actual: Health
44105, predicted: ['Health', 'Society', 'Shopping'], actual: Regional
44106, predicted: ['Business', 'Shopping', 'Computers'], actual: Home
44131, predicted: ['Shopping', 'Computers', 'Sports'], actual: Home
44136, predicted: ['Shopping', 'Sports', 'Computers'], actual: Society
44138, predicted: ['Computers', 'Shopping', 'Business'], actual: Home
44145, predicted: ['Business', 'Computers', 'Shopping'], actual: Home
44146, predicted: ['Shopping', 'Business', 'Society'], actual: Home
44161, predicted: ['Health', 'Shopping', 'Home'], actual: Regional
44171, predicted: ['Shopping', 'Business', 'Recreation'], actual: Home
44173, predicted: ['Shopping', 'Business', 'Society'], actual: Home
44175, predicted: ['Shopping', 'Sports', 'Society'], actual: Home
44184, predicted: ['Arts', 'Business', 'News'], actual: Home
44203, predicted: ['Business', 'Health', 'Society'], actual: Kids
44244, predicted: ['Sports', 'Business', 'Recreation'], actual: Kids
44250, predicted: ['Society', 'Sports', 'Arts'], actual: News
44297, predicted: ['Shopping', 'Society', 'Business'], actual: News
44302, predicted: ['News', 'Sports', 'Business'], actual: Regional
44315, predicted: ['Shopping', 'Business', 'Sports'], actual: Recreation
44316, predicted: ['Business', 'Shopping', 'Computers'], actual: Recreation
44318, predicted: ['Shopping', 'Business', 'Society'], actual: Regional
44327, predicted: ['Shopping', 'Computers', 'Sports'], actual: Regional
44339, predicted: ['Science', 'Society', 'Arts'], actual: Recreation
44340, predicted: ['Shopping', 'Business', 'Society'], actual: Science
44376, predicted: ['Business', 'Shopping', 'Health'], actual: Recreation
44378, predicted: ['Shopping', 'Computers', 'Sports'], actual: Recreation
44399, predicted: ['Home', 'Business', 'Shopping'], actual: Recreation
44401, predicted: ['Shopping', 'Computers', 'Sports'], actual: Recreation
44407, predicted: ['Business', 'Recreation', 'Society'], actual: Regional
44434, predicted: ['Recreation', 'Arts', 'Sports'], actual: Reference
44457, predicted: ['Shopping', 'Business', 'Recreation'], actual: Reference
44463, predicted: ['Shopping', 'Computers', 'Society'], actual: Regional
44487, predicted: ['Shopping', 'Computers', 'Sports'], actual: Regional
44496, predicted: ['Business', 'Computers', 'Shopping'], actual: Regional
44499, predicted: ['Shopping', 'Business', 'Society'], actual: Regional
44506, predicted: ['Sports', 'News', 'Society'], actual: Regional
44539, predicted: ['Shopping', 'Computers', 'Sports'], actual: Science
44553, predicted: ['Shopping', 'Business', 'Computers'], actual: Science
44556, predicted: ['Shopping', 'Sports', 'Society'], actual: Science
44558, predicted: ['Society', 'Health', 'Kids'], actual: Science
44583, predicted: ['Business', 'Computers', 'Arts'], actual: Science
44591, predicted: ['Health', 'Society', 'Business'], actual: Science
44598, predicted: ['Society', 'Kids', 'Recreation'], actual: Science
44725, predicted: ['Shopping', 'Computers', 'Sports'], actual: Society
45148, predicted: ['Arts', 'Society', 'Sports'], actual: Adult
45181, predicted: ['Shopping', 'Home', 'Health'], actual: Adult
45237, predicted: ['Shopping', 'Computers', 'Recreation'], actual: Adult
45250, predicted: ['Shopping', 'Society', 'Sports'], actual: Adult
45362, predicted: ['Sports', 'Shopping', 'Recreation'], actual: Adult
45389, predicted: ['Shopping', 'Society', 'Sports'], actual: Adult
45413, predicted: ['Shopping', 'Sports', 'Computers'], actual: Adult
45528, predicted: ['Shopping', 'Computers', 'Sports'], actual: Arts
45595, predicted: ['Shopping', 'Sports', 'Computers'], actual: Arts
45605, predicted: ['Society', 'Computers', 'Shopping'], actual: Arts
45758, predicted: ['Health', 'Business', 'Society'], actual: Arts
45830, predicted: ['Sports', 'Shopping', 'Computers'], actual: Arts
45835, predicted: ['Health', 'Society', 'Business'], actual: Arts
45836, predicted: ['Business', 'News', 'Society'], actual: Arts
45884, predicted: ['Computers', 'Sports', 'Society'], actual: Arts
45892, predicted: ['Computers', 'Sports', 'Society'], actual: Arts
45899, predicted: ['Computers', 'Sports', 'Society'], actual: Arts
45902, predicted: ['Shopping', 'Sports', 'Computers'], actual: Arts
45935, predicted: ['Shopping', 'Computers', 'Sports'], actual: Arts
45987, predicted: ['Shopping', 'Arts', 'Home'], actual: Kids
45998, predicted: ['Shopping', 'Sports', 'Computers'], actual: Arts
46032, predicted: ['Shopping', 'Sports', 'Society'], actual: Arts
46073, predicted: ['Shopping', 'Business', 'Society'], actual: Arts
46077, predicted: ['Shopping', 'Business', 'Society'], actual: Arts
46101, predicted: ['Shopping', 'Business', 'Recreation'], actual: Arts
46127, predicted: ['Sports', 'Shopping', 'Computers'], actual: Arts
46171, predicted: ['Society', 'Shopping', 'Sports'], actual: Arts
46217, predicted: ['Shopping', 'Computers', 'Sports'], actual: Arts
46283, predicted: ['Sports', 'Shopping', 'Computers'], actual: Arts
46300, predicted: ['Shopping', 'Sports', 'Computers'], actual: Arts
46352, predicted: ['Shopping', 'Business', 'Computers'], actual: Arts
46358, predicted: ['Computers', 'Shopping', 'Sports'], actual: Arts
46361, predicted: ['Computers', 'Society', 'Sports'], actual: Arts
46376, predicted: ['Shopping', 'Computers', 'Sports'], actual: Arts
46407, predicted: ['Sports', 'Computers', 'Shopping'], actual: Arts
46419, predicted: ['Shopping', 'Sports', 'Business'], actual: Arts
46423, predicted: ['Shopping', 'Computers', 'Business'], actual: Arts
46439, predicted: ['Shopping', 'Business', 'Sports'], actual: Arts
46462, predicted: ['Computers', 'Sports', 'Business'], actual: Arts
46463, predicted: ['Sports', 'Games', 'Shopping'], actual: Arts
46500, predicted: ['Society', 'Shopping', 'Sports'], actual: Arts
46507, predicted: ['Sports', 'Shopping', 'Business'], actual: Arts
46529, predicted: ['Science', 'Computers', 'Society'], actual: Arts
46544, predicted: ['Computers', 'Science', 'Society'], actual: Games
46587, predicted: ['Shopping', 'Computers', 'Sports'], actual: Arts
46590, predicted: ['Sports', 'Computers', 'Society'], actual: Arts
46684, predicted: ['Shopping', 'Computers', 'Sports'], actual: Arts
46691, predicted: ['Games', 'Sports', 'Shopping'], actual: Arts
46715, predicted: ['Sports', 'Health', 'Society'], actual: Arts
46725, predicted: ['Shopping', 'Sports', 'Society'], actual: Arts
46745, predicted: ['Computers', 'Sports', 'Business'], actual: Arts
46754, predicted: ['Sports', 'News', 'Business'], actual: Arts
46764, predicted: ['Shopping', 'Computers', 'Sports'], actual: Arts
46765, predicted: ['Computers', 'Shopping', 'Business'], actual: Arts
46778, predicted: ['Shopping', 'Sports', 'Computers'], actual: Arts
46815, predicted: ['Sports', 'Shopping', 'Computers'], actual: Arts
46839, predicted: ['Games', 'Shopping', 'Sports'], actual: Arts
46847, predicted: ['Shopping', 'Sports', 'Computers'], actual: Arts
46849, predicted: ['Shopping', 'Computers', 'Sports'], actual: Arts
46877, predicted: ['Sports', 'Society', 'Shopping'], actual: Arts
46894, predicted: ['Shopping', 'Society', 'Sports'], actual: Arts
46911, predicted: ['Sports', 'Recreation', 'Computers'], actual: Arts
46918, predicted: ['Shopping', 'Business', 'Sports'], actual: Arts
46934, predicted: ['Shopping', 'Sports', 'Computers'], actual: Arts
46962, predicted: ['Shopping', 'Computers', 'Society'], actual: Arts
46979, predicted: ['Shopping', 'Sports', 'Computers'], actual: Arts
