ref id,Predicted,Actual
49773,"['Business', 'Shopping', 'Recreation']",Business
47238,"['Arts', 'Sports', 'Business']",Arts
47293,"['Arts', 'News', 'Health']",Arts
47311,"['Society', 'Business', 'Arts']",Arts
47365,"['Arts', 'Business', 'Society']",Arts
47459,"['Arts', 'Computers', 'Games']",Arts
47549,"['Arts', 'Computers', 'News']",Arts
49552,"['Computers', 'Arts', 'Business']",Business
49559,"['Business', 'Kids', 'Society']",Business
49564,"['Society', 'Science', 'Business']",Business
49568,"['Computers', 'Business', 'Society']",Business
49574,"['Computers', 'Business', 'Arts']",Business
49587,"['Health', 'Business', 'Computers']",Business
49600,"['Business', 'Sports', 'Arts']",Business
49619,"['Arts', 'Business', 'Computers']",Business
49667,"['Shopping', 'Business', 'Computers']",Business
49697,"['Business', 'Sports', 'Shopping']",Business
49701,"['Business', 'Shopping', 'Science']",Business
49714,"['Business', 'Arts', 'Kids']",Business
49740,"['Business', 'Science', 'Computers']",Business
52683,"['Computers', 'Business', 'Shopping']",Computers
52707,"['Computers', 'Games', 'Sports']",Computers
52720,"['Computers', 'Shopping', 'Business']",Computers
52729,"['Computers', 'Business', 'Arts']",Computers
52733,"['Computers', 'Society', 'Arts']",Computers
52749,"['Computers', 'Business', 'Shopping']",Computers
52780,"['Business', 'Computers', 'Society']",Computers
52789,"['Business', 'Kids', 'Computers']",Computers
52830,"['Computers', 'Arts', 'Shopping']",Computers
52837,"['Computers', 'Business', 'Shopping']",Computers
52846,"['Games', 'Kids', 'Shopping']",Games
52858,"['Games', 'Kids', 'Arts']",Games
45276,"['Adult', 'Computers', 'Society']",Adult
45409,"['Adult', 'Society', 'Kids']",Adult
45541,"['Arts', 'Society', 'Business']",Arts
45627,"['Business', 'Shopping', 'Arts']",Arts
45832,"['Arts', 'Business', 'Kids']",Arts
45949,"['Arts', 'Society', 'Kids']",Arts
45951,"['Society', 'Arts', 'Kids']",Arts
46041,"['Arts', 'Society', 'Sports']",Arts
46221,"['Arts', 'Business', 'Home']",Arts
46320,"['Arts', 'Reference', 'Shopping']",Arts
46425,"['Business', 'Arts', 'Home']",Arts
46510,"['Arts', 'Society', 'Kids']",Arts
46567,"['Arts', 'Shopping', 'Kids']",Arts
46887,"['Arts', 'Recreation', 'Sports']",Arts
