ref id,Predicted,Actual
52866,"['Shopping', 'Recreation', 'Arts']",Games
49564,"['Society', 'Science', 'Computers']",Business
52669,"['Arts', 'Business', 'Shopping']",Computers
45211,"['Shopping', 'Business', 'Arts']",Adult
45627,"['Business', 'Shopping', 'Science']",Arts
48234,"['Business', 'Computers', 'Shopping']",Sports
48522,"['Business', 'Computers', 'Shopping']",Regional
48731,"['Society', 'Arts', 'Recreation']",Business
49021,"['Business', 'Regional', 'Computers']",Science
49545,"['Science', 'Computers', 'Society']",Business
37132,"['Sports', 'Recreation', 'Regional']",Society
37350,"['Arts', 'Computers', 'Shopping']",Society
43400,"['Society', 'Reference', 'Business']",Regional
44105,"['Home', 'Society', 'Business']",Regional
44106,"['Computers', 'Arts', 'Business']",Home
44131,"['Business', 'Recreation', 'Games']",Home
44138,"['Business', 'Shopping', 'Arts']",Home
44145,"['Business', 'Computers', 'Reference']",Home
44161,"['Home', 'Health', 'Business']",Regional
44173,"['Business', 'Society', 'Arts']",Home
44175,"['Recreation', 'Business', 'Adult']",Home
44190,"['Sports', 'Arts', 'Games']",Kids
44203,"['Regional', 'Society', 'Reference']",Kids
44244,"['News', 'Regional', 'Arts']",Kids
44327,"['Business', 'Arts', 'Recreation']",Regional
44340,"['Home', 'Society', 'Business']",Science
44399,"['Science', 'Home', 'Arts']",Recreation
44401,"['Computers', 'Society', 'Business']",Recreation
44413,"['Health', 'Arts', 'Kids']",Reference
44457,"['Business', 'Society', 'Arts']",Reference
44463,"['Reference', 'Business', 'Computers']",Regional
44496,"['Business', 'Adult', 'Shopping']",Regional
44499,"['Shopping', 'Health', 'Business']",Regional
44506,"['News', 'Arts', 'Recreation']",Regional
44583,"['Computers', 'Arts', 'Business']",Science
44591,"['Arts', 'Business', 'Computers']",Science
44598,"['Society', 'Arts', 'Business']",Science
44632,"['Regional', 'Society', 'Home']",Shopping
45148,"['Arts', 'Sports', 'Shopping']",Adult
45181,"['Arts', 'Shopping', 'Business']",Adult
45595,"['Recreation', 'Shopping', 'Health']",Arts
45758,"['Health', 'Business', 'Shopping']",Arts
45835,"['Health', 'News', 'Kids']",Arts
45987,"['Arts', 'Home', 'Business']",Kids
46127,"['Society', 'Shopping', 'Business']",Arts
46283,"['Computers', 'Sports', 'Science']",Arts
46439,"['Business', 'Recreation', 'Kids']",Arts
46544,"['Arts', 'Kids', 'Sports']",Games
46691,"['Kids', 'Society', 'Sports']",Arts
46745,"['Sports', 'Computers', 'Recreation']",Arts
46765,"['Business', 'Shopping', 'Computers']",Arts
46778,"['Society', 'Business', 'Computers']",Arts
46962,"['Games', 'Society', 'Recreation']",Arts
47100,"['Sports', 'Arts', 'Recreation']",Shopping
47385,"['Computers', 'Business', 'Shopping']",Arts
47420,"['Shopping', 'Business', 'Computers']",Arts
47435,"['Business', 'Computers', 'Recreation']",Arts
47451,"['Computers', 'Kids', 'Business']",Arts
47490,"['Arts', 'Kids', 'Science']",Recreation
47575,"['Health', 'Sports', 'Business']",Arts
47818,"['Health', 'Society', 'Arts']",Business
48528,"['Reference', 'Home', 'Shopping']",Business
49276,"['Society', 'Arts', 'Computers']",Business
49846,"['Computers', 'News', 'Arts']",Business
51033,"['Shopping', 'Sports', 'Recreation']",Computers
57056,"['Society', 'Business', 'Regional']",Recreation
57207,"['Business', 'Health', 'Society']",Recreation
57857,"['Health', 'Computers', 'Shopping']",Reference
58058,"['Arts', 'Business', 'Society']",Regional
58120,"['Science', 'Society', 'Sports']",Regional
58187,"['Shopping', 'Business', 'Society']",Science
13413,"['Shopping', 'Business', 'Recreation']",Computers
14311,"['Computers', 'Arts', 'Science']",Games
15667,"['Arts', 'Society', 'Recreation']",Health
17254,"['Recreation', 'Arts', 'Business']",Health
17920,"['Shopping', 'Recreation', 'Business']",Health
18011,"['Business', 'Arts', 'Recreation']",Home
18047,"['Home', 'Business', 'Science']",Society
18521,"['Arts', 'Society', 'Recreation']",Home
18721,"['Adult', 'Kids', 'Business']",Home
19255,"['Health', 'Science', 'Recreation']",Kids
19390,"['Business', 'Science', 'Society']",Kids
19603,"['Business', 'Kids', 'News']",Sports
21081,"['Arts', 'Recreation', 'Games']",News
21307,"['Regional', 'Business', 'Shopping']",News
21349,"['Arts', 'Business', 'Regional']",News
