49773, predicted: Business, actual: Business
47293, predicted: Arts, actual: Arts
47365, predicted: Arts, actual: Arts
47459, predicted: Arts, actual: Arts
47549, predicted: Arts, actual: Arts
49559, predicted: Business, actual: Business
49600, predicted: Business, actual: Business
49619, predicted: Business, actual: Business
49697, predicted: Business, actual: Business
49701, predicted: Business, actual: Business
49714, predicted: Business, actual: Business
49740, predicted: Business, actual: Business
52683, predicted: Computers, actual: Computers
52707, predicted: Computers, actual: Computers
52720, predicted: Computers, actual: Computers
52729, predicted: Computers, actual: Computers
52733, predicted: Computers, actual: Computers
52749, predicted: Computers, actual: Computers
52780, predicted: Computers, actual: Computers
52830, predicted: Computers, actual: Computers
52837, predicted: Computers, actual: Computers
52846, predicted: Games, actual: Games
45409, predicted: Adult, actual: Adult
45541, predicted: Arts, actual: Arts
45832, predicted: Arts, actual: Arts
46041, predicted: Arts, actual: Arts
46221, predicted: Arts, actual: Arts
46320, predicted: Arts, actual: Arts
46510, predicted: Arts, actual: Arts
46567, predicted: Arts, actual: Arts
46887, predicted: Arts, actual: Arts
46930, predicted: Arts, actual: Arts
47118, predicted: Arts, actual: Arts
48141, predicted: Business, actual: Business
48168, predicted: Business, actual: Business
48187, predicted: Business, actual: Business
48223, predicted: Business, actual: Business
48267, predicted: Business, actual: Business
48323, predicted: Business, actual: Business
48330, predicted: Business, actual: Business
48366, predicted: Business, actual: Business
48368, predicted: Business, actual: Business
48432, predicted: Business, actual: Business
48440, predicted: Business, actual: Business
48473, predicted: Business, actual: Business
48506, predicted: Business, actual: Business
48507, predicted: Business, actual: Business
48519, predicted: Business, actual: Business
48532, predicted: Business, actual: Business
48536, predicted: Business, actual: Business
48557, predicted: Business, actual: Business
48566, predicted: Business, actual: Business
48589, predicted: Business, actual: Business
48591, predicted: Shopping, actual: Shopping
48613, predicted: Business, actual: Business
48630, predicted: Business, actual: Business
48657, predicted: Business, actual: Business
48664, predicted: Business, actual: Business
48717, predicted: Business, actual: Business
48724, predicted: Business, actual: Business
48772, predicted: Business, actual: Business
48789, predicted: Business, actual: Business
48851, predicted: Business, actual: Business
48871, predicted: Business, actual: Business
48872, predicted: Business, actual: Business
48877, predicted: Business, actual: Business
48915, predicted: Business, actual: Business
48960, predicted: Business, actual: Business
49006, predicted: Business, actual: Business
49024, predicted: Business, actual: Business
49037, predicted: Business, actual: Business
49075, predicted: Business, actual: Business
49091, predicted: Business, actual: Business
49128, predicted: Business, actual: Business
49151, predicted: Business, actual: Business
49213, predicted: Business, actual: Business
49229, predicted: Business, actual: Business
49230, predicted: Business, actual: Business
49271, predicted: Business, actual: Business
49346, predicted: Business, actual: Business
49358, predicted: Business, actual: Business
49362, predicted: Business, actual: Business
49368, predicted: Business, actual: Business
49390, predicted: Business, actual: Business
49408, predicted: Business, actual: Business
49422, predicted: Business, actual: Business
49435, predicted: Business, actual: Business
49444, predicted: Business, actual: Business
49490, predicted: Business, actual: Business
49515, predicted: Business, actual: Business
51647, predicted: Computers, actual: Computers
51665, predicted: Computers, actual: Computers
51691, predicted: Computers, actual: Computers
51699, predicted: Computers, actual: Computers
51743, predicted: Computers, actual: Computers
51795, predicted: Computers, actual: Computers
51828, predicted: Computers, actual: Computers
51829, predicted: Computers, actual: Computers
51947, predicted: Computers, actual: Computers
51959, predicted: Computers, actual: Computers
52060, predicted: Computers, actual: Computers
52125, predicted: Computers, actual: Computers
52147, predicted: Computers, actual: Computers
52169, predicted: Computers, actual: Computers
52250, predicted: Computers, actual: Computers
52334, predicted: Computers, actual: Computers
52337, predicted: Computers, actual: Computers
52374, predicted: Computers, actual: Computers
52405, predicted: Computers, actual: Computers
52427, predicted: Computers, actual: Computers
52449, predicted: Computers, actual: Computers
52457, predicted: Computers, actual: Computers
52514, predicted: Computers, actual: Computers
52534, predicted: Computers, actual: Computers
52580, predicted: Computers, actual: Computers
52593, predicted: Computers, actual: Computers
52650, predicted: Computers, actual: Computers
58230, predicted: Science, actual: Science
4053, predicted: Arts, actual: Arts
37290, predicted: Society, actual: Society
37301, predicted: Society, actual: Society
37517, predicted: Society, actual: Society
37919, predicted: Society, actual: Society
37932, predicted: Society, actual: Society
38254, predicted: Sports, actual: Sports
38304, predicted: Sports, actual: Sports
38330, predicted: Sports, actual: Sports
38405, predicted: Sports, actual: Sports
38436, predicted: Sports, actual: Sports
38447, predicted: Sports, actual: Sports
38466, predicted: Sports, actual: Sports
38496, predicted: Sports, actual: Sports
38674, predicted: Sports, actual: Sports
38803, predicted: Sports, actual: Sports
38868, predicted: Sports, actual: Sports
39085, predicted: Sports, actual: Sports
39604, predicted: Sports, actual: Sports
39729, predicted: Sports, actual: Sports
39869, predicted: Sports, actual: Sports
40260, predicted: Sports, actual: Sports
40426, predicted: Sports, actual: Sports
40429, predicted: Sports, actual: Sports
40472, predicted: Sports, actual: Sports
40625, predicted: Sports, actual: Sports
40724, predicted: Sports, actual: Sports
40732, predicted: Sports, actual: Sports
40765, predicted: Sports, actual: Sports
40784, predicted: Sports, actual: Sports
40792, predicted: Sports, actual: Sports
41219, predicted: Sports, actual: Sports
41250, predicted: Sports, actual: Sports
41642, predicted: Sports, actual: Sports
41643, predicted: Sports, actual: Sports
42022, predicted: Sports, actual: Sports
42036, predicted: Sports, actual: Sports
42195, predicted: Sports, actual: Sports
42553, predicted: Sports, actual: Sports
42583, predicted: Sports, actual: Sports
42657, predicted: Sports, actual: Sports
42707, predicted: Sports, actual: Sports
42760, predicted: Sports, actual: Sports
42811, predicted: Sports, actual: Sports
42869, predicted: Sports, actual: Sports
42914, predicted: Sports, actual: Sports
42998, predicted: Sports, actual: Sports
43122, predicted: Sports, actual: Sports
43142, predicted: Sports, actual: Sports
43170, predicted: Sports, actual: Sports
43412, predicted: Adult, actual: Adult
43533, predicted: Adult, actual: Adult
43681, predicted: Business, actual: Business
43692, predicted: Business, actual: Business
43780, predicted: Computers, actual: Computers
44033, predicted: Health, actual: Health
44037, predicted: Health, actual: Health
44085, predicted: Health, actual: Health
44146, predicted: Home, actual: Home
44273, predicted: News, actual: News
44290, predicted: Business, actual: Business
44297, predicted: News, actual: News
44315, predicted: Recreation, actual: Recreation
44316, predicted: Recreation, actual: Recreation
44378, predicted: Recreation, actual: Recreation
44434, predicted: Reference, actual: Reference
44441, predicted: Reference, actual: Reference
44454, predicted: Reference, actual: Reference
44539, predicted: Science, actual: Science
44553, predicted: Science, actual: Science
44556, predicted: Science, actual: Science
44558, predicted: Science, actual: Science
44561, predicted: Science, actual: Science
44639, predicted: Shopping, actual: Shopping
44681, predicted: Society, actual: Society
44725, predicted: Society, actual: Society
44785, predicted: Sports, actual: Sports
44789, predicted: Sports, actual: Sports
44807, predicted: Sports, actual: Sports
44835, predicted: Sports, actual: Sports
44838, predicted: Sports, actual: Sports
44875, predicted: Adult, actual: Adult
44934, predicted: Adult, actual: Adult
44990, predicted: Adult, actual: Adult
45081, predicted: Adult, actual: Adult
45219, predicted: Adult, actual: Adult
45222, predicted: Adult, actual: Adult
45250, predicted: Adult, actual: Adult
45351, predicted: Adult, actual: Adult
45362, predicted: Adult, actual: Adult
45403, predicted: Adult, actual: Adult
45413, predicted: Adult, actual: Adult
45497, predicted: Arts, actual: Arts
45548, predicted: Arts, actual: Arts
45559, predicted: Arts, actual: Arts
45605, predicted: Arts, actual: Arts
45615, predicted: Arts, actual: Arts
45647, predicted: Arts, actual: Arts
45668, predicted: Arts, actual: Arts
45680, predicted: Arts, actual: Arts
45704, predicted: Arts, actual: Arts
45830, predicted: Arts, actual: Arts
45836, predicted: Arts, actual: Arts
45884, predicted: Arts, actual: Arts
45892, predicted: Arts, actual: Arts
45896, predicted: Arts, actual: Arts
45899, predicted: Arts, actual: Arts
45926, predicted: Arts, actual: Arts
45935, predicted: Arts, actual: Arts
45977, predicted: Arts, actual: Arts
45998, predicted: Arts, actual: Arts
46007, predicted: Arts, actual: Arts
46032, predicted: Arts, actual: Arts
46057, predicted: Arts, actual: Arts
46071, predicted: Arts, actual: Arts
46073, predicted: Arts, actual: Arts
46077, predicted: Arts, actual: Arts
46100, predicted: Arts, actual: Arts
46101, predicted: Arts, actual: Arts
46171, predicted: Arts, actual: Arts
46191, predicted: Arts, actual: Arts
46203, predicted: Arts, actual: Arts
46217, predicted: Arts, actual: Arts
46264, predicted: Arts, actual: Arts
46319, predicted: Arts, actual: Arts
46327, predicted: Arts, actual: Arts
46352, predicted: Arts, actual: Arts
46361, predicted: Arts, actual: Arts
46407, predicted: Arts, actual: Arts
46419, predicted: Arts, actual: Arts
46462, predicted: Arts, actual: Arts
46463, predicted: Arts, actual: Arts
46506, predicted: Arts, actual: Arts
46507, predicted: Arts, actual: Arts
46529, predicted: Arts, actual: Arts
46549, predicted: Arts, actual: Arts
46566, predicted: Arts, actual: Arts
46590, predicted: Arts, actual: Arts
46640, predicted: Arts, actual: Arts
46684, predicted: Arts, actual: Arts
46715, predicted: Arts, actual: Arts
46725, predicted: Arts, actual: Arts
46754, predicted: Arts, actual: Arts
46764, predicted: Arts, actual: Arts
46774, predicted: Arts, actual: Arts
46790, predicted: Arts, actual: Arts
46796, predicted: Arts, actual: Arts
46815, predicted: Arts, actual: Arts
46820, predicted: Arts, actual: Arts
46839, predicted: Arts, actual: Arts
46877, predicted: Arts, actual: Arts
46894, predicted: Arts, actual: Arts
46898, predicted: Arts, actual: Arts
46911, predicted: Arts, actual: Arts
46918, predicted: Arts, actual: Arts
46924, predicted: Arts, actual: Arts
46988, predicted: Arts, actual: Arts
47035, predicted: Arts, actual: Arts
47042, predicted: Arts, actual: Arts
47047, predicted: Arts, actual: Arts
47055, predicted: Arts, actual: Arts
47092, predicted: Arts, actual: Arts
47093, predicted: Arts, actual: Arts
47129, predicted: Arts, actual: Arts
47223, predicted: Arts, actual: Arts
47248, predicted: Arts, actual: Arts
47263, predicted: Arts, actual: Arts
47297, predicted: Arts, actual: Arts
47318, predicted: Arts, actual: Arts
47319, predicted: Arts, actual: Arts
47361, predicted: Arts, actual: Arts
47375, predicted: Arts, actual: Arts
47392, predicted: Arts, actual: Arts
47407, predicted: Arts, actual: Arts
47446, predicted: Arts, actual: Arts
47472, predicted: Arts, actual: Arts
47474, predicted: Arts, actual: Arts
47476, predicted: Arts, actual: Arts
47506, predicted: Arts, actual: Arts
47507, predicted: Arts, actual: Arts
47521, predicted: Arts, actual: Arts
47523, predicted: Arts, actual: Arts
47529, predicted: Arts, actual: Arts
47530, predicted: Arts, actual: Arts
47559, predicted: Arts, actual: Arts
47592, predicted: Arts, actual: Arts
47618, predicted: Business, actual: Business
47619, predicted: Business, actual: Business
47636, predicted: Business, actual: Business
47664, predicted: Business, actual: Business
47678, predicted: Business, actual: Business
47686, predicted: Society, actual: Society
47725, predicted: Business, actual: Business
47749, predicted: Business, actual: Business
47762, predicted: Business, actual: Business
47770, predicted: Business, actual: Business
47773, predicted: Business, actual: Business
47780, predicted: Business, actual: Business
47802, predicted: Business, actual: Business
47825, predicted: Business, actual: Business
47860, predicted: Business, actual: Business
47861, predicted: Business, actual: Business
47890, predicted: Business, actual: Business
47891, predicted: Business, actual: Business
47893, predicted: Shopping, actual: Shopping
47906, predicted: Business, actual: Business
47912, predicted: Business, actual: Business
47914, predicted: Business, actual: Business
47916, predicted: Business, actual: Business
47963, predicted: Business, actual: Business
47965, predicted: Business, actual: Business
48029, predicted: Business, actual: Business
48057, predicted: Business, actual: Business
48081, predicted: Business, actual: Business
48108, predicted: Business, actual: Business
48111, predicted: Business, actual: Business
48194, predicted: Business, actual: Business
48199, predicted: Business, actual: Business
48354, predicted: Business, actual: Business
48365, predicted: Business, actual: Business
48458, predicted: Business, actual: Business
48504, predicted: Business, actual: Business
48524, predicted: Business, actual: Business
48534, predicted: Business, actual: Business
48540, predicted: Business, actual: Business
48840, predicted: Business, actual: Business
48880, predicted: Business, actual: Business
48891, predicted: Business, actual: Business
48934, predicted: Business, actual: Business
48949, predicted: Business, actual: Business
48988, predicted: Business, actual: Business
48997, predicted: Business, actual: Business
49046, predicted: Business, actual: Business
49068, predicted: Business, actual: Business
49071, predicted: Business, actual: Business
49078, predicted: Business, actual: Business
49127, predicted: Business, actual: Business
49183, predicted: Business, actual: Business
49223, predicted: Business, actual: Business
49235, predicted: Business, actual: Business
49252, predicted: Business, actual: Business
49526, predicted: Business, actual: Business
