52866, predicted: Kids, actual: Games
47238, predicted: News, actual: Arts
47293, predicted: News, actual: Arts
47311, predicted: Society, actual: Arts
49552, predicted: Computers, actual: Business
49564, predicted: Science, actual: Business
49568, predicted: Computers, actual: Business
49574, predicted: Computers, actual: Business
49587, predicted: Computers, actual: Business
49667, predicted: Shopping, actual: Business
49701, predicted: Science, actual: Business
52669, predicted: Arts, actual: Computers
45211, predicted: Arts, actual: Adult
45276, predicted: Business, actual: Adult
45541, predicted: Reference, actual: Arts
45627, predicted: Society, actual: Arts
45949, predicted: Society, actual: Arts
45951, predicted: Society, actual: Arts
46221, predicted: Society, actual: Arts
46425, predicted: Business, actual: Arts
46510, predicted: Society, actual: Arts
46930, predicted: Kids, actual: Arts
47118, predicted: Sports, actual: Arts
48187, predicted: Shopping, actual: Business
48208, predicted: Recreation, actual: Business
48223, predicted: Society, actual: Business
48234, predicted: Business, actual: Sports
48252, predicted: Shopping, actual: Business
48267, predicted: Shopping, actual: Business
48445, predicted: Computers, actual: Business
48507, predicted: Kids, actual: Business
48522, predicted: Business, actual: Regional
48585, predicted: Computers, actual: Business
48597, predicted: Computers, actual: Business
48731, predicted: Society, actual: Business
48871, predicted: Reference, actual: Business
49021, predicted: Business, actual: Science
49022, predicted: Computers, actual: Business
49037, predicted: Health, actual: Business
49043, predicted: Health, actual: Business
49101, predicted: Society, actual: Business
49128, predicted: Home, actual: Business
49253, predicted: Society, actual: Business
49346, predicted: Society, actual: Business
49545, predicted: Science, actual: Business
51543, predicted: Business, actual: Computers
51555, predicted: Business, actual: Computers
51590, predicted: Society, actual: Computers
51614, predicted: Society, actual: Computers
51694, predicted: Business, actual: Computers
51828, predicted: Shopping, actual: Computers
52280, predicted: Business, actual: Computers
52414, predicted: Business, actual: Computers
52514, predicted: Arts, actual: Computers
52564, predicted: Business, actual: Computers
52580, predicted: Science, actual: Computers
52593, predicted: Reference, actual: Computers
4053, predicted: Society, actual: Arts
37132, predicted: Recreation, actual: Society
37932, predicted: Reference, actual: Society
40472, predicted: Recreation, actual: Sports
41486, predicted: Arts, actual: Sports
43354, predicted: Arts, actual: Sports
43400, predicted: Reference, actual: Regional
43681, predicted: News, actual: Business
43729, predicted: Kids, actual: Business
43901, predicted: Computers, actual: Kids
43935, predicted: Arts, actual: Games
44105, predicted: Society, actual: Regional
44106, predicted: Computers, actual: Home
44131, predicted: Shopping, actual: Home
44136, predicted: Arts, actual: Society
44138, predicted: Business, actual: Home
44145, predicted: Business, actual: Home
44161, predicted: Home, actual: Regional
44173, predicted: Business, actual: Home
44175, predicted: Recreation, actual: Home
44190, predicted: Sports, actual: Kids
44203, predicted: Regional, actual: Kids
44209, predicted: Shopping, actual: Kids
44244, predicted: News, actual: Kids
44250, predicted: Sports, actual: News
44273, predicted: Regional, actual: News
44316, predicted: Regional, actual: Recreation
44331, predicted: Regional, actual: Recreation
44339, predicted: Arts, actual: Recreation
44340, predicted: Computers, actual: Science
44376, predicted: Business, actual: Recreation
44399, predicted: Home, actual: Recreation
44401, predicted: Computers, actual: Recreation
44407, predicted: Business, actual: Regional
44413, predicted: Health, actual: Reference
44434, predicted: Regional, actual: Reference
44457, predicted: Society, actual: Reference
44463, predicted: Arts, actual: Regional
44487, predicted: Computers, actual: Regional
44496, predicted: Business, actual: Regional
44499, predicted: Business, actual: Regional
44558, predicted: Society, actual: Science
44583, predicted: Computers, actual: Science
44591, predicted: Computers, actual: Science
44598, predicted: Society, actual: Science
44632, predicted: Regional, actual: Shopping
45148, predicted: Society, actual: Adult
45181, predicted: Shopping, actual: Adult
45219, predicted: Sports, actual: Adult
45237, predicted: Recreation, actual: Adult
45413, predicted: Society, actual: Adult
45548, predicted: Computers, actual: Arts
45595, predicted: Recreation, actual: Arts
45605, predicted: Reference, actual: Arts
45615, predicted: Society, actual: Arts
45758, predicted: Health, actual: Arts
45835, predicted: Health, actual: Arts
45836, predicted: Regional, actual: Arts
45896, predicted: Reference, actual: Arts
45899, predicted: Reference, actual: Arts
45902, predicted: Computers, actual: Arts
45926, predicted: Reference, actual: Arts
45987, predicted: Home, actual: Kids
46057, predicted: Sports, actual: Arts
46071, predicted: Shopping, actual: Arts
46077, predicted: Business, actual: Arts
46101, predicted: Shopping, actual: Arts
46127, predicted: Home, actual: Arts
46203, predicted: Home, actual: Arts
46220, predicted: Home, actual: Arts
46283, predicted: Sports, actual: Arts
46300, predicted: Recreation, actual: Arts
46313, predicted: Shopping, actual: Arts
46319, predicted: Society, actual: Arts
46358, predicted: Society, actual: Arts
46361, predicted: Reference, actual: Arts
46376, predicted: Reference, actual: Arts
46407, predicted: Reference, actual: Arts
46423, predicted: Society, actual: Arts
46439, predicted: Kids, actual: Arts
46451, predicted: Society, actual: Arts
46462, predicted: Games, actual: Arts
46463, predicted: Society, actual: Arts
46500, predicted: Society, actual: Arts
46506, predicted: Sports, actual: Arts
46544, predicted: Arts, actual: Games
46549, predicted: Society, actual: Arts
46587, predicted: Games, actual: Arts
46620, predicted: Society, actual: Arts
46684, predicted: Society, actual: Arts
46691, predicted: Kids, actual: Arts
46715, predicted: Society, actual: Arts
46725, predicted: Society, actual: Arts
46745, predicted: Sports, actual: Arts
46754, predicted: Sports, actual: Arts
46765, predicted: Computers, actual: Arts
46774, predicted: Society, actual: Arts
46778, predicted: Business, actual: Arts
46781, predicted: Society, actual: Arts
46790, predicted: Society, actual: Arts
46820, predicted: News, actual: Arts
46839, predicted: Games, actual: Arts
46849, predicted: Recreation, actual: Arts
46894, predicted: Home, actual: Arts
46911, predicted: Sports, actual: Arts
46934, predicted: Society, actual: Arts
46962, predicted: Society, actual: Arts
46964, predicted: Reference, actual: Arts
47035, predicted: Society, actual: Arts
47047, predicted: Society, actual: Arts
47055, predicted: Society, actual: Arts
47077, predicted: Society, actual: Arts
47100, predicted: Sports, actual: Shopping
47129, predicted: Sports, actual: Arts
47160, predicted: Society, actual: Arts
47213, predicted: Computers, actual: Arts
47223, predicted: Shopping, actual: Arts
47297, predicted: Society, actual: Arts
47361, predicted: Sports, actual: Arts
47367, predicted: Home, actual: Arts
47385, predicted: Computers, actual: Arts
47392, predicted: Sports, actual: Arts
47420, predicted: Computers, actual: Arts
47435, predicted: Computers, actual: Arts
47441, predicted: Computers, actual: Arts
47451, predicted: Computers, actual: Arts
47490, predicted: Arts, actual: Recreation
47502, predicted: Computers, actual: Arts
47507, predicted: Sports, actual: Arts
47517, predicted: Adult, actual: Arts
47523, predicted: Recreation, actual: Arts
47529, predicted: Society, actual: Arts
47530, predicted: Reference, actual: Arts
47575, predicted: Health, actual: Arts
47592, predicted: Society, actual: Arts
47678, predicted: Society, actual: Business
47722, predicted: Shopping, actual: Business
47731, predicted: Computers, actual: Business
47743, predicted: Recreation, actual: Business
47747, predicted: Science, actual: Business
47749, predicted: Shopping, actual: Business
47770, predicted: Shopping, actual: Business
47773, predicted: Computers, actual: Business
47780, predicted: Society, actual: Business
47784, predicted: Shopping, actual: Business
47786, predicted: Computers, actual: Business
47810, predicted: Society, actual: Business
47818, predicted: Health, actual: Business
47860, predicted: Regional, actual: Business
47912, predicted: Health, actual: Business
47914, predicted: Health, actual: Business
47963, predicted: Science, actual: Business
48037, predicted: Science, actual: Business
48050, predicted: Business, actual: Society
48120, predicted: Society, actual: Business
48128, predicted: Shopping, actual: Business
48246, predicted: Shopping, actual: Business
48248, predicted: Shopping, actual: Business
48278, predicted: Shopping, actual: Business
48306, predicted: Computers, actual: Business
48359, predicted: Computers, actual: Business
48524, predicted: Reference, actual: Business
48528, predicted: Society, actual: Business
48534, predicted: Computers, actual: Business
48626, predicted: Arts, actual: Business
48674, predicted: Kids, actual: Recreation
48747, predicted: Shopping, actual: Business
48814, predicted: Shopping, actual: Business
48988, predicted: Home, actual: Business
48997, predicted: Home, actual: Business
49071, predicted: Society, actual: Business
49117, predicted: Computers, actual: Business
49211, predicted: Computers, actual: Business
49276, predicted: Society, actual: Business
49526, predicted: Health, actual: Business
49691, predicted: Society, actual: Business
49846, predicted: Society, actual: Business
49914, predicted: Shopping, actual: Business
49951, predicted: Computers, actual: Business
50088, predicted: Society, actual: Business
50109, predicted: Society, actual: Business
50183, predicted: Shopping, actual: Business
50380, predicted: Shopping, actual: Business
50433, predicted: Society, actual: Business
50495, predicted: Shopping, actual: Business
50604, predicted: Society, actual: Computers
50605, predicted: Business, actual: Computers
50614, predicted: Society, actual: Computers
50794, predicted: Business, actual: Computers
50863, predicted: Business, actual: Computers
50922, predicted: Business, actual: Computers
50975, predicted: Reference, actual: Computers
51016, predicted: Business, actual: Computers
