52866, predicted: Arts, actual: Games
47238, predicted: Society, actual: Arts
47293, predicted: Sports, actual: Arts
47311, predicted: Business, actual: Arts
47365, predicted: Health, actual: Arts
47549, predicted: Society, actual: Arts
49559, predicted: Computers, actual: Business
49564, predicted: Computers, actual: Business
49574, predicted: Computers, actual: Business
49600, predicted: Arts, actual: Business
49667, predicted: Shopping, actual: Business
49697, predicted: Society, actual: Business
49701, predicted: Society, actual: Business
49714, predicted: Shopping, actual: Business
52669, predicted: Recreation, actual: Computers
52683, predicted: Business, actual: Computers
52707, predicted: Games, actual: Computers
52830, predicted: Arts, actual: Computers
45211, predicted: Shopping, actual: Adult
45276, predicted: Computers, actual: Adult
45832, predicted: Shopping, actual: Arts
45949, predicted: Society, actual: Arts
45951, predicted: Health, actual: Arts
46221, predicted: Society, actual: Arts
46510, predicted: Society, actual: Arts
47118, predicted: Games, actual: Arts
48208, predicted: Sports, actual: Business
48223, predicted: Shopping, actual: Business
48234, predicted: Business, actual: Sports
48252, predicted: Shopping, actual: Business
48267, predicted: Recreation, actual: Business
48282, predicted: Shopping, actual: Business
48323, predicted: Computers, actual: Business
48445, predicted: Computers, actual: Business
48507, predicted: Adult, actual: Business
48519, predicted: Sports, actual: Business
48522, predicted: Business, actual: Regional
48557, predicted: Computers, actual: Business
48591, predicted: Business, actual: Shopping
48597, predicted: Computers, actual: Business
48664, predicted: Society, actual: Business
48753, predicted: Computers, actual: Business
48789, predicted: Computers, actual: Business
49021, predicted: Business, actual: Science
49043, predicted: Health, actual: Business
49091, predicted: Shopping, actual: Business
49128, predicted: Shopping, actual: Business
49260, predicted: Shopping, actual: Business
49271, predicted: Shopping, actual: Business
49346, predicted: Society, actual: Business
49390, predicted: Society, actual: Business
49435, predicted: Home, actual: Business
49545, predicted: Computers, actual: Business
51543, predicted: Shopping, actual: Computers
51555, predicted: Business, actual: Computers
51665, predicted: Business, actual: Computers
51691, predicted: Business, actual: Computers
51694, predicted: Business, actual: Computers
51699, predicted: Business, actual: Computers
51923, predicted: Business, actual: Computers
52169, predicted: Business, actual: Computers
52334, predicted: Business, actual: Computers
52337, predicted: Business, actual: Computers
52414, predicted: Business, actual: Computers
52514, predicted: Business, actual: Computers
52564, predicted: Health, actual: Computers
58230, predicted: Computers, actual: Science
37132, predicted: Recreation, actual: Society
37932, predicted: Computers, actual: Society
38304, predicted: Society, actual: Sports
38674, predicted: Shopping, actual: Sports
39656, predicted: Computers, actual: Sports
41250, predicted: Shopping, actual: Sports
43142, predicted: Games, actual: Sports
43533, predicted: Arts, actual: Adult
43681, predicted: News, actual: Business
43692, predicted: News, actual: Business
43729, predicted: Computers, actual: Business
43780, predicted: Regional, actual: Computers
43901, predicted: Games, actual: Kids
43935, predicted: Society, actual: Games
44105, predicted: Home, actual: Regional
44106, predicted: Computers, actual: Home
44131, predicted: Sports, actual: Home
44136, predicted: Home, actual: Society
44138, predicted: Business, actual: Home
44144, predicted: Home, actual: Business
44145, predicted: Computers, actual: Home
44161, predicted: Home, actual: Regional
44173, predicted: Business, actual: Home
44175, predicted: Business, actual: Home
44184, predicted: Computers, actual: Home
44190, predicted: Sports, actual: Kids
44203, predicted: Regional, actual: Kids
44209, predicted: Business, actual: Kids
44244, predicted: Regional, actual: Kids
44250, predicted: Sports, actual: News
44290, predicted: News, actual: Business
44302, predicted: News, actual: Regional
44316, predicted: Regional, actual: Recreation
44318, predicted: Recreation, actual: Regional
44327, predicted: Recreation, actual: Regional
44331, predicted: Regional, actual: Recreation
44339, predicted: Arts, actual: Recreation
44340, predicted: Recreation, actual: Science
44376, predicted: Business, actual: Recreation
44378, predicted: Sports, actual: Recreation
44399, predicted: Arts, actual: Recreation
44401, predicted: Computers, actual: Recreation
44407, predicted: Business, actual: Regional
44413, predicted: Regional, actual: Reference
44434, predicted: Home, actual: Reference
44454, predicted: Health, actual: Reference
44455, predicted: Arts, actual: Reference
44457, predicted: Shopping, actual: Reference
44463, predicted: Reference, actual: Regional
44496, predicted: Business, actual: Regional
44499, predicted: Shopping, actual: Regional
44506, predicted: Shopping, actual: Regional
44539, predicted: Sports, actual: Science
44553, predicted: Home, actual: Science
44556, predicted: Society, actual: Science
44558, predicted: Health, actual: Science
44561, predicted: Computers, actual: Science
44583, predicted: Computers, actual: Science
44591, predicted: Business, actual: Science
44598, predicted: Society, actual: Science
44632, predicted: Arts, actual: Shopping
44681, predicted: Health, actual: Society
44807, predicted: Kids, actual: Sports
44838, predicted: Society, actual: Sports
44875, predicted: Sports, actual: Adult
44990, predicted: Business, actual: Adult
45148, predicted: Games, actual: Adult
45181, predicted: Society, actual: Adult
45237, predicted: Society, actual: Adult
45413, predicted: Health, actual: Adult
45497, predicted: Games, actual: Arts
45528, predicted: Society, actual: Arts
45548, predicted: Business, actual: Arts
45595, predicted: Society, actual: Arts
45605, predicted: Computers, actual: Arts
45758, predicted: Health, actual: Arts
45830, predicted: Sports, actual: Arts
45835, predicted: Health, actual: Arts
45836, predicted: Sports, actual: Arts
45902, predicted: Business, actual: Arts
45987, predicted: Arts, actual: Kids
45998, predicted: Society, actual: Arts
46077, predicted: Shopping, actual: Arts
46127, predicted: Shopping, actual: Arts
46191, predicted: Shopping, actual: Arts
46220, predicted: Sports, actual: Arts
46283, predicted: Computers, actual: Arts
46300, predicted: Society, actual: Arts
46313, predicted: Shopping, actual: Arts
46352, predicted: Business, actual: Arts
46358, predicted: Computers, actual: Arts
46407, predicted: Computers, actual: Arts
46419, predicted: Computers, actual: Arts
46451, predicted: Business, actual: Arts
46463, predicted: Games, actual: Arts
46507, predicted: Business, actual: Arts
46544, predicted: Arts, actual: Games
46684, predicted: Society, actual: Arts
46691, predicted: Kids, actual: Arts
46745, predicted: Computers, actual: Arts
46764, predicted: Kids, actual: Arts
46765, predicted: Business, actual: Arts
46778, predicted: Computers, actual: Arts
46781, predicted: Society, actual: Arts
46815, predicted: Society, actual: Arts
46847, predicted: Computers, actual: Arts
46849, predicted: Society, actual: Arts
46894, predicted: Sports, actual: Arts
46911, predicted: Games, actual: Arts
46934, predicted: Society, actual: Arts
46962, predicted: Society, actual: Arts
46979, predicted: Computers, actual: Arts
46988, predicted: Society, actual: Arts
47077, predicted: Society, actual: Arts
47100, predicted: Arts, actual: Shopping
47129, predicted: Society, actual: Arts
47160, predicted: Sports, actual: Arts
47213, predicted: Society, actual: Arts
47248, predicted: Sports, actual: Arts
47263, predicted: Society, actual: Arts
47297, predicted: Games, actual: Arts
47319, predicted: Sports, actual: Arts
47361, predicted: Sports, actual: Arts
47385, predicted: Computers, actual: Arts
47392, predicted: Business, actual: Arts
47420, predicted: Business, actual: Arts
47435, predicted: Computers, actual: Arts
47441, predicted: Computers, actual: Arts
47451, predicted: Computers, actual: Arts
47476, predicted: Shopping, actual: Arts
47490, predicted: Arts, actual: Recreation
47502, predicted: Business, actual: Arts
47517, predicted: Shopping, actual: Arts
47530, predicted: Computers, actual: Arts
47559, predicted: Sports, actual: Arts
47575, predicted: Society, actual: Arts
47686, predicted: Business, actual: Society
47722, predicted: Shopping, actual: Business
47731, predicted: Computers, actual: Business
47743, predicted: Shopping, actual: Business
47747, predicted: Science, actual: Business
47762, predicted: Shopping, actual: Business
47770, predicted: Recreation, actual: Business
47773, predicted: Shopping, actual: Business
47780, predicted: Recreation, actual: Business
47784, predicted: Shopping, actual: Business
47818, predicted: Health, actual: Business
47860, predicted: Arts, actual: Business
47885, predicted: Shopping, actual: Business
47890, predicted: Shopping, actual: Business
47891, predicted: Shopping, actual: Business
47893, predicted: Business, actual: Shopping
48037, predicted: Society, actual: Business
48050, predicted: Business, actual: Society
48120, predicted: Society, actual: Business
48128, predicted: Shopping, actual: Business
48246, predicted: Shopping, actual: Business
48248, predicted: Shopping, actual: Business
