52866, predicted: Recreation, actual: Games
47238, predicted: News, actual: Arts
47293, predicted: News, actual: Arts
47311, predicted: Shopping, actual: Arts
47365, predicted: Sports, actual: Arts
49552, predicted: Computers, actual: Business
49564, predicted: Computers, actual: Business
49574, predicted: Computers, actual: Business
49667, predicted: Shopping, actual: Business
49701, predicted: Sports, actual: Business
49714, predicted: Arts, actual: Business
52669, predicted: Arts, actual: Computers
52780, predicted: Home, actual: Computers
52789, predicted: Sports, actual: Computers
45211, predicted: Shopping, actual: Adult
45276, predicted: Business, actual: Adult
45627, predicted: Recreation, actual: Arts
45951, predicted: Society, actual: Arts
46425, predicted: Regional, actual: Arts
48141, predicted: Shopping, actual: Business
48187, predicted: Home, actual: Business
48208, predicted: Sports, actual: Business
48223, predicted: Shopping, actual: Business
48234, predicted: Shopping, actual: Sports
48252, predicted: Shopping, actual: Business
48267, predicted: Shopping, actual: Business
48282, predicted: Health, actual: Business
48330, predicted: Sports, actual: Business
48445, predicted: Computers, actual: Business
48507, predicted: Sports, actual: Business
48519, predicted: Computers, actual: Business
48522, predicted: Business, actual: Regional
48585, predicted: Computers, actual: Business
48597, predicted: Computers, actual: Business
48731, predicted: Regional, actual: Business
48792, predicted: Computers, actual: Business
48872, predicted: Society, actual: Business
48915, predicted: Regional, actual: Business
49006, predicted: Shopping, actual: Business
49021, predicted: Business, actual: Science
49022, predicted: Computers, actual: Business
49024, predicted: Regional, actual: Business
49037, predicted: Health, actual: Business
49043, predicted: Health, actual: Business
49091, predicted: Science, actual: Business
49101, predicted: Sports, actual: Business
49151, predicted: Computers, actual: Business
49213, predicted: Health, actual: Business
49229, predicted: Computers, actual: Business
49253, predicted: Sports, actual: Business
49260, predicted: Society, actual: Business
49271, predicted: Sports, actual: Business
49346, predicted: Computers, actual: Business
49358, predicted: Recreation, actual: Business
49390, predicted: Regional, actual: Business
49422, predicted: Regional, actual: Business
49444, predicted: Health, actual: Business
49545, predicted: Science, actual: Business
51555, predicted: Shopping, actual: Computers
51590, predicted: Society, actual: Computers
51614, predicted: Sports, actual: Computers
51694, predicted: Business, actual: Computers
51699, predicted: Business, actual: Computers
52169, predicted: Health, actual: Computers
52280, predicted: Shopping, actual: Computers
52564, predicted: Health, actual: Computers
4053, predicted: News, actual: Arts
37132, predicted: Sports, actual: Society
37350, predicted: Arts, actual: Society
38330, predicted: Adult, actual: Sports
39656, predicted: Arts, actual: Sports
40260, predicted: Shopping, actual: Sports
40429, predicted: Shopping, actual: Sports
40472, predicted: Shopping, actual: Sports
42036, predicted: Shopping, actual: Sports
43681, predicted: News, actual: Business
43692, predicted: Sports, actual: Business
43729, predicted: Sports, actual: Business
43901, predicted: Regional, actual: Kids
43909, predicted: Recreation, actual: Games
43935, predicted: Reference, actual: Games
44105, predicted: Society, actual: Regional
44106, predicted: Computers, actual: Home
44131, predicted: Computers, actual: Home
44136, predicted: Sports, actual: Society
44138, predicted: Business, actual: Home
44144, predicted: Home, actual: Business
44145, predicted: Computers, actual: Home
44161, predicted: Health, actual: Regional
44173, predicted: Regional, actual: Home
44175, predicted: Recreation, actual: Home
44184, predicted: Shopping, actual: Home
44190, predicted: Sports, actual: Kids
44203, predicted: Regional, actual: Kids
44209, predicted: Shopping, actual: Kids
44244, predicted: News, actual: Kids
44302, predicted: News, actual: Regional
44327, predicted: Recreation, actual: Regional
44331, predicted: Regional, actual: Recreation
44339, predicted: Kids, actual: Recreation
44340, predicted: Recreation, actual: Science
44376, predicted: Business, actual: Recreation
44399, predicted: Regional, actual: Recreation
44401, predicted: Sports, actual: Recreation
44407, predicted: Business, actual: Regional
44413, predicted: Health, actual: Reference
44441, predicted: Computers, actual: Reference
44454, predicted: News, actual: Reference
44457, predicted: Health, actual: Reference
44463, predicted: Computers, actual: Regional
44487, predicted: Computers, actual: Regional
44496, predicted: Arts, actual: Regional
44499, predicted: Health, actual: Regional
44506, predicted: News, actual: Regional
44583, predicted: Computers, actual: Science
44591, predicted: Computers, actual: Science
44598, predicted: Society, actual: Science
44632, predicted: Society, actual: Shopping
44725, predicted: News, actual: Society
44784, predicted: Business, actual: Sports
45148, predicted: Recreation, actual: Adult
45181, predicted: Shopping, actual: Adult
45237, predicted: Recreation, actual: Adult
45413, predicted: Society, actual: Adult
45528, predicted: Sports, actual: Arts
45595, predicted: Recreation, actual: Arts
45615, predicted: Shopping, actual: Arts
45758, predicted: Health, actual: Arts
45835, predicted: Health, actual: Arts
45836, predicted: News, actual: Arts
45902, predicted: Computers, actual: Arts
45987, predicted: Recreation, actual: Kids
46057, predicted: Recreation, actual: Arts
46077, predicted: Computers, actual: Arts
46101, predicted: Recreation, actual: Arts
46127, predicted: Society, actual: Arts
46203, predicted: Shopping, actual: Arts
46220, predicted: Home, actual: Arts
46283, predicted: Computers, actual: Arts
46300, predicted: Sports, actual: Arts
46358, predicted: Society, actual: Arts
46423, predicted: Business, actual: Arts
46439, predicted: Business, actual: Arts
46500, predicted: Recreation, actual: Arts
46506, predicted: Recreation, actual: Arts
46544, predicted: Arts, actual: Games
46566, predicted: Sports, actual: Arts
46587, predicted: Shopping, actual: Arts
46620, predicted: Recreation, actual: Arts
46691, predicted: Kids, actual: Arts
46745, predicted: Sports, actual: Arts
46754, predicted: News, actual: Arts
46764, predicted: Society, actual: Arts
46778, predicted: Shopping, actual: Arts
46781, predicted: News, actual: Arts
46849, predicted: Recreation, actual: Arts
46877, predicted: Computers, actual: Arts
46894, predicted: Recreation, actual: Arts
46898, predicted: Recreation, actual: Arts
46911, predicted: Recreation, actual: Arts
46934, predicted: Sports, actual: Arts
46962, predicted: Recreation, actual: Arts
46964, predicted: Reference, actual: Arts
47055, predicted: Kids, actual: Arts
47077, predicted: News, actual: Arts
47100, predicted: Sports, actual: Shopping
47129, predicted: Recreation, actual: Arts
47160, predicted: News, actual: Arts
47213, predicted: Computers, actual: Arts
47297, predicted: Computers, actual: Arts
47319, predicted: Shopping, actual: Arts
47367, predicted: Shopping, actual: Arts
47375, predicted: Society, actual: Arts
47407, predicted: Recreation, actual: Arts
47420, predicted: Shopping, actual: Arts
47435, predicted: Recreation, actual: Arts
47441, predicted: Computers, actual: Arts
47451, predicted: Computers, actual: Arts
47490, predicted: Shopping, actual: Recreation
47502, predicted: Computers, actual: Arts
47517, predicted: Society, actual: Arts
47575, predicted: Recreation, actual: Arts
47678, predicted: Recreation, actual: Business
47725, predicted: Recreation, actual: Business
47731, predicted: Recreation, actual: Business
47743, predicted: Shopping, actual: Business
47747, predicted: Science, actual: Business
47749, predicted: Shopping, actual: Business
47770, predicted: Shopping, actual: Business
47773, predicted: Recreation, actual: Business
47780, predicted: Recreation, actual: Business
47784, predicted: Shopping, actual: Business
47786, predicted: Sports, actual: Business
47802, predicted: Health, actual: Business
47810, predicted: Arts, actual: Business
47818, predicted: Health, actual: Business
47825, predicted: Recreation, actual: Business
47891, predicted: Shopping, actual: Business
48037, predicted: Science, actual: Business
48050, predicted: Business, actual: Society
48120, predicted: Recreation, actual: Business
48128, predicted: Shopping, actual: Business
48194, predicted: Computers, actual: Business
48246, predicted: Sports, actual: Business
48248, predicted: Shopping, actual: Business
48278, predicted: Shopping, actual: Business
48306, predicted: Computers, actual: Business
48359, predicted: Computers, actual: Business
48520, predicted: Health, actual: Business
48528, predicted: Shopping, actual: Business
48534, predicted: Recreation, actual: Business
48626, predicted: Arts, actual: Business
48674, predicted: Kids, actual: Recreation
48747, predicted: Shopping, actual: Business
48814, predicted: Shopping, actual: Business
48840, predicted: Sports, actual: Business
48934, predicted: Recreation, actual: Business
48949, predicted: Recreation, actual: Business
48997, predicted: Recreation, actual: Business
49068, predicted: Health, actual: Business
49071, predicted: Computers, actual: Business
49117, predicted: Computers, actual: Business
49183, predicted: Shopping, actual: Business
49211, predicted: Computers, actual: Business
49276, predicted: Arts, actual: Business
49526, predicted: Computers, actual: Business
49586, predicted: Business, actual: Computers
49643, predicted: Arts, actual: Business
49691, predicted: Shopping, actual: Business
49713, predicted: Computers, actual: Business
49846, predicted: Kids, actual: Business
49914, predicted: Health, actual: Business
49951, predicted: Computers, actual: Business
50064, predicted: Arts, actual: Business
50088, predicted: Sports, actual: Business
50109, predicted: Recreation, actual: Business
50183, predicted: Shopping, actual: Business
50317, predicted: Computers, actual: Business
50380, predicted: Shopping, actual: Business
50433, predicted: Recreation, actual: Business
50495, predicted: Adult, actual: Business
50604, predicted: Adult, actual: Computers
50605, predicted: Business, actual: Computers
50614, predicted: Sports, actual: Computers
50637, predicted: Sports, actual: Computers
50818, predicted: Adult, actual: Computers
50922, predicted: Business, actual: Computers
