49773, predicted: Business, actual: Business
47238, predicted: Arts, actual: Arts
47293, predicted: Arts, actual: Arts
47365, predicted: Arts, actual: Arts
47549, predicted: Arts, actual: Arts
49587, predicted: Business, actual: Business
49697, predicted: Business, actual: Business
49740, predicted: Business, actual: Business
52683, predicted: Computers, actual: Computers
52720, predicted: Computers, actual: Computers
52733, predicted: Computers, actual: Computers
52780, predicted: Computers, actual: Computers
52789, predicted: Computers, actual: Computers
52846, predicted: Games, actual: Games
45832, predicted: Arts, actual: Arts
45949, predicted: Arts, actual: Arts
45951, predicted: Arts, actual: Arts
46221, predicted: Arts, actual: Arts
46320, predicted: Arts, actual: Arts
46510, predicted: Arts, actual: Arts
46567, predicted: Arts, actual: Arts
46930, predicted: Arts, actual: Arts
47118, predicted: Arts, actual: Arts
48141, predicted: Business, actual: Business
48187, predicted: Business, actual: Business
48223, predicted: Business, actual: Business
48252, predicted: Business, actual: Business
48323, predicted: Business, actual: Business
48366, predicted: Business, actual: Business
48368, predicted: Business, actual: Business
48440, predicted: Business, actual: Business
48506, predicted: Business, actual: Business
48507, predicted: Business, actual: Business
48519, predicted: Business, actual: Business
48532, predicted: Business, actual: Business
48536, predicted: Business, actual: Business
48585, predicted: Business, actual: Business
48589, predicted: Business, actual: Business
48613, predicted: Business, actual: Business
48630, predicted: Business, actual: Business
48664, predicted: Business, actual: Business
48717, predicted: Business, actual: Business
48724, predicted: Business, actual: Business
48753, predicted: Business, actual: Business
48772, predicted: Business, actual: Business
48789, predicted: Business, actual: Business
48792, predicted: Business, actual: Business
48872, predicted: Business, actual: Business
48915, predicted: Business, actual: Business
49006, predicted: Business, actual: Business
49022, predicted: Business, actual: Business
49024, predicted: Business, actual: Business
49037, predicted: Business, actual: Business
49043, predicted: Business, actual: Business
49075, predicted: Business, actual: Business
49091, predicted: Business, actual: Business
49101, predicted: Business, actual: Business
49213, predicted: Business, actual: Business
49229, predicted: Business, actual: Business
49230, predicted: Business, actual: Business
49253, predicted: Business, actual: Business
49271, predicted: Business, actual: Business
49346, predicted: Business, actual: Business
49362, predicted: Business, actual: Business
49368, predicted: Business, actual: Business
49408, predicted: Business, actual: Business
49444, predicted: Business, actual: Business
49490, predicted: Business, actual: Business
51543, predicted: Computers, actual: Computers
51590, predicted: Computers, actual: Computers
51665, predicted: Computers, actual: Computers
51691, predicted: Computers, actual: Computers
51694, predicted: Computers, actual: Computers
51699, predicted: Computers, actual: Computers
51743, predicted: Computers, actual: Computers
51795, predicted: Computers, actual: Computers
51959, predicted: Computers, actual: Computers
52060, predicted: Computers, actual: Computers
52147, predicted: Computers, actual: Computers
52169, predicted: Computers, actual: Computers
52250, predicted: Computers, actual: Computers
52334, predicted: Computers, actual: Computers
52374, predicted: Computers, actual: Computers
52405, predicted: Computers, actual: Computers
52427, predicted: Computers, actual: Computers
52449, predicted: Computers, actual: Computers
52457, predicted: Computers, actual: Computers
52514, predicted: Computers, actual: Computers
52534, predicted: Computers, actual: Computers
52593, predicted: Computers, actual: Computers
37517, predicted: Society, actual: Society
38254, predicted: Sports, actual: Sports
38330, predicted: Sports, actual: Sports
38405, predicted: Sports, actual: Sports
38447, predicted: Sports, actual: Sports
38466, predicted: Sports, actual: Sports
38496, predicted: Sports, actual: Sports
38868, predicted: Sports, actual: Sports
39085, predicted: Sports, actual: Sports
40426, predicted: Sports, actual: Sports
40625, predicted: Sports, actual: Sports
40724, predicted: Sports, actual: Sports
40732, predicted: Sports, actual: Sports
40765, predicted: Sports, actual: Sports
40784, predicted: Sports, actual: Sports
40792, predicted: Sports, actual: Sports
41219, predicted: Sports, actual: Sports
41642, predicted: Sports, actual: Sports
41643, predicted: Sports, actual: Sports
42022, predicted: Sports, actual: Sports
42553, predicted: Sports, actual: Sports
42583, predicted: Sports, actual: Sports
42657, predicted: Sports, actual: Sports
42707, predicted: Sports, actual: Sports
42760, predicted: Sports, actual: Sports
42811, predicted: Sports, actual: Sports
42869, predicted: Sports, actual: Sports
42914, predicted: Sports, actual: Sports
43354, predicted: Sports, actual: Sports
43533, predicted: Adult, actual: Adult
44037, predicted: Health, actual: Health
44085, predicted: Health, actual: Health
44171, predicted: Home, actual: Home
44297, predicted: News, actual: News
44539, predicted: Science, actual: Science
44639, predicted: Shopping, actual: Shopping
44789, predicted: Sports, actual: Sports
45559, predicted: Arts, actual: Arts
45647, predicted: Arts, actual: Arts
45668, predicted: Arts, actual: Arts
45680, predicted: Arts, actual: Arts
45704, predicted: Arts, actual: Arts
45884, predicted: Arts, actual: Arts
45892, predicted: Arts, actual: Arts
45896, predicted: Arts, actual: Arts
45926, predicted: Arts, actual: Arts
45935, predicted: Arts, actual: Arts
46007, predicted: Arts, actual: Arts
46057, predicted: Arts, actual: Arts
46071, predicted: Arts, actual: Arts
46171, predicted: Arts, actual: Arts
46217, predicted: Arts, actual: Arts
46264, predicted: Arts, actual: Arts
46327, predicted: Arts, actual: Arts
46361, predicted: Arts, actual: Arts
46451, predicted: Arts, actual: Arts
46462, predicted: Arts, actual: Arts
46500, predicted: Arts, actual: Arts
46590, predicted: Arts, actual: Arts
46725, predicted: Arts, actual: Arts
46754, predicted: Arts, actual: Arts
46796, predicted: Arts, actual: Arts
46898, predicted: Arts, actual: Arts
47042, predicted: Arts, actual: Arts
47055, predicted: Arts, actual: Arts
47077, predicted: Arts, actual: Arts
47092, predicted: Arts, actual: Arts
47093, predicted: Arts, actual: Arts
47129, predicted: Arts, actual: Arts
47223, predicted: Arts, actual: Arts
47248, predicted: Arts, actual: Arts
47318, predicted: Arts, actual: Arts
47407, predicted: Arts, actual: Arts
47446, predicted: Arts, actual: Arts
47472, predicted: Arts, actual: Arts
47476, predicted: Arts, actual: Arts
47506, predicted: Arts, actual: Arts
47507, predicted: Arts, actual: Arts
47618, predicted: Business, actual: Business
47619, predicted: Business, actual: Business
47664, predicted: Business, actual: Business
47678, predicted: Business, actual: Business
47722, predicted: Business, actual: Business
47749, predicted: Business, actual: Business
47773, predicted: Business, actual: Business
47784, predicted: Business, actual: Business
47802, predicted: Business, actual: Business
47810, predicted: Business, actual: Business
47825, predicted: Business, actual: Business
47890, predicted: Business, actual: Business
47912, predicted: Business, actual: Business
47916, predicted: Business, actual: Business
47965, predicted: Business, actual: Business
47984, predicted: Business, actual: Business
48108, predicted: Business, actual: Business
48111, predicted: Business, actual: Business
48199, predicted: Business, actual: Business
48246, predicted: Business, actual: Business
48354, predicted: Business, actual: Business
48365, predicted: Business, actual: Business
48534, predicted: Business, actual: Business
48626, predicted: Business, actual: Business
48840, predicted: Business, actual: Business
48891, predicted: Business, actual: Business
49117, predicted: Business, actual: Business
49127, predicted: Business, actual: Business
49223, predicted: Business, actual: Business
49235, predicted: Business, actual: Business
49526, predicted: Business, actual: Business
49643, predicted: Business, actual: Business
49713, predicted: Business, actual: Business
49727, predicted: Business, actual: Business
49751, predicted: Business, actual: Business
49806, predicted: Business, actual: Business
50064, predicted: Business, actual: Business
50109, predicted: Business, actual: Business
50152, predicted: Business, actual: Business
50196, predicted: Business, actual: Business
50358, predicted: Business, actual: Business
50359, predicted: Business, actual: Business
50380, predicted: Business, actual: Business
50407, predicted: Business, actual: Business
50435, predicted: Business, actual: Business
50662, predicted: Computers, actual: Computers
50680, predicted: Computers, actual: Computers
50694, predicted: Computers, actual: Computers
50696, predicted: Computers, actual: Computers
50818, predicted: Computers, actual: Computers
50829, predicted: Computers, actual: Computers
51143, predicted: Computers, actual: Computers
51193, predicted: Computers, actual: Computers
51246, predicted: Computers, actual: Computers
51305, predicted: Computers, actual: Computers
51361, predicted: Computers, actual: Computers
