52866, predicted: Kids, actual: Games
47238, predicted: News, actual: Arts
47293, predicted: Regional, actual: Arts
49568, predicted: Computers, actual: Business
49587, predicted: Arts, actual: Business
49600, predicted: Computers, actual: Business
49619, predicted: Home, actual: Business
49667, predicted: Shopping, actual: Business
49701, predicted: Society, actual: Business
52669, predicted: Arts, actual: Computers
52780, predicted: Sports, actual: Computers
52789, predicted: News, actual: Computers
52830, predicted: Adult, actual: Computers
52837, predicted: Business, actual: Computers
45211, predicted: Recreation, actual: Adult
45276, predicted: Society, actual: Adult
45627, predicted: Science, actual: Arts
46041, predicted: Kids, actual: Arts
46425, predicted: Home, actual: Arts
46887, predicted: Society, actual: Arts
47118, predicted: Business, actual: Arts
48187, predicted: Regional, actual: Business
48208, predicted: Shopping, actual: Business
48223, predicted: Sports, actual: Business
48234, predicted: Business, actual: Sports
48267, predicted: Shopping, actual: Business
48282, predicted: Regional, actual: Business
48445, predicted: Computers, actual: Business
48519, predicted: Computers, actual: Business
48522, predicted: Business, actual: Regional
48536, predicted: Home, actual: Business
48566, predicted: Science, actual: Business
48591, predicted: Business, actual: Shopping
48597, predicted: Computers, actual: Business
48753, predicted: Recreation, actual: Business
48871, predicted: Kids, actual: Business
49006, predicted: Shopping, actual: Business
49021, predicted: Business, actual: Science
49022, predicted: Computers, actual: Business
49128, predicted: Shopping, actual: Business
49260, predicted: Society, actual: Business
49346, predicted: Society, actual: Business
49435, predicted: Home, actual: Business
49545, predicted: Science, actual: Business
51543, predicted: Shopping, actual: Computers
51555, predicted: Business, actual: Computers
51590, predicted: Arts, actual: Computers
51694, predicted: Business, actual: Computers
51699, predicted: Business, actual: Computers
51828, predicted: Arts, actual: Computers
51923, predicted: Games, actual: Computers
52125, predicted: Business, actual: Computers
52147, predicted: Sports, actual: Computers
52280, predicted: Business, actual: Computers
52449, predicted: Society, actual: Computers
52514, predicted: Arts, actual: Computers
52564, predicted: Business, actual: Computers
58230, predicted: Computers, actual: Science
37132, predicted: Sports, actual: Society
37350, predicted: Recreation, actual: Society
37932, predicted: Business, actual: Society
39604, predicted: Kids, actual: Sports
39656, predicted: Science, actual: Sports
39729, predicted: Kids, actual: Sports
40472, predicted: Kids, actual: Sports
43533, predicted: Society, actual: Adult
43681, predicted: Regional, actual: Business
43692, predicted: News, actual: Business
43729, predicted: Computers, actual: Business
43780, predicted: Regional, actual: Computers
43901, predicted: Games, actual: Kids
43909, predicted: Recreation, actual: Games
44105, predicted: Home, actual: Regional
44106, predicted: Computers, actual: Home
44131, predicted: Recreation, actual: Home
44136, predicted: Home, actual: Society
44138, predicted: Business, actual: Home
44144, predicted: Home, actual: Business
