52866, predicted: Shopping, actual: Games
47311, predicted: Society, actual: Arts
49552, predicted: Computers, actual: Business
49564, predicted: Computers, actual: Business
49568, predicted: Computers, actual: Business
49574, predicted: Computers, actual: Business
49619, predicted: Arts, actual: Business
49667, predicted: Shopping, actual: Business
52669, predicted: Arts, actual: Computers
52780, predicted: Business, actual: Computers
52789, predicted: Business, actual: Computers
45211, predicted: Shopping, actual: Adult
45627, predicted: Business, actual: Arts
46425, predicted: Business, actual: Arts
48187, predicted: Shopping, actual: Business
48208, predicted: Sports, actual: Business
48234, predicted: Business, actual: Sports
48252, predicted: Shopping, actual: Business
48267, predicted: Shopping, actual: Business
48282, predicted: Health, actual: Business
48445, predicted: Computers, actual: Business
48522, predicted: Business, actual: Regional
48585, predicted: Computers, actual: Business
48597, predicted: Computers, actual: Business
48731, predicted: Society, actual: Business
48792, predicted: Computers, actual: Business
49021, predicted: Business, actual: Science
49043, predicted: Health, actual: Business
49101, predicted: Shopping, actual: Business
49128, predicted: Shopping, actual: Business
49545, predicted: Science, actual: Business
51543, predicted: Business, actual: Computers
51555, predicted: Business, actual: Computers
51590, predicted: Society, actual: Computers
51665, predicted: Business, actual: Computers
51694, predicted: Business, actual: Computers
52280, predicted: Business, actual: Computers
52414, predicted: Business, actual: Computers
52564, predicted: Business, actual: Computers
37132, predicted: Sports, actual: Society
37350, predicted: Arts, actual: Society
39656, predicted: Computers, actual: Sports
41486, predicted: Arts, actual: Sports
43354, predicted: Arts, actual: Sports
43400, predicted: Society, actual: Regional
43681, predicted: News, actual: Business
43692, predicted: News, actual: Business
43901, predicted: Games, actual: Kids
43909, predicted: Computers, actual: Games
44105, predicted: Home, actual: Regional
44106, predicted: Computers, actual: Home
44131, predicted: Business, actual: Home
44138, predicted: Business, actual: Home
44144, predicted: Home, actual: Business
44145, predicted: Business, actual: Home
44161, predicted: Home, actual: Regional
44171, predicted: Shopping, actual: Home
44173, predicted: Business, actual: Home
44175, predicted: Recreation, actual: Home
44190, predicted: Sports, actual: Kids
44203, predicted: Regional, actual: Kids
44244, predicted: News, actual: Kids
44250, predicted: Sports, actual: News
44302, predicted: News, actual: Regional
44316, predicted: Business, actual: Recreation
44318, predicted: Recreation, actual: Regional
44327, predicted: Business, actual: Regional
44331, predicted: Regional, actual: Recreation
44340, predicted: Home, actual: Science
44376, predicted: Business, actual: Recreation
44399, predicted: Science, actual: Recreation
44401, predicted: Computers, actual: Recreation
44407, predicted: Business, actual: Regional
44413, predicted: Health, actual: Reference
44454, predicted: Health, actual: Reference
44455, predicted: Society, actual: Reference
44457, predicted: Business, actual: Reference
44463, predicted: Reference, actual: Regional
44487, predicted: Computers, actual: Regional
44496, predicted: Business, actual: Regional
44499, predicted: Shopping, actual: Regional
44506, predicted: News, actual: Regional
44583, predicted: Computers, actual: Science
