47238, predicted: News, actual: Arts
47293, predicted: News, actual: Arts
49552, predicted: Computers, actual: Business
49564, predicted: Science, actual: Business
49568, predicted: Computers, actual: Business
49574, predicted: Computers, actual: Business
49667, predicted: Shopping, actual: Business
52669, predicted: Arts, actual: Computers
52830, predicted: Games, actual: Computers
45211, predicted: Arts, actual: Adult
45276, predicted: Business, actual: Adult
45541, predicted: Reference, actual: Arts
45627, predicted: Reference, actual: Arts
45951, predicted: Society, actual: Arts
46425, predicted: Business, actual: Arts
46510, predicted: Society, actual: Arts
46887, predicted: Society, actual: Arts
46930, predicted: Kids, actual: Arts
48187, predicted: Shopping, actual: Business
48208, predicted: Shopping, actual: Business
48223, predicted: Recreation, actual: Business
48234, predicted: Business, actual: Sports
48252, predicted: Shopping, actual: Business
48267, predicted: Shopping, actual: Business
48445, predicted: Computers, actual: Business
48473, predicted: Computers, actual: Business
48522, predicted: Business, actual: Regional
48597, predicted: Computers, actual: Business
48664, predicted: Health, actual: Business
48731, predicted: Society, actual: Business
49006, predicted: Home, actual: Business
49021, predicted: Business, actual: Science
49022, predicted: Computers, actual: Business
49037, predicted: Health, actual: Business
49043, predicted: Health, actual: Business
49101, predicted: Sports, actual: Business
49128, predicted: Home, actual: Business
49253, predicted: Computers, actual: Business
49346, predicted: Society, actual: Business
49358, predicted: Science, actual: Business
49368, predicted: Society, actual: Business
49435, predicted: Home, actual: Business
49515, predicted: Computers, actual: Business
49545, predicted: Science, actual: Business
51543, predicted: Business, actual: Computers
51555, predicted: Business, actual: Computers
51590, predicted: Society, actual: Computers
51828, predicted: Shopping, actual: Computers
52564, predicted: Business, actual: Computers
4053, predicted: Society, actual: Arts
37132, predicted: Regional, actual: Society
37290, predicted: Sports, actual: Society
37919, predicted: News, actual: Society
37932, predicted: Reference, actual: Society
39656, predicted: Computers, actual: Sports
40472, predicted: Recreation, actual: Sports
41486, predicted: Arts, actual: Sports
43142, predicted: Recreation, actual: Sports
43354, predicted: Arts, actual: Sports
43400, predicted: Reference, actual: Regional
43533, predicted: Regional, actual: Adult
43681, predicted: News, actual: Business
43729, predicted: Regional, actual: Business
43901, predicted: Games, actual: Kids
44105, predicted: Society, actual: Regional
44106, predicted: Computers, actual: Home
44131, predicted: Science, actual: Home
44136, predicted: Kids, actual: Society
44138, predicted: Business, actual: Home
44144, predicted: Home, actual: Business
44145, predicted: Business, actual: Home
44161, predicted: Home, actual: Regional
44173, predicted: Business, actual: Home
44175, predicted: Recreation, actual: Home
44184, predicted: Shopping, actual: Home
44190, predicted: Sports, actual: Kids
44203, predicted: Regional, actual: Kids
44209, predicted: Shopping, actual: Kids
44244, predicted: News, actual: Kids
44250, predicted: Sports, actual: News
44290, predicted: Computers, actual: Business
44302, predicted: News, actual: Regional
44316, predicted: Regional, actual: Recreation
44331, predicted: Regional, actual: Recreation
44339, predicted: Arts, actual: Recreation
44340, predicted: Home, actual: Science
44376, predicted: Business, actual: Recreation
44401, predicted: Computers, actual: Recreation
44413, predicted: Health, actual: Reference
44434, predicted: Regional, actual: Reference
44441, predicted: Science, actual: Reference
44454, predicted: Health, actual: Reference
44463, predicted: Arts, actual: Regional
44496, predicted: Business, actual: Regional
44499, predicted: Business, actual: Regional
44506, predicted: News, actual: Regional
44561, predicted: Business, actual: Science
44583, predicted: Computers, actual: Science
44591, predicted: Computers, actual: Science
44598, predicted: Society, actual: Science
44632, predicted: Regional, actual: Shopping
44681, predicted: Arts, actual: Society
44784, predicted: Business, actual: Sports
44838, predicted: Recreation, actual: Sports
45148, predicted: Society, actual: Adult
45181, predicted: Shopping, actual: Adult
45413, predicted: Society, actual: Adult
45528, predicted: Society, actual: Arts
45548, predicted: Computers, actual: Arts
45595, predicted: Reference, actual: Arts
45605, predicted: Reference, actual: Arts
45615, predicted: Reference, actual: Arts
45758, predicted: Health, actual: Arts
45835, predicted: Health, actual: Arts
45836, predicted: Health, actual: Arts
45896, predicted: Reference, actual: Arts
45899, predicted: Reference, actual: Arts
45902, predicted: Computers, actual: Arts
45926, predicted: Reference, actual: Arts
45987, predicted: Arts, actual: Kids
46071, predicted: Shopping, actual: Arts
46101, predicted: Home, actual: Arts
46127, predicted: Home, actual: Arts
46203, predicted: Home, actual: Arts
46220, predicted: Home, actual: Arts
46283, predicted: Computers, actual: Arts
46300, predicted: Games, actual: Arts
46313, predicted: Shopping, actual: Arts
46319, predicted: Reference, actual: Arts
46361, predicted: Reference, actual: Arts
46376, predicted: Reference, actual: Arts
46407, predicted: Reference, actual: Arts
46423, predicted: Regional, actual: Arts
46439, predicted: Business, actual: Arts
46451, predicted: Society, actual: Arts
46462, predicted: Games, actual: Arts
46544, predicted: Arts, actual: Games
46587, predicted: Games, actual: Arts
46620, predicted: News, actual: Arts
46691, predicted: Kids, actual: Arts
46715, predicted: Society, actual: Arts
46725, predicted: Society, actual: Arts
46745, predicted: Games, actual: Arts
46754, predicted: News, actual: Arts
