47238, predicted: Shopping, actual: Arts
47311, predicted: Business, actual: Arts
47549, predicted: Home, actual: Arts
49552, predicted: Recreation, actual: Business
49564, predicted: Society, actual: Business
49587, predicted: Shopping, actual: Business
49600, predicted: Recreation, actual: Business
49667, predicted: Shopping, actual: Business
52669, predicted: Business, actual: Computers
52683, predicted: Recreation, actual: Computers
52707, predicted: Business, actual: Computers
52733, predicted: Society, actual: Computers
52780, predicted: Health, actual: Computers
52789, predicted: Recreation, actual: Computers
52837, predicted: Adult, actual: Computers
45211, predicted: Shopping, actual: Adult
45627, predicted: Society, actual: Arts
46221, predicted: News, actual: Arts
46425, predicted: Business, actual: Arts
46930, predicted: Business, actual: Arts
48187, predicted: Reference, actual: Business
48208, predicted: Recreation, actual: Business
48234, predicted: Business, actual: Sports
48252, predicted: Shopping, actual: Business
48267, predicted: Shopping, actual: Business
48440, predicted: Sports, actual: Business
48473, predicted: Recreation, actual: Business
48522, predicted: Business, actual: Regional
48532, predicted: Sports, actual: Business
48536, predicted: Arts, actual: Business
48557, predicted: Computers, actual: Business
48585, predicted: Computers, actual: Business
48591, predicted: Business, actual: Shopping
48597, predicted: Computers, actual: Business
48613, predicted: Computers, actual: Business
48630, predicted: Computers, actual: Business
48657, predicted: Society, actual: Business
48664, predicted: Computers, actual: Business
48731, predicted: Home, actual: Business
48753, predicted: Health, actual: Business
48871, predicted: Kids, actual: Business
48872, predicted: Computers, actual: Business
48960, predicted: Shopping, actual: Business
49006, predicted: Shopping, actual: Business
49021, predicted: Business, actual: Science
49022, predicted: Computers, actual: Business
49037, predicted: Society, actual: Business
49151, predicted: Arts, actual: Business
49213, predicted: Shopping, actual: Business
49229, predicted: Arts, actual: Business
49253, predicted: Society, actual: Business
49260, predicted: Shopping, actual: Business
49346, predicted: Health, actual: Business
49358, predicted: Computers, actual: Business
49362, predicted: Adult, actual: Business
49422, predicted: Arts, actual: Business
49490, predicted: Society, actual: Business
49515, predicted: Computers, actual: Business
49545, predicted: Reference, actual: Business
51543, predicted: Business, actual: Computers
51555, predicted: Business, actual: Computers
51590, predicted: Arts, actual: Computers
51614, predicted: Recreation, actual: Computers
51647, predicted: Business, actual: Computers
51665, predicted: Arts, actual: Computers
51691, predicted: Business, actual: Computers
51699, predicted: Business, actual: Computers
51743, predicted: Arts, actual: Computers
51828, predicted: Arts, actual: Computers
51829, predicted: Business, actual: Computers
51923, predicted: Arts, actual: Computers
52060, predicted: Recreation, actual: Computers
52125, predicted: Arts, actual: Computers
52147, predicted: Kids, actual: Computers
52169, predicted: Arts, actual: Computers
52250, predicted: Adult, actual: Computers
52280, predicted: Business, actual: Computers
52334, predicted: Arts, actual: Computers
52337, predicted: Arts, actual: Computers
52374, predicted: Business, actual: Computers
52405, predicted: Business, actual: Computers
52414, predicted: Business, actual: Computers
52449, predicted: Adult, actual: Computers
52457, predicted: Adult, actual: Computers
52514, predicted: Recreation, actual: Computers
52564, predicted: Business, actual: Computers
58230, predicted: Business, actual: Science
4053, predicted: News, actual: Arts
37132, predicted: Shopping, actual: Society
37301, predicted: Arts, actual: Society
37350, predicted: Arts, actual: Society
37919, predicted: News, actual: Society
37932, predicted: Health, actual: Society
38254, predicted: Shopping, actual: Sports
38304, predicted: Recreation, actual: Sports
38436, predicted: Shopping, actual: Sports
38674, predicted: Arts, actual: Sports
38803, predicted: Business, actual: Sports
39656, predicted: Business, actual: Sports
39869, predicted: Society, actual: Sports
40472, predicted: Business, actual: Sports
41219, predicted: Recreation, actual: Sports
41486, predicted: Arts, actual: Sports
41642, predicted: Shopping, actual: Sports
42195, predicted: Shopping, actual: Sports
43122, predicted: Shopping, actual: Sports
43354, predicted: Arts, actual: Sports
43400, predicted: Reference, actual: Regional
43533, predicted: Shopping, actual: Adult
43681, predicted: Shopping, actual: Business
43780, predicted: Business, actual: Computers
43901, predicted: Business, actual: Kids
43909, predicted: Sports, actual: Games
44037, predicted: Kids, actual: Health
44105, predicted: Health, actual: Regional
44106, predicted: Arts, actual: Home
44131, predicted: Society, actual: Home
44138, predicted: Shopping, actual: Home
44144, predicted: Computers, actual: Business
44145, predicted: Business, actual: Home
44146, predicted: Computers, actual: Home
44161, predicted: Health, actual: Regional
44173, predicted: Health, actual: Home
44175, predicted: Shopping, actual: Home
44184, predicted: Arts, actual: Home
44190, predicted: Sports, actual: Kids
44203, predicted: Recreation, actual: Kids
44209, predicted: Business, actual: Kids
44244, predicted: News, actual: Kids
44250, predicted: Health, actual: News
44302, predicted: News, actual: Regional
44316, predicted: Society, actual: Recreation
44318, predicted: Business, actual: Regional
44327, predicted: Business, actual: Regional
44331, predicted: Shopping, actual: Recreation
44339, predicted: Arts, actual: Recreation
44340, predicted: Arts, actual: Science
44376, predicted: Business, actual: Recreation
44399, predicted: Business, actual: Recreation
44401, predicted: Sports, actual: Recreation
44407, predicted: Business, actual: Regional
44413, predicted: Health, actual: Reference
44434, predicted: Regional, actual: Reference
44457, predicted: Arts, actual: Reference
44463, predicted: Shopping, actual: Regional
44487, predicted: Computers, actual: Regional
44496, predicted: Business, actual: Regional
44499, predicted: Shopping, actual: Regional
44506, predicted: Business, actual: Regional
44539, predicted: Business, actual: Science
44553, predicted: Home, actual: Science
44556, predicted: Computers, actual: Science
44558, predicted: Arts, actual: Science
44561, predicted: Business, actual: Science
44583, predicted: Sports, actual: Science
44591, predicted: Arts, actual: Science
44598, predicted: Society, actual: Science
44632, predicted: Computers, actual: Shopping
44681, predicted: Computers, actual: Society
44725, predicted: Adult, actual: Society
44784, predicted: Business, actual: Sports
44785, predicted: Business, actual: Sports
44835, predicted: Business, actual: Sports
44838, predicted: Business, actual: Sports
44875, predicted: Arts, actual: Adult
44934, predicted: Society, actual: Adult
44990, predicted: Arts, actual: Adult
45081, predicted: Recreation, actual: Adult
45148, predicted: Shopping, actual: Adult
45181, predicted: Recreation, actual: Adult
45219, predicted: Arts, actual: Adult
45222, predicted: Shopping, actual: Adult
45237, predicted: Arts, actual: Adult
45351, predicted: Arts, actual: Adult
45362, predicted: Business, actual: Adult
45389, predicted: Sports, actual: Adult
45403, predicted: Kids, actual: Adult
45595, predicted: Society, actual: Arts
45605, predicted: Recreation, actual: Arts
45615, predicted: Sports, actual: Arts
45758, predicted: Health, actual: Arts
45835, predicted: Health, actual: Arts
45836, predicted: Health, actual: Arts
45926, predicted: Reference, actual: Arts
45987, predicted: Arts, actual: Kids
46007, predicted: Society, actual: Arts
46032, predicted: Shopping, actual: Arts
46071, predicted: Shopping, actual: Arts
46073, predicted: Home, actual: Arts
46100, predicted: Computers, actual: Arts
46101, predicted: Shopping, actual: Arts
46127, predicted: Games, actual: Arts
46191, predicted: Recreation, actual: Arts
46203, predicted: Sports, actual: Arts
46220, predicted: Sports, actual: Arts
46264, predicted: Sports, actual: Arts
46300, predicted: Recreation, actual: Arts
46313, predicted: Business, actual: Arts
46319, predicted: Computers, actual: Arts
46358, predicted: Business, actual: Arts
46376, predicted: Business, actual: Arts
46407, predicted: Recreation, actual: Arts
46423, predicted: Recreation, actual: Arts
46439, predicted: Business, actual: Arts
46451, predicted: Computers, actual: Arts
46462, predicted: Computers, actual: Arts
46463, predicted: Sports, actual: Arts
46500, predicted: Recreation, actual: Arts
46506, predicted: Health, actual: Arts
46507, predicted: Home, actual: Arts
46529, predicted: Recreation, actual: Arts
46544, predicted: Arts, actual: Games
46587, predicted: Sports, actual: Arts
46620, predicted: Society, actual: Arts
46640, predicted: Kids, actual: Arts
46684, predicted: Business, actual: Arts
46691, predicted: Computers, actual: Arts
46715, predicted: Society, actual: Arts
46725, predicted: Computers, actual: Arts
46745, predicted: Society, actual: Arts
46754, predicted: Sports, actual: Arts
46764, predicted: Recreation, actual: Arts
46765, predicted: Adult, actual: Arts
46778, predicted: Sports, actual: Arts
46781, predicted: Society, actual: Arts
46790, predicted: Society, actual: Arts
46815, predicted: Computers, actual: Arts
46839, predicted: Sports, actual: Arts
46849, predicted: Recreation, actual: Arts
46877, predicted: Sports, actual: Arts
46898, predicted: Business, actual: Arts
46918, predicted: Home, actual: Arts
46934, predicted: Society, actual: Arts
46962, predicted: Business, actual: Arts
46964, predicted: Reference, actual: Arts
46979, predicted: Adult, actual: Arts
47035, predicted: Recreation, actual: Arts
47100, predicted: Business, actual: Shopping
47129, predicted: Society, actual: Arts
47160, predicted: Computers, actual: Arts
47213, predicted: Society, actual: Arts
47361, predicted: Sports, actual: Arts
47375, predicted: Computers, actual: Arts
47385, predicted: Business, actual: Arts
47392, predicted: Recreation, actual: Arts
47407, predicted: Health, actual: Arts
47420, predicted: Shopping, actual: Arts
47435, predicted: Society, actual: Arts
47441, predicted: Computers, actual: Arts
47451, predicted: Recreation, actual: Arts
47476, predicted: Recreation, actual: Arts
47490, predicted: News, actual: Recreation
47502, predicted: Sports, actual: Arts
47507, predicted: Sports, actual: Arts
47523, predicted: Sports, actual: Arts
47530, predicted: Health, actual: Arts
47575, predicted: Health, actual: Arts
47592, predicted: Society, actual: Arts
47618, predicted: Sports, actual: Business
47619, predicted: Shopping, actual: Business
47664, predicted: Health, actual: Business
47725, predicted: Health, actual: Business
47731, predicted: Society, actual: Business
47743, predicted: Recreation, actual: Business
47747, predicted: Computers, actual: Business
47749, predicted: Shopping, actual: Business
47762, predicted: Shopping, actual: Business
47770, predicted: Recreation, actual: Business
47780, predicted: Reference, actual: Business
47802, predicted: Recreation, actual: Business
47810, predicted: Arts, actual: Business
47818, predicted: Health, actual: Business
47861, predicted: Shopping, actual: Business
47885, predicted: Games, actual: Business
47906, predicted: Computers, actual: Business
47912, predicted: Society, actual: Business
48050, predicted: Business, actual: Society
48057, predicted: Shopping, actual: Business
48081, predicted: Society, actual: Business
48108, predicted: Computers, actual: Business
48120, predicted: Arts, actual: Business
48128, predicted: Shopping, actual: Business
48199, predicted: Computers, actual: Business
48248, predicted: Shopping, actual: Business
48278, predicted: Reference, actual: Business
48306, predicted: Arts, actual: Business
48359, predicted: Adult, actual: Business
48365, predicted: Computers, actual: Business
48528, predicted: Shopping, actual: Business
48534, predicted: Arts, actual: Business
48747, predicted: Sports, actual: Business
48814, predicted: Adult, actual: Business
48880, predicted: Computers, actual: Business
48891, predicted: Shopping, actual: Business
48949, predicted: Recreation, actual: Business
48997, predicted: Sports, actual: Business
49046, predicted: Shopping, actual: Business
49071, predicted: Arts, actual: Business
49078, predicted: Recreation, actual: Business
49117, predicted: Computers, actual: Business
49211, predicted: Shopping, actual: Business
49223, predicted: Health, actual: Business
49252, predicted: Recreation, actual: Business
49276, predicted: Sports, actual: Business
49526, predicted: Society, actual: Business
49572, predicted: Shopping, actual: Business
49643, predicted: Health, actual: Business
49691, predicted: Arts, actual: Business
49734, predicted: Computers, actual: Business
49806, predicted: Shopping, actual: Business
49846, predicted: Arts, actual: Business
49914, predicted: Adult, actual: Business
49951, predicted: Sports, actual: Business
50055, predicted: Adult, actual: Business
50088, predicted: Arts, actual: Business
50183, predicted: Sports, actual: Business
50196, predicted: Arts, actual: Business
50380, predicted: Recreation, actual: Business
50433, predicted: Society, actual: Business
50435, predicted: Shopping, actual: Business
50604, predicted: Business, actual: Computers
50637, predicted: Business, actual: Computers
50677, predicted: Health, actual: Computers
50680, predicted: Business, actual: Computers
50778, predicted: Business, actual: Computers
50794, predicted: Business, actual: Computers
50801, predicted: Shopping, actual: Computers
50863, predicted: Business, actual: Computers
50902, predicted: Arts, actual: Computers
51033, predicted: Recreation, actual: Computers
51046, predicted: Business, actual: Computers
51065, predicted: Arts, actual: Computers
51081, predicted: Computers, actual: Science
51090, predicted: Society, actual: Computers
51110, predicted: Business, actual: Computers
51295, predicted: Business, actual: Computers
