ref id,Predicted,Actual
49773,"['Arts', 'Business']",Business
47238,"['Arts', 'Sports']",Arts
47293,['Arts'],Arts
47311,"['Arts', 'Society']",Arts
47365,['Arts'],Arts
47459,['Arts'],Arts
47549,['Arts'],Arts
49559,['Business'],Business
49564,"['Business', 'Computers', 'Science', 'Society']",Business
49568,"['Business', 'Computers']",Business
49574,"['Business', 'Computers']",Business
49587,"['Business', 'Computers', 'Health']",Business
49600,"['Arts', 'Business', 'Society', 'Sports']",Business
49619,"['Arts', 'Business']",Business
49667,"['Business', 'Shopping']",Business
49697,"['Arts', 'Business']",Business
49701,"['Business', 'Science', 'Shopping']",Business
49714,"['Arts', 'Business']",Business
49740,['Business'],Business
52683,"['Arts', 'Business', 'Computers', 'Society']",Computers
52707,"['Arts', 'Computers']",Computers
52720,"['Arts', 'Computers', 'Shopping', 'Society']",Computers
52729,"['Arts', 'Business', 'Computers']",Computers
52733,"['Arts', 'Computers', 'Society']",Computers
52749,"['Business', 'Computers']",Computers
52780,"['Arts', 'Business', 'Computers', 'Society']",Computers
52830,"['Arts', 'Computers', 'Shopping']",Computers
52837,"['Arts', 'Business', 'Computers']",Computers
52846,"['Arts', 'Games']",Games
52858,"['Arts', 'Games', 'Reference', 'Society']",Games
45276,"['Adult', 'Society']",Adult
45409,['Adult'],Adult
45541,['Arts'],Arts
45627,"['Arts', 'Business', 'Shopping']",Arts
45832,['Arts'],Arts
45949,"['Arts', 'Society']",Arts
45951,"['Arts', 'Society']",Arts
46041,"['Arts', 'Society', 'Sports']",Arts
46221,['Arts'],Arts
46320,['Arts'],Arts
46510,"['Arts', 'Society']",Arts
46567,['Arts'],Arts
46887,['Arts'],Arts
46930,['Arts'],Arts
47118,['Arts'],Arts
48141,['Business'],Business
48168,"['Arts', 'Business']",Business
48187,"['Business', 'Shopping']",Business
48223,"['Arts', 'Business']",Business
48252,"['Business', 'Shopping']",Business
48267,"['Business', 'Shopping']",Business
48323,['Business'],Business
48330,['Business'],Business
48366,['Business'],Business
48368,['Business'],Business
48432,['Business'],Business
48440,['Business'],Business
48445,"['Business', 'Computers']",Business
48473,"['Arts', 'Business', 'Computers']",Business
48506,"['Arts', 'Business']",Business
48507,"['Arts', 'Business']",Business
48519,"['Business', 'Computers']",Business
48532,"['Business', 'Computers']",Business
48536,['Business'],Business
48557,"['Business', 'Computers']",Business
48566,['Business'],Business
48585,"['Business', 'Computers']",Business
48589,"['Business', 'Computers']",Business
48591,"['Business', 'Shopping']",Shopping
48597,"['Business', 'Computers']",Business
48613,"['Arts', 'Business', 'Society']",Business
48630,"['Business', 'Society']",Business
48657,['Business'],Business
48664,['Business'],Business
48717,['Business'],Business
48724,"['Arts', 'Business']",Business
48753,"['Business', 'Computers']",Business
48772,"['Business', 'Society']",Business
48789,['Business'],Business
48792,"['Business', 'Computers']",Business
48851,['Business'],Business
48871,"['Arts', 'Business', 'Reference', 'Regional']",Business
48872,"['Business', 'Society']",Business
48877,"['Arts', 'Business', 'Society']",Business
48915,['Business'],Business
48960,['Business'],Business
49006,"['Arts', 'Business', 'Shopping']",Business
49022,"['Business', 'Computers']",Business
49024,['Business'],Business
49037,"['Business', 'Science']",Business
49043,"['Business', 'Health']",Business
49075,['Business'],Business
49091,['Business'],Business
49101,"['Arts', 'Business', 'Recreation', 'Shopping']",Business
49128,"['Business', 'Shopping']",Business
49151,['Business'],Business
49213,"['Arts', 'Business']",Business
49229,"['Business', 'Society']",Business
49230,['Business'],Business
49253,"['Business', 'Society']",Business
49260,"['Arts', 'Business', 'Shopping', 'Society']",Business
49271,"['Business', 'Science']",Business
49346,"['Business', 'Health', 'Society']",Business
49358,"['Business', 'Health']",Business
49362,['Business'],Business
49368,"['Business', 'Society']",Business
49390,"['Business', 'Society']",Business
49408,"['Arts', 'Business']",Business
49422,['Business'],Business
49435,"['Business', 'Home']",Business
49444,"['Arts', 'Business', 'Society']",Business
49490,"['Business', 'Shopping']",Business
49515,"['Business', 'Computers']",Business
51555,"['Arts', 'Business', 'Computers', 'Shopping']",Computers
51647,"['Business', 'Computers']",Computers
51665,"['Arts', 'Business', 'Computers']",Computers
51691,"['Business', 'Computers']",Computers
51694,"['Arts', 'Business', 'Computers']",Computers
51699,"['Business', 'Computers', 'Society']",Computers
51743,"['Business', 'Computers']",Computers
51795,"['Arts', 'Computers']",Computers
51828,"['Arts', 'Computers', 'Shopping']",Computers
51829,"['Arts', 'Computers', 'Shopping']",Computers
51923,"['Arts', 'Business', 'Computers', 'Reference', 'Society']",Computers
51947,"['Arts', 'Computers']",Computers
51959,"['Arts', 'Computers']",Computers
52060,"['Arts', 'Business', 'Computers', 'Society']",Computers
52125,"['Arts', 'Business', 'Computers', 'Society', 'Sports']",Computers
52147,"['Arts', 'Computers']",Computers
52169,"['Arts', 'Business', 'Computers']",Computers
52250,"['Arts', 'Business', 'Computers']",Computers
52334,"['Business', 'Computers']",Computers
52337,"['Business', 'Computers']",Computers
52374,"['Business', 'Computers']",Computers
52405,"['Business', 'Computers']",Computers
