ref id,Predicted,Actual
52866,"['Arts', 'Shopping']",Games
49552,"['Arts', 'Computers']",Business
52669,"['Arts', 'Business']",Computers
52789,"['Arts', 'Business']",Computers
45211,"['Arts', 'Business', 'Shopping']",Adult
46425,['Business'],Arts
48208,"['Arts', 'Sports']",Business
48234,"['Business', 'Computers']",Sports
48282,['Health'],Business
48522,['Business'],Regional
48731,"['Arts', 'Society']",Business
49021,['Business'],Science
49545,"['Computers', 'Science']",Business
51543,"['Arts', 'Business', 'Shopping']",Computers
51590,"['Arts', 'Society']",Computers
51614,"['Arts', 'Society']",Computers
52280,"['Arts', 'Business', 'Shopping']",Computers
37350,"['Arts', 'Shopping']",Society
39656,['Arts'],Sports
41486,['Arts'],Sports
43400,"['Reference', 'Society']",Regional
44105,"['Home', 'Society']",Regional
44106,"['Arts', 'Computers']",Home
44131,"['Arts', 'Business']",Home
44138,"['Arts', 'Business', 'Shopping']",Home
44145,['Business'],Home
44161,"['Health', 'Home']",Regional
44173,"['Arts', 'Business', 'Society']",Home
44175,"['Arts', 'Business', 'Recreation']",Home
44190,['Sports'],Kids
44203,"['Reference', 'Regional', 'Society']",Kids
44244,"['Arts', 'News']",Kids
44316,"['Business', 'Regional', 'Shopping']",Recreation
44327,"['Arts', 'Business', 'Society']",Regional
44331,"['Business', 'Regional']",Recreation
44340,"['Arts', 'Home', 'Society']",Science
44376,['Business'],Recreation
44399,"['Arts', 'Science']",Recreation
44401,"['Computers', 'Society']",Recreation
44413,"['Arts', 'Health', 'Society']",Reference
44457,"['Arts', 'Business', 'Society']",Reference
44463,"['Arts', 'Business', 'Health', 'Reference']",Regional
44487,"['Arts', 'Computers', 'Reference']",Regional
44496,"['Adult', 'Business', 'Shopping']",Regional
44499,"['Arts', 'Business', 'Health', 'Shopping']",Regional
44506,"['Arts', 'News']",Regional
44583,['Computers'],Science
44591,"['Arts', 'Business']",Science
44598,"['Arts', 'Society']",Science
45148,"['Arts', 'Shopping']",Adult
45181,"['Arts', 'Shopping']",Adult
45237,"['Arts', 'Recreation']",Adult
45758,"['Business', 'Health']",Arts
45835,['Health'],Arts
45987,"['Arts', 'Home']",Kids
46544,['Arts'],Games
46778,"['Business', 'Computers', 'Society']",Arts
46781,"['News', 'Society']",Arts
47100,"['Arts', 'Recreation', 'Sports']",Shopping
47490,"['Arts', 'Kids']",Recreation
47575,"['Business', 'Health']",Arts
47747,['Science'],Business
47786,"['Arts', 'Computers', 'Sports']",Business
47818,"['Health', 'Society']",Business
48050,['Business'],Society
48120,['Arts'],Business
48128,['Shopping'],Business
48528,"['Adult', 'Arts', 'Computers', 'Home', 'Reference', 'Shopping']",Business
50604,['Adult'],Computers
50614,"['Business', 'Health', 'News', 'Science']",Computers
51033,"['Business', 'Games', 'Health', 'News', 'Recreation', 'Reference', 'Shopping']",Computers
51065,"['Business', 'News', 'Regional', 'Shopping']",Computers
51361,"['Business', 'Health', 'Reference']",Computers
57056,"['Business', 'Games', 'Health', 'News', 'Reference', 'Regional']",Recreation
57207,"['Business', 'Health', 'Reference']",Recreation
57857,"['Business', 'Games', 'Health', 'News', 'Shopping']",Reference
58187,"['Business', 'Games', 'Health', 'News', 'Reference', 'Regional', 'Shopping']",Science
13413,"['Business', 'Shopping']",Computers
14311,"['Arts', 'Computers']",Games
15667,['Arts'],Health
18047,"['Business', 'Home']",Society
18721,"['Business', 'Kids']",Home
19170,['Arts'],Kids
19255,['Health'],Kids
19361,['Recreation'],Kids
19390,"['Business', 'Health', 'Science']",Kids
19526,"['Recreation', 'Reference', 'Regional']",Kids
19574,"['Recreation', 'Regional']",Kids
19576,"['Business', 'Recreation', 'Reference', 'Regional']",Kids
19603,"['Business', 'Kids', 'News', 'Regional']",Sports
19668,"['Recreation', 'Sports']",Kids
21035,"['Business', 'News', 'Science']",Society
21307,"['Business', 'Regional']",News
21349,"['Arts', 'Business']",News
21379,"['Recreation', 'Sports']",News
21403,"['Reference', 'Regional', 'Science']",News
21480,"['Arts', 'Science']",News
21534,"['Arts', 'Shopping']",Recreation
21621,"['Arts', 'Computers']",Recreation
21712,['Regional'],Recreation
21946,['Home'],Recreation
22161,"['Business', 'Computers']",Recreation
22267,"['Arts', 'News', 'Reference']",Recreation
22522,"['Business', 'Games', 'Health', 'Reference', 'Regional', 'Science']",Recreation
22578,['Computers'],Recreation
22702,"['Business', 'Health', 'Science']",Recreation
22807,"['Business', 'Science']",Recreation
23061,"['Games', 'News', 'Reference']",Recreation
23074,"['Arts', 'Kids']",Recreation
23086,"['Adult', 'Arts']",Recreation
23138,"['Arts', 'Computers']",Recreation
23346,"['Business', 'Recreation']",Society
23438,"['Arts', 'Health', 'Recreation', 'Reference', 'Science']",Society
23514,['Reference'],Recreation
