20549, predicted: ['Business'], actual: Society
4170, predicted: ['Arts'], actual: Games
8267, predicted: ['Business'], actual: Society
124, predicted: ['Arts'], actual: Regional
129, predicted: ['Games'], actual: Arts
8358, predicted: ['Shopping'], actual: Business
3442, predicted: ['Business'], actual: Arts
174, predicted: ['Arts'], actual: Regional
200, predicted: ['Arts'], actual: Regional
205, predicted: ['Arts'], actual: Society
32979, predicted: ['Sports'], actual: Shopping
213, predicted: ['Home'], actual: Arts
226, predicted: ['Arts'], actual: Regional
49391, predicted: ['Business'], actual: Regional
254, predicted: ['Business'], actual: Regional
256, predicted: ['Home'], actual: Regional
264, predicted: ['Regional'], actual: Shopping
265, predicted: ['Business'], actual: Regional
4384, predicted: ['Arts'], actual: News
308, predicted: ['Business'], actual: News
310, predicted: ['Home'], actual: Business
318, predicted: ['Business'], actual: Regional
329, predicted: ['Business'], actual: Regional
3471, predicted: ['Arts'], actual: Business
349, predicted: ['Home'], actual: Business
352, predicted: ['Business'], actual: Sports
10299, predicted: ['Business'], actual: Computers
23744, predicted: ['Recreation'], actual: Society
366, predicted: ['Reference'], actual: Computers
45439, predicted: ['Kids'], actual: Arts
430, predicted: ['Shopping'], actual: Computers
436, predicted: ['Games'], actual: Regional
446, predicted: ['Games'], actual: Sports
564, predicted: ['Health'], actual: Science
45638, predicted: ['Arts'], actual: Kids
12881, predicted: ['Computers'], actual: Science
12890, predicted: ['Computers'], actual: Science
12894, predicted: ['Computers'], actual: Science
49804, predicted: ['Business'], actual: News
4758, predicted: ['Arts'], actual: Reference
693, predicted: ['Home'], actual: Society
45758, predicted: ['Health'], actual: Arts
8915, predicted: ['Business'], actual: Society
125, predicted: ['News'], actual: Arts
50028, predicted: ['Business'], actual: Society
771, predicted: ['Home'], actual: Recreation
782, predicted: ['Business'], actual: Home
824, predicted: ['Computers'], actual: Kids
13113, predicted: ['Computers'], actual: Regional
21307, predicted: ['Regional'], actual: News
829, predicted: ['Sports'], actual: Kids
851, predicted: ['Kids'], actual: Science
43836, predicted: ['Business'], actual: Computers
874, predicted: ['News'], actual: Arts
904, predicted: ['Science'], actual: Kids
1527, predicted: ['Shopping'], actual: Regional
54589, predicted: ['Business'], actual: Health
8898, predicted: ['Business'], actual: Home
852, predicted: ['Computers'], actual: Kids
173, predicted: ['Arts'], actual: Kids
856, predicted: ['Science'], actual: Reference
1076, predicted: ['Business'], actual: News
1085, predicted: ['News'], actual: Society
869, predicted: ['Business'], actual: Kids
5242, predicted: ['Arts'], actual: Kids
1212, predicted: ['Reference'], actual: Regional
46313, predicted: ['Shopping'], actual: Arts
43552, predicted: ['Arts'], actual: Regional
1325, predicted: ['Computers'], actual: Reference
907, predicted: ['Shopping'], actual: Arts
909, predicted: ['Kids'], actual: Arts
1591, predicted: ['Business'], actual: Shopping
1382, predicted: ['Regional'], actual: Shopping
8426, predicted: ['Business'], actual: Home
1422, predicted: ['Society'], actual: Science
9615, predicted: ['News'], actual: Science
1454, predicted: ['Science'], actual: Reference
1460, predicted: ['Computers'], actual: Business
1475, predicted: ['Science'], actual: Recreation
929, predicted: ['Arts'], actual: Society
1481, predicted: ['Reference'], actual: Science
247, predicted: ['Business'], actual: Regional
46544, predicted: ['Arts'], actual: Games
1489, predicted: ['Computers'], actual: Science
26880, predicted: ['Regional'], actual: Science
26129, predicted: ['Reference'], actual: Shopping
262, predicted: ['Business'], actual: Home
9801, predicted: ['Business'], actual: News
8919, predicted: ['Business'], actual: Regional
46691, predicted: ['Kids'], actual: Arts
1629, predicted: ['Computers'], actual: Regional
1653, predicted: ['Business'], actual: Society
5756, predicted: ['Arts'], actual: Reference
11207, predicted: ['Science'], actual: Computers
26289, predicted: ['Reference'], actual: Science
294, predicted: ['Computers'], actual: Regional
