ref id,Predicted,Actual
52866,['Arts'],Games
47238,['Sports'],Arts
47293,['News'],Arts
47311,['Business'],Arts
47365,['Sports'],Arts
49552,['Computers'],Business
49559,['Computers'],Business
49564,['Computers'],Business
49574,['Computers'],Business
49667,['Shopping'],Business
49701,['Recreation'],Business
49714,['Shopping'],Business
52669,['Arts'],Computers
52789,['Sports'],Computers
52858,['Computers'],Games
45211,['Shopping'],Adult
45276,['Computers'],Adult
45627,['Business'],Arts
45949,['Society'],Arts
45951,['Society'],Arts
46425,['Business'],Arts
46930,['Business'],Arts
48208,['Sports'],Business
48234,['Business'],Sports
48252,['Shopping'],Business
48267,['Shopping'],Business
48282,['Health'],Business
48445,['Computers'],Business
48473,['Computers'],Business
48507,['Sports'],Business
48522,['Business'],Regional
48557,['Computers'],Business
48585,['Computers'],Business
48597,['Computers'],Business
48657,['Science'],Business
48753,['Computers'],Business
48792,['Computers'],Business
49006,['Shopping'],Business
49021,['Business'],Science
49043,['Health'],Business
49128,['Shopping'],Business
49213,['Society'],Business
49253,['Society'],Business
49260,['Society'],Business
49271,['Shopping'],Business
49515,['Computers'],Business
49545,['Science'],Business
51555,['Shopping'],Computers
51590,['Society'],Computers
51614,['Society'],Computers
51665,['Business'],Computers
51694,['Business'],Computers
51828,['Shopping'],Computers
52280,['Shopping'],Computers
52564,['Business'],Computers
58230,['Society'],Science
37132,['Recreation'],Society
37290,['Sports'],Society
37350,['Arts'],Society
40472,['Shopping'],Sports
41486,['Arts'],Sports
43354,['Arts'],Sports
43400,['Society'],Regional
43681,['News'],Business
43729,['Arts'],Business
43901,['Computers'],Kids
43909,['Society'],Games
43935,['Arts'],Games
44105,['Society'],Regional
44106,['Arts'],Home
44131,['Shopping'],Home
44138,['Business'],Home
44145,['Business'],Home
44161,['Home'],Regional
44171,['Shopping'],Home
44173,['Business'],Home
44175,['Recreation'],Home
44184,['Arts'],Home
44190,['Sports'],Kids
44203,['Regional'],Kids
44209,['Shopping'],Kids
44244,['News'],Kids
44250,['Sports'],News
44302,['News'],Regional
44316,['Business'],Recreation
44327,['Arts'],Regional
44331,['Regional'],Recreation
44339,['Arts'],Recreation
44340,['Society'],Science
44376,['Business'],Recreation
44399,['Home'],Recreation
44401,['Computers'],Recreation
44407,['Business'],Regional
44413,['Health'],Reference
44457,['Society'],Reference
44463,['Shopping'],Regional
44487,['Computers'],Regional
44496,['Business'],Regional
44499,['Shopping'],Regional
44506,['Sports'],Regional
44539,['Business'],Science
44556,['Computers'],Science
44583,['Computers'],Science
44591,['Health'],Science
44598,['Society'],Science
44632,['Regional'],Shopping
44784,['Business'],Sports
45148,['News'],Adult
45181,['Shopping'],Adult
45237,['Arts'],Adult
45389,['Society'],Adult
45528,['Shopping'],Arts
45595,['Shopping'],Arts
45758,['Health'],Arts
45835,['Health'],Arts
45884,['Computers'],Arts
45892,['Computers'],Arts
45902,['Computers'],Arts
45987,['Home'],Kids
46032,['Shopping'],Arts
46077,['Computers'],Arts
46101,['Shopping'],Arts
46127,['Shopping'],Arts
46203,['Business'],Arts
46283,['Computers'],Arts
46300,['Shopping'],Arts
46313,['Shopping'],Arts
46352,['Computers'],Arts
46358,['Computers'],Arts
46376,['Society'],Arts
46423,['Business'],Arts
46439,['Recreation'],Arts
46451,['News'],Arts
46500,['Society'],Arts
46544,['Arts'],Games
46587,['Shopping'],Arts
46691,['Kids'],Arts
46715,['Society'],Arts
46745,['Sports'],Arts
46764,['Society'],Arts
46765,['Shopping'],Arts
46778,['Society'],Arts
46781,['Society'],Arts
46847,['Computers'],Arts
46849,['Recreation'],Arts
46894,['Sports'],Arts
46934,['Society'],Arts
46962,['Society'],Arts
46964,['Reference'],Arts
46979,['Society'],Arts
47077,['Society'],Arts
47100,['Sports'],Shopping
47160,['Society'],Arts
47213,['Computers'],Arts
47319,['Sports'],Arts
47361,['Sports'],Arts
47367,['Shopping'],Arts
47385,['Computers'],Arts
47420,['Business'],Arts
47435,['Computers'],Arts
47441,['Computers'],Arts
47451,['Computers'],Arts
47490,['Kids'],Recreation
47502,['Computers'],Arts
47517,['Society'],Arts
47575,['Society'],Arts
47592,['Society'],Arts
47678,['Society'],Business
47722,['Shopping'],Business
47725,['Recreation'],Business
47731,['Computers'],Business
47743,['Recreation'],Business
47747,['Shopping'],Business
47770,['Shopping'],Business
47773,['Shopping'],Business
47784,['Shopping'],Business
47786,['Arts'],Business
47802,['Regional'],Business
47810,['Arts'],Business
47818,['Health'],Business
47825,['Shopping'],Business
47861,['Computers'],Business
47885,['Shopping'],Business
47891,['Shopping'],Business
47914,['Health'],Business
47963,['Society'],Business
48037,['Science'],Business
48050,['Business'],Society
48120,['Arts'],Business
48128,['Shopping'],Business
48246,['Sports'],Business
48248,['Shopping'],Business
48278,['Shopping'],Business
48306,['Computers'],Business
48359,['Computers'],Business
48365,['Computers'],Business
48458,['Health'],Business
48520,['Health'],Business
48524,['Society'],Business
48528,['Reference'],Business
48534,['Computers'],Business
48626,['Arts'],Business
48674,['Kids'],Recreation
48747,['Sports'],Business
48814,['Shopping'],Business
48840,['Shopping'],Business
48949,['Computers'],Business
49068,['Computers'],Business
49078,['Computers'],Business
49117,['Computers'],Business
49183,['Shopping'],Business
49211,['Computers'],Business
49252,['Shopping'],Business
49586,['Business'],Computers
49643,['Arts'],Business
49691,['Society'],Business
49846,['Society'],Business
49914,['Shopping'],Business
49951,['Shopping'],Business
50055,['Computers'],Business
50088,['Computers'],Business
50183,['Shopping'],Business
50380,['Shopping'],Business
50433,['Society'],Business
50495,['Shopping'],Business
50614,['Society'],Computers
50637,['Business'],Computers
50801,['Shopping'],Computers
50818,['Business'],Computers
50922,['Business'],Computers
51014,['Business'],Computers
51033,['Society'],Computers
51046,['Business'],Computers
51065,['Business'],Computers
51081,['Society'],Science
51090,['Business'],Computers
51251,['Shopping'],Computers
51361,['Society'],Computers
51372,['Business'],Computers
56998,['Shopping'],Recreation
57056,['Society'],Recreation
57087,['Society'],Recreation
57111,['Sports'],Recreation
57178,['Shopping'],Recreation
57207,['Society'],Recreation
57857,['Computers'],Reference
57897,['Computers'],Reference
58058,['Society'],Regional
58120,['Society'],Regional
58183,['Shopping'],Science
58187,['Computers'],Science
13413,['Shopping'],Computers
14311,['Computers'],Games
15551,['Science'],Health
15667,['Arts'],Health
17254,['Recreation'],Health
18047,['Business'],Society
18251,['Kids'],Home
18521,['Arts'],Home
18721,['Kids'],Home
19170,['Arts'],Kids
19255,['Health'],Kids
19361,['Recreation'],Kids
19390,['Science'],Kids
19526,['Recreation'],Kids
19574,['Recreation'],Kids
19576,['Recreation'],Kids
19603,['Kids'],Sports
19668,['Recreation'],Kids
20140,['Recreation'],News
20150,['Business'],News
20958,['Business'],News
21035,['Science'],Society
21041,['Health'],News
21081,['Arts'],News
21307,['Regional'],News
21349,['Business'],News
21362,['Recreation'],News
21379,['Sports'],News
21386,['Recreation'],News
21402,['Recreation'],News
21403,['Science'],News
21406,['Arts'],News
21450,['Health'],News
21480,['Arts'],News
21502,['Shopping'],Recreation
21512,['Arts'],Recreation
21534,['Shopping'],Recreation
21552,['Games'],Recreation
21553,['Business'],Recreation
21621,['Computers'],Recreation
21686,['Business'],Recreation
21712,['Regional'],Recreation
21801,['Sports'],Recreation
21946,['Home'],Recreation
22068,['Sports'],Recreation
22076,['Sports'],Recreation
22161,['Computers'],Recreation
22267,['Arts'],Recreation
22522,['Computers'],Recreation
22529,['Shopping'],Recreation
22539,['Business'],Recreation
22578,['Computers'],Recreation
22594,['Shopping'],Recreation
22664,['Health'],Recreation
22683,['Science'],Recreation
22698,['Health'],Recreation
22702,['Science'],Recreation
22729,['Business'],Recreation
22797,['News'],Recreation
22807,['Science'],Recreation
22827,['Arts'],Recreation
22863,['Shopping'],Recreation
22908,['Arts'],Recreation
22933,['Science'],Recreation
23033,['Games'],Recreation
23048,['Arts'],Recreation
23053,['Arts'],Recreation
23061,['Reference'],Recreation
23074,['Arts'],Recreation
23086,['Arts'],Recreation
23138,['Arts'],Recreation
23155,['Arts'],Recreation
23295,['Shopping'],Recreation
23325,['Health'],Recreation
23333,['Kids'],Recreation
23335,['Arts'],Recreation
23346,['Recreation'],Society
23438,['Arts'],Society
23514,['Reference'],Recreation
23600,['Shopping'],Recreation
23689,['Business'],Recreation
23744,['Recreation'],Society
23801,['Arts'],Recreation
23986,['Reference'],Society
24089,['Arts'],Recreation
24136,['Home'],Recreation
24149,['Arts'],Recreation
24245,['Recreation'],Shopping
24260,['Health'],Recreation
24300,['Arts'],Recreation
24316,['Arts'],Recreation
24363,['Computers'],Recreation
