ref id,Predicted,Actual
49773,['Computers'],Computers
49552,['Computers'],Computers
49559,['Computers'],Computers
49564,['Computers'],Computers
49568,['Computers'],Computers
49574,['Computers'],Computers
49587,['Computers'],Computers
49600,['Computers'],Computers
49619,['Computers'],Computers
49667,['Computers'],Computers
49697,['Computers'],Computers
49701,['Computers'],Computers
49714,['Computers'],Computers
49740,['Computers'],Computers
52669,['Computers'],Computers
52683,['Computers'],Computers
52707,['Computers'],Computers
52720,['Computers'],Computers
52729,['Computers'],Computers
52733,['Computers'],Computers
52749,['Computers'],Computers
52780,['Computers'],Computers
52789,['Computers'],Computers
52830,['Computers'],Computers
52837,['Computers'],Computers
48141,['Computers'],Computers
48168,['Computers'],Computers
48187,['Computers'],Computers
48208,['Computers'],Computers
48223,['Computers'],Computers
48252,['Computers'],Computers
48267,['Computers'],Computers
48282,['Computers'],Computers
48323,['Computers'],Computers
48330,['Computers'],Computers
48366,['Computers'],Computers
48368,['Computers'],Computers
48432,['Computers'],Computers
48440,['Computers'],Computers
48445,['Computers'],Computers
48473,['Computers'],Computers
48506,['Computers'],Computers
48507,['Computers'],Computers
48519,['Computers'],Computers
48532,['Computers'],Computers
48536,['Computers'],Computers
48557,['Computers'],Computers
48566,['Computers'],Computers
48585,['Computers'],Computers
48589,['Computers'],Computers
48591,['Computers'],Computers
48597,['Computers'],Computers
48613,['Computers'],Computers
48630,['Computers'],Computers
48657,['Computers'],Computers
48664,['Computers'],Computers
48717,['Computers'],Computers
48724,['Computers'],Computers
48731,['Computers'],Computers
48753,['Computers'],Computers
48772,['Computers'],Computers
48789,['Computers'],Computers
48792,['Computers'],Computers
48851,['Computers'],Computers
48871,['Computers'],Computers
48872,['Computers'],Computers
48877,['Computers'],Computers
48915,['Computers'],Computers
48960,['Computers'],Computers
49006,['Computers'],Computers
49022,['Computers'],Computers
49024,['Computers'],Computers
49037,['Computers'],Computers
49075,['Computers'],Computers
49091,['Computers'],Computers
49101,['Computers'],Computers
49128,['Computers'],Computers
49151,['Computers'],Computers
49213,['Computers'],Computers
49229,['Computers'],Computers
49230,['Computers'],Computers
49253,['Computers'],Computers
49260,['Computers'],Computers
49271,['Computers'],Computers
49358,['Computers'],Computers
49362,['Computers'],Computers
49368,['Computers'],Computers
49390,['Computers'],Computers
49408,['Computers'],Computers
49422,['Computers'],Computers
49435,['Computers'],Computers
49444,['Computers'],Computers
49490,['Computers'],Computers
49515,['Computers'],Computers
49545,['Computers'],Computers
51543,['Computers'],Computers
51555,['Computers'],Computers
51590,['Computers'],Computers
51614,['Computers'],Computers
51647,['Computers'],Computers
51665,['Computers'],Computers
51691,['Computers'],Computers
51694,['Computers'],Computers
51699,['Computers'],Computers
51743,['Computers'],Computers
51795,['Computers'],Computers
51828,['Computers'],Computers
51829,['Computers'],Computers
51923,['Computers'],Computers
51947,['Computers'],Computers
51959,['Computers'],Computers
52060,['Computers'],Computers
52125,['Computers'],Computers
52147,['Computers'],Computers
52169,['Computers'],Computers
52250,['Computers'],Computers
52280,['Computers'],Computers
52334,['Computers'],Computers
52337,['Computers'],Computers
52374,['Computers'],Computers
52405,['Computers'],Computers
52414,['Computers'],Computers
52427,['Computers'],Computers
52449,['Computers'],Computers
52457,['Computers'],Computers
52514,['Computers'],Computers
52534,['Computers'],Computers
52564,['Computers'],Computers
52580,['Computers'],Computers
52593,['Computers'],Computers
52650,['Computers'],Computers
38304,['Sports'],Sports
38405,['Sports'],Sports
38436,['Sports'],Sports
38447,['Sports'],Sports
38466,['Sports'],Sports
38496,['Sports'],Sports
38868,['Sports'],Sports
39085,['Sports'],Sports
40260,['Sports'],Sports
40426,['Sports'],Sports
40429,['Sports'],Sports
40625,['Sports'],Sports
40724,['Sports'],Sports
40732,['Sports'],Sports
40765,['Sports'],Sports
40784,['Sports'],Sports
40792,['Sports'],Sports
41219,['Sports'],Sports
42022,['Sports'],Sports
42036,['Sports'],Sports
42195,['Sports'],Sports
42553,['Sports'],Sports
42583,['Sports'],Sports
42707,['Sports'],Sports
42760,['Sports'],Sports
42811,['Sports'],Sports
42869,['Sports'],Sports
42914,['Sports'],Sports
42998,['Sports'],Sports
43170,['Sports'],Sports
43412,['Adult'],Adult
43533,['Adult'],Adult
43681,['Computers'],Computers
43692,['Computers'],Computers
43729,['Computers'],Computers
43780,['Computers'],Computers
44085,['Health'],Health
44144,['Computers'],Computers
44290,['Computers'],Computers
44441,['Reference'],Reference
44632,['Computers'],Computers
44639,['Computers'],Computers
44835,['Sports'],Sports
44934,['Adult'],Adult
44990,['Adult'],Adult
45081,['Adult'],Adult
45219,['Adult'],Adult
45351,['Adult'],Adult
45403,['Adult'],Adult
45497,['Arts'],Arts
45559,['Arts'],Arts
45647,['Arts'],Arts
45668,['Arts'],Arts
45680,['Arts'],Arts
45704,['Arts'],Arts
47092,['Arts'],Arts
47093,['Arts'],Arts
47100,['Computers'],Computers
47618,['Computers'],Computers
47619,['Computers'],Computers
47636,['Computers'],Computers
47664,['Computers'],Computers
47678,['Computers'],Computers
47722,['Computers'],Computers
47725,['Computers'],Computers
47731,['Computers'],Computers
47743,['Computers'],Computers
47747,['Computers'],Computers
47749,['Computers'],Computers
47762,['Computers'],Computers
47770,['Computers'],Computers
47773,['Computers'],Computers
47780,['Computers'],Computers
47784,['Computers'],Computers
47786,['Computers'],Computers
47802,['Computers'],Computers
47810,['Computers'],Computers
47825,['Computers'],Computers
47860,['Computers'],Computers
47861,['Computers'],Computers
47885,['Computers'],Computers
47890,['Computers'],Computers
47891,['Computers'],Computers
47893,['Computers'],Computers
47906,['Computers'],Computers
47912,['Computers'],Computers
47914,['Computers'],Computers
47916,['Computers'],Computers
47963,['Computers'],Computers
47965,['Computers'],Computers
47984,['Computers'],Computers
48029,['Computers'],Computers
48037,['Computers'],Computers
48057,['Computers'],Computers
48081,['Computers'],Computers
48108,['Computers'],Computers
48111,['Computers'],Computers
48120,['Computers'],Computers
48128,['Computers'],Computers
48194,['Computers'],Computers
48199,['Computers'],Computers
48246,['Computers'],Computers
48248,['Computers'],Computers
48278,['Computers'],Computers
48306,['Computers'],Computers
48354,['Computers'],Computers
48359,['Computers'],Computers
48365,['Computers'],Computers
48458,['Computers'],Computers
48504,['Computers'],Computers
48520,['Computers'],Computers
48524,['Computers'],Computers
48528,['Computers'],Computers
48534,['Computers'],Computers
48540,['Computers'],Computers
48626,['Computers'],Computers
48747,['Computers'],Computers
48814,['Computers'],Computers
48840,['Computers'],Computers
48880,['Computers'],Computers
48891,['Computers'],Computers
48934,['Computers'],Computers
48949,['Computers'],Computers
48988,['Computers'],Computers
48997,['Computers'],Computers
49046,['Computers'],Computers
49068,['Computers'],Computers
49071,['Computers'],Computers
49078,['Computers'],Computers
49117,['Computers'],Computers
49127,['Computers'],Computers
49183,['Computers'],Computers
49211,['Computers'],Computers
49223,['Computers'],Computers
49235,['Computers'],Computers
49252,['Computers'],Computers
49276,['Computers'],Computers
49526,['Computers'],Computers
49572,['Computers'],Computers
49586,['Computers'],Computers
49643,['Computers'],Computers
49691,['Computers'],Computers
49713,['Computers'],Computers
49727,['Computers'],Computers
49734,['Computers'],Computers
49751,['Computers'],Computers
49806,['Computers'],Computers
49846,['Computers'],Computers
49914,['Computers'],Computers
49951,['Computers'],Computers
50038,['Computers'],Computers
50055,['Computers'],Computers
50064,['Computers'],Computers
50088,['Computers'],Computers
50095,['Computers'],Computers
50109,['Computers'],Computers
50152,['Computers'],Computers
50183,['Computers'],Computers
50196,['Computers'],Computers
50317,['Computers'],Computers
50358,['Computers'],Computers
50359,['Computers'],Computers
50380,['Computers'],Computers
50407,['Computers'],Computers
50433,['Computers'],Computers
50435,['Computers'],Computers
50495,['Computers'],Computers
50605,['Computers'],Computers
50614,['Computers'],Computers
50637,['Computers'],Computers
50662,['Computers'],Computers
50677,['Computers'],Computers
50680,['Computers'],Computers
50694,['Computers'],Computers
50696,['Computers'],Computers
50778,['Computers'],Computers
50794,['Computers'],Computers
50801,['Computers'],Computers
50818,['Computers'],Computers
50829,['Computers'],Computers
50863,['Computers'],Computers
50902,['Computers'],Computers
50922,['Computers'],Computers
50975,['Computers'],Computers
51014,['Computers'],Computers
