67, predicted: ['Adult'], actual: Society
8267, predicted: ['Business'], actual: Society
125, predicted: ['News'], actual: Arts
43714, predicted: ['Health'], actual: Business
158, predicted: ['Computers'], actual: Arts
8358, predicted: ['Shopping'], actual: Business
173, predicted: ['Arts'], actual: Kids
200, predicted: ['Arts'], actual: Regional
32979, predicted: ['Sports'], actual: Shopping
213, predicted: ['Home'], actual: Arts
226, predicted: ['Arts'], actual: Regional
8426, predicted: ['Business'], actual: Home
49391, predicted: ['Business'], actual: Regional
254, predicted: ['Business'], actual: Regional
255, predicted: ['Business'], actual: News
256, predicted: ['Home'], actual: Regional
262, predicted: ['Business'], actual: Home
265, predicted: ['Business'], actual: Regional
294, predicted: ['Computers'], actual: Regional
306, predicted: ['Shopping'], actual: Business
308, predicted: ['Business'], actual: News
318, predicted: ['Business'], actual: Regional
329, predicted: ['Business'], actual: Regional
349, predicted: ['Home'], actual: Business
430, predicted: ['Shopping'], actual: Computers
49586, predicted: ['Business'], actual: Computers
436, predicted: ['Games'], actual: Regional
437, predicted: ['Games'], actual: Kids
564, predicted: ['Health'], actual: Science
578, predicted: ['Business'], actual: Health
49804, predicted: ['Business'], actual: News
693, predicted: ['Home'], actual: Society
8898, predicted: ['Business'], actual: Home
25304, predicted: ['Reference'], actual: Society
765, predicted: ['Home'], actual: Science
782, predicted: ['Business'], actual: Home
822, predicted: ['Science'], actual: Kids
829, predicted: ['Sports'], actual: Kids
836, predicted: ['Kids'], actual: Sports
852, predicted: ['Computers'], actual: Kids
854, predicted: ['Science'], actual: Recreation
856, predicted: ['Science'], actual: Reference
869, predicted: ['Business'], actual: Kids
874, predicted: ['News'], actual: Arts
50028, predicted: ['Business'], actual: Society
904, predicted: ['Science'], actual: Kids
906, predicted: ['Computers'], actual: Kids
929, predicted: ['Arts'], actual: Society
945, predicted: ['News'], actual: Regional
1076, predicted: ['Business'], actual: News
1085, predicted: ['News'], actual: Society
1212, predicted: ['Reference'], actual: Regional
1325, predicted: ['Computers'], actual: Reference
1352, predicted: ['Regional'], actual: Shopping
23438, predicted: ['Recreation'], actual: Society
1454, predicted: ['Science'], actual: Reference
1460, predicted: ['Computers'], actual: Business
1475, predicted: ['Science'], actual: Recreation
1489, predicted: ['Computers'], actual: Science
1512, predicted: ['Shopping'], actual: Regional
1591, predicted: ['Business'], actual: Shopping
9801, predicted: ['Business'], actual: News
1629, predicted: ['Computers'], actual: Regional
1653, predicted: ['Business'], actual: Society
11207, predicted: ['Science'], actual: Computers
26289, predicted: ['Reference'], actual: Science
18348, predicted: ['Home'], actual: Kids
124, predicted: ['Arts'], actual: Regional
26880, predicted: ['Regional'], actual: Science
2481, predicted: ['Recreation'], actual: Adult
2539, predicted: ['Arts'], actual: Adult
43549, predicted: ['Business'], actual: Arts
