40961, predicted: ['Recreation'], actual: Sports
2, predicted: ['Computers'], actual: Adult
16389, predicted: ['Science'], actual: Health
10, predicted: ['Arts'], actual: Adult
46423, predicted: ['Business'], actual: Arts
40975, predicted: ['Shopping'], actual: Sports
17, predicted: ['Computers'], actual: Adult
18, predicted: ['Society'], actual: Arts
24596, predicted: ['Reference'], actual: Recreation
8215, predicted: ['Health'], actual: Business
49178, predicted: ['Shopping'], actual: Business
27, predicted: ['Computers'], actual: Adult
16412, predicted: ['News'], actual: Health
40990, predicted: ['Arts'], actual: Sports
49183, predicted: ['Shopping'], actual: Business
8224, predicted: ['Health'], actual: Business
8228, predicted: ['Health'], actual: Business
44, predicted: ['Health'], actual: Adult
45, predicted: ['Business'], actual: Adult
32819, predicted: ['Sports'], actual: Shopping
8244, predicted: ['Health'], actual: Business
58718, predicted: ['Sports'], actual: Shopping
16441, predicted: ['Arts'], actual: Health
49211, predicted: ['Computers'], actual: Business
49213, predicted: ['Society'], actual: Business
8255, predicted: ['Health'], actual: Business
8257, predicted: ['Health'], actual: Business
32838, predicted: ['Recreation'], actual: Shopping
1377, predicted: ['Shopping'], actual: Regional
8266, predicted: ['Health'], actual: Business
8268, predicted: ['Science'], actual: Business
78, predicted: ['Arts'], actual: Games
41043, predicted: ['Shopping'], actual: Sports
85, predicted: ['Recreation'], actual: Adult
35513, predicted: ['Business'], actual: Society
25956, predicted: ['Business'], actual: Reference
91, predicted: ['Recreation'], actual: Adult
8286, predicted: ['Computers'], actual: Business
16488, predicted: ['Business'], actual: Health
16489, predicted: ['Business'], actual: Health
49260, predicted: ['Society'], actual: Business
8302, predicted: ['Home'], actual: Business
32881, predicted: ['Business'], actual: Shopping
32884, predicted: ['Computers'], actual: Shopping
49271, predicted: ['Computers'], actual: Business
49172, predicted: ['Shopping'], actual: Business
49276, predicted: ['Arts'], actual: Business
49279, predicted: ['Shopping'], actual: Business
130, predicted: ['News'], actual: Arts
8324, predicted: ['Kids'], actual: Business
36886, predicted: ['Business'], actual: Society
24716, predicted: ['Society'], actual: Recreation
142, predicted: ['Society'], actual: News
153, predicted: ['Business'], actual: Arts
8352, predicted: ['Shopping'], actual: Business
162, predicted: ['News'], actual: Arts
8355, predicted: ['Recreation'], actual: Business
25969, predicted: ['Business'], actual: Reference
174, predicted: ['Computers'], actual: Regional
175, predicted: ['Computers'], actual: Business
32944, predicted: ['Computers'], actual: Shopping
177, predicted: ['Computers'], actual: Arts
8375, predicted: ['Recreation'], actual: Business
190, predicted: ['Games'], actual: Kids
192, predicted: ['Shopping'], actual: Arts
193, predicted: ['Regional'], actual: Arts
49346, predicted: ['Society'], actual: Business
205, predicted: ['News'], actual: Society
54836, predicted: ['Shopping'], actual: Health
217, predicted: ['News'], actual: Arts
219, predicted: ['Computers'], actual: Games
235, predicted: ['News'], actual: Arts
237, predicted: ['Computers'], actual: Arts
8436, predicted: ['Health'], actual: Business
16629, predicted: ['Computers'], actual: Health
247, predicted: ['Shopping'], actual: Regional
33016, predicted: ['Business'], actual: Shopping
249, predicted: ['Arts'], actual: Business
