22529, predicted: ['Kids', 'Arts'], actual: Recreation
34818, predicted: ['Arts', 'Shopping'], actual: Society
14340, predicted: ['Recreation', 'Computers'], actual: Games
34821, predicted: ['Arts', 'Computers'], actual: Society
20486, predicted: ['Arts', 'Shopping'], actual: News
55388, predicted: ['Arts', 'Science'], actual: Health
20490, predicted: ['Shopping', 'Arts'], actual: News
22539, predicted: ['Business', 'Science'], actual: Recreation
2, predicted: ['Computers', 'Recreation'], actual: Adult
22542, predicted: ['Business', 'Computers'], actual: Recreation
26285, predicted: ['Arts', 'Reference'], actual: Shopping
13656, predicted: ['Recreation', 'Computers'], actual: Games
20498, predicted: ['Business', 'Computers'], actual: News
53267, predicted: ['Shopping', 'Business'], actual: Games
24596, predicted: ['Reference', 'Regional'], actual: Recreation
22551, predicted: ['Games', 'Arts'], actual: Recreation
52228, predicted: ['Society', 'Business'], actual: Computers
4126, predicted: ['Business', 'Recreation'], actual: Arts
26655, predicted: ['Business', 'Computers'], actual: Regional
2084, predicted: ['Computers', 'Business'], actual: Adult
26661, predicted: ['Business', 'Recreation'], actual: Regional
34858, predicted: ['Adult', 'Computers'], actual: Society
26667, predicted: ['Shopping', 'Recreation'], actual: Regional
18476, predicted: ['Kids', 'Games'], actual: Home
36827, predicted: ['Sports', 'Business'], actual: Society
22578, predicted: ['Computers', 'Arts'], actual: Recreation
32819, predicted: ['Sports', 'Regional'], actual: Shopping
17937, predicted: ['Recreation', 'Arts'], actual: Health
4152, predicted: ['Computers', 'Business'], actual: Arts
14393, predicted: ['Recreation', 'Business'], actual: Games
18490, predicted: ['Recreation', 'Business'], actual: Home
26683, predicted: ['Business', 'Recreation'], actual: Regional
14396, predicted: ['Business', 'Computers'], actual: Games
10, predicted: ['Arts', 'Recreation'], actual: Adult
36927, predicted: ['Arts', 'Computers'], actual: Society
56725, predicted: ['Reference', 'Society'], actual: News
26692, predicted: ['Society', 'Arts'], actual: Regional
49846, predicted: ['News', 'Computers'], actual: Business
19811, predicted: ['Recreation', 'Regional'], actual: Kids
4180, predicted: ['Business', 'Computers'], actual: Arts
85, predicted: ['Arts', 'Recreation'], actual: Adult
18521, predicted: ['Arts', 'Society'], actual: Home
45148, predicted: ['Shopping', 'Arts'], actual: Adult
26298, predicted: ['Arts', 'Business'], actual: Reference
28766, predicted: ['Health', 'Computers'], actual: Science
36959, predicted: ['News', 'Reference'], actual: Society
26722, predicted: ['Health', 'Arts'], actual: Regional
26724, predicted: ['Recreation', 'Arts'], actual: Regional
53349, predicted: ['Society', 'Kids'], actual: Games
1228, predicted: ['Recreation', 'Business'], actual: Reference
26729, predicted: ['Science', 'News'], actual: Regional
46439, predicted: ['Recreation', 'Business'], actual: Arts
18, predicted: ['Business', 'Recreation'], actual: Arts
2749, predicted: ['Games', 'Kids'], actual: Arts
4208, predicted: ['Business', 'Health'], actual: Games
53361, predicted: ['Home', 'Recreation'], actual: Games
28786, predicted: ['Health', 'Computers'], actual: Science
32884, predicted: ['Business', 'Computers'], actual: Shopping
57970, predicted: ['Shopping', 'Reference'], actual: Society
58311, predicted: ['Society', 'Business'], actual: Science
55416, predicted: ['Business', 'Society'], actual: Health
55419, predicted: ['Business', 'Computers'], actual: Health
49276, predicted: ['Society', 'Arts'], actual: Business
45181, predicted: ['Arts', 'Shopping'], actual: Adult
26750, predicted: ['Business', 'Arts'], actual: Regional
55423, predicted: ['Kids', 'Business'], actual: Health
25847, predicted: ['Computers', 'Science'], actual: Reference
26754, predicted: ['Science', 'Computers'], actual: Regional
24939, predicted: ['Sports', 'Business'], actual: Recreation
55429, predicted: ['Arts', 'Shopping'], actual: Health
22664, predicted: ['Kids', 'Health'], actual: Recreation
52852, predicted: ['Shopping', 'Business'], actual: Games
26762, predicted: ['Society', 'Arts'], actual: Regional
4235, predicted: ['Recreation', 'Games'], actual: Arts
57953, predicted: ['Computers', 'Business'], actual: Reference
26765, predicted: ['Business', 'Computers'], actual: Regional
30863, predicted: ['Computers', 'Business'], actual: Shopping
58392, predicted: ['Society', 'Sports'], actual: Science
30866, predicted: ['Health', 'Society'], actual: Shopping
20668, predicted: ['Business', 'Science'], actual: Health
58393, predicted: ['Health', 'Adult'], actual: Science
8344, predicted: ['Science', 'Regional'], actual: Business
153, predicted: ['News', 'Business'], actual: Arts
2202, predicted: ['Computers', 'Games'], actual: Adult
45211, predicted: ['Shopping', 'Business'], actual: Adult
52993, predicted: ['Sports', 'Business'], actual: Games
51361, predicted: ['Health', 'Society'], actual: Computers
162, predicted: ['News', 'Regional'], actual: Arts
55460, predicted: ['Business', 'Shopping'], actual: Health
44401, predicted: ['Computers', 'Society'], actual: Recreation
57860, predicted: ['Society', 'Arts'], actual: Reference
29724, predicted: ['Business', 'Recreation'], actual: Shopping
22698, predicted: ['Science', 'Health'], actual: Recreation
37036, predicted: ['Business', 'Shopping'], actual: Society
174, predicted: ['Business', 'Health'], actual: Regional
34995, predicted: ['Computers', 'Business'], actual: Society
45237, predicted: ['Recreation', 'Arts'], actual: Adult
54767, predicted: ['Society', 'Kids'], actual: Health
51384, predicted: ['Arts', 'Shopping'], actual: Computers
55482, predicted: ['Society', 'Recreation'], actual: Health
4283, predicted: ['Computers', 'Business'], actual: Arts
