ref id,Predicted,Actual
47293,"['Arts', 'Sports', 'Society', 'Shopping']",Arts
47365,"['Arts', 'Sports', 'Society', 'Shopping']",Arts
47459,"['Arts', 'Sports', 'Society', 'Shopping']",Arts
47549,"['Arts', 'Sports', 'Society', 'Shopping']",Arts
49559,"['Business', 'Sports', 'Society', 'Shopping']",Business
49574,"['Business', 'Sports', 'Society', 'Shopping']",Business
49600,"['Business', 'Sports', 'Society', 'Shopping']",Business
49619,"['Business', 'Sports', 'Society', 'Shopping']",Business
49667,"['Business', 'Sports', 'Society', 'Shopping']",Business
49701,"['Business', 'Sports', 'Society', 'Shopping']",Business
49714,"['Business', 'Sports', 'Society', 'Shopping']",Business
49740,"['Business', 'Sports', 'Society', 'Shopping']",Business
52683,"['Computers', 'Sports', 'Society', 'Shopping']",Computers
52720,"['Computers', 'Sports', 'Society', 'Shopping']",Computers
52729,"['Computers', 'Sports', 'Society', 'Shopping']",Computers
52749,"['Computers', 'Sports', 'Society', 'Shopping']",Computers
52830,"['Computers', 'Sports', 'Society', 'Shopping']",Computers
52837,"['Computers', 'Sports', 'Society', 'Shopping']",Computers
52846,"['Games', 'Sports', 'Society', 'Shopping']",Games
45541,"['Arts', 'Sports', 'Society', 'Shopping']",Arts
45832,"['Arts', 'Sports', 'Society', 'Shopping']",Arts
46041,"['Arts', 'Sports', 'Society', 'Shopping']",Arts
46425,"['Arts', 'Sports', 'Society', 'Shopping']",Arts
46567,"['Arts', 'Sports', 'Society', 'Shopping']",Arts
46887,"['Arts', 'Sports', 'Society', 'Shopping']",Arts
48141,"['Business', 'Sports', 'Society', 'Shopping']",Business
48187,"['Business', 'Sports', 'Society', 'Shopping']",Business
48223,"['Business', 'Sports', 'Society', 'Shopping']",Business
48234,"['Business', 'Sports', 'Society', 'Shopping']",Sports
48282,"['Business', 'Sports', 'Society', 'Shopping']",Business
48323,"['Business', 'Sports', 'Society', 'Shopping']",Business
48366,"['Business', 'Sports', 'Society', 'Shopping']",Business
48368,"['Business', 'Sports', 'Society', 'Shopping']",Business
48432,"['Shopping', 'Business', 'Sports', 'Society']",Business
48473,"['Business', 'Sports', 'Society', 'Shopping']",Business
48506,"['Business', 'Sports', 'Society', 'Shopping']",Business
48532,"['Business', 'Sports', 'Society', 'Shopping']",Business
48536,"['Business', 'Sports', 'Society', 'Shopping']",Business
48589,"['Business', 'Sports', 'Society', 'Shopping']",Business
48591,"['Business', 'Sports', 'Society', 'Shopping']",Shopping
48630,"['Business', 'Sports', 'Society', 'Shopping']",Business
48664,"['Business', 'Sports', 'Society', 'Shopping']",Business
48717,"['Regional', 'Business', 'Sports', 'Society']",Business
48724,"['Business', 'Sports', 'Society', 'Shopping']",Business
48731,"['Business', 'Sports', 'Society', 'Shopping']",Business
48753,"['Business', 'Sports', 'Society', 'Shopping']",Business
48772,"['Business', 'Sports', 'Society', 'Shopping']",Business
48789,"['Business', 'Sports', 'Society', 'Shopping']",Business
48851,"['Business', 'Sports', 'Society', 'Shopping']",Business
48872,"['Business', 'Sports', 'Society', 'Shopping']",Business
48960,"['Business', 'Sports', 'Society', 'Shopping']",Business
49022,"['Business', 'Sports', 'Society', 'Shopping']",Business
49024,"['Business', 'Sports', 'Society', 'Shopping']",Business
49075,"['Business', 'Sports', 'Society', 'Shopping']",Business
49101,"['Business', 'Sports', 'Society', 'Shopping']",Business
49151,"['Business', 'Sports', 'Society', 'Shopping']",Business
49229,"['Business', 'Sports', 'Society', 'Shopping']",Business
49253,"['Business', 'Sports', 'Society', 'Shopping']",Business
49358,"['Business', 'Sports', 'Society', 'Shopping']",Business
49362,"['Business', 'Sports', 'Society', 'Shopping']",Business
49390,"['Business', 'Sports', 'Society', 'Shopping']",Business
49408,"['Business', 'Sports', 'Society', 'Shopping']",Business
49444,"['Business', 'Sports', 'Society', 'Shopping']",Business
49490,"['Business', 'Sports', 'Society', 'Shopping']",Business
49515,"['Business', 'Sports', 'Society', 'Shopping']",Business
51555,"['Computers', 'Sports', 'Society', 'Shopping']",Computers
51614,"['Computers', 'Sports', 'Society', 'Shopping']",Computers
51647,"['Computers', 'Sports', 'Society', 'Shopping']",Computers
51694,"['Computers', 'Sports', 'Society', 'Shopping']",Computers
51743,"['Computers', 'Sports', 'Society', 'Shopping']",Computers
51795,"['Computers', 'Sports', 'Society', 'Shopping']",Computers
51828,"['Computers', 'Sports', 'Society', 'Shopping']",Computers
51829,"['Computers', 'Sports', 'Society', 'Shopping']",Computers
51947,"['Computers', 'Sports', 'Society', 'Shopping']",Computers
51959,"['Computers', 'Sports', 'Society', 'Shopping']",Computers
52060,"['Games', 'Computers', 'Sports', 'Society']",Computers
52125,"['Computers', 'Sports', 'Society', 'Shopping']",Computers
52147,"['Computers', 'Sports', 'Society', 'Shopping']",Computers
52169,"['Computers', 'Sports', 'Society', 'Shopping']",Computers
52280,"['Computers', 'Sports', 'Society', 'Shopping']",Computers
52405,"['Computers', 'Sports', 'Society', 'Shopping']",Computers
52427,"['Computers', 'Sports', 'Society', 'Shopping']",Computers
52449,"['Regional', 'Computers', 'Sports', 'Society']",Computers
52457,"['Computers', 'Sports', 'Society', 'Shopping']",Computers
52534,"['Computers', 'Sports', 'Society', 'Shopping']",Computers
52593,"['Computers', 'Sports', 'Society', 'Shopping']",Computers
58230,"['Science', 'Sports', 'Society', 'Shopping']",Science
37132,"['Society', 'Sports', 'Shopping', 'Science']",Society
37290,"['Society', 'Sports', 'Shopping', 'Science']",Society
37301,"['Shopping', 'Sports', 'Society', 'Science']",Society
37350,"['Shopping', 'Sports', 'Society', 'Science']",Society
37517,"['Society', 'Sports', 'Shopping', 'Science']",Society
37919,"['Shopping', 'Sports', 'Society', 'Science']",Society
37932,"['Society', 'Sports', 'Shopping', 'Science']",Society
38254,"['Sports', 'Society', 'Shopping', 'Science']",Sports
38304,"['Sports', 'Society', 'Shopping', 'Science']",Sports
38330,"['Sports', 'Society', 'Shopping', 'Science']",Sports
38405,"['Sports', 'Society', 'Shopping', 'Science']",Sports
38436,"['Sports', 'Society', 'Shopping', 'Science']",Sports
38447,"['Sports', 'Society', 'Shopping', 'Science']",Sports
38466,"['Sports', 'Society', 'Shopping', 'Science']",Sports
38496,"['Sports', 'Society', 'Shopping', 'Science']",Sports
38674,"['Society', 'Sports', 'Shopping', 'Science']",Sports
