ref id,Predicted,Actual
49773,"['Society', 'Sports', 'Shopping', 'Science']",Business
52866,"['Society', 'Sports', 'Shopping', 'Science']",Games
47238,"['Computers', 'Sports', 'Society', 'Shopping']",Arts
47311,"['Reference', 'Sports', 'Society', 'Shopping']",Arts
49552,"['Society', 'Sports', 'Shopping', 'Science']",Business
49564,"['Computers', 'Sports', 'Society', 'Shopping']",Business
49568,"['Reference', 'Sports', 'Society', 'Shopping']",Business
49587,"['Health', 'Sports', 'Society', 'Shopping']",Business
49697,"['Computers', 'Sports', 'Society', 'Shopping']",Business
52669,"['Arts', 'Sports', 'Society', 'Shopping']",Computers
52707,"['Home', 'Sports', 'Society', 'Shopping']",Computers
52733,"['Society', 'Sports', 'Shopping', 'Science']",Computers
52780,"['Society', 'Sports', 'Shopping', 'Science']",Computers
52789,"['Sports', 'Society', 'Shopping', 'Science']",Computers
52858,"['Computers', 'Sports', 'Society', 'Shopping']",Games
45211,"['Business', 'Sports', 'Society', 'Shopping']",Adult
45276,"['Games', 'Sports', 'Society', 'Shopping']",Adult
45409,"['Business', 'Sports', 'Society', 'Shopping']",Adult
45627,"['Business', 'Sports', 'Society', 'Shopping']",Arts
45949,"['Reference', 'Sports', 'Society', 'Shopping']",Arts
45951,"['Society', 'Sports', 'Shopping', 'Science']",Arts
46221,"['Business', 'Sports', 'Society', 'Shopping']",Arts
46320,"['Health', 'Sports', 'Society', 'Shopping']",Arts
46510,"['Society', 'Sports', 'Shopping', 'Science']",Arts
46930,"['Shopping', 'Sports', 'Society', 'Science']",Arts
47118,"['Computers', 'Sports', 'Society', 'Shopping']",Arts
48168,"['Arts', 'Sports', 'Society', 'Shopping']",Business
48208,"['Sports', 'Society', 'Shopping', 'Science']",Business
48252,"['Shopping', 'Sports', 'Society', 'Science']",Business
48267,"['Shopping', 'Sports', 'Society', 'Science']",Business
48330,"['Computers', 'Sports', 'Society', 'Shopping']",Business
48440,"['Society', 'Sports', 'Shopping', 'Science']",Business
48445,"['Computers', 'Sports', 'Society', 'Shopping']",Business
48507,"['Computers', 'Sports', 'Society', 'Shopping']",Business
48519,"['Science', 'Sports', 'Society', 'Shopping']",Business
48522,"['Business', 'Sports', 'Society', 'Shopping']",Regional
48557,"['Computers', 'Sports', 'Society', 'Shopping']",Business
48566,"['Society', 'Sports', 'Shopping', 'Science']",Business
48585,"['Computers', 'Sports', 'Society', 'Shopping']",Business
48597,"['Computers', 'Sports', 'Society', 'Shopping']",Business
48613,"['Society', 'Sports', 'Shopping', 'Science']",Business
48657,"['Recreation', 'Sports', 'Society', 'Shopping']",Business
48792,"['Science', 'Sports', 'Society', 'Shopping']",Business
48871,"['Health', 'Sports', 'Society', 'Shopping']",Business
48877,"['Adult', 'Sports', 'Society', 'Shopping']",Business
48915,"['Computers', 'Sports', 'Society', 'Shopping']",Business
49006,"['Shopping', 'Sports', 'Society', 'Science']",Business
49021,"['Business', 'Sports', 'Society', 'Shopping']",Science
49037,"['Health', 'Sports', 'Society', 'Shopping']",Business
49043,"['Computers', 'Sports', 'Society', 'Shopping']",Business
49091,"['Shopping', 'Sports', 'Society', 'Science']",Business
49128,"['Shopping', 'Sports', 'Society', 'Science']",Business
49213,"['Computers', 'Sports', 'Society', 'Shopping']",Business
49230,"['Society', 'Sports', 'Shopping', 'Science']",Business
49260,"['Society', 'Sports', 'Shopping', 'Science']",Business
49271,"['Shopping', 'Sports', 'Society', 'Science']",Business
49346,"['Arts', 'Sports', 'Society', 'Shopping']",Business
49368,"['Shopping', 'Sports', 'Society', 'Science']",Business
49422,"['Computers', 'Sports', 'Society', 'Shopping']",Business
49435,"['Home', 'Sports', 'Society', 'Shopping']",Business
49545,"['Computers', 'Sports', 'Society', 'Shopping']",Business
