ref id,Predicted,Actual
49773,"['Business', 'Computers', 'Health', 'Sports']",Business
47293,"['Arts', 'Sports', 'Society', 'Games']",Arts
47311,"['Arts', 'Society', 'Shopping', 'Business']",Arts
47365,"['Sports', 'Arts', 'Regional', 'Kids']",Arts
47459,"['Society', 'Shopping', 'Arts', 'Sports']",Arts
47549,"['Society', 'Arts', 'Computers', 'Sports']",Arts
49559,"['Sports', 'Computers', 'Business', 'Society']",Business
49568,"['Computers', 'Business', 'Reference', 'Arts']",Business
49574,"['Business', 'Computers', 'Society', 'Sports']",Business
49587,"['Computers', 'Business', 'Sports', 'News']",Business
49619,"['Business', 'Arts', 'Sports', 'Health']",Business
49697,"['Society', 'Business', 'Shopping', 'Computers']",Business
49701,"['Business', 'Shopping', 'Computers', 'Sports']",Business
49740,"['Business', 'Computers', 'Sports', 'Society']",Business
52669,"['Computers', 'Shopping', 'Sports', 'Health']",Computers
52683,"['Society', 'Computers', 'Shopping', 'Science']",Computers
52707,"['Games', 'Computers', 'Adult', 'Shopping']",Computers
52720,"['Computers', 'Sports', 'Society', 'Shopping']",Computers
52729,"['Society', 'Computers', 'Business', 'Arts']",Computers
52733,"['Computers', 'Society', 'Science', 'Arts']",Computers
52749,"['Shopping', 'Computers', 'Society', 'Home']",Computers
52780,"['Computers', 'Science', 'Health', 'Business']",Computers
52789,"['Sports', 'Shopping', 'Computers', 'Society']",Computers
52830,"['Sports', 'Computers', 'Society', 'News']",Computers
52858,"['Games', 'Sports', 'Society', 'News']",Games
45276,"['Business', 'Science', 'Health', 'Adult']",Adult
45409,"['Adult', 'Sports', 'Home', 'Games']",Adult
45541,"['Arts', 'Health', 'Science', 'Reference']",Arts
45832,"['Society', 'Arts', 'Adult', 'Sports']",Arts
45951,"['Society', 'Health', 'Arts', 'Computers']",Arts
46041,"['Arts', 'Shopping', 'Sports', 'Society']",Arts
46221,"['Sports', 'Shopping', 'Arts', 'Society']",Arts
46425,"['Health', 'Computers', 'Arts', 'Sports']",Arts
46510,"['Society', 'Health', 'Arts', 'Kids']",Arts
46567,"['Arts', 'Society', 'Shopping', 'Kids']",Arts
48141,"['Business', 'Science', 'Shopping', 'Health']",Business
48168,"['Business', 'Society', 'Health', 'Sports']",Business
48223,"['Shopping', 'Business', 'Sports', 'Arts']",Business
48234,"['Business', 'Shopping', 'Sports', 'Society']",Sports
48252,"['Shopping', 'Business', 'Computers', 'Sports']",Business
48267,"['Shopping', 'Health', 'Business', 'News']",Business
48282,"['Shopping', 'Business', 'Sports', 'Reference']",Business
48323,"['Business', 'Computers', 'Shopping', 'Kids']",Business
48366,"['Business', 'Computers', 'Health', 'Arts']",Business
48368,"['Business', 'Shopping', 'Computers', 'Sports']",Business
48432,"['Business', 'Society', 'Reference', 'Health']",Business
48445,"['Business', 'Society', 'Computers', 'Health']",Business
48473,"['Business', 'Sports', 'Shopping', 'Games']",Business
48506,"['Business', 'Shopping', 'Health', 'Computers']",Business
48532,"['Business', 'Society', 'Health', 'Sports']",Business
48536,"['Business', 'Science', 'Computers', 'Sports']",Business
48557,"['Business', 'Society', 'Shopping', 'Sports']",Business
48566,"['Business', 'Society', 'News', 'Health']",Business
48585,"['Business', 'Shopping', 'Health', 'Computers']",Business
48589,"['Business', 'Computers', 'Sports', 'Society']",Business
48591,"['Business', 'Shopping', 'Science', 'Sports']",Shopping
48597,"['Computers', 'Society', 'Business', 'Sports']",Business
48630,"['Business', 'Sports', 'Computers', 'Society']",Business
48657,"['Business', 'Science', 'Computers', 'Society']",Business
48664,"['Computers', 'Business', 'Sports', 'Society']",Business
48717,"['Business', 'Sports', 'Home', 'Society']",Business
48724,"['Business', 'Recreation', 'Society', 'Health']",Business
48731,"['Business', 'Sports', 'Society', 'Recreation']",Business
48772,"['Business', 'Society', 'Recreation', 'Games']",Business
48789,"['Business', 'Computers', 'Society', 'Health']",Business
48851,"['Computers', 'Business', 'Sports', 'Society']",Business
48871,"['Business', 'Society', 'Sports', 'Reference']",Business
48877,"['Business', 'Shopping', 'Reference', 'Recreation']",Business
48915,"['Business', 'Society', 'Science', 'Games']",Business
48960,"['Business', 'Sports', 'Shopping', 'Science']",Business
49006,"['Business', 'Society', 'Sports', 'Science']",Business
49022,"['Business', 'Sports', 'Computers', 'Arts']",Business
49024,"['Business', 'Health', 'Society', 'Science']",Business
49043,"['Business', 'Health', 'Computers', 'Science']",Business
49075,"['Business', 'Society', 'Shopping', 'Sports']",Business
49091,"['Business', 'Shopping', 'Health', 'Arts']",Business
49128,"['Shopping', 'Society', 'Business', 'Sports']",Business
49151,"['Society', 'Business', 'Computers', 'Shopping']",Business
49213,"['Business', 'Society', 'Recreation', 'Games']",Business
49229,"['Business', 'Computers', 'Society', 'Shopping']",Business
49230,"['Business', 'Computers', 'Sports', 'Shopping']",Business
49253,"['Business', 'Computers', 'Shopping', 'Health']",Business
49271,"['Shopping', 'Science', 'Computers', 'Business']",Business
49346,"['Business', 'Shopping', 'Society', 'Health']",Business
49358,"['Computers', 'Business', 'Sports', 'Shopping']",Business
49362,"['Business', 'Computers', 'Arts', 'Sports']",Business
49368,"['Business', 'Society', 'Shopping', 'Sports']",Business
49390,"['Business', 'Society', 'Computers', 'Shopping']",Business
49408,"['Business', 'Shopping', 'Sports', 'Society']",Business
49422,"['Business', 'Society', 'Arts', 'Regional']",Business
49435,"['Home', 'Health', 'News', 'Business']",Business
49444,"['Business', 'Society', 'Home', 'Games']",Business
49490,"['Business', 'Society', 'Shopping', 'Regional']",Business
49515,"['Business', 'Health', 'Society', 'Computers']",Business
51543,"['Computers', 'Society', 'Business', 'Shopping']",Computers
51555,"['Computers', 'Shopping', 'Arts', 'Sports']",Computers
51590,"['Computers', 'Society', 'Arts', 'Adult']",Computers
51614,"['Shopping', 'Computers', 'Business', 'Arts']",Computers
51647,"['Computers', 'Business', 'Sports', 'News']",Computers
51691,"['Computers', 'Business', 'Society', 'Kids']",Computers
51694,"['Computers', 'Sports', 'Society', 'Business']",Computers
51699,"['Business', 'Computers', 'Science', 'Kids']",Computers
51743,"['Computers', 'Business', 'Shopping', 'Home']",Computers
51795,"['Computers', 'Society', 'Shopping', 'Reference']",Computers
51828,"['Shopping', 'Computers', 'Sports', 'Kids']",Computers
51829,"['Computers', 'Arts', 'Sports', 'Society']",Computers
51947,"['Business', 'Computers', 'Sports', 'Shopping']",Computers
51959,"['Computers', 'Sports', 'Society', 'Science']",Computers
52060,"['Computers', 'Business', 'Society', 'Science']",Computers
52125,"['Computers', 'Science', 'Sports', 'Society']",Computers
52147,"['Computers', 'Society', 'Games', 'Sports']",Computers
52169,"['Society', 'Business', 'Computers', 'Sports']",Computers
52250,"['Business', 'Kids', 'Computers', 'Shopping']",Computers
52280,"['Shopping', 'Reference', 'Computers', 'Business']",Computers
52334,"['Computers', 'Business', 'Shopping', 'Sports']",Computers
52337,"['Computers', 'Society', 'Recreation', 'Home']",Computers
52374,"['Business', 'Computers', 'Health', 'Science']",Computers
52405,"['Computers', 'Science', 'Health', 'Business']",Computers
52414,"['Business', 'Society', 'Computers', 'Sports']",Computers
52427,"['Computers', 'Sports', 'Science', 'Home']",Computers
52449,"['Computers', 'Sports', 'Shopping', 'Home']",Computers
52457,"['Computers', 'Society', 'Recreation', 'Games']",Computers
52514,"['Society', 'Computers', 'Arts', 'Recreation']",Computers
52534,"['Computers', 'Society', 'Health', 'Business']",Computers
52564,"['Health', 'Sports', 'Shopping', 'Computers']",Computers
52580,"['Computers', 'Science', 'Business', 'Reference']",Computers
52593,"['Computers', 'Reference', 'Health', 'Games']",Computers
52650,"['Shopping', 'Computers', 'Business', 'Society']",Computers
58230,"['Society', 'Shopping', 'Science', 'Computers']",Science
37132,"['Sports', 'Society', 'Shopping', 'Reference']",Society
37290,"['Society', 'Sports', 'Shopping', 'News']",Society
37301,"['Society', 'Sports', 'Shopping', 'Business']",Society
37350,"['Recreation', 'Sports', 'Society', 'Reference']",Society
37517,"['Society', 'Recreation', 'Arts', 'Sports']",Society
37919,"['Society', 'Arts', 'Shopping', 'News']",Society
38254,"['Sports', 'Society', 'Health', 'Shopping']",Sports
38304,"['Sports', 'Society', 'Business', 'Shopping']",Sports
38330,"['Sports', 'Computers', 'Society', 'Shopping']",Sports
38405,"['Sports', 'News', 'Society', 'Shopping']",Sports
38436,"['Sports', 'Society', 'Shopping', 'Recreation']",Sports
38447,"['Sports', 'Shopping', 'Games', 'Business']",Sports
38466,"['Sports', 'Society', 'Shopping', 'Science']",Sports
38496,"['Sports', 'Kids', 'Society', 'Shopping']",Sports
38674,"['Sports', 'Business', 'Arts', 'Shopping']",Sports
38803,"['Sports', 'Arts', 'Health', 'Business']",Sports
38868,"['Sports', 'Society', 'Shopping', 'Science']",Sports
39085,"['Sports', 'Games', 'Society', 'Shopping']",Sports
39604,"['Sports', 'Recreation', 'Health', 'Computers']",Sports
39656,"['Sports', 'Shopping', 'Recreation', 'Kids']",Sports
39729,"['Sports', 'Society', 'Shopping', 'Kids']",Sports
39869,"['Health', 'Games', 'Sports', 'Society']",Sports
40260,"['Sports', 'Society', 'Shopping', 'Recreation']",Sports
40426,"['Sports', 'Society', 'Health', 'Business']",Sports
40429,"['Sports', 'Society', 'Kids', 'Health']",Sports
40472,"['Shopping', 'Sports', 'Society', 'News']",Sports
40625,"['Sports', 'News', 'Arts', 'Society']",Sports
40724,"['Sports', 'Society', 'Shopping', 'Science']",Sports
40732,"['Sports', 'Society', 'Shopping', 'Science']",Sports
40765,"['Sports', 'Shopping', 'Health', 'Games']",Sports
40784,"['Sports', 'Games', 'Business', 'Society']",Sports
40792,"['Sports', 'Society', 'Shopping', 'Science']",Sports
41219,"['Sports', 'Shopping', 'News', 'Games']",Sports
41250,"['Shopping', 'Computers', 'Sports', 'Regional']",Sports
41486,"['Sports', 'Arts', 'Society', 'Shopping']",Sports
41642,"['Sports', 'Arts', 'News', 'Health']",Sports
42022,"['Sports', 'Arts', 'Shopping', 'Regional']",Sports
42036,"['Sports', 'Shopping', 'Recreation', 'Business']",Sports
42195,"['Sports', 'Society', 'Health', 'Computers']",Sports
