ref id,Predicted,Actual
52866,"['Recreation', 'Arts', 'Kids', 'Health']",Games
47238,"['Business', 'Shopping', 'Society', 'Health']",Arts
49552,"['Shopping', 'Computers', 'Sports', 'Health']",Business
49564,"['Computers', 'Arts', 'Society', 'Shopping']",Business
49600,"['Sports', 'Society', 'Science', 'Health']",Business
49667,"['Shopping', 'Society', 'Sports', 'Recreation']",Business
49714,"['Shopping', 'Computers', 'Recreation', 'Games']",Business
52837,"['Home', 'Society', 'Shopping', 'Reference']",Computers
52846,"['Computers', 'Shopping', 'Sports', 'Business']",Games
45211,"['Shopping', 'Business', 'Society', 'Computers']",Adult
45627,"['Shopping', 'Society', 'Reference', 'Kids']",Arts
45949,"['Society', 'Health', 'Shopping', 'Recreation']",Arts
46320,"['Health', 'Sports', 'Society', 'Shopping']",Arts
46887,"['Sports', 'Business', 'Society', 'Reference']",Arts
46930,"['Society', 'Computers', 'Business', 'Sports']",Arts
47118,"['Business', 'Shopping', 'Sports', 'Society']",Arts
48187,"['Shopping', 'Arts', 'Society', 'Computers']",Business
48208,"['Arts', 'Society', 'Sports', 'Science']",Business
48330,"['Society', 'Shopping', 'Computers', 'Sports']",Business
48440,"['Society', 'Sports', 'Recreation', 'Computers']",Business
48507,"['Health', 'Sports', 'Society', 'Recreation']",Business
48519,"['Computers', 'Sports', 'Society', 'Regional']",Business
48522,"['Business', 'Shopping', 'Sports', 'Society']",Regional
48613,"['Society', 'Health', 'Recreation', 'Computers']",Business
48753,"['Computers', 'Society', 'Shopping', 'Recreation']",Business
48792,"['Computers', 'Society', 'Shopping', 'Games']",Business
48872,"['Health', 'Shopping', 'Reference', 'Recreation']",Business
49021,"['Business', 'Sports', 'Computers', 'Society']",Science
49037,"['Shopping', 'Society', 'Health', 'Home']",Business
49101,"['Sports', 'Recreation', 'Health', 'News']",Business
49260,"['Shopping', 'Arts', 'Science', 'Recreation']",Business
49545,"['Health', 'Society', 'Computers', 'Sports']",Business
51665,"['Business', 'Shopping', 'Kids', 'Health']",Computers
51923,"['Business', 'Society', 'Home', 'Sports']",Computers
4053,"['Science', 'Business', 'Adult', 'Sports']",Arts
37932,"['Reference', 'Computers', 'Business', 'Sports']",Society
41643,"['Business', 'Shopping', 'Computers', 'Health']",Sports
43692,"['News', 'Sports', 'Recreation', 'Society']",Business
43729,"['Computers', 'Science', 'News', 'Games']",Business
43780,"['Regional', 'Shopping', 'Kids', 'Games']",Computers
43909,"['Shopping', 'Sports', 'Computers', 'Society']",Games
43935,"['Computers', 'Society', 'Sports', 'Regional']",Games
44033,"['Sports', 'Arts', 'Business', 'Society']",Health
44105,"['Home', 'Society', 'Health', 'Business']",Regional
44106,"['Computers', 'Health', 'Society', 'Recreation']",Home
44131,"['Shopping', 'Sports', 'Society', 'Regional']",Home
44136,"['Home', 'Sports', 'Games', 'Computers']",Society
44138,"['Shopping', 'Computers', 'Society', 'Business']",Home
44145,"['Society', 'Computers', 'Business', 'Arts']",Home
44146,"['Computers', 'Recreation', 'Shopping', 'Regional']",Home
44161,"['Home', 'Society', 'Shopping', 'Sports']",Regional
44173,"['Computers', 'Arts', 'Sports', 'Society']",Home
44175,"['Arts', 'Adult', 'Sports', 'Shopping']",Home
44184,"['Business', 'Arts', 'Sports', 'Society']",Home
44190,"['Sports', 'Home', 'Games', 'Business']",Kids
44203,"['Regional', 'Society', 'Sports', 'Shopping']",Kids
44209,"['Business', 'Shopping', 'Recreation', 'Games']",Kids
44244,"['News', 'Regional', 'Sports', 'Society']",Kids
44250,"['Arts', 'Sports', 'Society', 'Home']",News
44297,"['Shopping', 'Computers', 'Arts', 'Society']",News
44316,"['Regional', 'Sports', 'Business', 'Society']",Recreation
44331,"['Regional', 'Sports', 'Society', 'Shopping']",Recreation
44339,"['Arts', 'Sports', 'Society', 'Shopping']",Recreation
44340,"['Recreation', 'Home', 'Sports', 'Society']",Science
44401,"['Computers', 'Shopping', 'Society', 'Kids']",Recreation
44407,"['Business', 'Recreation', 'Sports', 'Computers']",Regional
44413,"['Regional', 'Health', 'Sports', 'Society']",Reference
44434,"['Sports', 'Computers', 'Arts', 'Society']",Reference
44441,"['Health', 'Sports', 'Society', 'Computers']",Reference
44454,"['Health', 'Society', 'Business', 'Sports']",Reference
44455,"['Society', 'Kids', 'Health', 'Business']",Reference
44457,"['Shopping', 'Health', 'Sports', 'Society']",Reference
44487,"['Shopping', 'Computers', 'Sports', 'Society']",Regional
44496,"['Computers', 'Society', 'Health', 'Sports']",Regional
44499,"['Shopping', 'Health', 'Sports', 'Science']",Regional
44506,"['Arts', 'Sports', 'Science', 'Recreation']",Regional
44558,"['Health', 'Business', 'Shopping', 'Kids']",Science
44561,"['Society', 'Health', 'Computers', 'Kids']",Science
44583,"['Computers', 'Business', 'Society', 'Shopping']",Science
