ref id,Predicted,Actual
49773,"['Business', 'Computers', 'Shopping', 'Health']",Business
47238,"['Shopping', 'Business', 'Arts', 'News']",Arts
47293,"['Arts', 'Regional', 'News', 'Health']",Arts
47311,"['Business', 'Society', 'Arts', 'Shopping']",Arts
47365,"['Arts', 'Business', 'Kids', 'Sports']",Arts
47459,"['Arts', 'Business', 'Home', 'Computers']",Arts
47549,"['Arts', 'Computers', 'Home', 'Society']",Arts
49552,"['Computers', 'Recreation', 'Business', 'Arts']",Business
49559,"['Business', 'Computers', 'Games', 'Kids']",Business
49568,"['Computers', 'Business', 'Reference', 'Science']",Business
49574,"['Business', 'Computers', 'Science', 'Arts']",Business
49587,"['Shopping', 'Business', 'Computers', 'Arts']",Business
49600,"['Business', 'Shopping', 'Society', 'Sports']",Business
49619,"['Business', 'News', 'Computers', 'Arts']",Business
49667,"['Shopping', 'Business', 'Science', 'Computers']",Business
49697,"['Business', 'Computers', 'Shopping', 'Society']",Business
49701,"['Business', 'Shopping', 'Science', 'Computers']",Business
49714,"['Computers', 'Business', 'Recreation', 'Arts']",Business
49740,"['Business', 'Computers', 'Science', 'Regional']",Business
52669,"['Arts', 'Business', 'Shopping', 'Computers']",Computers
52683,"['Computers', 'Business', 'Society', 'Shopping']",Computers
52707,"['Computers', 'Sports', 'Games', 'Society']",Computers
52720,"['Computers', 'Society', 'Shopping', 'Reference']",Computers
52729,"['Computers', 'Business', 'Shopping', 'Arts']",Computers
52733,"['Computers', 'Society', 'Arts', 'Sports']",Computers
52749,"['Computers', 'Business', 'Shopping', 'Health']",Computers
52780,"['Computers', 'Society', 'Business', 'Health']",Computers
52789,"['Computers', 'Games', 'Sports', 'Society']",Computers
52830,"['Computers', 'Arts', 'Society', 'Adult']",Computers
52837,"['Computers', 'Business', 'Society', 'Sports']",Computers
52846,"['Games', 'Kids', 'Sports', 'Computers']",Games
52858,"['Games', 'Kids', 'Society', 'Arts']",Games
45276,"['Adult', 'Society', 'Regional', 'Science']",Adult
45409,"['Adult', 'Regional', 'News', 'Society']",Adult
45541,"['Shopping', 'Business', 'Arts', 'Science']",Arts
45832,"['Arts', 'Kids', 'Home', 'Society']",Arts
45949,"['Arts', 'Society', 'Kids', 'Shopping']",Arts
45951,"['Arts', 'Society', 'Shopping', 'Kids']",Arts
46041,"['Society', 'Sports', 'Arts', 'Kids']",Arts
46221,"['Arts', 'Society', 'Computers', 'Home']",Arts
46320,"['Arts', 'Shopping', 'Reference', 'Business']",Arts
46425,"['Shopping', 'Business', 'Arts', 'Science']",Arts
46510,"['Arts', 'Society', 'Kids', 'Reference']",Arts
46567,"['Arts', 'Shopping', 'Adult', 'Kids']",Arts
46887,"['Arts', 'Society', 'Games', 'Computers']",Arts
46930,"['Business', 'Arts', 'Shopping', 'News']",Arts
47118,"['Arts', 'Business', 'News', 'Regional']",Arts
48141,"['Business', 'Computers', 'Home', 'Shopping']",Business
48168,"['Business', 'Arts', 'Computers', 'Society']",Business
48187,"['Shopping', 'Business', 'Sports', 'Recreation']",Business
48208,"['Shopping', 'Sports', 'Arts', 'Business']",Business
48223,"['Business', 'Arts', 'Society', 'Shopping']",Business
48252,"['Shopping', 'Business', 'Computers', 'Recreation']",Business
48267,"['Shopping', 'Business', 'Arts', 'Science']",Business
48282,"['Shopping', 'Business', 'Arts', 'Science']",Business
48323,"['Business', 'Computers', 'Society', 'Regional']",Business
48330,"['Business', 'Shopping', 'Computers', 'Science']",Business
48366,"['Business', 'Society', 'Shopping', 'Games']",Business
48368,"['Business', 'Computers', 'Regional', 'Science']",Business
