ref id,Predicted,Actual
52866,"['Recreation', 'Arts', 'Sports', 'Society']",Games
49564,"['Science', 'Computers', 'Society', 'Health']",Business
45211,"['Shopping', 'Arts', 'Business', 'Home']",Adult
45627,"['Society', 'Business', 'Shopping', 'Recreation']",Arts
48234,"['Business', 'Shopping', 'Computers', 'Science']",Sports
48731,"['Arts', 'Society', 'Home', 'Games']",Business
49545,"['Science', 'Computers', 'Society', 'Health']",Business
37932,"['Shopping', 'Business', 'Arts', 'Science']",Society
38436,"['Shopping', 'Business', 'Arts', 'Science']",Sports
38447,"['Shopping', 'Business', 'Arts', 'Science']",Sports
39729,"['Shopping', 'Business', 'Arts', 'Science']",Sports
39869,"['Arts', 'Business', 'Shopping', 'Science']",Sports
40472,"['Shopping', 'Business', 'Arts', 'Science']",Sports
42195,"['Shopping', 'Business', 'Arts', 'Science']",Sports
42657,"['Shopping', 'Business', 'Arts', 'Science']",Sports
43122,"['Shopping', 'Business', 'Arts', 'Science']",Sports
43170,"['Shopping', 'Business', 'Arts', 'Science']",Sports
43533,"['Shopping', 'Business', 'Health', 'Arts']",Adult
43780,"['Regional', 'Shopping', 'Business', 'Science']",Computers
44105,"['Society', 'Health', 'Home', 'Kids']",Regional
44131,"['Business', 'Computers', 'Recreation', 'Science']",Home
44145,"['Computers', 'Business', 'Reference', 'Science']",Home
44161,"['Home', 'Shopping', 'Health', 'Business']",Regional
44175,"['Shopping', 'Business', 'Arts', 'Science']",Home
44190,"['Sports', 'Society', 'Shopping', 'Games']",Kids
44203,"['Regional', 'Business', 'Shopping', 'News']",Kids
44244,"['News', 'Regional', 'Arts', 'Sports']",Kids
44327,"['Business', 'Arts', 'Recreation', 'Computers']",Regional
44331,"['Regional', 'Shopping', 'Business', 'Science']",Recreation
44340,"['Society', 'Home', 'Business', 'Computers']",Science
44401,"['Computers', 'Sports', 'Society', 'Business']",Recreation
44434,"['Shopping', 'Business', 'Arts', 'Science']",Reference
44441,"['Shopping', 'Business', 'Arts', 'Science']",Reference
44457,"['Business', 'Shopping', 'Society', 'Arts']",Reference
44496,"['Shopping', 'Business', 'Arts', 'Science']",Regional
44499,"['Shopping', 'Business', 'Health', 'Home']",Regional
44591,"['Arts', 'Business', 'Computers', 'Home']",Science
44598,"['Arts', 'Society', 'Shopping', 'Business']",Science
44835,"['Shopping', 'Business', 'Arts', 'Science']",Sports
44838,"['Shopping', 'Business', 'Science', 'Arts']",Sports
45081,"['Shopping', 'Business', 'Arts', 'Health']",Adult
45148,"['Shopping', 'Business', 'Recreation', 'Arts']",Adult
45237,"['Arts', 'Recreation', 'Business', 'Health']",Adult
45351,"['Shopping', 'Business', 'Arts', 'Science']",Adult
45595,"['Society', 'Sports', 'Recreation', 'Science']",Arts
45758,"['Health', 'Business', 'Society', 'Computers']",Arts
45835,"['Health', 'News', 'Society', 'Kids']",Arts
45987,"['Arts', 'Home', 'Computers', 'Society']",Kids
46127,"['Society', 'Shopping', 'Recreation', 'Sports']",Arts
46300,"['Recreation', 'Shopping', 'Sports', 'Business']",Arts
46544,"['Arts', 'Society', 'Computers', 'Kids']",Games
46691,"['Kids', 'Games', 'Society', 'Sports']",Arts
46745,"['Sports', 'Recreation', 'Society', 'Computers']",Arts
46778,"['Business', 'Shopping', 'Society', 'Computers']",Arts
46781,"['Society', 'News', 'Shopping', 'Business']",Arts
46964,"['Reference', 'Society', 'Science', 'Computers']",Arts
