ref id,Predicted,Actual
49773,"['Business', 'Computers', 'Sports', 'Arts']",Business
52866,"['Games', 'Computers', 'Recreation', 'Kids']",Games
47238,"['Shopping', 'Business', 'Arts', 'Society']",Arts
47293,"['Arts', 'Regional', 'News', 'Health']",Arts
47365,"['Arts', 'Shopping', 'Recreation', 'Adult']",Arts
47459,"['Arts', 'Sports', 'Science', 'Recreation']",Arts
47549,"['Arts', 'Recreation', 'Computers', 'Society']",Arts
49564,"['Society', 'Computers', 'Shopping', 'Business']",Business
49568,"['Computers', 'Business', 'Society', 'Shopping']",Business
49574,"['Business', 'Arts', 'Society', 'Computers']",Business
49587,"['Shopping', 'Business', 'Society', 'Arts']",Business
49619,"['Business', 'News', 'Computers', 'Shopping']",Business
49697,"['Business', 'Sports', 'Society', 'Arts']",Business
49701,"['Business', 'Shopping', 'Science', 'Society']",Business
49714,"['Computers', 'Business', 'Shopping', 'Recreation']",Business
49740,"['Business', 'Computers', 'Regional', 'Recreation']",Business
52683,"['Recreation', 'Sports', 'Games', 'Computers']",Computers
52720,"['Computers', 'Society', 'Shopping', 'Science']",Computers
52729,"['Recreation', 'Sports', 'Society', 'Computers']",Computers
52733,"['Business', 'Society', 'Health', 'Computers']",Computers
52749,"['Computers', 'Shopping', 'Recreation', 'Society']",Computers
52780,"['Recreation', 'Science', 'Health', 'Computers']",Computers
52846,"['Games', 'Shopping', 'Kids', 'Adult']",Games
52858,"['Games', 'Arts', 'Adult', 'Sports']",Games
45276,"['Adult', 'Society', 'Science', 'Sports']",Adult
45409,"['Adult', 'Games', 'Reference', 'Recreation']",Adult
45541,"['Arts', 'Computers', 'Science', 'Business']",Arts
45832,"['Arts', 'Society', 'Business', 'Recreation']",Arts
45949,"['Arts', 'Sports', 'Reference', 'Recreation']",Arts
45951,"['Arts', 'Business', 'Recreation', 'Sports']",Arts
46041,"['Arts', 'Society', 'Adult', 'Sports']",Arts
46221,"['Arts', 'Society', 'Recreation', 'Business']",Arts
46320,"['Arts', 'Science', 'Shopping', 'Computers']",Arts
46510,"['Society', 'Arts', 'Sports', 'Health']",Arts
46567,"['Arts', 'Society', 'Adult', 'Sports']",Arts
46887,"['Sports', 'Computers', 'Arts', 'Society']",Arts
47118,"['Arts', 'Business', 'Society', 'Reference']",Arts
48141,"['Business', 'Computers', 'Shopping', 'Science']",Business
48168,"['Business', 'Science', 'Recreation', 'Health']",Business
48208,"['Recreation', 'Business', 'Games', 'Computers']",Business
48223,"['Computers', 'Business', 'Shopping', 'Games']",Business
48234,"['Business', 'Shopping', 'Recreation', 'Sports']",Sports
48252,"['Business', 'Shopping', 'Society', 'Recreation']",Business
48267,"['Shopping', 'Business', 'Health', 'Arts']",Business
48282,"['Business', 'Home', 'Science', 'Health']",Business
48323,"['Business', 'Computers', 'Sports', 'Health']",Business
48330,"['Business', 'Shopping', 'Computers', 'Society']",Business
48366,"['Business', 'Games', 'Society', 'Sports']",Business
48368,"['Business', 'Society', 'Shopping', 'Recreation']",Business
48432,"['Shopping', 'Health', 'Business', 'Society']",Business
48440,"['Sports', 'Business', 'Regional', 'Reference']",Business
48445,"['Business', 'Society', 'Computers', 'Arts']",Business
48506,"['Business', 'Arts', 'Society', 'Sports']",Business
48507,"['Business', 'Reference', 'Society', 'Kids']",Business
48519,"['Business', 'Arts', 'Society', 'News']",Business
48532,"['Computers', 'Society', 'Business', 'Sports']",Business
48536,"['Arts', 'Business', 'Shopping', 'Sports']",Business
48557,"['Computers', 'Business', 'Sports', 'Shopping']",Business
48566,"['Business', 'Society', 'Health', 'Computers']",Business
48585,"['Computers', 'Business', 'Science', 'Health']",Business
48589,"['Business', 'Computers', 'Science', 'Games']",Business
48591,"['Business', 'Shopping', 'Arts', 'Science']",Shopping
48597,"['Computers', 'Business', 'Kids', 'Sports']",Business
48613,"['Computers', 'Arts', 'Health', 'Business']",Business
48630,"['Business', 'Society', 'Computers', 'Health']",Business
48664,"['Business', 'Computers', 'Shopping', 'Science']",Business
48717,"['Business', 'Recreation', 'Health', 'Science']",Business
