ref id,Predicted,Actual
47311,"['Sports', 'Shopping', 'Recreation', 'Reference']",Arts
49552,"['Recreation', 'Health', 'Sports', 'Computers']",Business
49559,"['Arts', 'Society', 'Shopping', 'Recreation']",Business
49600,"['Shopping', 'Society', 'Recreation', 'Kids']",Business
49667,"['Shopping', 'Society', 'Kids', 'Arts']",Business
52669,"['Business', 'Shopping', 'Society', 'Arts']",Computers
52707,"['Recreation', 'Business', 'Kids', 'Games']",Computers
52789,"['Recreation', 'Adult', 'Kids', 'Society']",Computers
52830,"['Society', 'Reference', 'Recreation', 'Games']",Computers
52837,"['Games', 'Sports', 'Health', 'Arts']",Computers
45211,"['Shopping', 'Arts', 'Sports', 'Recreation']",Adult
45627,"['Society', 'Sports', 'Recreation', 'Home']",Arts
46425,"['Business', 'Sports', 'Society', 'Kids']",Arts
46930,"['Business', 'Shopping', 'News', 'Society']",Arts
48187,"['Shopping', 'Recreation', 'Sports', 'Society']",Business
48473,"['Recreation', 'Computers', 'Arts', 'Shopping']",Business
48522,"['Business', 'Shopping', 'Kids', 'Computers']",Regional
48657,"['Sports', 'Science', 'Shopping', 'Reference']",Business
48731,"['Sports', 'Home', 'Computers', 'Health']",Business
48753,"['Sports', 'Shopping', 'News', 'Health']",Business
49021,"['Business', 'Society', 'Shopping', 'Computers']",Science
49022,"['Computers', 'Society', 'Health', 'Games']",Business
49037,"['Society', 'Science', 'Sports', 'Health']",Business
49229,"['Shopping', 'Arts', 'Society', 'Sports']",Business
49346,"['Health', 'Society', 'Arts', 'Sports']",Business
49358,"['Sports', 'Society', 'Recreation', 'Games']",Business
49422,"['Shopping', 'Society', 'Arts', 'Sports']",Business
49490,"['Society', 'Computers', 'Shopping', 'Recreation']",Business
49545,"['Reference', 'News', 'Arts', 'Science']",Business
51543,"['Business', 'Recreation', 'Health', 'Shopping']",Computers
51555,"['Business', 'Shopping', 'Regional', 'Recreation']",Computers
51665,"['Shopping', 'Arts', 'Kids', 'Health']",Computers
51828,"['Arts', 'Sports', 'Shopping', 'Games']",Computers
52125,"['Arts', 'Society', 'Science', 'Recreation']",Computers
52147,"['Society', 'Recreation', 'Kids', 'Business']",Computers
52169,"['Society', 'Sports', 'Business', 'Arts']",Computers
52405,"['Business', 'Arts', 'Society', 'Science']",Computers
52457,"['Kids', 'Recreation', 'Business', 'Adult']",Computers
52514,"['Recreation', 'Health', 'Arts', 'Sports']",Computers
58230,"['Computers', 'Regional', 'Recreation', 'Kids']",Science
4053,"['News', 'Sports', 'Shopping', 'Computers']",Arts
37132,"['Sports', 'Shopping', 'Science', 'Health']",Society
37350,"['Recreation', 'Arts', 'Health', 'Computers']",Society
38436,"['Shopping', 'Business', 'Society', 'Reference']",Sports
38674,"['Arts', 'Business', 'Society', 'Recreation']",Sports
39656,"['Business', 'Shopping', 'Health', 'Arts']",Sports
41219,"['Society', 'Business', 'Recreation', 'Arts']",Sports
42195,"['Shopping', 'Recreation', 'Business', 'Home']",Sports
43533,"['Shopping', 'Society', 'Recreation', 'Health']",Adult
43901,"['Business', 'Games', 'Shopping', 'Regional']",Kids
44105,"['Health', 'Science', 'Reference', 'Home']",Regional
44106,"['Arts', 'Computers', 'Science', 'Business']",Home
44131,"['Sports', 'Society', 'Science', 'Recreation']",Home
44138,"['Shopping', 'Computers', 'Business', 'Sports']",Home
44145,"['Business', 'Computers', 'Society', 'Shopping']",Home
44173,"['Arts', 'Health', 'Sports', 'Business']",Home
44175,"['News', 'Sports', 'Arts', 'Society']",Home
44184,"['Arts', 'Society', 'Computers', 'Sports']",Home
44190,"['Sports', 'Business', 'Computers', 'Shopping']",Kids
44203,"['Regional', 'Science', 'Reference', 'Recreation']",Kids
44209,"['Business', 'Recreation', 'Games', 'Sports']",Kids
44250,"['Health', 'Games', 'Sports', 'Arts']",News
44316,"['Society', 'Shopping', 'Regional', 'Sports']",Recreation
44318,"['Business', 'Shopping', 'Recreation', 'Home']",Regional
44327,"['Business', 'Recreation', 'Shopping', 'Arts']",Regional
44331,"['Business', 'News', 'Sports', 'Society']",Recreation
44340,"['Sports', 'Society', 'Recreation', 'Games']",Science
44376,"['Business', 'Shopping', 'Home', 'Society']",Recreation
44401,"['Sports', 'Games', 'Computers', 'Kids']",Recreation
44407,"['Business', 'Computers', 'Arts', 'Shopping']",Regional
44413,"['Health', 'Society', 'Regional', 'Kids']",Reference
44434,"['Regional', 'Health', 'Computers', 'Sports']",Reference
44457,"['Shopping', 'Kids', 'Computers', 'Business']",Reference
44499,"['Shopping', 'Computers', 'Business', 'Sports']",Regional
44506,"['Computers', 'Business', 'Recreation', 'Sports']",Regional
44539,"['Business', 'Health', 'Computers', 'Sports']",Science
44553,"['Society', 'Home', 'Health', 'Recreation']",Science
44556,"['Business', 'Shopping', 'Computers', 'Society']",Science
44583,"['Business', 'Sports', 'Arts', 'Society']",Science
44725,"['Arts', 'Kids', 'Business', 'News']",Society
44875,"['Arts', 'Recreation', 'Sports', 'Society']",Adult
44934,"['Society', 'Computers', 'Sports', 'Shopping']",Adult
45081,"['Arts', 'Recreation', 'Sports', 'Society']",Adult
45148,"['Society', 'Shopping', 'Recreation', 'Sports']",Adult
45181,"['Shopping', 'Society', 'Recreation', 'Arts']",Adult
45219,"['Shopping', 'Arts', 'Sports', 'Health']",Adult
45237,"['Arts', 'Shopping', 'Sports', 'Health']",Adult
45351,"['Arts', 'Recreation', 'Business', 'Sports']",Adult
45403,"['Kids', 'Computers', 'Society', 'Business']",Adult
45758,"['Health', 'Business', 'Computers', 'Society']",Arts
45835,"['Health', 'News', 'Home', 'Games']",Arts
45836,"['Health', 'Games', 'News', 'Home']",Arts
45926,"['Science', 'Computers', 'Society', 'Sports']",Arts
45987,"['Arts', 'Sports', 'Science', 'Recreation']",Kids
46007,"['Society', 'Home', 'Recreation', 'Sports']",Arts
46101,"['Shopping', 'Society', 'Sports', 'Business']",Arts
46127,"['Society', 'Recreation', 'Sports', 'Games']",Arts
46220,"['Shopping', 'Sports', 'News', 'Business']",Arts
46264,"['Society', 'Sports', 'Recreation', 'Health']",Arts
46300,"['Sports', 'Recreation', 'Society', 'Health']",Arts
46313,"['Business', 'Shopping', 'Computers', 'Society']",Arts
46407,"['Society', 'Recreation', 'Health', 'Computers']",Arts
46439,"['Business', 'Recreation', 'Health', 'Sports']",Arts
46462,"['Computers', 'Health', 'Games', 'Society']",Arts
46463,"['Sports', 'Business', 'News', 'Home']",Arts
46500,"['Business', 'Sports', 'Shopping', 'Recreation']",Arts
46507,"['Society', 'Home', 'Recreation', 'Health']",Arts
46544,"['Health', 'Arts', 'Sports', 'Society']",Games
46587,"['Business', 'Sports', 'Society', 'Recreation']",Arts
46640,"['Sports', 'Kids', 'Shopping', 'Games']",Arts
46691,"['Kids', 'Computers', 'Society', 'Business']",Arts
46745,"['Sports', 'Society', 'Games', 'Computers']",Arts
46765,"['Health', 'Shopping', 'Recreation', 'Computers']",Arts
46778,"['Sports', 'Society', 'Kids', 'Business']",Arts
46815,"['Health', 'Society', 'Computers', 'Recreation']",Arts
46839,"['Sports', 'Shopping', 'Recreation', 'Home']",Arts
46849,"['Sports', 'Shopping', 'Recreation', 'Home']",Arts
46877,"['Sports', 'Society', 'Regional', 'News']",Arts
46918,"['Home', 'Health', 'Shopping', 'Science']",Arts
46934,"['Society', 'Shopping', 'Sports', 'Games']",Arts
46979,"['Kids', 'Society', 'Recreation', 'Adult']",Arts
47035,"['Recreation', 'Society', 'Kids', 'Computers']",Arts
47100,"['Business', 'Kids', 'Arts', 'Society']",Shopping
47160,"['News', 'Computers', 'Recreation', 'Sports']",Arts
47407,"['Society', 'Shopping', 'Sports', 'Kids']",Arts
47420,"['Shopping', 'Business', 'Sports', 'Society']",Arts
