ref id,Predicted,Actual
49773,"['Business', 'Recreation', 'Shopping', 'Regional']",Business
52866,"['Games', 'Kids', 'Recreation', 'Society']",Games
47238,"['News', 'Society', 'Arts', 'Sports']",Arts
47293,"['News', 'Regional', 'Arts', 'Society']",Arts
47311,"['Arts', 'Society', 'Sports', 'Recreation']",Arts
47365,"['Arts', 'Society', 'Regional', 'Kids']",Arts
47459,"['Arts', 'Games', 'Sports', 'Society']",Arts
47549,"['Arts', 'Society', 'News', 'Games']",Arts
49552,"['Computers', 'Business', 'Recreation', 'Society']",Business
49559,"['Business', 'Society', 'Computers', 'Health']",Business
49568,"['Computers', 'Business', 'Science', 'Society']",Business
49574,"['Computers', 'Business', 'Science', 'Society']",Business
49587,"['Business', 'Computers', 'Health', 'Sports']",Business
49600,"['Business', 'Society', 'Computers', 'Arts']",Business
49619,"['Business', 'Society', 'Arts', 'Computers']",Business
49667,"['Shopping', 'Business', 'Computers', 'Regional']",Business
49697,"['Business', 'Regional', 'Computers', 'Science']",Business
49701,"['Science', 'Business', 'Computers', 'Recreation']",Business
49714,"['Business', 'Shopping', 'Science', 'Computers']",Business
49740,"['Business', 'Science', 'Computers', 'Society']",Business
52683,"['Computers', 'Society', 'Business', 'Reference']",Computers
52707,"['Computers', 'Games', 'Science', 'Society']",Computers
52720,"['Computers', 'Reference', 'Society', 'Science']",Computers
52729,"['Computers', 'Society', 'Arts', 'Business']",Computers
52733,"['Computers', 'Reference', 'Society', 'Science']",Computers
52749,"['Computers', 'Society', 'Adult', 'Games']",Computers
52780,"['Computers', 'Business', 'Society', 'Home']",Computers
52789,"['Business', 'Computers', 'Society', 'Science']",Computers
52830,"['Computers', 'Games', 'Arts', 'Recreation']",Computers
52837,"['Computers', 'Business', 'Society', 'Reference']",Computers
52846,"['Games', 'Kids', 'Business', 'Computers']",Games
52858,"['Games', 'Kids', 'Reference', 'Arts']",Games
45409,"['Adult', 'Society', 'Sports', 'Regional']",Adult
45832,"['Arts', 'Kids', 'Home', 'Society']",Arts
45949,"['Arts', 'Reference', 'Society', 'Kids']",Arts
45951,"['Arts', 'Society', 'Reference', 'Kids']",Arts
46041,"['Arts', 'Kids', 'Society', 'Games']",Arts
46221,"['Arts', 'Society', 'Home', 'Shopping']",Arts
46320,"['Arts', 'Reference', 'Kids', 'Society']",Arts
46510,"['Society', 'Arts', 'Kids', 'Reference']",Arts
46567,"['Arts', 'Adult', 'Games', 'Society']",Arts
46887,"['Arts', 'Sports', 'Society', 'Recreation']",Arts
46930,"['Kids', 'Business', 'Computers', 'Arts']",Arts
47118,"['Arts', 'Society', 'Sports', 'Recreation']",Arts
48141,"['Business', 'Science', 'Computers', 'Shopping']",Business
48168,"['Business', 'Health', 'Society', 'Science']",Business
48187,"['Shopping', 'Business', 'Home', 'Regional']",Business
48208,"['Recreation', 'Business', 'Sports', 'Kids']",Business
48223,"['Business', 'Sports', 'Shopping', 'Regional']",Business
48252,"['Shopping', 'Business', 'Computers', 'Regional']",Business
48267,"['Shopping', 'Business', 'Regional', 'Sports']",Business
48282,"['Business', 'Shopping', 'Health', 'Home']",Business
48323,"['Business', 'Computers', 'Society', 'Science']",Business
48330,"['Business', 'Computers', 'Science', 'Health']",Business
48366,"['Business', 'Games', 'Society', 'Computers']",Business
48368,"['Business', 'Computers', 'Science', 'Society']",Business
48432,"['Business', 'Computers', 'Society', 'Health']",Business
48440,"['Business', 'Regional', 'Science', 'Recreation']",Business
48445,"['Computers', 'Business', 'Science', 'Society']",Business
48473,"['Business', 'Computers', 'Arts', 'Society']",Business
48506,"['Business', 'Computers', 'Health', 'Kids']",Business
48507,"['Business', 'Kids', 'Recreation', 'Sports']",Business
48519,"['Computers', 'Business', 'Science', 'Society']",Business
48532,"['Business', 'Science', 'Computers', 'Health']",Business
48536,"['Business', 'Computers', 'Science', 'Society']",Business
48557,"['Business', 'Computers', 'Science', 'Regional']",Business
48566,"['Business', 'Science', 'Society', 'Health']",Business
48585,"['Computers', 'Business', 'Science', 'Regional']",Business
48589,"['Business', 'Computers', 'Science', 'Regional']",Business
48591,"['Shopping', 'Business', 'Computers', 'Science']",Shopping
48597,"['Business', 'Computers', 'Regional', 'Science']",Business
48613,"['Business', 'Computers', 'Society', 'Health']",Business
48630,"['Business', 'Computers', 'Society', 'Health']",Business
48657,"['Business', 'Society', 'Health', 'Science']",Business
48664,"['Business', 'Health', 'Society', 'Science']",Business
48717,"['Business', 'Science', 'Sports', 'Society']",Business
48724,"['Business', 'Home', 'Science', 'Society']",Business
48753,"['Business', 'Science', 'Computers', 'Recreation']",Business
48772,"['Business', 'Science', 'Health', 'Society']",Business
48789,"['Business', 'Computers', 'Science', 'Home']",Business
48792,"['Business', 'Computers', 'Science', 'Shopping']",Business
48851,"['Business', 'Society', 'Health', 'Reference']",Business
48871,"['Business', 'Reference', 'Health', 'Regional']",Business
48872,"['Business', 'Society', 'Regional', 'Health']",Business
48877,"['Business', 'Society', 'Computers', 'Science']",Business
48915,"['Business', 'Regional', 'Home', 'Society']",Business
48960,"['Business', 'Home', 'Society', 'Science']",Business
49006,"['Home', 'Business', 'Shopping', 'Science']",Business
49021,"['Business', 'Regional', 'Science', 'Computers']",Science
49022,"['Computers', 'Business', 'Society', 'Science']",Business
49024,"['Business', 'Society', 'Science', 'Health']",Business
49037,"['Health', 'Science', 'Society', 'Business']",Business
49043,"['Health', 'Business', 'Science', 'Computers']",Business
49075,"['Business', 'Regional', 'Computers', 'Science']",Business
49091,"['Business', 'Computers', 'Science', 'Shopping']",Business
49128,"['Home', 'Shopping', 'Kids', 'Business']",Business
49151,"['Business', 'Society', 'Computers', 'Home']",Business
49213,"['Business', 'Health', 'Society', 'Computers']",Business
49229,"['Business', 'Computers', 'Society', 'Health']",Business
49230,"['Business', 'Society', 'Computers', 'Health']",Business
49253,"['Society', 'Business', 'Computers', 'Games']",Business
49260,"['Business', 'Home', 'Society', 'Computers']",Business
49271,"['Business', 'Science', 'Shopping', 'Home']",Business
49358,"['Business', 'Science', 'Computers', 'Health']",Business
49362,"['Business', 'Science', 'Computers', 'Society']",Business
49368,"['Society', 'Business', 'Regional', 'Reference']",Business
49390,"['Business', 'Society', 'Regional', 'Home']",Business
49408,"['Business', 'Regional', 'Computers', 'Society']",Business
49422,"['Business', 'Society', 'Regional', 'Home']",Business
49435,"['Business', 'Home', 'Regional', 'Society']",Business
49444,"['Business', 'Society', 'Regional', 'Health']",Business
49490,"['Business', 'Computers', 'Society', 'Science']",Business
49515,"['Computers', 'Business', 'Society', 'Science']",Business
51543,"['Business', 'Computers', 'Shopping', 'Science']",Computers
51555,"['Business', 'Shopping', 'Science', 'Computers']",Computers
51590,"['Society', 'Computers', 'Kids', 'Arts']",Computers
51614,"['Society', 'Computers', 'Kids', 'Health']",Computers
51647,"['Computers', 'Business', 'Science', 'Regional']",Computers
51665,"['Computers', 'Business', 'Society', 'Health']",Computers
51691,"['Computers', 'Business', 'Society', 'Regional']",Computers
51694,"['Business', 'Computers', 'Society', 'Home']",Computers
51699,"['Computers', 'Business', 'Science', 'Regional']",Computers
51743,"['Computers', 'Business', 'Society', 'Regional']",Computers
51795,"['Computers', 'Games', 'Science', 'Society']",Computers
51828,"['Shopping', 'Computers', 'Arts', 'Games']",Computers
51829,"['Computers', 'Games', 'Kids', 'Business']",Computers
51923,"['Computers', 'Society', 'Business', 'Games']",Computers
51947,"['Computers', 'Business', 'Society', 'Science']",Computers
51959,"['Computers', 'Science', 'Society', 'Business']",Computers
52060,"['Computers', 'Science', 'Business', 'Health']",Computers
52125,"['Computers', 'Society', 'Games', 'Business']",Computers
52147,"['Computers', 'Kids', 'Science', 'Games']",Computers
52169,"['Computers', 'Society', 'Games', 'Science']",Computers
52250,"['Computers', 'Business', 'Society', 'Science']",Computers
52280,"['Business', 'Computers', 'Science', 'Shopping']",Computers
52334,"['Computers', 'Business', 'Society', 'Science']",Computers
52337,"['Computers', 'Business', 'Society', 'Science']",Computers
52374,"['Computers', 'Business', 'Society', 'Science']",Computers
52405,"['Computers', 'Business', 'Society', 'Science']",Computers
52414,"['Computers', 'Business', 'Regional', 'Society']",Computers
52427,"['Computers', 'Business', 'Regional', 'Science']",Computers
52449,"['Computers', 'Business', 'Society', 'Health']",Computers
52457,"['Computers', 'Business', 'Society', 'Games']",Computers
52514,"['Arts', 'Computers', 'Kids', 'Regional']",Computers
52534,"['Computers', 'Reference', 'Science', 'Society']",Computers
52564,"['Business', 'Computers', 'Health', 'Society']",Computers
52580,"['Computers', 'Science', 'Reference', 'Health']",Computers
52593,"['Reference', 'Computers', 'Science', 'Society']",Computers
52650,"['Computers', 'Kids', 'Arts', 'Reference']",Computers
58230,"['Science', 'Society', 'Reference', 'Computers']",Science
37290,"['Sports', 'Society', 'Recreation', 'Kids']",Society
37301,"['Society', 'Reference', 'Arts', 'Kids']",Society
37350,"['Society', 'Arts', 'Recreation', 'Computers']",Society
37517,"['Society', 'Health', 'News', 'Kids']",Society
37919,"['News', 'Society', 'Arts', 'Regional']",Society
38254,"['Sports', 'Games', 'News', 'Arts']",Sports
38304,"['Sports', 'Kids', 'Society', 'Reference']",Sports
38330,"['Sports', 'News', 'Regional', 'Society']",Sports
38405,"['Sports', 'Society', 'Shopping', 'Science']",Sports
38436,"['Sports', 'Society', 'Shopping', 'Science']",Sports
38447,"['Sports', 'Society', 'Shopping', 'Science']",Sports
38466,"['Sports', 'Regional', 'Society', 'Shopping']",Sports
38496,"['Sports', 'Regional', 'Society', 'Shopping']",Sports
38674,"['Sports', 'Games', 'Recreation', 'Shopping']",Sports
38803,"['Sports', 'Kids', 'Society', 'Arts']",Sports
38868,"['Sports', 'Society', 'Shopping', 'Science']",Sports
39085,"['Sports', 'Kids', 'Regional', 'Society']",Sports
39604,"['Sports', 'Recreation', 'Society', 'Games']",Sports
39656,"['Sports', 'Arts', 'Recreation', 'Society']",Sports
39729,"['Sports', 'Society', 'Shopping', 'Science']",Sports
39869,"['Sports', 'Recreation', 'Games', 'Society']",Sports
40260,"['Sports', 'News', 'Society', 'Shopping']",Sports
40426,"['Sports', 'News', 'Regional', 'Kids']",Sports
40429,"['Sports', 'News', 'Society', 'Shopping']",Sports
40472,"['Recreation', 'Sports', 'Regional', 'Society']",Sports
40625,"['Sports', 'Games', 'Recreation', 'News']",Sports
40724,"['Sports', 'Society', 'Shopping', 'Science']",Sports
40732,"['Sports', 'Society', 'Shopping', 'Science']",Sports
40765,"['Sports', 'Society', 'Shopping', 'Science']",Sports
40784,"['Sports', 'Society', 'Shopping', 'Science']",Sports
40792,"['Sports', 'Society', 'Shopping', 'Science']",Sports
41219,"['Sports', 'Recreation', 'Games', 'Kids']",Sports
41250,"['Sports', 'Shopping', 'Recreation', 'Games']",Sports
41486,"['Arts', 'Kids', 'Sports', 'Society']",Sports
41642,"['Sports', 'Society', 'Recreation', 'Arts']",Sports
41643,"['Sports', 'Recreation', 'Shopping', 'Business']",Sports
42022,"['Sports', 'Regional', 'Kids', 'Games']",Sports
42036,"['Sports', 'News', 'Society', 'Shopping']",Sports
42195,"['Sports', 'Society', 'Shopping', 'Science']",Sports
42553,"['Sports', 'Kids', 'Games', 'Recreation']",Sports
42583,"['Sports', 'Society', 'Shopping', 'Science']",Sports
42657,"['Sports', 'Society', 'Shopping', 'Science']",Sports
42707,"['Sports', 'Society', 'Shopping', 'Science']",Sports
42760,"['Sports', 'Society', 'Shopping', 'Science']",Sports
42811,"['Sports', 'Society', 'Shopping', 'Science']",Sports
42869,"['Sports', 'Society', 'Shopping', 'Science']",Sports
42914,"['Sports', 'Society', 'Shopping', 'Science']",Sports
42998,"['Sports', 'Society', 'Recreation', 'Kids']",Sports
43122,"['Sports', 'Regional', 'Recreation', 'Shopping']",Sports
43142,"['Sports', 'Recreation', 'Regional', 'Business']",Sports
43170,"['Sports', 'Recreation', 'Society', 'Shopping']",Sports
43354,"['Arts', 'Kids', 'Sports', 'Society']",Sports
43400,"['Reference', 'Society', 'Regional', 'Science']",Regional
43412,"['Adult', 'Society', 'Kids', 'Recreation']",Adult
43533,"['Adult', 'Society', 'Regional', 'Sports']",Adult
43681,"['News', 'Regional', 'Business', 'Society']",Business
43692,"['Business', 'Society', 'Computers', 'Home']",Business
