ref id,Predicted,Actual
49564,"['Science', 'Society', 'Health', 'Computers']",Business
52669,"['Arts', 'Society', 'Games', 'Recreation']",Computers
45211,"['Arts', 'Shopping', 'Regional', 'Kids']",Adult
45276,"['Business', 'Society', 'Computers', 'Science']",Adult
45541,"['Reference', 'Science', 'Sports', 'Society']",Arts
45627,"['Science', 'Reference', 'Society', 'Regional']",Arts
46425,"['Business', 'Health', 'Reference', 'Society']",Arts
48234,"['Business', 'Regional', 'Computers', 'Science']",Sports
48522,"['Business', 'Computers', 'Society', 'Science']",Regional
48731,"['Society', 'Home', 'Games', 'Recreation']",Business
49101,"['Society', 'Sports', 'Home', 'Recreation']",Business
49346,"['Society', 'Reference', 'Science', 'Health']",Business
49545,"['Science', 'Health', 'Reference', 'Society']",Business
4053,"['Society', 'Sports', 'Shopping', 'Science']",Arts
37132,"['Regional', 'Sports', 'Arts', 'Kids']",Society
37932,"['Reference', 'Health', 'Science', 'Sports']",Society
43729,"['Regional', 'Arts', 'Kids', 'Computers']",Business
44105,"['Society', 'Health', 'Home', 'Business']",Regional
44131,"['Science', 'Regional', 'Computers', 'Reference']",Home
44136,"['Arts', 'Kids', 'Regional', 'Computers']",Society
44145,"['Business', 'Computers', 'Science', 'Society']",Home
44161,"['Home', 'Health', 'Business', 'Society']",Regional
44173,"['Business', 'Recreation', 'Society', 'Regional']",Home
44203,"['Regional', 'Society', 'Reference', 'Science']",Kids
44244,"['News', 'Regional', 'Sports', 'Arts']",Kids
44331,"['Regional', 'Sports', 'Society', 'Shopping']",Recreation
44339,"['Arts', 'Kids', 'Science', 'News']",Recreation
44340,"['Home', 'Society', 'Computers', 'Business']",Science
44413,"['Health', 'Science', 'Kids', 'Society']",Reference
44499,"['Business', 'Shopping', 'Health', 'Home']",Regional
44583,"['Computers', 'Business', 'Society', 'Sports']",Science
44632,"['Regional', 'Business', 'Home', 'Computers']",Shopping
45148,"['Society', 'Arts', 'Recreation', 'News']",Adult
45181,"['Shopping', 'Home', 'Society', 'Kids']",Adult
45237,"['Recreation', 'Sports', 'Home', 'Society']",Adult
45595,"['Reference', 'Recreation', 'Science', 'Sports']",Arts
45758,"['Health', 'Business', 'Shopping', 'Society']",Arts
45835,"['Health', 'News', 'Kids', 'Regional']",Arts
45836,"['Health', 'Regional', 'News', 'Kids']",Arts
45902,"['Computers', 'Society', 'Reference', 'Science']",Arts
45926,"['Reference', 'Science', 'Society', 'Computers']",Arts
45987,"['Home', 'Arts', 'Society', 'Games']",Kids
46127,"['Home', 'Kids', 'Society', 'Recreation']",Arts
46283,"['Science', 'Reference', 'Computers', 'Sports']",Arts
46300,"['Games', 'Society', 'Recreation', 'Reference']",Arts
46423,"['Society', 'Regional', 'Business', 'Reference']",Arts
46439,"['Business', 'Kids', 'Recreation', 'Computers']",Arts
46587,"['Games', 'Recreation', 'Shopping', 'Society']",Arts
46715,"['Society', 'Kids', 'Health', 'Reference']",Arts
46745,"['Sports', 'Games', 'Recreation', 'Society']",Arts
46754,"['News', 'Sports', 'Home', 'Regional']",Arts
46765,"['Computers', 'Games', 'Business', 'Society']",Arts
46778,"['Society', 'Computers', 'Business', 'Science']",Arts
46962,"['Society', 'Reference', 'Kids', 'Games']",Arts
46964,"['Reference', 'Computers', 'Science', 'Health']",Arts
47100,"['Sports', 'Recreation', 'Business', 'Arts']",Shopping
47385,"['Computers', 'Business', 'Regional', 'Shopping']",Arts
47420,"['Computers', 'Business', 'Science', 'Shopping']",Arts
47435,"['Computers', 'Business', 'Science', 'Recreation']",Arts
47451,"['Kids', 'Shopping', 'Computers', 'Games']",Arts
47490,"['Arts', 'Sports', 'Society', 'Shopping']",Recreation
47530,"['Reference', 'Computers', 'Health', 'Science']",Arts
47575,"['Health', 'Business', 'Recreation', 'Sports']",Arts
47731,"['Science', 'Computers', 'Society', 'Reference']",Business
47747,"['Science', 'Sports', 'Society', 'Shopping']",Business
47818,"['Health', 'Society', 'Science', 'Reference']",Business
47963,"['Science', 'Society', 'Computers', 'Health']",Business
48120,"['Society', 'Home', 'Arts', 'Kids']",Business
48528,"['Society', 'Computers', 'Adult', 'Reference']",Business
48626,"['Arts', 'Kids', 'Regional', 'Computers']",Business
48997,"['Home', 'Shopping', 'Society', 'Kids']",Business
49276,"['Society', 'Computers', 'Arts', 'Reference']",Business
49846,"['Kids', 'News', 'Arts', 'Computers']",Business
50614,"['Society', 'Sports', 'Science', 'Health']",Computers
57056,"['Business', 'Regional', 'Society', 'Science']",Recreation
57207,"['Health', 'Business', 'Society', 'Kids']",Recreation
58187,"['Computers', 'Business', 'Society', 'Kids']",Science
13413,"['Shopping', 'Recreation', 'Sports', 'Society']",Computers
14311,"['News', 'Sports', 'Society', 'Shopping']",Games
15667,"['Adult', 'Arts', 'Society', 'Home']",Health
17957,"['Society', 'News', 'Home', 'Games']",Health
18047,"['Business', 'Home', 'Science', 'Sports']",Society
18721,"['Kids', 'Arts', 'Sports', 'Society']",Home
19390,"['Science', 'Reference', 'Health', 'Society']",Kids
19603,"['Recreation', 'Kids', 'Regional', 'Business']",Sports
20150,"['Business', 'Reference', 'Regional', 'Recreation']",News
21041,"['Health', 'Science', 'Reference', 'Kids']",News
21307,"['Regional', 'Shopping', 'Business', 'Recreation']",News
21362,"['Recreation', 'Science', 'Reference', 'Home']",News
21379,"['Recreation', 'Sports', 'Kids', 'Regional']",News
21403,"['Science', 'Reference', 'Regional', 'Health']",News
21406,"['Games', 'Recreation', 'Society', 'Arts']",News
21621,"['Arts', 'Computers', 'Games', 'Home']",Recreation
22522,"['Kids', 'Arts', 'Regional', 'Games']",Recreation
22539,"['Business', 'Regional', 'Science', 'Kids']",Recreation
22664,"['Health', 'Kids', 'Science', 'News']",Recreation
22702,"['Health', 'Science', 'Business', 'Kids']",Recreation
22827,"['Kids', 'Arts', 'Reference', 'News']",Recreation
23061,"['News', 'Society', 'Games', 'Arts']",Recreation
23074,"['Kids', 'Shopping', 'Arts', 'Games']",Recreation
23138,"['Computers', 'Arts', 'Society', 'Adult']",Recreation
23325,"['Games', 'Regional', 'Home', 'Sports']",Recreation
23346,"['Recreation', 'Games', 'Reference', 'Science']",Society
23514,"['Reference', 'Computers', 'Games', 'Shopping']",Recreation
23744,"['Recreation', 'Kids', 'Business', 'Reference']",Society
23876,"['News', 'Games', 'Arts', 'Computers']",Recreation
23986,"['Recreation', 'Science', 'Kids', 'Reference']",Society
24527,"['Health', 'Science', 'Society', 'Business']",Recreation
25382,"['Society', 'Arts', 'Recreation', 'Computers']",Reference
25460,"['Recreation', 'Science', 'Kids', 'Home']",Reference
25480,"['Games', 'Computers', 'Science', 'Recreation']",Reference
25536,"['Computers', 'Recreation', 'Games', 'Arts']",Reference
25593,"['Business', 'Sports', 'Society', 'Shopping']",Reference
25732,"['Recreation', 'Arts', 'News', 'Home']",Reference
25905,"['Business', 'Computers', 'Recreation', 'Regional']",Reference
26047,"['Arts', 'Kids', 'Computers', 'Science']",Reference
26129,"['Reference', 'Kids', 'Recreation', 'Arts']",Shopping
26285,"['Arts', 'Reference', 'Kids', 'Recreation']",Shopping
26468,"['Games', 'Kids', 'Recreation', 'News']",Reference
26525,"['News', 'Sports', 'Society', 'Shopping']",Reference
26573,"['Home', 'Kids', 'Society', 'Recreation']",Reference
26667,"['Shopping', 'Home', 'Recreation', 'Kids']",Regional
26692,"['Recreation', 'Games', 'Society', 'Science']",Regional
26744,"['Regional', 'Health', 'Recreation', 'News']",Society
26754,"['Computers', 'Sports', 'Society', 'Shopping']",Regional
26762,"['Society', 'News', 'Arts', 'Home']",Regional
26830,"['Business', 'News', 'Arts', 'Computers']",Regional
26842,"['Health', 'Business', 'Society', 'Reference']",Regional
26942,"['Science', 'Recreation', 'Health', 'Reference']",Regional
26966,"['Science', 'Reference', 'Recreation', 'Society']",Regional
26980,"['Science', 'Reference', 'Kids', 'Recreation']",Regional
27255,"['Recreation', 'Reference', 'Adult', 'News']",Science
27301,"['Recreation', 'Kids', 'Reference', 'Business']",Science
27362,"['Reference', 'Recreation', 'Business', 'Society']",Science
27555,"['Shopping', 'Business', 'Sports', 'Society']",Science
27687,"['Kids', 'Recreation', 'Games', 'Reference']",Science
27760,"['Home', 'News', 'Games', 'Arts']",Science
27907,"['Recreation', 'Reference', 'Business', 'Computers']",Science
28220,"['Computers', 'Business', 'Home', 'Recreation']",Science
28419,"['News', 'Arts', 'Games', 'Home']",Science
28449,"['News', 'Society', 'Games', 'Computers']",Science
28458,"['News', 'Arts', 'Regional', 'Recreation']",Science
28483,"['Arts', 'Kids', 'Computers', 'Regional']",Science
28508,"['Games', 'Computers', 'Recreation', 'News']",Science
28611,"['Science', 'News', 'Reference', 'Computers']",Society
28766,"['Recreation', 'Computers', 'Games', 'Kids']",Science
28786,"['Recreation', 'Computers', 'Games', 'Kids']",Science
28990,"['Home', 'Kids', 'Arts', 'Reference']",Science
29028,"['Sports', 'News', 'Society', 'Arts']",Science
