ref id,Predicted,Actual
0,['Adult', 'Sports', 'Society', 'Shopping'],['Adult']
34085,['Shopping', 'Sports', 'Society', 'Science'],['Shopping']
16,['Adult', 'Sports', 'Society', 'Shopping'],['Adult']
34096,['Shopping', 'Sports', 'Society', 'Science'],['Shopping']
22,['Adult', 'Sports', 'Society', 'Shopping'],['Adult']
27,['Arts', 'Sports', 'Society', 'Shopping'],['Adult']
34109,['Shopping', 'Sports', 'Society', 'Science'],['Shopping']
34112,['Health', 'Sports', 'Society', 'Shopping'],['Shopping']
37,['Adult', 'Sports', 'Society', 'Shopping'],['Adult']
40,['Adult', 'Sports', 'Society', 'Shopping'],['Adult']
64,['Adult', 'Sports', 'Society', 'Shopping'],['Adult']
71,['Adult', 'Sports', 'Society', 'Shopping'],['Adult']
72,['Adult', 'Sports', 'Society', 'Shopping'],['Adult']
74,['Adult', 'Sports', 'Society', 'Shopping'],['Adult']
34158,['Society', 'Sports', 'Shopping', 'Science'],['Shopping']
34159,['Shopping', 'Sports', 'Society', 'Science'],['Shopping']
34166,['Shopping', 'Sports', 'Society', 'Science'],['Shopping']
34171,['Society', 'Sports', 'Shopping', 'Science'],['Shopping']
95,['Computers', 'Sports', 'Society', 'Shopping'],['Adult']
34182,['Adult', 'Sports', 'Society', 'Shopping'],['Shopping']
105,['Shopping', 'Sports', 'Society', 'Science'],['Adult']
108,['Adult', 'Sports', 'Society', 'Shopping'],['Adult']
109,['Adult', 'Sports', 'Society', 'Shopping'],['Adult']
34189,['Society', 'Sports', 'Shopping', 'Science'],['Society']
114,['Adult', 'Sports', 'Society', 'Shopping'],['Adult']
115,['Science', 'Sports', 'Society', 'Shopping'],['Adult']
117,['Adult', 'Sports', 'Society', 'Shopping'],['Adult']
122,['Business', 'Sports', 'Society', 'Shopping'],['Adult']
150,['Recreation', 'Sports', 'Society', 'Shopping'],['Arts']
34232,['Society', 'Sports', 'Shopping', 'Science'],['Society']
34243,['Society', 'Sports', 'Shopping', 'Science'],['Society']
172,['Home', 'Sports', 'Society', 'Shopping'],['Arts']
173,['Business', 'Sports', 'Society', 'Shopping'],['Arts']
177,['Business', 'Sports', 'Society', 'Shopping'],['Arts']
34260,['Society', 'Sports', 'Shopping', 'Science'],['Society']
181,['Health', 'Sports', 'Society', 'Shopping'],['Arts']
183,['News', 'Sports', 'Society', 'Shopping'],['Arts']
184,['Home', 'Sports', 'Society', 'Shopping'],['Arts']
189,['Adult', 'Sports', 'Society', 'Shopping'],['Arts']
190,['Adult', 'Sports', 'Society', 'Shopping'],['Arts', 'Computers']
34275,['Society', 'Sports', 'Shopping', 'Science'],['Society']
197,['Business', 'Sports', 'Society', 'Shopping'],['Arts']
34279,['Society', 'Sports', 'Shopping', 'Science'],['Society']
216,['Games', 'Sports', 'Society', 'Shopping'],['Arts']
34302,['Health', 'Sports', 'Society', 'Shopping'],['Society']
34310,['Society', 'Sports', 'Shopping', 'Science'],['Society']
230,['Computers', 'Sports', 'Society', 'Shopping'],['Arts']
233,['Recreation', 'Sports', 'Society', 'Shopping'],['Arts']
234,['Computers', 'Arts', 'Sports', 'Society'],['Arts']
34317,['Health', 'Sports', 'Society', 'Shopping'],['Society']
34319,['Arts', 'Sports', 'Society', 'Shopping'],['Society']
240,['Arts', 'Sports', 'Society', 'Shopping'],['Arts']
34324,['Recreation', 'Sports', 'Society', 'Shopping'],['Society']
245,['Arts', 'Sports', 'Society', 'Shopping'],['Arts']
34330,['Society', 'Sports', 'Shopping', 'Science'],['Society']
34332,['Arts', 'Sports', 'Society', 'Shopping'],['Society']
34334,['Society', 'Sports', 'Shopping', 'Science'],['Society']
262,['Games', 'Sports', 'Society', 'Shopping'],['Business', 'Home']
268,['Arts', 'Sports', 'Society', 'Shopping'],['Business']
34359,['Adult', 'Sports', 'Society', 'Shopping'],['Society']
34367,['Computers', 'Sports', 'Society', 'Shopping'],['Society']
287,['Recreation', 'Sports', 'Society', 'Shopping'],['Business']
288,['News', 'Sports', 'Society', 'Shopping'],['Business', 'Home']
34370,['Home', 'Sports', 'Society', 'Shopping'],['Society']
295,['Health', 'Sports', 'Society', 'Shopping'],['Business', 'News', 'Home']
296,['Business', 'Sports', 'Society', 'Shopping'],['Business', 'Computers']
34385,['Health', 'Sports', 'Society', 'Shopping'],['Society']
307,['Arts', 'Sports', 'Society', 'Shopping'],['Business']
310,['Computers', 'Sports', 'Society', 'Shopping'],['Business', 'Home']
34393,['Society', 'Sports', 'Shopping', 'Science'],['Society']
34396,['Society', 'Sports', 'Shopping', 'Science'],['Society']
316,['Health', 'Sports', 'Society', 'Shopping'],['Business', 'News']
34401,['Society', 'Sports', 'Shopping', 'Science'],['Society']
34402,['Society', 'Sports', 'Shopping', 'Science'],['Society']
321,['Science', 'Sports', 'Society', 'Shopping'],['Business']
34405,['Society', 'Sports', 'Shopping', 'Science'],['Society']
34408,['Sports', 'Society', 'Shopping', 'Science'],['Society']
328,['Business', 'Sports', 'Society', 'Shopping'],['Business']
34411,['Society', 'Sports', 'Shopping', 'Science'],['Society']
334,['Computers', 'Sports', 'Society', 'Shopping'],['Business', 'Sports']
340,['Business', 'Sports', 'Society', 'Shopping'],['Business']
341,['Health', 'Sports', 'Society', 'Shopping'],['Business']
34432,['Society', 'Sports', 'Shopping', 'Science'],['Society']
351,['Computers', 'Sports', 'Society', 'Shopping'],['Business']
34433,['Society', 'Sports', 'Shopping', 'Science'],['Society']
34436,['Society', 'Sports', 'Shopping', 'Science'],['Society']
34438,['Society', 'Sports', 'Shopping', 'Science'],['Society']
362,['Computers', 'Sports', 'Society', 'Shopping'],['Computers']
366,['Sports', 'Society', 'Shopping', 'Science'],['Reference', 'Computers']
34450,['Arts', 'Sports', 'Society', 'Shopping'],['Society']
34465,['Society', 'Sports', 'Shopping', 'Science'],['Society']
384,['Society', 'Computers', 'Sports', 'Shopping'],['Computers']
34484,['Society', 'Sports', 'Shopping', 'Science'],['Society']
403,['Computers', 'Sports', 'Society', 'Shopping'],['Computers']
34485,['Recreation', 'Sports', 'Society', 'Shopping'],['Society']
34491,['Society', 'Sports', 'Shopping', 'Science'],['Society']
410,['Reference', 'Sports', 'Society', 'Shopping'],['Computers']
34493,['Computers', 'Sports', 'Society', 'Shopping'],['Society']
34494,['Society', 'Sports', 'Shopping', 'Science'],['Society']
429,['Recreation', 'Sports', 'Society', 'Shopping'],['Computers']
34514,['Computers', 'Sports', 'Society', 'Shopping'],['Society']
34518,['Society', 'Sports', 'Shopping', 'Science'],['Society']
34520,['Sports', 'Society', 'Shopping', 'Science'],['Society']
445,['Games', 'Sports', 'Society', 'Shopping'],['Games']
34546,['Society', 'Sports', 'Shopping', 'Science'],['Society']
465,['Business', 'Sports', 'Society', 'Shopping'],['Games']
468,['Arts', 'Sports', 'Society', 'Shopping'],['Games']
472,['Games', 'Sports', 'Society', 'Shopping'],['Games']
476,['Health', 'Sports', 'Society', 'Shopping'],['Games']
477,['Games', 'Sports', 'Society', 'Shopping'],['Games']
480,['Society', 'Sports', 'Shopping', 'Science'],['Arts', 'Games']
34569,['Society', 'Sports', 'Shopping', 'Science'],['Society']
34572,['Sports', 'Society', 'Shopping', 'Science'],['Society']
34576,['Shopping', 'Sports', 'Society', 'Science'],['Society']
34580,['Society', 'Sports', 'Shopping', 'Science'],['Society']
34581,['Society', 'Sports', 'Shopping', 'Science'],['Society']
34584,['Shopping', 'Sports', 'Society', 'Science'],['Society']
506,['Games', 'Sports', 'Society', 'Shopping'],['Games']
34596,['Society', 'Sports', 'Shopping', 'Science'],['Society']
34609,['Arts', 'Sports', 'Society', 'Shopping'],['Society']
527,['Games', 'Sports', 'Society', 'Shopping'],['Games']
34611,['Society', 'Sports', 'Shopping', 'Science'],['Society']
534,['Games', 'Sports', 'Society', 'Shopping'],['Games']
34626,['Home', 'Sports', 'Society', 'Shopping'],['Society']
34631,['Society', 'Sports', 'Shopping', 'Science'],['Society']
550,['Health', 'Sports', 'Society', 'Shopping'],['Health']
34633,['Society', 'Sports', 'Shopping', 'Science'],['Society']
34634,['Shopping', 'Sports', 'Society', 'Science'],['Society']
34640,['Society', 'Sports', 'Shopping', 'Science'],['Society']
559,['Health', 'Sports', 'Society', 'Shopping'],['Health']
34644,['Reference', 'Sports', 'Society', 'Shopping'],['Society']
566,['Arts', 'Sports', 'Society', 'Shopping'],['Health']
567,['Health', 'Sports', 'Society', 'Shopping'],['Health']
34652,['Society', 'Sports', 'Shopping', 'Science'],['Society']
572,['Business', 'Sports', 'Society', 'Shopping'],['Health']
34659,['Society', 'Sports', 'Shopping', 'Science'],['Society']
579,['Business', 'Sports', 'Society', 'Shopping'],['Health']
34672,['Sports', 'Society', 'Shopping', 'Science'],['Society']
34675,['Society', 'Sports', 'Shopping', 'Science'],['Society']
34678,['Sports', 'Society', 'Shopping', 'Science'],['Society']
34681,['Society', 'Sports', 'Shopping', 'Science'],['Society']
601,['Home', 'Sports', 'Society', 'Shopping'],['Health']
34685,['Health', 'Sports', 'Society', 'Shopping'],['Society']
34687,['Society', 'Sports', 'Shopping', 'Science'],['Society']
611,['Business', 'Sports', 'Society', 'Shopping'],['Health']
616,['Health', 'Sports', 'Society', 'Shopping'],['Health']
34715,['Society', 'Sports', 'Shopping', 'Science'],['Society']
636,['Health', 'Sports', 'Society', 'Shopping'],['Health']
34722,['Arts', 'Sports', 'Society', 'Shopping'],['Society']
643,['Health', 'Sports', 'Society', 'Shopping'],['Health']
34726,['Society', 'Sports', 'Shopping', 'Science'],['Society']
34731,['Home', 'Sports', 'Society', 'Shopping'],['Society']
34736,['Computers', 'Sports', 'Society', 'Shopping'],['Society']
34737,['Sports', 'Society', 'Shopping', 'Science'],['Society']
657,['Health', 'Sports', 'Society', 'Shopping'],['Health']
34740,['Recreation', 'Sports', 'Society', 'Shopping'],['Society']
667,['Health', 'Sports', 'Society', 'Shopping'],['Health']
672,['Health', 'Sports', 'Society', 'Shopping'],['Health']
34760,['Business', 'Sports', 'Society', 'Shopping'],['Society']
678,['Health', 'Sports', 'Society', 'Shopping'],['Health']
683,['Computers', 'Sports', 'Society', 'Shopping'],['Home']
34768,['Health', 'Sports', 'Society', 'Shopping'],['Society']
34769,['Arts', 'Sports', 'Society', 'Shopping'],['Society']
689,['Games', 'Sports', 'Society', 'Shopping'],['Home']
34778,['Society', 'Sports', 'Shopping', 'Science'],['Society']
34786,['Arts', 'Sports', 'Society', 'Shopping'],['Society']
707,['Reference', 'Sports', 'Society', 'Shopping'],['Home']
710,['Business', 'Sports', 'Society', 'Shopping'],['Home']
34800,['Home', 'Sports', 'Society', 'Shopping'],['Society']
34801,['Recreation', 'Sports', 'Society', 'Shopping'],['Society']
34805,['Sports', 'Society', 'Shopping', 'Science'],['Society']
732,['Science', 'Sports', 'Society', 'Shopping'],['Society', 'Home']
746,['Home', 'Sports', 'Society', 'Shopping'],['Home']
749,['Health', 'Sports', 'Society', 'Shopping'],['Home']
770,['Games', 'Sports', 'Society', 'Shopping'],['Home']
34855,['Business', 'Sports', 'Society', 'Shopping'],['Society']
773,['Arts', 'Sports', 'Society', 'Shopping'],['Home']
774,['Business', 'Sports', 'Society', 'Shopping'],['Home']
775,['Computers', 'Sports', 'Society', 'Shopping'],['Recreation', 'Home']
34863,['Society', 'Sports', 'Shopping', 'Science'],['Society']
34867,['Home', 'Sports', 'Society', 'Shopping'],['Society']
34876,['Arts', 'Sports', 'Society', 'Shopping'],['Society']
34893,['Sports', 'Society', 'Shopping', 'Science'],['Society']
810,['Arts', 'Sports', 'Society', 'Shopping'],['Recreation', 'Home']
34895,['Society', 'Sports', 'Shopping', 'Science'],['Society']
34898,['Health', 'Sports', 'Society', 'Shopping'],['Society']
817,['Science', 'Sports', 'Society', 'Shopping'],['Recreation']
34909,['Arts', 'Sports', 'Society', 'Shopping'],['Society']
835,['Science', 'Sports', 'Society', 'Shopping'],['Science']
836,['Computers', 'Sports', 'Society', 'Shopping'],['Sports']
846,['Health', 'Sports', 'Society', 'Shopping'],['Sports']
848,['Science', 'Sports', 'Society', 'Shopping'],['Science', 'Reference']
34923,['Shopping', 'Sports', 'Society', 'Science'],['Society']
851,['Science', 'Sports', 'Society', 'Shopping'],['Science']
34929,['Society', 'Sports', 'Shopping', 'Science'],['Society']
34937,['Society', 'Sports', 'Shopping', 'Science'],['Society']
879,['Games', 'Sports', 'Society', 'Shopping'],['Arts']
34951,['Society', 'Sports', 'Shopping', 'Science'],['Society']
34954,['Shopping', 'Sports', 'Society', 'Science'],['Society']
903,['Health', 'Sports', 'Society', 'Shopping'],['Society', 'Science']
34960,['Society', 'Sports', 'Shopping', 'Science'],['Society']
34964,['Reference', 'Sports', 'Society', 'Shopping'],['Society']
34967,['Recreation', 'Sports', 'Society', 'Shopping'],['Society']
931,['News', 'Sports', 'Society', 'Shopping'],['News']
935,['Recreation', 'Sports', 'Society', 'Shopping'],['News']
34989,['Computers', 'Sports', 'Society', 'Shopping'],['Society']
34991,['Society', 'Sports', 'Shopping', 'Science'],['Society']
941,['News', 'Sports', 'Society', 'Shopping'],['News']
954,['News', 'Sports', 'Society', 'Shopping'],['News']
35008,['Society', 'Sports', 'Shopping', 'Science'],['Society']
962,['Games', 'Sports', 'Society', 'Shopping'],['News']
35018,['Health', 'Sports', 'Society', 'Shopping'],['Society']
35025,['Health', 'Sports', 'Society', 'Shopping'],['Society']
975,['Society', 'Sports', 'Shopping', 'Science'],['News']
976,['Games', 'Sports', 'Society', 'Shopping'],['News']
35032,['Arts', 'Sports', 'Society', 'Shopping'],['Society']
35034,['Business', 'Sports', 'Society', 'Shopping'],['Society']
984,['Science', 'Sports', 'Society', 'Shopping'],['Science', 'News']
985,['Recreation', 'Sports', 'Society', 'Shopping'],['News']
995,['Recreation', 'Sports', 'Society', 'Shopping'],['News']
35049,['Home', 'Sports', 'Society', 'Shopping'],['Society']
1001,['News', 'Sports', 'Society', 'Shopping'],['News']
35062,['Society', 'Sports', 'Shopping', 'Science'],['Society']
1010,['News', 'Sports', 'Society', 'Shopping'],['Society', 'Science', 'Business', 'News', 'Computers']
1013,['News', 'Sports', 'Society', 'Shopping'],['News']
1019,['Arts', 'Sports', 'Society', 'Shopping'],['News']
1023,['News', 'Sports', 'Society', 'Shopping'],['News']
1029,['Business', 'Sports', 'Society', 'Shopping'],['Computers']
35087,['Society', 'Sports', 'Shopping', 'Science'],['Society']
35095,['Society', 'Sports', 'Shopping', 'Science'],['Society']
35096,['Sports', 'Society', 'Shopping', 'Science'],['Society']
35101,['Science', 'Sports', 'Society', 'Shopping'],['Society']
35105,['Home', 'Sports', 'Society', 'Shopping'],['Society']
1051,['Recreation', 'Sports', 'Society', 'Shopping'],['Recreation']
35108,['Business', 'Sports', 'Society', 'Shopping'],['Society']
1055,['Sports', 'Society', 'Shopping', 'Science'],['Shopping']
35117,['Sports', 'Society', 'Shopping', 'Science'],['Society']
1063,['Business', 'Sports', 'Society', 'Shopping'],['News']
35118,['Health', 'Sports', 'Society', 'Shopping'],['Society']
35122,['Society', 'Sports', 'Shopping', 'Science'],['Society']
1072,['News', 'Sports', 'Society', 'Shopping'],['News']
35140,['Computers', 'Sports', 'Society', 'Shopping'],['Society']
1090,['Business', 'Sports', 'Society', 'Shopping'],['News']
1094,['Arts', 'Sports', 'Society', 'Shopping'],['Recreation']
35149,['Society', 'Sports', 'Shopping', 'Science'],['Society']
1099,['Recreation', 'Sports', 'Society', 'Shopping'],['Recreation']
35155,['Health', 'Sports', 'Society', 'Shopping'],['Society']
1107,['Adult', 'Sports', 'Society', 'Shopping'],['Recreation']
35162,['Recreation', 'Sports', 'Society', 'Shopping'],['Society']
1112,['Business', 'Sports', 'Society', 'Shopping'],['Recreation']
1114,['Recreation', 'Sports', 'Society', 'Shopping'],['Recreation']
35169,['Computers', 'Sports', 'Society', 'Shopping'],['Society']
35173,['Shopping', 'Sports', 'Society', 'Science'],['Society']
1122,['Recreation', 'Sports', 'Society', 'Shopping'],['Recreation']
1133,['Arts', 'Sports', 'Society', 'Shopping'],['Recreation']
35192,['Computers', 'Sports', 'Society', 'Shopping'],['Society']
35196,['Society', 'Sports', 'Shopping', 'Science'],['Society']
35202,['Sports', 'Society', 'Shopping', 'Science'],['Society']
1163,['Arts', 'Sports', 'Society', 'Shopping'],['Recreation']
1164,['Business', 'Sports', 'Society', 'Shopping'],['Business', 'Recreation']
35220,['Society', 'Sports', 'Shopping', 'Science'],['Society']
1168,['Recreation', 'Sports', 'Society', 'Shopping'],['Recreation']
35223,['Society', 'Sports', 'Shopping', 'Science'],['Society']
35225,['Shopping', 'Sports', 'Society', 'Science'],['Society']
1172,['Arts', 'Sports', 'Society', 'Shopping'],['Recreation']
1173,['Home', 'Sports', 'Society', 'Shopping'],['Recreation']
35227,['Reference', 'Sports', 'Society', 'Shopping'],['Society']
1175,['Reference', 'Sports', 'Society', 'Shopping'],['Recreation']
35230,['Society', 'Sports', 'Shopping', 'Science'],['Society']
35233,['Business', 'Sports', 'Society', 'Shopping'],['Society']
1180,['Health', 'Sports', 'Society', 'Shopping'],['Recreation']
1186,['Business', 'Sports', 'Society', 'Shopping'],['Recreation']
1190,['Recreation', 'Sports', 'Society', 'Shopping'],['Recreation']
1194,['Computers', 'Sports', 'Society', 'Shopping'],['Recreation']
1198,['Reference', 'Sports', 'Society', 'Shopping'],['Recreation']
1202,['Business', 'Sports', 'Society', 'Shopping'],['Reference']
35261,['Society', 'Sports', 'Shopping', 'Science'],['Society']
35267,['Society', 'Sports', 'Shopping', 'Science'],['Society']
1216,['Reference', 'Sports', 'Society', 'Shopping'],['Reference']
1217,['Computers', 'Sports', 'Society', 'Shopping'],['Reference']
1218,['Business', 'Sports', 'Society', 'Shopping'],['Reference']
35275,['Society', 'Sports', 'Shopping', 'Science'],['Society']
1222,['Reference', 'Sports', 'Society', 'Shopping'],['Reference']
35279,['Science', 'Sports', 'Society', 'Shopping'],['Society']
1232,['Business', 'Sports', 'Society', 'Shopping'],['Reference', 'Computers']
1234,['Health', 'Sports', 'Society', 'Shopping'],['Reference']
35290,['Society', 'Sports', 'Shopping', 'Science'],['Society']
35294,['Society', 'Sports', 'Shopping', 'Science'],['Society']
35297,['Society', 'Sports', 'Shopping', 'Science'],['Society']
1246,['Health', 'Sports', 'Society', 'Shopping'],['Reference', 'Computers']
35304,['Society', 'Sports', 'Shopping', 'Science'],['Society']
1250,['Health', 'Sports', 'Society', 'Shopping'],['Reference']
35305,['Society', 'Sports', 'Shopping', 'Science'],['Society']
1256,['Shopping', 'Sports', 'Society', 'Science'],['Reference']
