ref id,Predicted,Actual
57141,['Adult', 'Sports', 'Society', 'Shopping'],['Adult']
25383,['Business', 'Sports', 'Society', 'Shopping'],['Society']
30203,['Recreation', 'Sports', 'Society', 'Shopping'],['Adult']
11586,['Arts', 'Sports', 'Society', 'Shopping'],['Games']
21639,['Arts', 'Sports', 'Society', 'Shopping'],['Games']
5455,['Health', 'Sports', 'Society', 'Shopping'],['Health']
43976,['Science', 'Sports', 'Society', 'Shopping'],['Science']
8058,['Recreation', 'Sports', 'Society', 'Shopping'],['Adult']
23213,['Business', 'Sports', 'Society', 'Shopping'],['Business']
54739,['Adult', 'Sports', 'Society', 'Shopping'],['Adult']
54130,['Computers', 'Sports', 'Society', 'Shopping'],['Society']
10028,['Adult', 'Sports', 'Society', 'Shopping'],['Adult']
31800,['Society', 'Reference', 'Sports', 'Shopping'],['Health']
31778,['Computers', 'Sports', 'Society', 'Shopping'],['Health']
9497,['Recreation', 'Sports', 'Society', 'Shopping'],['Games']
7059,['Recreation', 'Sports', 'Society', 'Shopping'],['Society']
15265,['Society', 'Sports', 'Shopping', 'Science'],['Adult']
44431,['Computers', 'Sports', 'Society', 'Shopping'],['Science']
43287,['Society', 'Sports', 'Shopping', 'Science'],['Society']
57753,['Society', 'Sports', 'Shopping', 'Science'],['Society']
1286,['Adult', 'Sports', 'Society', 'Shopping'],['Adult']
28649,['Science', 'Sports', 'Society', 'Shopping'],['Science']
51260,['Adult', 'Sports', 'Society', 'Shopping'],['Adult']
175,['Adult', 'Sports', 'Society', 'Shopping'],['Adult']
47827,['Science', 'Sports', 'Society', 'Shopping'],['Health']
29408,['Games', 'Sports', 'Society', 'Shopping'],['Games']
42419,['Business', 'Sports', 'Society', 'Shopping'],['Adult']
35533,['Arts', 'Sports', 'Society', 'Shopping'],['Games']
12002,['Society', 'Sports', 'Shopping', 'Science'],['Science']
28534,['Shopping', 'Sports', 'Society', 'Science'],['Business']
5891,['Recreation', 'Sports', 'Society', 'Shopping'],['Adult']
38744,['Games', 'Sports', 'Society', 'Shopping'],['Games']
44385,['Computers', 'Sports', 'Society', 'Shopping'],['Science']
30962,['Adult', 'Sports', 'Society', 'Shopping'],['Adult']
35498,['Games', 'Sports', 'Society', 'Shopping'],['Games']
51344,['Adult', 'Sports', 'Society', 'Shopping'],['Adult']
23156,['Adult', 'Sports', 'Society', 'Shopping'],['Adult']
36434,['Business', 'Sports', 'Society', 'Shopping'],['Games']
36980,['Arts', 'Sports', 'Society', 'Shopping'],['Adult']
14724,['Health', 'Sports', 'Society', 'Shopping'],['Health']
38884,['Computers', 'Arts', 'Sports', 'Society'],['Adult']
52146,['Games', 'Sports', 'Society', 'Shopping'],['Games']
22729,['Business', 'Sports', 'Society', 'Shopping'],['Business']
23762,['Adult', 'Sports', 'Society', 'Shopping'],['Adult']
32376,['Society', 'Sports', 'Shopping', 'Science'],['Society']
55416,['Arts', 'Sports', 'Society', 'Shopping'],['Games']
54743,['Shopping', 'Sports', 'Society', 'Science'],['Society']
36218,['Science', 'Sports', 'Society', 'Shopping'],['Science']
42758,['Adult', 'Sports', 'Society', 'Shopping'],['Adult']
57957,['Games', 'Sports', 'Society', 'Shopping'],['Games']
46771,['Business', 'Sports', 'Society', 'Shopping'],['Adult']
13202,['Computers', 'Sports', 'Society', 'Shopping'],['Science']
23286,['Adult', 'Sports', 'Society', 'Shopping'],['Adult']
9337,['Arts', 'Sports', 'Society', 'Shopping'],['Adult']
43319,['Society', 'Sports', 'Shopping', 'Science'],['Society']
1977,['Business', 'Sports', 'Society', 'Shopping'],['Business']
44629,['Business', 'Sports', 'Society', 'Shopping'],['Science']
51640,['Arts', 'Sports', 'Society', 'Shopping'],['Adult']
25477,['Computers', 'Sports', 'Society', 'Shopping'],['Business']
16333,['Adult', 'Sports', 'Society', 'Shopping'],['Adult']
5177,['Health', 'Sports', 'Society', 'Shopping'],['Health']
2522,['Society', 'Sports', 'Shopping', 'Science'],['Society']
49286,['Computers', 'Sports', 'Society', 'Shopping'],['Society']
50996,['Society', 'Sports', 'Shopping', 'Science'],['Society']
38235,['Games', 'Sports', 'Society', 'Shopping'],['Games']
29211,['Health', 'Sports', 'Society', 'Shopping'],['Health']
49894,['Games', 'Sports', 'Society', 'Shopping'],['Games']
10094,['Business', 'Sports', 'Society', 'Shopping'],['Society']
50184,['Health', 'Sports', 'Society', 'Shopping'],['Society']
10763,['Games', 'Sports', 'Society', 'Shopping'],['Adult']
29512,['Arts', 'Sports', 'Society', 'Shopping'],['Games']
21664,['Science', 'Sports', 'Society', 'Shopping'],['Science']
27808,['Society', 'Science', 'Sports', 'Shopping'],['Society']
46526,['Adult', 'Sports', 'Society', 'Shopping'],['Adult']
10407,['Health', 'Sports', 'Society', 'Shopping'],['Health']
57164,['Recreation', 'Sports', 'Society', 'Shopping'],['Arts']
43734,['Society', 'Sports', 'Shopping', 'Science'],['Games']
15569,['Sports', 'Society', 'Shopping', 'Science'],['Games']
9936,['Arts', 'Sports', 'Society', 'Shopping'],['Arts']
33559,['Business', 'Sports', 'Society', 'Shopping'],['Business']
21841,['Business', 'Sports', 'Society', 'Shopping'],['Science']
1053,['Society', 'Sports', 'Shopping', 'Science'],['Games']
40071,['Recreation', 'Sports', 'Society', 'Shopping'],['Society']
2019,['Computers', 'Sports', 'Society', 'Shopping'],['Science']
40968,['Adult', 'Sports', 'Society', 'Shopping'],['Adult']
36492,['Arts', 'Sports', 'Society', 'Shopping'],['Arts']
15089,['Business', 'Sports', 'Society', 'Shopping'],['Arts']
27223,['Recreation', 'Sports', 'Society', 'Shopping'],['Games']
47414,['Adult', 'Sports', 'Society', 'Shopping'],['Adult']
8054,['Science', 'Sports', 'Society', 'Shopping'],['Society', 'Health']
22530,['Health', 'Sports', 'Society', 'Shopping'],['Health']
32830,['Computers', 'Sports', 'Society', 'Shopping'],['Business']
50043,['Science', 'Sports', 'Society', 'Shopping'],['Games']
1282,['Business', 'Sports', 'Society', 'Shopping'],['Health']
50078,['Arts', 'Sports', 'Society', 'Shopping'],['Arts']
50931,['Reference', 'Sports', 'Society', 'Shopping'],['Business']
49854,['Adult', 'Sports', 'Society', 'Shopping'],['Adult']
42229,['Recreation', 'Sports', 'Society', 'Shopping'],['Business']
16755,['Shopping', 'Sports', 'Society', 'Science'],['Adult']
5677,['Business', 'Sports', 'Society', 'Shopping'],['Health']
45419,['Science', 'Sports', 'Society', 'Shopping'],['Science']
54657,['Science', 'Sports', 'Society', 'Shopping'],['Science']
58391,['Games', 'Sports', 'Society', 'Shopping'],['Games']
31682,['Adult', 'Sports', 'Society', 'Shopping'],['Games']
53759,['Health', 'Sports', 'Society', 'Shopping'],['Health']
11098,['Games', 'Sports', 'Society', 'Shopping'],['Games', 'Arts']
31008,['Business', 'Sports', 'Society', 'Shopping'],['Business']
32295,['Games', 'Sports', 'Society', 'Shopping'],['Games']
3554,['Society', 'Arts', 'Sports', 'Shopping'],['Health']
36845,['Science', 'Sports', 'Society', 'Shopping'],['Science']
29082,['Science', 'Sports', 'Society', 'Shopping'],['Science']
27066,['Recreation', 'Sports', 'Society', 'Shopping'],['Business']
46984,['Shopping', 'Sports', 'Society', 'Science'],['Adult']
33932,['Sports', 'Society', 'Shopping', 'Science'],['Games']
44691,['Arts', 'Sports', 'Society', 'Shopping'],['Society']
26604,['Business', 'Sports', 'Society', 'Shopping'],['Games']
23605,['Computers', 'Business', 'Sports', 'Society'],['Business']
32833,['Health', 'Sports', 'Society', 'Shopping'],['Health']
40973,['Business', 'Sports', 'Society', 'Shopping'],['Business']
24636,['Computers', 'Sports', 'Society', 'Shopping'],['Business']
25488,['Business', 'Sports', 'Society', 'Shopping'],['Business']
3806,['Reference', 'Sports', 'Society', 'Shopping'],['Health']
24179,['Computers', 'Sports', 'Society', 'Shopping'],['Business']
34046,['Science', 'Sports', 'Society', 'Shopping'],['Science']
58557,['Health', 'Sports', 'Society', 'Shopping'],['Health']
