ref id,Predicted,Actual
52552,['Computers'],['Science']
13700,['Society'],['Adult']
55008,['Computers'],['Business']
21677,['Science'],['Science']
44608,['Business'],['Business']
42330,['Adult'],['Adult']
33926,['Health'],['Games']
22832,['Business'],['Health']
6834,['Business'],['Business']
40991,['Society'],['Business']
41746,['Adult'],['Adult']
38927,['Society'],['Society']
16424,['Society'],['Society']
23347,['Health'],['Health']
29191,['Society'],['Society']
1199,['Sports'],['Games']
34561,['Computers'],['Games']
8097,['Business'],['Health']
4162,['Science'],['Science']
27612,['Adult'],['Adult']
5575,['Health'],['Health']
51907,['Health'],['Adult']
34009,['Shopping'],['Business', 'Shopping']
50635,['Society'],['Society']
6442,['Business'],['Business']
27553,['Society'],['Society']
53031,['Business'],['Adult']
2533,['Adult'],['Adult']
3698,['Society'],['Adult']
41137,['Recreation'],['Adult']
46954,['Computers'],['Business']
52558,['Games'],['Games']
6460,['Adult'],['Adult']
35813,['Health'],['Health']
44693,['Computers'],['Adult']
32695,['Business'],['Society']
27211,['Business'],['Business']
19284,['Health'],['Health']
34900,['Society'],['Society']
33347,['Adult'],['Adult']
24443,['Games'],['Games']
43572,['Computers'],['Business', 'Computers']
14979,['Business'],['Society']
29488,['Health'],['Health']
36922,['Games'],['Games']
34454,['Business'],['Business']
44036,['Computers'],['Adult']
46415,['Shopping'],['Adult']
30341,['Games'],['Games']
57158,['Adult'],['Adult']
2706,['Computers'],['Society']
29018,['Adult'],['Adult']
31277,['Adult'],['Adult']
32875,['Computers'],['Science']
7272,['Business'],['Business']
46579,['Business'],['Business']
17221,['Business'],['Science']
11848,['Adult'],['Adult']
13882,['Society'],['Society']
38445,['Arts'],['Arts']
20546,['Society'],['Society']
14235,['Business'],['Business']
32823,['Society'],['Society']
52331,['Sports'],['Adult']
9637,['Computers'],['Games']
58490,['Games'],['Games']
24879,['Science'],['Science']
38143,['Arts'],['Arts']
2988,['Games'],['Games']
7041,['Science'],['Adult']
3559,['Science'],['Science']
30385,['Adult'],['Adult']
23788,['Business'],['Reference', 'Business']
10391,['Arts'],['Health']
5921,['Health'],['Health']
56970,['Adult'],['Adult']
44702,['Society'],['Society']
51085,['Health'],['Health']
38934,['Adult'],['Adult']
30497,['Computers'],['Business']
5417,['Games'],['Games']
27681,['Adult'],['Adult']
42583,['Adult'],['Adult']
37813,['Arts'],['Arts']
47503,['Society'],['Games']
52978,['Business'],['Health']
24959,['Business'],['Science']
58228,['Society'],['Society']
45470,['Computers'],['Arts']
28398,['Business'],['Business']
17798,['Games'],['Games']
9350,['Games'],['Games']
45596,['Business'],['Society']
4719,['Science'],['Science']
8943,['Arts'],['Arts']
47648,['Business'],['Business']
1726,['Science'],['Science']
43222,['Society'],['Society']
12429,['Adult'],['Adult']
