ref id,Predicted,Actual
15075,['Society'],['Society']
53366,['Shopping'],['Shopping']
46372,['Adult'],['Adult']
50592,['Adult'],['Adult']
42251,['Computers'],['Games']
1037,['Computers'],['Adult']
42357,['Business'],['Business']
12231,['Business'],['Arts']
4736,['Society'],['Society']
52762,['Science'],['Science']
10159,['Health'],['Health']
57366,['Games'],['Games']
34241,['Science'],['Science']
6905,['Health'],['Business']
10752,['Society'],['Business']
8198,['Health'],['Adult']
51580,['Adult'],['Adult']
36267,['Society'],['Society']
36566,['Business'],['Business']
6164,['Health'],['Health']
39638,['Arts'],['Games']
32708,['Science'],['Science']
13840,['Adult'],['Adult']
28887,['Adult'],['Adult']
4214,['Shopping'],['Business', 'Shopping']
38648,['Science'],['Science']
42955,['Adult'],['Adult']
7070,['Health'],['Health']
11857,['Business'],['Business']
33640,['Adult'],['Adult']
29015,['Adult'],['Adult']
25110,['Shopping'],['Business', 'Shopping']
8004,['Arts'],['Science']
37555,['Society'],['Society']
35861,['Society'],['Games']
21921,['Adult'],['Adult']
27916,['Games'],['Games']
58425,['Games'],['Games']
11141,['Health'],['Health']
52698,['Computers'],['Science']
58478,['Society'],['Society']
37475,['Adult'],['Adult']
12424,['Shopping'],['Society']
2613,['Games'],['Games']
39481,['Adult'],['Adult']
44194,['Health'],['Health']
35937,['Society'],['Society']
34661,['Computers'],['Adult']
32892,['Society'],['Society']
53008,['Health'],['Health']
23842,['Shopping'],['Business']
5535,['Adult'],['Adult']
50501,['Shopping'],['Games']
22385,['Business'],['Science']
44454,['Society'],['Society']
52667,['Society'],['Society']
3099,['Shopping'],['Business']
39160,['Science'],['Health']
39404,['Shopping'],['Science']
47714,['Adult'],['Adult']
29787,['Health'],['Business']
27391,['Society'],['Society']
7697,['Games'],['Games']
42953,['Sports'],['Sports', 'Games']
7502,['Society'],['Society']
900,['Science'],['Health']
48136,['Games'],['Arts', 'Games']
23878,['Business'],['Business']
23184,['Games'],['Games']
37655,['Arts'],['Arts']
31779,['Science'],['Health']
20333,['Adult'],['Adult']
41215,['Adult'],['Adult']
54187,['Computers'],['Science']
2407,['Business'],['Business']
2516,['Shopping'],['Games']
15008,['Arts'],['Arts']
12322,['Arts'],['Arts']
39489,['Society'],['Society']
27177,['Health'],['Health']
58839,['Science'],['Science']
42044,['Business'],['Science']
36500,['Society'],['Society']
2544,['Adult'],['Adult']
7815,['Business'],['Science']
1912,['Society'],['Society']
42291,['Games'],['Games']
1254,['Society'],['Society']
17842,['Computers'],['Adult']
29125,['Adult'],['Adult']
2165,['Business'],['Business']
17450,['Health'],['Health']
14560,['Business'],['Society']
12858,['Shopping'],['Society']
678,['Sports'],['Games']
33644,['Health'],['Health']
11647,['Business'],['Society']
29413,['Adult'],['Adult']
8362,['Science'],['Science']
28857,['Business'],['Society']
46764,['Health'],['Health']
50748,['Arts'],['Arts', 'Computers']
54619,['Games'],['Games']
58802,['Science'],['Science']
2371,['Recreation'],['Business']
24992,['Arts'],['Society']
37823,['Shopping'],['Health']
50923,['Games'],['Games']
52598,['Business'],['Business']
5245,['Society'],['Adult']
35266,['Shopping'],['Arts']
17394,['Business'],['Business']
29253,['Arts'],['Science']
40164,['Arts'],['Arts']
10980,['Business'],['Business']
2132,['Business'],['Business']
49169,['Arts'],['Society']
35323,['Arts'],['Arts']
33949,['Business'],['Business']
43864,['Arts'],['Arts']
40582,['Computers'],['Games']
53478,['Games'],['Games']
23473,['Health'],['Health']
2114,['Computers'],['Science']
48846,['Adult'],['Adult']
31189,['Games'],['Games']
50849,['Arts'],['Health']
29000,['Health'],['Health']
24607,['Business'],['Business']
51193,['Sports'],['Society']
12807,['Health'],['Health']
11798,['Adult'],['Adult']
24863,['Adult'],['Adult']
15170,['Games'],['Games']
42241,['Society'],['Society']
31495,['Computers'],['Business']
8073,['Society'],['Society']
48583,['Society'],['Society']
4317,['Business'],['Business']
