ref id,Predicted,Actual
44778,['Society', 'Business', 'Health', 'Arts'],['Society']
41641,['Business', 'Society', 'Computers', 'Recreation'],['Business']
51900,['Arts', 'Society', 'Shopping', 'Business'],['Games']
27133,['Health', 'Recreation', 'Business', 'Computers'],['Health']
55331,['Health', 'Business', 'Recreation', 'Science'],['Business']
65,['Adult', 'Recreation', 'Shopping', 'Arts'],['Adult']
33476,['Adult', 'Society', 'Computers', 'Arts'],['Adult']
38632,['Computers', 'Society', 'Arts', 'Reference'],['Games']
27671,['Recreation', 'Business', 'Games', 'Computers'],['Health']
34026,['Business', 'Computers', 'Recreation', 'Health'],['Business']
4628,['Computers', 'Science', 'Business', 'Recreation'],['Science']
34360,['Adult', 'Shopping', 'Business', 'Society'],['Adult']
47919,['Business', 'Computers', 'Health', 'Society'],['Business']
48752,['Science', 'Computers', 'Reference', 'Business'],['Science']
38766,['Business', 'Science', 'Computers', 'Society'],['Business']
1641,['Science', 'Computers', 'Society', 'Reference'],['Science']
13392,['Adult', 'Shopping', 'Business', 'Society'],['Adult']
40050,['Business', 'Science', 'Health', 'Society'],['Business']
10389,['Society', 'Shopping', 'Computers', 'Business'],['Society']
39087,['Adult', 'Shopping', 'Society', 'Business'],['Adult']
10329,['Science', 'Reference', 'Computers', 'Health'],['Science']
32601,['Shopping', 'Business', 'Society', 'Computers'],['Adult']
53552,['Reference', 'Science', 'Health', 'Computers'],['Science']
5248,['Society', 'Reference', 'Science', 'Recreation'],['Society']
2850,['Adult', 'Business', 'Society', 'Shopping'],['Adult']
1527,['Adult', 'Business', 'Recreation', 'Computers'],['Adult']
34551,['Health', 'Business', 'Science', 'Society'],['Health']
183,['Shopping', 'Sports', 'Arts', 'Recreation'],['Games']
54553,['Games', 'Recreation', 'Society', 'Arts'],['Games']
43837,['Adult', 'Recreation', 'Arts', 'Business'],['Adult']
13649,['Business', 'Science', 'Computers', 'Arts'],['Health']
57131,['Society', 'Shopping', 'Business', 'Games'],['Society']
22928,['Adult', 'Sports', 'Shopping', 'Business'],['Adult']
14121,['Games', 'Arts', 'Sports', 'Computers'],['Adult']
22210,['Science', 'Business', 'Recreation', 'Society'],['Science', 'Business', 'Society']
46446,['Business', 'Computers', 'Science', 'Arts'],['Business']
49474,['Business', 'Computers', 'Science', 'Shopping'],['Business']
52476,['Computers', 'Science', 'Business', 'Recreation'],['Science']
47699,['Society', 'Computers', 'Business', 'Shopping'],['Society']
4481,['Society', 'Games', 'Business', 'Recreation'],['Games']
22284,['Society', 'Recreation', 'Shopping', 'Games'],['Science']
46348,['Computers', 'Reference', 'Science', 'Business'],['Science']
11034,['Computers', 'Science', 'Arts', 'Games'],['Science']
32912,['Adult', 'Business', 'Arts', 'Society'],['Adult']
57723,['Society', 'Shopping', 'Business', 'Computers'],['Society']
41079,['Society', 'Science', 'Business', 'Recreation'],['Society']
20587,['Science', 'Computers', 'Business', 'Reference'],['Science']
28674,['Science', 'Arts', 'Computers', 'Reference'],['Science']
12894,['Business', 'Computers', 'Science', 'Games'],['Business']
54245,['Shopping', 'Society', 'Business', 'Computers'],['Society']
28756,['Computers', 'Science', 'Business', 'Health'],['Science']
47330,['Computers', 'Arts', 'Recreation', 'Science'],['Science']
25865,['Science', 'Computers', 'Business', 'Reference'],['Science']
53326,['Games', 'Arts', 'Computers', 'Recreation'],['Games']
16683,['Business', 'Recreation', 'Science', 'Reference'],['Business']
15402,['Business', 'Health', 'Science', 'Recreation'],['Science']
52497,['Adult', 'Arts', 'Recreation', 'Business'],['Adult']
28841,['Society', 'Arts', 'Recreation', 'Shopping'],['Society']
15153,['Games', 'Computers', 'Recreation', 'Society'],['Games']
39619,['Society', 'Shopping', 'Business', 'Sports'],['Society']
8316,['Adult', 'Shopping', 'Business', 'Arts'],['Adult']
58567,['Games', 'Computers', 'Society', 'Shopping'],['Games']
36779,['Adult', 'Shopping', 'Business', 'Society'],['Adult']
13187,['Business', 'Shopping', 'Recreation', 'Science'],['Business']
41514,['Business', 'Arts', 'Computers', 'Recreation'],['Arts']
51002,['Business', 'Shopping', 'Recreation', 'Society'],['Society']
25738,['Science', 'Recreation', 'Arts', 'Business'],['Science']
41519,['Adult', 'Arts', 'Shopping', 'Society'],['Adult']
15060,['Computers', 'Science', 'Recreation', 'Business'],['Science']
20604,['Games', 'Shopping', 'Business', 'Computers'],['Adult']
28443,['Arts', 'Recreation', 'Science', 'Business'],['Health']
21668,['Arts', 'Recreation', 'Computers', 'Business'],['Arts']
25910,['Recreation', 'Business', 'Shopping', 'Computers'],['Science']
44651,['Science', 'Business', 'Reference', 'Society'],['Business']
16376,['Science', 'Recreation', 'Business', 'Computers'],['Science']
5112,['Adult', 'Recreation', 'Games', 'Shopping'],['Adult']
6935,['Science', 'Computers', 'Business', 'Health'],['Science']
38661,['Health', 'Business', 'Society', 'Recreation'],['Health']
12632,['Science', 'Business', 'Shopping', 'Recreation'],['Science']
28954,['Arts', 'Recreation', 'Business', 'Reference'],['Arts', 'Business']
24013,['Arts', 'Recreation', 'Business', 'Computers'],['Arts']
44736,['Business', 'Computers', 'Health', 'Recreation'],['Business']
15819,['Business', 'Health', 'Computers', 'Science'],['Science']
7167,['Adult', 'Shopping', 'Society', 'Business'],['Adult']
7607,['Society', 'Shopping', 'Business', 'Computers'],['Society']
29614,['Adult', 'Shopping', 'Business', 'Recreation'],['Adult']
