ref id,Predicted,Actual
44778,['Health', 'Society', 'Business', 'Science'],['Society']
41641,['Business', 'Health', 'Science', 'Recreation'],['Business']
51900,['Games', 'Business', 'Arts', 'Society'],['Games']
27133,['Health', 'Recreation', 'Sports', 'Society'],['Health']
55331,['Business', 'Health', 'Science', 'Recreation'],['Business']
65,['Adult', 'Shopping', 'Recreation', 'Health'],['Adult']
33476,['Society', 'Health', 'Science', 'Arts'],['Adult']
38632,['Society', 'Health', 'Games', 'Recreation'],['Games']
27671,['Health', 'Reference', 'Business', 'Arts'],['Health']
34026,['Business', 'Computers', 'Science', 'Sports'],['Business']
4628,['Computers', 'Business', 'Reference', 'Recreation'],['Science']
34360,['Shopping', 'Arts', 'Adult', 'Sports'],['Adult']
47919,['Business', 'Science', 'Recreation', 'Health'],['Business']
48752,['Science', 'Reference', 'Computers', 'Society'],['Science']
38766,['Business', 'Computers', 'Recreation', 'Arts'],['Business']
1641,['Computers', 'Science', 'Reference', 'Games'],['Science']
13392,['Adult', 'Sports', 'Recreation', 'Society'],['Adult']
40050,['Health', 'Society', 'Business', 'Reference'],['Business']
10389,['Society', 'Shopping', 'Arts', 'Sports'],['Society']
39087,['Adult', 'Arts', 'Sports', 'Business'],['Adult']
10329,['Science', 'Reference', 'Games', 'Society'],['Science']
32601,['Sports', 'Society', 'Shopping', 'Recreation'],['Adult']
53552,['Reference', 'Health', 'Science', 'Business'],['Science']
5248,['Society', 'Shopping', 'Computers', 'Arts'],['Society']
2850,['Adult', 'Society', 'Sports', 'Business'],['Adult']
1527,['Adult', 'Computers', 'Shopping', 'Science'],['Adult']
34551,['Reference', 'Recreation', 'Health', 'Society'],['Health']
183,['Shopping', 'Recreation', 'Computers', 'Arts'],['Games']
54553,['Games', 'Arts', 'Sports', 'Recreation'],['Games']
43837,['Adult', 'Recreation', 'Health', 'Arts'],['Adult']
13649,['Health', 'Business', 'Science', 'Reference'],['Health']
57131,['Sports', 'Society', 'Shopping', 'Arts'],['Society']
22928,['Adult', 'Sports', 'Society', 'Science'],['Adult']
14121,['Games', 'Society', 'Shopping', 'Computers'],['Adult']
22210,['Arts', 'Health', 'Business', 'Science'],['Science', 'Business', 'Society']
46446,['Science', 'Computers', 'Business', 'Recreation'],['Business']
49474,['Business', 'Shopping', 'Science', 'Recreation'],['Business']
52476,['Computers', 'Games', 'Business', 'Recreation'],['Science']
47699,['Society', 'Computers', 'Recreation', 'Health'],['Society']
4481,['Sports', 'Games', 'Society', 'Shopping'],['Games']
22284,['Games', 'Sports', 'Society', 'Business'],['Science']
46348,['Computers', 'Science', 'Reference', 'Sports'],['Science']
11034,['Arts', 'Science', 'Adult', 'Health'],['Science']
32912,['Adult', 'Arts', 'Sports', 'Society'],['Adult']
57723,['Society', 'Computers', 'Sports', 'Reference'],['Society']
41079,['Society', 'Science', 'Recreation', 'Health'],['Society']
20587,['Computers', 'Science', 'Reference', 'Recreation'],['Science']
28674,['Science', 'Health', 'Recreation', 'Computers'],['Science']
12894,['Computers', 'Science', 'Reference', 'Recreation'],['Business']
54245,['Society', 'Recreation', 'Sports', 'Computers'],['Society']
