ref id,Predicted,Actual
3225,['Business'],['Business']
38870,['Adult'],['Adult']
16179,['Science'],['Science']
17878,['Science'],['Science']
15498,['Arts'],['Society']
41199,['Arts'],['Business']
54676,['Adult'],['Adult']
58991,['Adult'],['Adult']
6436,['Recreation'],['Business']
22368,['Health'],['Health']
48433,['Sports'],['Adult']
9073,['Science'],['Science']
52373,['Science'],['Science']
38503,['Science'],['Science']
51457,['Sports'],['Society']
9753,['Computers'],['Society']
14001,['Reference'],['Society']
55324,['Arts'],['Adult']
8130,['Business'],['Society']
25490,['Health'],['Health']
20655,['Adult'],['Adult']
27777,['Computers'],['Games']
14666,['Business'],['Business']
7381,['Adult'],['Adult']
46761,['Business'],['Society']
7986,['Arts'],['Adult']
45272,['Business'],['Business']
48128,['Adult'],['Adult']
23073,['Business'],['Health']
40824,['Science'],['Science']
9115,['Science'],['Science']
43642,['Adult'],['Adult']
1913,['Society'],['Society']
43954,['Society'],['Society']
57234,['Adult'],['Adult']
360,['Health'],['Health']
11340,['Adult'],['Adult']
7887,['Adult'],['Adult']
4196,['Science'],['Science']
12155,['Shopping'],['Adult']
2266,['Society'],['Society']
22482,['Business'],['Health']
16441,['Adult'],['Adult']
59422,['Arts'],['Science']
42436,['Games'],['Games']
24800,['Adult'],['Adult']
48481,['Health'],['Health']
5211,['Sports'],['Business']
22243,['Business'],['Adult']
4689,['Business'],['Science']
45625,['Business'],['Business']
39005,['Science'],['Science']
9196,['Computers'],['Adult']
23758,['Games'],['Games']
51232,['Health'],['Health']
17394,['Business'],['Business']
8696,['Society'],['Society']
45440,['Adult'],['Adult']
32704,['Games'],['Adult']
6847,['Business'],['Society']
57776,['Shopping'],['Adult']
2832,['Computers'],['Business']
29928,['Society'],['Adult']
46964,['Recreation'],['Society']
31875,['Business'],['Health']
46586,['Society'],['Society']
42965,['Science'],['Science']
13617,['Society'],['Society']
43122,['Adult'],['Adult']
9992,['Games'],['Games']
16468,['Health'],['Health']
35636,['Recreation'],['Adult']
15360,['Business'],['Arts']
6488,['Arts'],['Arts']
5623,['Business'],['Business']
17687,['Games'],['Games', 'Arts']
30219,['Recreation'],['Business']
38934,['Computers'],['Science']
13476,['Science'],['Science']
15526,['Science'],['Science']
16102,['Adult'],['Adult']
38585,['Games'],['Games']
41361,['Adult'],['Adult']
3840,['Science'],['Science']
43879,['Society'],['Society']
45688,['Science'],['Science']
8068,['Arts'],['Society']
8470,['Health'],['Health']
48488,['Adult'],['Adult']
21840,['Health'],['Society']
47798,['Health'],['Health']
25417,['Games'],['Games']
43782,['Games'],['Games']
54627,['Business'],['Health']
15824,['Society'],['Health']
36374,['Games'],['Games']
57227,['Games'],['Games']
51364,['Computers'],['Games']
51336,['Games'],['Games']
49005,['Business'],['Health']
50776,['Computers'],['Games']
34329,['Arts'],['Business']
46385,['Games'],['Games']
16052,['Business'],['Business']
25834,['Computers'],['Science']
38201,['Business'],['Business']
