ref id,Predicted,Actual
15075,['Games'],['Society']
53366,['Business'],['Shopping']
46372,['Business'],['Adult']
50592,['Adult'],['Adult']
42251,['Computers'],['Games']
1037,['Computers'],['Adult']
42357,['Shopping'],['Business']
12231,['Health'],['Arts']
4736,['Society'],['Society']
52762,['Science'],['Science']
10159,['Health'],['Health']
57366,['Sports'],['Games']
34241,['Science'],['Science']
6905,['Business'],['Business']
10752,['Business'],['Business']
8198,['Adult'],['Adult']
51580,['Adult'],['Adult']
36267,['Computers'],['Society']
36566,['Shopping'],['Business']
6164,['Science'],['Health']
39638,['Computers'],['Games']
32708,['Science'],['Science']
13840,['Adult'],['Adult']
28887,['Recreation'],['Adult']
4214,['Recreation'],['Business', 'Shopping']
38648,['Science'],['Science']
42955,['Arts'],['Adult']
7070,['Health'],['Health']
11857,['Computers'],['Business']
33640,['Shopping'],['Adult']
29015,['Adult'],['Adult']
25110,['Sports'],['Business', 'Shopping']
8004,['Games'],['Science']
37555,['Business'],['Society']
35861,['Games'],['Games']
21921,['Society'],['Adult']
27916,['Shopping'],['Games']
58425,['Games'],['Games']
11141,['Business'],['Health']
52698,['Business'],['Science']
58478,['Arts'],['Society']
37475,['Computers'],['Adult']
12424,['Recreation'],['Society']
2613,['Games'],['Games']
39481,['Adult'],['Adult']
44194,['Business'],['Health']
35937,['Shopping'],['Society']
34661,['Business'],['Adult']
32892,['Society'],['Society']
53008,['Business'],['Health']
23842,['Shopping'],['Business']
5535,['Adult'],['Adult']
50501,['Computers'],['Games']
22385,['Science'],['Science']
44454,['Society'],['Society']
52667,['Business'],['Society']
3099,['Shopping'],['Business']
39160,['Health'],['Health']
39404,['Recreation'],['Science']
47714,['Adult'],['Adult']
29787,['Business'],['Business']
27391,['Shopping'],['Society']
7697,['Business'],['Games']
42953,['Computers'],['Sports', 'Games']
7502,['Society'],['Society']
900,['Science'],['Health']
48136,['Business'],['Arts', 'Games']
23878,['Business'],['Business']
23184,['Games'],['Games']
37655,['Arts'],['Arts']
31779,['Sports'],['Health']
20333,['Sports'],['Adult']
41215,['Business'],['Adult']
54187,['Business'],['Science']
2407,['Business'],['Business']
2516,['Games'],['Games']
15008,['Arts'],['Arts']
12322,['Arts'],['Arts']
39489,['Society'],['Society']
27177,['Society'],['Health']
58839,['Science'],['Science']
42044,['Recreation'],['Science']
36500,['Business'],['Society']
2544,['Business'],['Adult']
7815,['Shopping'],['Science']
1912,['Business'],['Society']
42291,['Games'],['Games']
1254,['Sports'],['Society']
17842,['Adult'],['Adult']
29125,['Arts'],['Adult']
2165,['Business'],['Business']
17450,['Business'],['Health']
14560,['Business'],['Society']
12858,['Business'],['Society']
678,['Science'],['Games']
33644,['Health'],['Health']
11647,['Arts'],['Society']
29413,['Business'],['Adult']
8362,['Science'],['Science']
28857,['Shopping'],['Society']
46764,['Society'],['Health']
50748,['Arts'],['Arts', 'Computers']
54619,['Business'],['Games']
58802,['Science'],['Science']
2371,['Computers'],['Business']
24992,['Reference'],['Society']
37823,['Business'],['Health']
50923,['Games'],['Games']
52598,['Business'],['Business']
5245,['Arts'],['Adult']
35266,['Business'],['Arts']
17394,['Society'],['Business']
29253,['Business'],['Science']
40164,['Business'],['Arts']
10980,['Business'],['Business']
2132,['Business'],['Business']
49169,['Arts'],['Society']
35323,['Business'],['Arts']
33949,['Business'],['Business']
43864,['Arts'],['Arts']
40582,['Games'],['Games']
53478,['Health'],['Games']
23473,['Business'],['Health']
2114,['Business'],['Science']
48846,['Society'],['Adult']
31189,['Games'],['Games']
50849,['Health'],['Health']
29000,['Business'],['Health']
24607,['Business'],['Business']
