ref id,Predicted,Actual
3225,['Business'],['Business']
38870,['Adult'],['Adult']
16179,['Science'],['Science']
17878,['Business'],['Science']
15498,['Society'],['Society']
41199,['Business'],['Business']
54676,['Adult'],['Adult']
58991,['Adult'],['Adult']
6436,['Business'],['Business']
22368,['Health'],['Health']
48433,['Business'],['Adult']
9073,['Business'],['Science']
52373,['Business'],['Science']
38503,['Business'],['Science']
51457,['Society'],['Society']
9753,['Business'],['Society']
14001,['Society'],['Society']
55324,['Business'],['Adult']
8130,['Business'],['Society']
25490,['Health'],['Health']
20655,['Adult'],['Adult']
27777,['Games'],['Games']
14666,['Business'],['Business']
7381,['Adult'],['Adult']
46761,['Business'],['Society']
7986,['Business'],['Adult']
45272,['Business'],['Business']
48128,['Adult'],['Adult']
23073,['Business'],['Health']
40824,['Science'],['Science']
9115,['Business'],['Science']
43642,['Business'],['Adult']
1913,['Society'],['Society']
43954,['Society'],['Society']
57234,['Adult'],['Adult']
360,['Arts'],['Health']
11340,['Adult'],['Adult']
7887,['Adult'],['Adult']
4196,['Business'],['Science']
12155,['Adult'],['Adult']
2266,['Society'],['Society']
22482,['Business'],['Health']
16441,['Adult'],['Adult']
59422,['Business'],['Science']
42436,['Business'],['Games']
24800,['Adult'],['Adult']
48481,['Business'],['Health']
5211,['Business'],['Business']
22243,['Business'],['Adult']
4689,['Science'],['Science']
45625,['Business'],['Business']
39005,['Business'],['Science']
9196,['Adult'],['Adult']
23758,['Games'],['Games']
51232,['Society'],['Health']
17394,['Computers'],['Business']
8696,['Society'],['Society']
45440,['Adult'],['Adult']
32704,['Games'],['Adult']
6847,['Society'],['Society']
57776,['Adult'],['Adult']
2832,['Shopping'],['Business']
29928,['Business'],['Adult']
46964,['Business'],['Society']
31875,['Business'],['Health']
46586,['Society'],['Society']
42965,['Business'],['Science']
13617,['Business'],['Society']
43122,['Adult'],['Adult']
9992,['Business'],['Games']
16468,['Health'],['Health']
35636,['Recreation'],['Adult']
15360,['Arts'],['Arts']
6488,['Arts'],['Arts']
5623,['Sports'],['Business']
17687,['Games'],['Games', 'Arts']
30219,['Business'],['Business']
38934,['Computers'],['Science']
13476,['Business'],['Science']
15526,['Science'],['Science']
16102,['Adult'],['Adult']
38585,['Business'],['Games']
41361,['Adult'],['Adult']
3840,['Science'],['Science']
43879,['Health'],['Society']
45688,['Science'],['Science']
8068,['Society'],['Society']
8470,['Health'],['Health']
48488,['Adult'],['Adult']
21840,['Arts'],['Society']
47798,['Health'],['Health']
25417,['Business'],['Games']
43782,['Games'],['Games']
54627,['Business'],['Health']
15824,['Business'],['Health']
36374,['Science'],['Games']
57227,['Computers'],['Games']
51364,['Games'],['Games']
51336,['Business'],['Games']
49005,['Business'],['Health']
50776,['Computers'],['Games']
34329,['Business'],['Business']
46385,['Business'],['Games']
16052,['Business'],['Business']
25834,['Business'],['Science']
38201,['Business'],['Business']
52600,['Games'],['Games']
