ref id,Predicted,Actual
57141,['Shopping', 'Business', 'Games', 'Arts'],['Adult']
25383,['Computers', 'Business', 'Recreation', 'Reference'],['Society']
30203,['Recreation', 'Computers', 'Business', 'Health'],['Adult']
11586,['Shopping', 'Games', 'Business', 'Sports'],['Games']
21639,['Business', 'Shopping', 'Health', 'Adult'],['Games']
5455,['Computers', 'Health', 'Reference', 'Business'],['Health']
43976,['Computers', 'Shopping', 'Science', 'Recreation'],['Science']
8058,['Science', 'Recreation', 'Computers', 'Business'],['Adult']
23213,['Business', 'Computers', 'Reference', 'Games'],['Business']
54739,['Recreation', 'Business', 'Computers', 'Adult'],['Adult']
54130,['Business', 'Recreation', 'Computers', 'Adult'],['Society']
10028,['Business', 'Recreation', 'Computers', 'Adult'],['Adult']
31800,['Recreation', 'Health', 'Society', 'Computers'],['Health']
31778,['Adult', 'Reference', 'Business', 'Computers'],['Health']
9497,['Business', 'Recreation', 'Adult', 'Health'],['Games']
7059,['Business', 'Computers', 'Recreation', 'Shopping'],['Society']
15265,['Computers', 'Business', 'Recreation', 'Society'],['Adult']
44431,['Computers', 'Adult', 'Reference', 'Health'],['Science']
43287,['Business', 'Computers', 'Recreation', 'Science'],['Society']
57753,['Business', 'Recreation', 'Computers', 'Science'],['Society']
1286,['Business', 'Recreation', 'Computers', 'Society'],['Adult']
28649,['Recreation', 'Health', 'Science', 'Sports'],['Science']
51260,['Business', 'Computers', 'Adult', 'Recreation'],['Adult']
175,['Adult', 'Society', 'Reference', 'Science'],['Adult']
47827,['Business', 'Computers', 'Recreation', 'Society'],['Health']
29408,['Computers', 'Recreation', 'Science', 'Business'],['Games']
42419,['Business', 'Computers', 'Recreation', 'Science'],['Adult']
35533,['Health', 'Business', 'Science', 'Society'],['Games']
12002,['Computers', 'Business', 'Recreation', 'Society'],['Science']
28534,['Business', 'Society', 'Computers', 'Recreation'],['Business']
5891,['Business', 'Health', 'Arts', 'Adult'],['Adult']
38744,['Arts', 'Business', 'Society', 'Reference'],['Games']
44385,['Science', 'Health', 'Computers', 'Games'],['Science']
30962,['Business', 'Recreation', 'Computers', 'Science'],['Adult']
35498,['Health', 'Shopping', 'Business', 'Computers'],['Games']
51344,['Shopping', 'Recreation', 'Reference', 'Adult'],['Adult']
23156,['Society', 'Adult', 'Business', 'Arts'],['Adult']
36434,['Business', 'Science', 'Computers', 'Recreation'],['Games']
36980,['Adult', 'Business', 'Computers', 'Recreation'],['Adult']
14724,['Science', 'Recreation', 'Adult', 'Games'],['Health']
38884,['Recreation', 'Health', 'Arts', 'Reference'],['Adult']
52146,['Recreation', 'Business', 'Computers', 'Adult'],['Games']
22729,['Business', 'Adult', 'Society', 'Reference'],['Business']
23762,['Computers', 'Science', 'Recreation', 'Shopping'],['Adult']
32376,['Computers', 'Adult', 'Business', 'Health'],['Society']
55416,['Computers', 'Business', 'Recreation', 'Shopping'],['Games']
54743,['Business', 'Computers', 'Recreation', 'Adult'],['Society']
36218,['Computers', 'Science', 'Recreation', 'Games'],['Science']
42758,['Adult', 'Recreation', 'Business', 'Computers'],['Adult']
57957,['Shopping', 'Business', 'Adult', 'Recreation'],['Games']
46771,['Games', 'Science', 'Recreation', 'Shopping'],['Adult']
13202,['Reference', 'Science', 'Computers', 'Business'],['Science']
23286,['Recreation', 'Business', 'Arts', 'Computers'],['Adult']
9337,['Computers', 'Shopping', 'Society', 'Recreation'],['Adult']
43319,['Business', 'Computers', 'Science', 'Recreation'],['Society']
1977,['Computers', 'Recreation', 'Business', 'Shopping'],['Business']
44629,['Business', 'Computers', 'Recreation', 'Science'],['Science']
51640,['Business', 'Shopping', 'Adult', 'Society'],['Adult']
25477,['Shopping', 'Business', 'Arts', 'Games'],['Business']
16333,['Adult', 'Business', 'Society', 'Recreation'],['Adult']
5177,['Computers', 'Reference', 'Business', 'Science'],['Health']
2522,['Business', 'Computers', 'Recreation', 'Adult'],['Society']
49286,['Recreation', 'Computers', 'Shopping', 'Business'],['Society']
50996,['Business', 'Computers', 'Recreation', 'Science'],['Society']
38235,['Business', 'Computers', 'Recreation', 'Adult'],['Games']
29211,['Computers', 'Business', 'Society', 'Recreation'],['Health']
49894,['Health', 'Society', 'Science', 'Adult'],['Games']
10094,['Business', 'Recreation', 'Computers', 'Health'],['Society']
50184,['Business', 'Computers', 'Science', 'Recreation'],['Society']
10763,['Games', 'Shopping', 'Business', 'Society'],['Adult']
29512,['Recreation', 'Adult', 'Arts', 'Computers'],['Games']
21664,['Business', 'Society', 'Arts', 'Recreation'],['Science']
27808,['Science', 'Health', 'Adult', 'Arts'],['Society']
46526,['Business', 'Recreation', 'Computers', 'Society'],['Adult']
10407,['Business', 'Science', 'Adult', 'Computers'],['Health']
57164,['Science', 'Recreation', 'Computers', 'Business'],['Arts']
43734,['Recreation', 'Business', 'Computers', 'Arts'],['Games']
15569,['Business', 'Computers', 'Recreation', 'Reference'],['Games']
9936,['Business', 'Computers', 'Reference', 'Arts'],['Arts']
33559,['Business', 'Computers', 'Reference', 'Recreation'],['Business']
21841,['Business', 'Science', 'Recreation', 'Computers'],['Science']
1053,['Business', 'Recreation', 'Shopping', 'Computers'],['Games']
40071,['Business', 'Recreation', 'Society', 'Adult'],['Society']
2019,['Business', 'Computers', 'Science', 'Recreation'],['Science']
40968,['Business', 'Recreation', 'Computers', 'Adult'],['Adult']
36492,['Business', 'Computers', 'Recreation', 'Science'],['Arts']
15089,['Business', 'Arts', 'Reference', 'Adult'],['Arts']
27223,['Games', 'Shopping', 'Society', 'Business'],['Games']
47414,['Business', 'Recreation', 'Computers', 'Society'],['Adult']
8054,['Business', 'Computers', 'Games', 'Society'],['Society', 'Health']
22530,['Business', 'Games', 'Science', 'Reference'],['Health']
32830,['Business', 'Society', 'Games', 'Reference'],['Business']
50043,['Shopping', 'Computers', 'Recreation', 'Society'],['Games']
1282,['Business', 'Science', 'Reference', 'Adult'],['Health']
50078,['Business', 'Recreation', 'Computers', 'Society'],['Arts']
50931,['Computers', 'Arts', 'Shopping', 'Society'],['Business']
49854,['Recreation', 'Society', 'Business', 'Health'],['Adult']
42229,['Business', 'Science', 'Recreation', 'Computers'],['Business']
16755,['Business', 'Recreation', 'Arts', 'Health'],['Adult']
5677,['Adult', 'Games', 'Business', 'Science'],['Health']
45419,['Business', 'Recreation', 'Computers', 'Arts'],['Science']
54657,['Computers', 'Business', 'Arts', 'Games'],['Science']
58391,['Business', 'Society', 'Games', 'Health'],['Games']
31682,['Shopping', 'Business', 'Society', 'Computers'],['Games']
53759,['Reference', 'Science', 'Health', 'Recreation'],['Health']
