ref id,Predicted,Actual
34079,['Shopping', 'Sports', 'Society', 'Science'],['Shopping']
34081,['Shopping', 'Sports', 'Society', 'Science'],['Shopping']
3,['Shopping', 'Reference', 'Games', 'Computers'],['Arts']
5,['Adult', 'Sports', 'Society', 'Shopping'],['Adult']
34087,['Shopping', 'Sports', 'Society', 'Science'],['Shopping']
34089,['Shopping', 'Sports', 'Society', 'Science'],['Shopping']
20,['Adult', 'Sports', 'Society', 'Shopping'],['Adult']
27,['Adult', 'Sports', 'Society', 'Shopping'],['Adult']
35,['Adult', 'Sports', 'Society', 'Shopping'],['Adult']
36,['Adult', 'Sports', 'Society', 'Shopping'],['Adult']
37,['Adult', 'Sports', 'Society', 'Shopping'],['Adult']
39,['Adult', 'Sports', 'Society', 'Shopping'],['Adult']
34118,['Shopping', 'Sports', 'Society', 'Science'],['Shopping']
43,['Adult', 'Sports', 'Society', 'Shopping'],['Adult']
49,['Adult', 'Sports', 'Society', 'Shopping'],['Adult']
34133,['Shopping', 'Sports', 'Society', 'Science'],['Shopping']
59,['Adult', 'Sports', 'Society', 'Shopping'],['Adult']
64,['Adult', 'Sports', 'Society', 'Shopping'],['Adult']
66,['Adult', 'Sports', 'Society', 'Shopping'],['Adult']
80,['Business', 'Sports', 'Society', 'Shopping'],['Business']
85,['Adult', 'Sports', 'Society', 'Shopping'],['Adult']
34169,['Shopping', 'Sports', 'Society', 'Science'],['Shopping']
34171,['Shopping', 'Sports', 'Society', 'Science'],['Shopping']
34173,['Society', 'Shopping', 'Sports', 'Science'],['Shopping']
93,['Adult', 'Sports', 'Society', 'Shopping'],['Adult']
34178,['Shopping', 'Sports', 'Society', 'Science'],['Shopping']
98,['Adult', 'Sports', 'Society', 'Shopping'],['Adult']
34187,['Society', 'Sports', 'Shopping', 'Science'],['Society']
107,['Adult', 'Sports', 'Society', 'Shopping'],['Adult']
34191,['Society', 'Sports', 'Shopping', 'Science'],['Society']
112,['Adult', 'Sports', 'Society', 'Shopping'],['Adult']
34194,['Society', 'Sports', 'Shopping', 'Science'],['Society']
34200,['Society', 'Sports', 'Shopping', 'Science'],['Society']
34204,['Society', 'Shopping', 'Sports', 'Science'],['Society']
138,['News', 'Home', 'Arts', 'Sports'],['News', 'Home', 'Arts']
144,['Arts', 'Sports', 'Society', 'Shopping'],['Arts']
150,['Arts', 'Sports', 'Society', 'Shopping'],['Arts']
165,['Shopping', 'Arts', 'Sports', 'Society'],['Shopping', 'Arts']
34256,['Society', 'Sports', 'Shopping', 'Science'],['Society']
34257,['Society', 'Sports', 'Shopping', 'Science'],['Society']
176,['Arts', 'Sports', 'Society', 'Shopping'],['Arts']
34260,['Society', 'Sports', 'Shopping', 'Science'],['Society']
184,['Arts', 'Sports', 'Society', 'Shopping'],['Arts']
