ref id,Predicted,Actual
0,['Adult', 'Society', 'Recreation', 'Computers'],['Adult']
34085,['Shopping', 'Computers', 'Society', 'Business'],['Shopping']
16,['Adult', 'Arts', 'Recreation', 'Business'],['Adult']
34096,['Shopping', 'Society', 'Recreation', 'Arts'],['Shopping']
22,['Business', 'Society', 'Recreation', 'Arts'],['Adult']
27,['Adult', 'Recreation', 'Business', 'Computers'],['Adult']
34109,['Shopping', 'Society', 'Home', 'Recreation'],['Shopping']
34112,['Shopping', 'Society', 'Arts', 'Computers'],['Shopping']
37,['Adult', 'Arts', 'Recreation', 'Computers'],['Adult']
40,['Adult', 'Shopping', 'Recreation', 'Business'],['Adult']
64,['Adult', 'Home', 'Recreation', 'Games'],['Adult']
71,['Adult', 'Arts', 'Society', 'Recreation'],['Adult']
72,['Adult', 'Recreation', 'Arts', 'Computers'],['Adult']
74,['Adult', 'Recreation', 'Arts', 'Computers'],['Adult']
34158,['Shopping', 'Society', 'Recreation', 'Sports'],['Shopping']
34159,['Business', 'Society', 'Shopping', 'Arts'],['Shopping']
34166,['Shopping', 'Sports', 'Computers', 'Games'],['Shopping']
34171,['Society', 'Shopping', 'Recreation', 'Sports'],['Shopping']
95,['Computers', 'Business', 'Recreation', 'News'],['Adult']
34182,['Shopping', 'Society', 'Recreation', 'Home'],['Shopping']
105,['Adult', 'Business', 'Shopping', 'Recreation'],['Adult']
108,['Adult', 'Shopping', 'Business', 'Recreation'],['Adult']
109,['Adult', 'Recreation', 'Computers', 'Arts'],['Adult']
34189,['Society', 'Computers', 'News', 'Arts'],['Society']
114,['Adult', 'Computers', 'Recreation', 'Arts'],['Adult']
115,['Adult', 'Recreation', 'Health', 'Computers'],['Adult']
117,['Adult', 'Computers', 'Society', 'Recreation'],['Adult']
122,['Adult', 'Computers', 'Business', 'Arts'],['Adult']
150,['Arts', 'Recreation', 'News', 'Business'],['Arts']
34232,['Society', 'Arts', 'Recreation', 'Shopping'],['Society']
34243,['Society', 'Shopping', 'Arts', 'Recreation'],['Society']
172,['Arts', 'Computers', 'Business', 'Recreation'],['Arts']
173,['Arts', 'News', 'Recreation', 'Games'],['Arts']
177,['Computers', 'Arts', 'Business', 'News'],['Arts']
34260,['Society', 'Arts', 'Computers', 'Science'],['Society']
181,['News', 'Arts', 'Business', 'Society'],['Arts']
183,['News', 'Arts', 'Society', 'Recreation'],['Arts']
184,['Games', 'Arts', 'Computers', 'Recreation'],['Arts']
189,['Arts', 'Recreation', 'Business', 'News'],['Arts']
190,['Games', 'Business', 'Computers', 'Recreation'],['Arts', 'Computers']
34275,['Society', 'Business', 'Recreation', 'Computers'],['Society']
197,['Arts', 'Business', 'Science', 'Reference'],['Arts']
34279,['Society', 'News', 'Science', 'Arts'],['Society']
216,['Arts', 'Business', 'Society', 'Recreation'],['Arts']
34302,['Society', 'Shopping', 'Health', 'Computers'],['Society']
34310,['Sports', 'Society', 'Shopping', 'Computers'],['Society']
230,['Arts', 'Recreation', 'Computers', 'Business'],['Arts']
233,['Arts', 'Society', 'Recreation', 'Reference'],['Arts']
234,['Arts', 'Recreation', 'Business', 'News'],['Arts']
34317,['Reference', 'Society', 'Shopping', 'Arts'],['Society']
34319,['Arts', 'Society', 'Business', 'Shopping'],['Society']
240,['Arts', 'Computers', 'Science', 'Recreation'],['Arts']
34324,['Society', 'Shopping', 'Arts', 'Sports'],['Society']
245,['Arts', 'Society', 'Recreation', 'Games'],['Arts']
34330,['Society', 'Science', 'Recreation', 'Shopping'],['Society']
34332,['Society', 'Shopping', 'Arts', 'Recreation'],['Society']
34334,['Society', 'Sports', 'Business', 'Recreation'],['Society']
262,['Business', 'Home', 'News', 'Recreation'],['Business', 'Home']
268,['Business', 'Recreation', 'Health', 'News'],['Business']
34359,['Computers', 'Society', 'Sports', 'Home'],['Society']
34367,['Computers', 'Shopping', 'Business', 'Society'],['Society']
287,['Computers', 'Business', 'Shopping', 'Arts'],['Business']
288,['News', 'Business', 'Health', 'Home'],['Business', 'Home']
34370,['Society', 'Health', 'News', 'Computers'],['Society']
295,['Home', 'Business', 'Shopping', 'Recreation'],['Business', 'News', 'Home']
296,['Business', 'Home', 'Computers', 'Arts'],['Business', 'Computers']
34385,['Computers', 'Society', 'Business', 'Shopping'],['Society']
307,['Arts', 'News', 'Recreation', 'Society'],['Business']
310,['Business', 'News', 'Home', 'Computers'],['Business', 'Home']
34393,['Society', 'Recreation', 'Shopping', 'Reference'],['Society']
34396,['Society', 'Computers', 'News', 'Science'],['Society']
316,['Computers', 'News', 'Business', 'Society'],['Business', 'News']
34401,['Society', 'Recreation', 'Shopping', 'Arts'],['Society']
34402,['Society', 'Shopping', 'Business', 'Recreation'],['Society']
321,['Computers', 'Business', 'Reference', 'Shopping'],['Business']
34405,['Society', 'Business', 'News', 'Shopping'],['Society']
34408,['Society', 'Shopping', 'Recreation', 'Science'],['Society']
328,['Arts', 'Business', 'Science', 'Shopping'],['Business']
34411,['Society', 'Sports', 'Business', 'Shopping'],['Society']
334,['Sports', 'Recreation', 'Health', 'Shopping'],['Business', 'Sports']
340,['Business', 'Society', 'Computers', 'Arts'],['Business']
