ref id,Predicted,Actual
57141,['Adult', 'Shopping', 'Society', 'Recreation'],['Adult']
25383,['Sports', 'Society', 'Reference', 'Recreation'],['Society']
30203,['Recreation', 'Computers', 'Science', 'Business'],['Adult']
11586,['Games', 'Computers', 'Shopping', 'Sports'],['Games']
21639,['Games', 'Shopping', 'Sports', 'Arts'],['Games']
5455,['Health', 'Science', 'Reference', 'Recreation'],['Health']
43976,['Science', 'Business', 'Computers', 'Reference'],['Science']
8058,['Adult', 'Recreation', 'Arts', 'Computers'],['Adult']
23213,['Health', 'Reference', 'Business', 'Science'],['Business']
54739,['Adult', 'Recreation', 'Business', 'Computers'],['Adult']
54130,['Society', 'Business', 'Sports', 'Shopping'],['Society']
10028,['Adult', 'Recreation', 'Business', 'Computers'],['Adult']
31800,['Health', 'Business', 'Recreation', 'Science'],['Health']
31778,['Health', 'Business', 'Science', 'Society'],['Health']
9497,['Shopping', 'Computers', 'Society', 'Recreation'],['Games']
7059,['Society', 'Sports', 'Recreation', 'Health'],['Society']
15265,['Adult', 'Arts', 'Computers', 'Business'],['Adult']
44431,['Science', 'Arts', 'Computers', 'Business'],['Science']
43287,['Society', 'Science', 'Recreation', 'Shopping'],['Society']
57753,['Society', 'Arts', 'Shopping', 'Business'],['Society']
1286,['Adult', 'Society', 'Business', 'Shopping'],['Adult']
28649,['Science', 'Computers', 'Business', 'Reference'],['Science']
51260,['Adult', 'Arts', 'Business', 'Computers'],['Adult']
175,['Adult', 'Health', 'Recreation', 'Business'],['Adult']
47827,['Arts', 'Science', 'Recreation', 'Business'],['Health']
29408,['Games', 'Computers', 'Arts', 'Society'],['Games']
42419,['Adult', 'Business', 'Computers', 'Society'],['Adult']
35533,['Business', 'Shopping', 'Games', 'Recreation'],['Games']
12002,['Computers', 'Recreation', 'Business', 'Science'],['Science']
28534,['Business', 'Computers', 'Science', 'Reference'],['Business']
5891,['Arts', 'Recreation', 'Science', 'Business'],['Adult']
38744,['Games', 'Recreation', 'Society', 'Arts'],['Games']
44385,['Science', 'Computers', 'Reference', 'Business'],['Science']
30962,['Adult', 'Recreation', 'Arts', 'Society'],['Adult']
35498,['Shopping', 'Computers', 'Health', 'Recreation'],['Games']
51344,['Adult', 'Computers', 'Shopping', 'Business'],['Adult']
23156,['Adult', 'Recreation', 'Business', 'Arts'],['Adult']
36434,['Shopping', 'Business', 'Computers', 'Recreation'],['Games']
36980,['Adult', 'Arts', 'Shopping', 'Recreation'],['Adult']
14724,['Health', 'Science', 'Business', 'Computers'],['Health']
38884,['Health', 'Adult', 'Computers', 'Business'],['Adult']
52146,['Games', 'Society', 'Computers', 'Shopping'],['Games']
22729,['Business', 'Science', 'Health', 'Computers'],['Business']
23762,['Adult', 'Recreation', 'Arts', 'Computers'],['Adult']
32376,['Society', 'Computers', 'Shopping', 'Business'],['Society']
55416,['Games', 'Sports', 'Shopping', 'Society'],['Games']
54743,['Society', 'Business', 'Shopping', 'Sports'],['Society']
36218,['Science', 'Computers', 'Reference', 'Health'],['Science']
42758,['Adult', 'Recreation', 'Business', 'Society'],['Adult']
57957,['Games', 'Shopping', 'Business', 'Recreation'],['Games']
46771,['Computers', 'Business', 'Recreation', 'Games'],['Adult']
13202,['Science', 'Computers', 'Games', 'Health'],['Science']
23286,['Adult', 'Recreation', 'Society', 'Computers'],['Adult']
9337,['Arts', 'Health', 'Society', 'Recreation'],['Adult']
43319,['Society', 'Shopping', 'Computers', 'Arts'],['Society']
1977,['Business', 'Recreation', 'Arts', 'Shopping'],['Business']
44629,['Business', 'Science', 'Computers', 'Arts'],['Science']
