ref id,Predicted,Actual
34079,['Shopping', 'Sports', 'Society', 'Science'],['Shopping']
34081,['Shopping', 'Arts', 'Sports', 'Society'],['Shopping']
3,['Games', 'Shopping', 'Business', 'Computers'],['Arts']
5,['Adult', 'Sports', 'Society', 'Shopping'],['Adult']
34087,['Shopping', 'Society', 'Business', 'Sports'],['Shopping']
34089,['Shopping', 'Society', 'Recreation', 'Home'],['Shopping']
20,['Adult', 'Sports', 'Business', 'Society'],['Adult']
27,['Adult', 'Shopping', 'Business', 'Sports'],['Adult']
35,['Adult', 'Arts', 'Kids', 'Sports'],['Adult']
36,['Adult', 'Games', 'Arts', 'Sports'],['Adult']
37,['Adult', 'Business', 'Sports', 'Society'],['Adult']
39,['Adult', 'Recreation', 'Society', 'Health'],['Adult']
34118,['Shopping', 'Sports', 'Society', 'Science'],['Shopping']
43,['Adult', 'Shopping', 'Reference', 'News'],['Adult']
49,['Adult', 'Kids', 'Sports', 'Society'],['Adult']
34133,['Shopping', 'Sports', 'Society', 'Recreation'],['Shopping']
59,['Adult', 'Shopping', 'Kids', 'Games'],['Adult']
64,['Adult', 'Recreation', 'News', 'Business'],['Adult']
66,['Adult', 'Kids', 'Sports', 'Society'],['Adult']
80,['Business', 'Computers', 'Sports', 'Society'],['Business']
85,['Adult', 'Health', 'Sports', 'Society'],['Adult']
34169,['Shopping', 'Sports', 'Society', 'Science'],['Shopping']
34171,['Shopping', 'Society', 'Reference', 'Computers'],['Shopping']
34173,['Society', 'Shopping', 'Sports', 'Science'],['Shopping']
93,['Adult', 'Recreation', 'Arts', 'Sports'],['Adult']
34178,['Shopping', 'Games', 'Business', 'Sports'],['Shopping']
98,['Adult', 'Recreation', 'Sports', 'Society'],['Adult']
34187,['Society', 'Sports', 'Shopping', 'Science'],['Society']
107,['Adult', 'News', 'Games', 'Business'],['Adult']
34191,['Society', 'Computers', 'Arts', 'Sports'],['Society']
112,['Adult', 'Shopping', 'Business', 'Computers'],['Adult']
34194,['Society', 'Shopping', 'Arts', 'Sports'],['Society']
34200,['Society', 'Shopping', 'Health', 'Business'],['Society']
34204,['Society', 'Shopping', 'Sports', 'Science'],['Society']
138,['Home', 'News', 'Arts', 'Business'],['News', 'Home', 'Arts']
144,['Arts', 'Sports', 'Society', 'Shopping'],['Arts']
150,['Arts', 'Recreation', 'Computers', 'Adult'],['Arts']
165,['Arts', 'Shopping', 'Sports', 'Society'],['Shopping', 'Arts']
34256,['Society', 'Sports', 'Shopping', 'Science'],['Society']
34257,['Society', 'Recreation', 'Health', 'Sports'],['Society']
176,['Arts', 'Society', 'Science', 'Sports'],['Arts']
34260,['Society', 'Sports', 'Shopping', 'Science'],['Society']
184,['Arts', 'Games', 'Sports', 'Computers'],['Arts']
194,['Arts', 'Computers', 'Sports', 'Society'],['Computers', 'Arts']
200,['Arts', 'Reference', 'Recreation', 'Games'],['Arts']
34283,['Society', 'Sports', 'Shopping', 'Computers'],['Society']
204,['Shopping', 'Reference', 'Kids', 'Home'],['Arts']
206,['Arts', 'Reference', 'Society', 'Recreation'],['Arts']
34292,['Society', 'Shopping', 'Computers', 'Sports'],['Society']
34300,['Society', 'News', 'Sports', 'Shopping'],['Society']
221,['Arts', 'Sports', 'Society', 'Shopping'],['Arts']
34303,['Society', 'Sports', 'Shopping', 'Recreation'],['Society']
228,['Arts', 'Games', 'Computers', 'Sports'],['Arts']
230,['Arts', 'Shopping', 'Recreation', 'Health'],['Arts']
34313,['Society', 'Sports', 'Shopping', 'Business'],['Society']
34317,['Society', 'Shopping', 'Kids', 'Computers'],['Society']
239,['Arts', 'Society', 'Sports', 'Shopping'],['Society', 'Arts']
34322,['Society', 'Science', 'Kids', 'Health'],['Society']
34323,['Society', 'Arts', 'Sports', 'Shopping'],['Society']
242,['Arts', 'Home', 'Games', 'Computers'],['Arts']
249,['Business', 'News', 'Shopping', 'Recreation'],['News', 'Business']
34334,['Society', 'Health', 'Computers', 'Business'],['Society']
34335,['Society', 'News', 'Sports', 'Shopping'],['Society']
257,['Business', 'Health', 'Sports', 'Society'],['Business']
272,['Business', 'Computers', 'Sports', 'Society'],['Business', 'Computers']
274,['Business', 'Computers', 'Arts', 'Reference'],['Business']
277,['Games', 'Shopping', 'Business', 'Computers'],['Games', 'Shopping']
34361,['Society', 'Kids', 'Games', 'Sports'],['Society']
34367,['Society', 'Computers', 'Arts', 'Sports'],['Society']
34375,['Society', 'Science', 'Recreation', 'Health'],['Society']
34383,['Society', 'Games', 'Arts', 'Sports'],['Society']
303,['Computers', 'Business', 'Shopping', 'Reference'],['Business', 'Computers']
312,['Business', 'Home', 'Sports', 'Society'],['Business']
34395,['Society', 'Business', 'Arts', 'Sports'],['Society']
34397,['Society', 'Computers', 'Sports', 'Shopping'],['Society']
34399,['Society', 'Science', 'Business', 'Sports'],['Society']
318,['Business', 'Arts', 'Sports', 'Society'],['Business']
34400,['Society', 'Shopping', 'Recreation', 'Sports'],['Society']
322,['Business', 'Kids', 'Health', 'Computers'],['Business']
34406,['Society', 'Health', 'Sports', 'Shopping'],['Society']
34408,['Society', 'Science', 'Reference', 'Computers'],['Society']
331,['Business', 'Health', 'Games', 'Computers'],['Business']
34417,['Society', 'Computers', 'Sports', 'Shopping'],['Society']
336,['Business', 'Computers', 'Reference', 'Sports'],['Business', 'Computers']
34424,['Society', 'Sports', 'Arts', 'Shopping'],['Society']
34429,['Society', 'Recreation', 'News', 'Arts'],['Society']
348,['Business', 'Shopping', 'Sports', 'Society'],['Business', 'Shopping']
350,['Recreation', 'Business', 'News', 'Kids'],['Business']
34433,['Society', 'Arts', 'Sports', 'Shopping'],['Society']
