ref id,Predicted,Actual
0,['Adult', 'Science', 'Arts', 'Sports'],['Adult']
34085,['Shopping', 'Recreation', 'Sports', 'Society'],['Shopping']
16,['Arts', 'News', 'Adult', 'Games'],['Adult']
34096,['Shopping', 'Sports', 'Society', 'Home'],['Shopping']
22,['News', 'Business', 'Adult', 'Society'],['Adult']
27,['Recreation', 'Science', 'Adult', 'Health'],['Adult']
34109,['Shopping', 'Sports', 'Society', 'Science'],['Shopping']
34112,['Shopping', 'Games', 'Sports', 'Society'],['Shopping']
37,['Adult', 'Recreation', 'Home', 'Science'],['Adult']
40,['Shopping', 'Adult', 'Home', 'Health'],['Adult']
64,['Adult', 'Recreation', 'Health', 'Games'],['Adult']
71,['Adult', 'Games', 'Arts', 'Recreation'],['Adult']
72,['Recreation', 'Arts', 'Games', 'News'],['Adult']
74,['Adult', 'Recreation', 'Shopping', 'Games'],['Adult']
34158,['Shopping', 'Sports', 'Society', 'Computers'],['Shopping']
34159,['Shopping', 'Arts', 'Society', 'Business'],['Shopping']
34166,['Sports', 'Shopping', 'Adult', 'Society'],['Shopping']
34171,['Shopping', 'Sports', 'Arts', 'Society'],['Shopping']
95,['Business', 'Computers', 'Adult', 'Sports'],['Adult']
34182,['Shopping', 'Society', 'Games', 'Arts'],['Shopping']
105,['Shopping', 'Adult', 'Society', 'Recreation'],['Adult']
108,['Adult', 'Science', 'Recreation', 'Business'],['Adult']
109,['Health', 'Adult', 'Shopping', 'Science'],['Adult']
34189,['Society', 'Arts', 'Shopping', 'Science'],['Society']
114,['Adult', 'Society', 'Recreation', 'Home'],['Adult']
115,['Adult', 'Science', 'Home', 'Arts'],['Adult']
117,['Adult', 'Society', 'Recreation', 'Sports'],['Adult']
122,['Business', 'Computers', 'Adult', 'Sports'],['Adult']
150,['Recreation', 'Health', 'Reference', 'Home'],['Arts']
34232,['Society', 'Business', 'Sports', 'News'],['Society']
34243,['Sports', 'Health', 'Society', 'Recreation'],['Society']
172,['Arts', 'Society', 'Shopping', 'Science'],['Arts']
173,['Arts', 'Health', 'Recreation', 'Business'],['Arts']
177,['Business', 'News', 'Home', 'Arts'],['Arts']
34260,['Society', 'Science', 'Computers', 'Sports'],['Society']
181,['News', 'Business', 'Sports', 'Recreation'],['Arts']
183,['News', 'Recreation', 'Science', 'Health'],['Arts']
184,['Games', 'Arts', 'Shopping', 'Science'],['Arts']
189,['News', 'Arts', 'Recreation', 'Health'],['Arts']
190,['Arts', 'Recreation', 'Games', 'Shopping'],['Arts', 'Computers']
34275,['Society', 'Sports', 'Health', 'Shopping'],['Society']
197,['Arts', 'Recreation', 'Business', 'News'],['Arts']
34279,['Society', 'Sports', 'Science', 'Health'],['Society']
216,['Arts', 'Shopping', 'Society', 'Science'],['Arts']
34302,['Society', 'Sports', 'Health', 'Shopping'],['Society']
34310,['Sports', 'Society', 'Computers', 'Health'],['Society']
230,['Science', 'Business', 'Arts', 'Shopping'],['Arts']
