ref id,Predicted,Actual
57141,['Adult', 'Arts', 'Business', 'Sports'],['Adult']
25383,['Society', 'Computers', 'Business', 'Sports'],['Society']
30203,['Recreation', 'Computers', 'Games', 'Science'],['Adult']
11586,['Society', 'Games', 'Sports', 'Science'],['Games']
21639,['Society', 'Recreation', 'Business', 'Games'],['Games']
5455,['Health', 'Society', 'Science', 'Recreation'],['Health']
43976,['Computers', 'Science', 'Business', 'Arts'],['Science']
8058,['Adult', 'Sports', 'Business', 'Arts'],['Adult']
23213,['Business', 'Recreation', 'Health', 'Sports'],['Business']
54739,['Adult', 'Computers', 'Sports', 'Society'],['Adult']
54130,['Business', 'Computers', 'Sports', 'Society'],['Society']
10028,['Adult', 'Computers', 'Business', 'Arts'],['Adult']
31800,['Health', 'Society', 'Science', 'Reference'],['Health']
31778,['Health', 'Business', 'Society', 'Science'],['Health']
9497,['Computers', 'Recreation', 'Business', 'Arts'],['Games']
7059,['Health', 'Sports', 'Society', 'Shopping'],['Society']
15265,['Adult', 'Business', 'Arts', 'Society'],['Adult']
44431,['Science', 'Computers', 'Business', 'Recreation'],['Science']
43287,['Society', 'Sports', 'Shopping', 'Recreation'],['Society']
57753,['Society', 'Shopping', 'Recreation', 'Health'],['Society']
1286,['Adult', 'Sports', 'Society', 'Computers'],['Adult']
28649,['Science', 'Reference', 'Arts', 'Recreation'],['Science']
51260,['Adult', 'Computers', 'Business', 'Sports'],['Adult']
175,['Adult', 'Recreation', 'Health', 'Computers'],['Adult']
47827,['Society', 'Sports', 'Shopping', 'Reference'],['Health']
29408,['Society', 'Games', 'Arts', 'Sports'],['Games']
42419,['Business', 'Science', 'Adult', 'Computers'],['Adult']
35533,['Shopping', 'Business', 'Recreation', 'Health'],['Games']
12002,['Arts', 'Science', 'Computers', 'Society'],['Science']
28534,['Science', 'Business', 'Computers', 'Shopping'],['Business']
5891,['Recreation', 'Arts', 'Business', 'Adult'],['Adult']
38744,['Sports', 'Society', 'Shopping', 'Recreation'],['Games']
44385,['Science', 'Computers', 'Society', 'Health'],['Science']
30962,['Adult', 'Arts', 'Computers', 'Sports'],['Adult']
35498,['Computers', 'Shopping', 'Health', 'Business'],['Games']
51344,['Shopping', 'Health', 'Computers', 'Society'],['Adult']
23156,['Adult', 'Recreation', 'Shopping', 'Health'],['Adult']
36434,['Shopping', 'Recreation', 'Computers', 'Business'],['Games']
36980,['Business', 'Sports', 'Recreation', 'Society'],['Adult']
14724,['Computers', 'Business', 'Arts', 'Science'],['Health']
38884,['Business', 'Adult', 'Sports', 'Society'],['Adult']
52146,['Sports', 'Society', 'Computers', 'Shopping'],['Games']
22729,['Business', 'Computers', 'Science', 'Reference'],['Business']
23762,['Adult', 'Arts', 'Recreation', 'Computers'],['Adult']
32376,['Society', 'Shopping', 'Science', 'Reference'],['Society']
55416,['Sports', 'Games', 'Society', 'Shopping'],['Games']
54743,['Society', 'Shopping', 'Recreation', 'Computers'],['Society']
36218,['Science', 'Health', 'Reference', 'Recreation'],['Science']
42758,['Adult', 'Recreation', 'Arts', 'Business'],['Adult']
57957,['Sports', 'Shopping', 'Games', 'Business'],['Games']
46771,['Computers', 'Business', 'Reference', 'Arts'],['Adult']
