ref id,Predicted,Actual
0,['Business', 'Society', 'Arts', 'Sports'],['Adult']
34085,['Shopping', 'Computers', 'Society', 'Arts'],['Shopping']
16,['Adult', 'News', 'Reference', 'Arts'],['Adult']
34096,['Shopping', 'Society', 'Sports', 'Arts'],['Shopping']
22,['Business', 'Shopping', 'Recreation', 'Health'],['Adult']
27,['Adult', 'Recreation', 'Home', 'Health'],['Adult']
34109,['Shopping', 'Society', 'Arts', 'Health'],['Shopping']
34112,['Shopping', 'Society', 'Arts', 'Computers'],['Shopping']
37,['Adult', 'Home', 'Recreation', 'Arts'],['Adult']
40,['Shopping', 'Business', 'Science', 'Arts'],['Adult']
64,['Shopping', 'Business', 'Science', 'Arts'],['Adult']
71,['Adult', 'Home', 'Arts', 'Games'],['Adult']
72,['Adult', 'News', 'Recreation', 'Arts'],['Adult']
74,['Adult', 'Arts', 'Recreation', 'Shopping'],['Adult']
34158,['Sports', 'Society', 'Shopping', 'Recreation'],['Shopping']
34159,['Shopping', 'Society', 'Business', 'Arts'],['Shopping']
34166,['Shopping', 'Society', 'Sports', 'Arts'],['Shopping']
34171,['Society', 'Sports', 'Shopping', 'Business'],['Shopping']
95,['Computers', 'Business', 'Reference', 'Home'],['Adult']
34182,['Shopping', 'Society', 'Recreation', 'Home'],['Shopping']
105,['Shopping', 'Business', 'Science', 'Arts'],['Adult']
108,['Shopping', 'Business', 'Science', 'Arts'],['Adult']
109,['Adult', 'Recreation', 'Arts', 'Computers'],['Adult']
34189,['Society', 'News', 'Computers', 'Arts'],['Society']
114,['Adult', 'News', 'Home', 'Recreation'],['Adult']
115,['Adult', 'Home', 'Recreation', 'News'],['Adult']
117,['Shopping', 'Business', 'Science', 'Arts'],['Adult']
122,['Adult', 'Arts', 'Computers', 'Science'],['Adult']
150,['Arts', 'News', 'Society', 'Recreation'],['Arts']
34232,['Society', 'Reference', 'Health', 'Business'],['Society']
34243,['Society', 'Sports', 'Arts', 'Recreation'],['Society']
172,['Arts', 'Science', 'Health', 'Business'],['Arts']
173,['Arts', 'Games', 'News', 'Recreation'],['Arts']
177,['Arts', 'Computers', 'Business', 'News'],['Arts']
34260,['Society', 'Health', 'Arts', 'Science'],['Society']
181,['News', 'Arts', 'Society', 'Sports'],['Arts']
183,['News', 'Arts', 'Society', 'Home'],['Arts']
184,['Games', 'News', 'Arts', 'Computers'],['Arts']
189,['Arts', 'News', 'Home', 'Recreation'],['Arts']
190,['Games', 'Adult', 'Home', 'Recreation'],['Arts', 'Computers']
34275,['Society', 'Arts', 'Sports', 'Computers'],['Society']
197,['Arts', 'Reference', 'Science', 'Business'],['Arts']
34279,['Society', 'News', 'Arts', 'Health'],['Society']
216,['Arts', 'Games', 'News', 'Computers'],['Arts']
34302,['Society', 'Health', 'Shopping', 'Business'],['Society']
34310,['Sports', 'Society', 'Shopping', 'Computers'],['Society']
230,['Shopping', 'Business', 'Science', 'Arts'],['Arts']
233,['Arts', 'Society', 'News', 'Reference'],['Arts']
234,['Arts', 'News', 'Recreation', 'Adult'],['Arts']
34317,['Society', 'Reference', 'Shopping', 'Arts'],['Society']
34319,['Arts', 'Society', 'Sports', 'Computers'],['Society']
240,['Arts', 'Games', 'Reference', 'Computers'],['Arts']
34324,['Society', 'Sports', 'Shopping', 'Arts'],['Society']
245,['Arts', 'Games', 'Adult', 'Recreation'],['Arts']
34330,['Society', 'Science', 'Computers', 'Recreation'],['Society']
34332,['Society', 'Arts', 'Shopping', 'Sports'],['Society']
34334,['Society', 'Sports', 'Health', 'Recreation'],['Society']
262,['Business', 'News', 'Home', 'Adult'],['Business', 'Home']
268,['Business', 'Health', 'Recreation', 'Science'],['Business']
34359,['Society', 'Shopping', 'Computers', 'Arts'],['Society']
34367,['Computers', 'Society', 'Shopping', 'Arts'],['Society']
287,['Computers', 'Business', 'Reference', 'Arts'],['Business']
288,['News', 'Shopping', 'Business', 'Science'],['Business', 'Home']
34370,['Society', 'Health', 'Science', 'News'],['Society']
295,['Business', 'Home', 'Shopping', 'Science'],['Business', 'News', 'Home']
296,['Shopping', 'Business', 'Science', 'Arts'],['Business', 'Computers']
34385,['Computers', 'Society', 'Business', 'Science'],['Society']
307,['Arts', 'News', 'Adult', 'Recreation'],['Business']
310,['Business', 'News', 'Home', 'Reference'],['Business', 'Home']
34393,['Society', 'Shopping', 'Recreation', 'Reference'],['Society']
34396,['Society', 'Health', 'Science', 'Business'],['Society']
316,['Shopping', 'Business', 'Science', 'Arts'],['Business', 'News']
34401,['Society', 'Sports', 'Recreation', 'Shopping'],['Society']
34402,['Society', 'Business', 'Health', 'Shopping'],['Society']
321,['Computers', 'Business', 'Reference', 'Science'],['Business']
34405,['Shopping', 'Business', 'Science', 'Arts'],['Society']
34408,['Sports', 'Recreation', 'Society', 'Computers'],['Society']
328,['Arts', 'Business', 'Society', 'Recreation'],['Business']
34411,['Society', 'Sports', 'News', 'Business'],['Society']
334,['Sports', 'Recreation', 'Health', 'Business'],['Business', 'Sports']
340,['Business', 'Health', 'Science', 'News'],['Business']
341,['Adult', 'Business', 'Science', 'Computers'],['Business']
34432,['Society', 'News', 'Arts', 'Sports'],['Society']
351,['Business', 'Shopping', 'Computers', 'Science'],['Business']
34433,['Society', 'Health', 'Arts', 'News'],['Society']
34436,['Society', 'Arts', 'Shopping', 'Recreation'],['Society']
34438,['Society', 'Recreation', 'Computers', 'Sports'],['Society']
362,['Shopping', 'Business', 'Science', 'Arts'],['Computers']
366,['Shopping', 'Business', 'Science', 'Arts'],['Reference', 'Computers']
34450,['Society', 'Arts', 'Recreation', 'Shopping'],['Society']
34465,['Society', 'Health', 'Science', 'Home'],['Society']
384,['Computers', 'Recreation', 'Society', 'Arts'],['Computers']
34484,['Shopping', 'Business', 'Computers', 'Adult'],['Society']
403,['Computers', 'Business', 'Science', 'Reference'],['Computers']
34485,['Sports', 'Society', 'Arts', 'Health'],['Society']
34491,['Society', 'Business', 'Health', 'Computers'],['Society']
410,['Computers', 'Business', 'Science', 'Reference'],['Computers']
34493,['Society', 'Business', 'Shopping', 'Computers'],['Society']
34494,['Society', 'Health', 'Home', 'Recreation'],['Society']
429,['Shopping', 'Business', 'Science', 'Arts'],['Computers']
34514,['Society', 'Shopping', 'Computers', 'Business'],['Society']
34518,['Shopping', 'Business', 'Science', 'Arts'],['Society']
34520,['Society', 'Health', 'Business', 'Shopping'],['Society']
445,['Games', 'Adult', 'Arts', 'Recreation'],['Games']
34546,['Society', 'Shopping', 'Business', 'Health'],['Society']
465,['Shopping', 'Business', 'Recreation', 'Arts'],['Games']
468,['Sports', 'Business', 'Recreation', 'Shopping'],['Games']
472,['Games', 'Computers', 'Home', 'Reference'],['Games']
476,['Games', 'News', 'Home', 'Computers'],['Games']
477,['Games', 'Computers', 'Shopping', 'Business'],['Games']
480,['Games', 'News', 'Arts', 'Recreation'],['Arts', 'Games']
34569,['Society', 'Health', 'Business', 'Reference'],['Society']
34572,['Society', 'Sports', 'Arts', 'Recreation'],['Society']
34576,['Business', 'Shopping', 'Health', 'Science'],['Society']
34580,['Society', 'Health', 'Reference', 'Business'],['Society']
34581,['Society', 'Shopping', 'Health', 'Home'],['Society']
34584,['Shopping', 'Business', 'Recreation', 'Computers'],['Society']
506,['Games', 'Business', 'Science', 'Computers'],['Games']
34596,['Sports', 'Recreation', 'Computers', 'Society'],['Society']
34609,['Arts', 'Recreation', 'Society', 'Shopping'],['Society']
527,['Games', 'News', 'Arts', 'Reference'],['Games']
34611,['Society', 'Business', 'Shopping', 'Health'],['Society']
534,['Games', 'Sports', 'Computers', 'Arts'],['Games']
34626,['Society', 'Reference', 'Home', 'Recreation'],['Society']
34631,['Society', 'Shopping', 'Business', 'Health'],['Society']
550,['Health', 'Home', 'Society', 'Adult'],['Health']
34633,['Society', 'Health', 'Shopping', 'Sports'],['Society']
34634,['Shopping', 'Society', 'Business', 'Home'],['Society']
34640,['Society', 'Arts', 'Sports', 'Computers'],['Society']
559,['Business', 'Shopping', 'Sports', 'Health'],['Health']
34644,['Computers', 'Business', 'Shopping', 'Society'],['Society']
566,['Business', 'Health', 'Computers', 'Science'],['Health']
567,['Health', 'News', 'Home', 'Society'],['Health']
34652,['Society', 'Shopping', 'Health', 'Business'],['Society']
572,['Health', 'Home', 'Society', 'Business'],['Health']
34659,['Society', 'Shopping', 'Business', 'Home'],['Society']
579,['Home', 'Business', 'Science', 'Health'],['Health']
34672,['Arts', 'News', 'Sports', 'Society'],['Society']
34675,['Society', 'Health', 'Recreation', 'Arts'],['Society']
34678,['Society', 'Computers', 'Science', 'Reference'],['Society']
34681,['Society', 'Computers', 'Health', 'Business'],['Society']
601,['Health', 'Science', 'Society', 'Reference'],['Health']
34685,['Society', 'Shopping', 'Business', 'Home'],['Society']
34687,['Society', 'Health', 'Recreation', 'Sports'],['Society']
611,['Shopping', 'Business', 'Science', 'Arts'],['Health']
616,['Health', 'Recreation', 'Business', 'Shopping'],['Health']
34715,['Society', 'Health', 'News', 'Home'],['Society']
636,['Health', 'Business', 'Home', 'Science'],['Health']
34722,['Arts', 'Society', 'News', 'Reference'],['Society']
643,['Health', 'Business', 'Science', 'Reference'],['Health']
34726,['Society', 'Health', 'Science', 'Computers'],['Society']
34731,['Society', 'Health', 'Arts', 'Sports'],['Society']
34736,['Health', 'Society', 'Recreation', 'Computers'],['Society']
34737,['Computers', 'Society', 'Reference', 'Science'],['Society']
657,['Health', 'Home', 'News', 'Science'],['Health']
34740,['Sports', 'Recreation', 'Society', 'Business'],['Society']
667,['Shopping', 'Business', 'Science', 'Arts'],['Health']
672,['Reference', 'Health', 'Science', 'News'],['Health']
34760,['Recreation', 'Business', 'Arts', 'Society'],['Society']
678,['Health', 'Home', 'Shopping', 'Business'],['Health']
683,['Arts', 'Computers', 'Business', 'Recreation'],['Home']
34768,['Health', 'Society', 'Science', 'Reference'],['Society']
34769,['Sports', 'Recreation', 'Society', 'Shopping'],['Society']
689,['Computers', 'Games', 'Home', 'Business'],['Home']
34778,['Society', 'Health', 'Computers', 'Reference'],['Society']
34786,['Society', 'Recreation', 'Arts', 'Sports'],['Society']
707,['Home', 'Shopping', 'Health', 'Society'],['Home']
710,['Home', 'Shopping', 'Arts', 'Society'],['Home']
34800,['Sports', 'Arts', 'Society', 'Recreation'],['Society']
34801,['Society', 'Sports', 'Recreation', 'Health'],['Society']
34805,['Shopping', 'Health', 'Business', 'Reference'],['Society']
732,['Home', 'Business', 'Science', 'Health'],['Society', 'Home']
746,['Shopping', 'Business', 'Science', 'Arts'],['Home']
749,['Business', 'Science', 'Computers', 'Home'],['Home']
770,['Arts', 'Home', 'Computers', 'Recreation'],['Home']
34855,['Arts', 'Recreation', 'Society', 'Computers'],['Society']
773,['Home', 'News', 'Games', 'Shopping'],['Home']
774,['Business', 'Recreation', 'Science', 'Home'],['Home']
775,['Shopping', 'Business', 'Recreation', 'Home'],['Recreation', 'Home']
34863,['Society', 'Shopping', 'Arts', 'Recreation'],['Society']
34867,['Sports', 'Recreation', 'Computers', 'Arts'],['Society']
34876,['Society', 'Arts', 'Sports', 'Adult'],['Society']
34893,['Society', 'Sports', 'Computers', 'Arts'],['Society']
810,['News', 'Recreation', 'Business', 'Home'],['Recreation', 'Home']
34895,['Society', 'News', 'Business', 'Arts'],['Society']
34898,['Sports', 'Computers', 'Arts', 'Recreation'],['Society']
817,['Business', 'Computers', 'Shopping', 'Science'],['Recreation']
34909,['Sports', 'Society', 'Arts', 'Recreation'],['Society']
835,['Science', 'Computers', 'Home', 'News'],['Science']
836,['Business', 'Sports', 'Science', 'Games'],['Sports']
846,['Society', 'Business', 'News', 'Arts'],['Sports']
848,['Science', 'Reference', 'News', 'Computers'],['Science', 'Reference']
34923,['Society', 'Shopping', 'Arts', 'Recreation'],['Society']
851,['Games', 'Home', 'Science', 'Reference'],['Science']
34929,['Society', 'Arts', 'Science', 'Reference'],['Society']
34937,['Society', 'Computers', 'Sports', 'Arts'],['Society']
879,['Shopping', 'Business', 'Arts', 'Science'],['Arts']
34951,['Society', 'Arts', 'Sports', 'Recreation'],['Society']
34954,['Sports', 'Society', 'Recreation', 'Arts'],['Society']
903,['News', 'Science', 'Recreation', 'Business'],['Society', 'Science']
34960,['Sports', 'Recreation', 'Computers', 'Society'],['Society']
34964,['Society', 'Arts', 'Sports', 'Computers'],['Society']
34967,['Society', 'Sports', 'Arts', 'Adult'],['Society']
931,['Shopping', 'Business', 'Arts', 'Home'],['News']
935,['News', 'Business', 'Arts', 'Computers'],['News']
34989,['Society', 'Computers', 'Science', 'Health'],['Society']
34991,['Sports', 'Society', 'Computers', 'Recreation'],['Society']
941,['News', 'Sports', 'Society', 'Arts'],['News']
954,['Shopping', 'Business', 'Science', 'Arts'],['News']
35008,['Computers', 'Business', 'Arts', 'Reference'],['Society']
962,['Arts', 'News', 'Games', 'Recreation'],['News']
35018,['Sports', 'Computers', 'Recreation', 'Society'],['Society']
35025,['Business', 'Arts', 'Computers', 'News'],['Society']
975,['Shopping', 'Business', 'Recreation', 'Arts'],['News']
976,['News', 'Arts', 'Recreation', 'Business'],['News']
35032,['Sports', 'Society', 'Recreation', 'Arts'],['Society']
35034,['Shopping', 'Business', 'Arts', 'News'],['Society']
984,['News', 'Science', 'Reference', 'Business'],['Science', 'News']
985,['News', 'Arts', 'Recreation', 'Home'],['News']
995,['News', 'Recreation', 'Arts', 'Business'],['News']
35049,['Computers', 'Society', 'Arts', 'Sports'],['Society']
1001,['News', 'Sports', 'Society', 'Home'],['News']
35062,['Society', 'Sports', 'Computers', 'Health'],['Society']
1010,['Reference', 'Business', 'Society', 'News'],['Society', 'Science', 'Business', 'News', 'Computers']
1013,['News', 'Sports', 'Shopping', 'Business'],['News']
1019,['News', 'Arts', 'Home', 'Reference'],['News']
1023,['Business', 'News', 'Reference', 'Computers'],['News']
1029,['Computers', 'Business', 'Shopping', 'Reference'],['Computers']
35087,['Society', 'Sports', 'Recreation', 'Business'],['Society']
35095,['Society', 'Computers', 'Sports', 'Arts'],['Society']
