ref id,Predicted,Actual
34079,['Society', 'Shopping', 'Recreation', 'Sports'],['Shopping']
34081,['Shopping', 'Society', 'Recreation', 'Home'],['Shopping']
3,['Recreation', 'Business', 'Computers', 'Shopping'],['Arts']
5,['Adult', 'Recreation', 'Shopping', 'Business'],['Adult']
34087,['Society', 'Shopping', 'Arts', 'Home'],['Shopping']
34089,['Shopping', 'Business', 'Computers', 'Recreation'],['Shopping']
20,['Recreation', 'Sports', 'Business', 'Shopping'],['Adult']
27,['Adult', 'Recreation', 'Business', 'Computers'],['Adult']
35,['Adult', 'Arts', 'Recreation', 'Computers'],['Adult']
36,['Arts', 'Adult', 'Recreation', 'Games'],['Adult']
37,['Adult', 'Recreation', 'Arts', 'Business'],['Adult']
39,['Adult', 'News', 'Business', 'Arts'],['Adult']
34118,['Shopping', 'Arts', 'Business', 'Society'],['Shopping']
43,['Adult', 'Arts', 'Recreation', 'Computers'],['Adult']
49,['Adult', 'Recreation', 'Reference', 'Computers'],['Adult']
34133,['Shopping', 'Society', 'Recreation', 'Business'],['Shopping']
59,['Adult', 'Recreation', 'Arts', 'Computers'],['Adult']
64,['Adult', 'Recreation', 'News', 'Home'],['Adult']
66,['Adult', 'Recreation', 'Business', 'Arts'],['Adult']
80,['Business', 'Computers', 'Shopping', 'Arts'],['Business']
85,['Arts', 'Recreation', 'Reference', 'Business'],['Adult']
34169,['Shopping', 'Business', 'Arts', 'Computers'],['Shopping']
34171,['Society', 'Shopping', 'Business', 'Recreation'],['Shopping']
34173,['Computers', 'Business', 'Shopping', 'Recreation'],['Shopping']
93,['Adult', 'Business', 'Shopping', 'Computers'],['Adult']
34178,['Shopping', 'Arts', 'Business', 'Society'],['Shopping']
98,['Adult', 'Recreation', 'Business', 'Computers'],['Adult']
34187,['Society', 'Business', 'Shopping', 'Computers'],['Society']
107,['Adult', 'News', 'Arts', 'Recreation'],['Adult']
34191,['Computers', 'Business', 'Society', 'Science'],['Society']
112,['Adult', 'Shopping', 'Recreation', 'Business'],['Adult']
34194,['Society', 'Sports', 'Recreation', 'Business'],['Society']
34200,['Society', 'Business', 'Shopping', 'Recreation'],['Society']
34204,['Computers', 'Business', 'Shopping', 'Recreation'],['Society']
138,['Business', 'News', 'Arts', 'Computers'],['News', 'Home', 'Arts']
144,['Arts', 'Recreation', 'Games', 'Home'],['Arts']
150,['Arts', 'Recreation', 'Business', 'News'],['Arts']
165,['Computers', 'Arts', 'Business', 'News'],['Shopping', 'Arts']
34256,['Society', 'Recreation', 'Arts', 'Computers'],['Society']
