ref id,Predicted,Actual
0,['Business', 'Sports', 'Society', 'Shopping'],['Adult']
34085,['Shopping', 'Recreation', 'Health', 'Computers'],['Shopping']
16,['Adult', 'Recreation', 'Arts', 'Society'],['Adult']
34096,['Society', 'Reference', 'Recreation', 'Health'],['Shopping']
22,['Business', 'Health', 'Society', 'Shopping'],['Adult']
27,['Recreation', 'Adult', 'Games', 'Computers'],['Adult']
34109,['Shopping', 'Society', 'Sports', 'Recreation'],['Shopping']
34112,['Shopping', 'Recreation', 'Health', 'Computers'],['Shopping']
37,['Health', 'Recreation', 'Arts', 'Games'],['Adult']
40,['Arts', 'Society', 'News', 'Sports'],['Adult']
64,['Adult', 'Home', 'Recreation', 'Shopping'],['Adult']
71,['Adult', 'Games', 'Arts', 'Recreation'],['Adult']
72,['Reference', 'Recreation', 'Adult', 'Business'],['Adult']
74,['Games', 'Business', 'Computers', 'Adult'],['Adult']
34158,['Sports', 'Society', 'Shopping', 'Business'],['Shopping']
34159,['Recreation', 'Business', 'Computers', 'Society'],['Shopping']
34166,['Arts', 'Sports', 'Computers', 'Society'],['Shopping']
34171,['Recreation', 'Sports', 'Business', 'Arts'],['Shopping']
95,['Computers', 'Recreation', 'Business', 'Sports'],['Adult']
34182,['Society', 'Shopping', 'Arts', 'Reference'],['Shopping']
105,['Shopping', 'Business', 'Arts', 'Recreation'],['Adult']
108,['Business', 'Sports', 'Shopping', 'Arts'],['Adult']
109,['Society', 'Recreation', 'Arts', 'Adult'],['Adult']
34189,['Sports', 'Recreation', 'Computers', 'Reference'],['Society']
114,['Adult', 'Recreation', 'Computers', 'Arts'],['Adult']
115,['Adult', 'Recreation', 'Business', 'Arts'],['Adult']
117,['News', 'Arts', 'Society', 'Sports'],['Adult']
122,['Sports', 'Computers', 'Arts', 'Society'],['Adult']
150,['Recreation', 'Arts', 'Sports', 'Society'],['Arts']
34232,['Society', 'Recreation', 'Arts', 'Sports'],['Society']
34243,['Sports', 'Science', 'Computers', 'Society'],['Society']
172,['Computers', 'Business', 'Science', 'Arts'],['Arts']
173,['Arts', 'Games', 'Recreation', 'Shopping'],['Arts']
177,['Computers', 'Business', 'Society', 'Shopping'],['Arts']
34260,['Society', 'Arts', 'Sports', 'Science'],['Society']
181,['News', 'Sports', 'Games', 'Business'],['Arts']
183,['Arts', 'Business', 'News', 'Sports'],['Arts']
184,['Games', 'Science', 'Computers', 'Recreation'],['Arts']
189,['Arts', 'Games', 'Recreation', 'News'],['Arts']
190,['Games', 'Adult', 'Reference', 'Recreation'],['Arts', 'Computers']
34275,['Sports', 'Recreation', 'Computers', 'Arts'],['Society']
197,['Arts', 'Science', 'Business', 'Shopping'],['Arts']
34279,['Society', 'Recreation', 'Sports', 'News'],['Society']
216,['Arts', 'Business', 'Computers', 'Sports'],['Arts']
34302,['Arts', 'Sports', 'Shopping', 'Society'],['Society']
34310,['Arts', 'Sports', 'Computers', 'Society'],['Society']
230,['News', 'Arts', 'Society', 'Sports'],['Arts']
233,['Arts', 'Society', 'Science', 'News'],['Arts']
234,['Arts', 'News', 'Business', 'Science'],['Arts']
34317,['Recreation', 'Shopping', 'Computers', 'Arts'],['Society']
34319,['Society', 'Sports', 'Arts', 'News'],['Society']
240,['Computers', 'Reference', 'Recreation', 'Games'],['Arts']
