ref id,Predicted,Actual
57141,['Sports', 'Society', 'Business', 'Health'],['Adult']
25383,['Business', 'Society', 'Sports', 'Arts'],['Society']
30203,['Computers', 'Sports', 'Arts', 'Reference'],['Adult']
11586,['Sports', 'Games', 'Society', 'Shopping'],['Games']
21639,['Games', 'Recreation', 'Adult', 'Sports'],['Games']
5455,['Health', 'Business', 'Recreation', 'Society'],['Health']
43976,['Computers', 'Business', 'Shopping', 'Games'],['Science']
8058,['Business', 'Sports', 'Society', 'Arts'],['Adult']
23213,['Health', 'Business', 'Recreation', 'Society'],['Business']
54739,['Adult', 'Recreation', 'Arts', 'Sports'],['Adult']
54130,['Arts', 'Recreation', 'Society', 'Science'],['Society']
10028,['Adult', 'Society', 'Recreation', 'Arts'],['Adult']
31800,['Health', 'Business', 'Science', 'Recreation'],['Health']
31778,['Science', 'Business', 'Health', 'Recreation'],['Health']
9497,['Sports', 'Computers', 'Society', 'Games'],['Games']
7059,['Society', 'Sports', 'Science', 'Recreation'],['Society']
15265,['Arts', 'Shopping', 'Society', 'Business'],['Adult']
44431,['Computers', 'Recreation', 'Business', 'Arts'],['Science']
43287,['Society', 'Arts', 'Shopping', 'Recreation'],['Society']
57753,['Business', 'Sports', 'Society', 'Shopping'],['Society']
1286,['Adult', 'Health', 'Sports', 'Society'],['Adult']
28649,['Recreation', 'Arts', 'Society', 'Health'],['Science']
51260,['Sports', 'Society', 'Arts', 'Recreation'],['Adult']
175,['Adult', 'Sports', 'Society', 'Shopping'],['Adult']
47827,['Business', 'Arts', 'Sports', 'Society'],['Health']
29408,['Arts', 'Computers', 'Recreation', 'Society'],['Games']
42419,['Adult', 'Shopping', 'Arts', 'Sports'],['Adult']
35533,['Sports', 'Arts', 'Society', 'Games'],['Games']
12002,['Recreation', 'Arts', 'Sports', 'Health'],['Science']
28534,['Business', 'Science', 'Computers', 'Recreation'],['Business']
5891,['Business', 'Science', 'Shopping', 'Games'],['Adult']
38744,['Recreation', 'Health', 'Sports', 'Arts'],['Games']
44385,['Science', 'Computers', 'Health', 'Society'],['Science']
30962,['Shopping', 'Business', 'Society', 'Reference'],['Adult']
35498,['Health', 'Arts', 'Sports', 'Shopping'],['Games']
51344,['Adult', 'Sports', 'Recreation', 'Business'],['Adult']
23156,['Adult', 'Sports', 'Society', 'Shopping'],['Adult']
36434,['Arts', 'Shopping', 'Business', 'Society'],['Games']
36980,['Business', 'Arts', 'Computers', 'Adult'],['Adult']
14724,['Recreation', 'Health', 'Arts', 'Science'],['Health']
38884,['Computers', 'Health', 'Business', 'Adult'],['Adult']
52146,['Sports', 'Computers', 'Adult', 'Science'],['Games']
22729,['Business', 'Arts', 'Health', 'Computers'],['Business']
23762,['Computers', 'Business', 'Recreation', 'Health'],['Adult']
32376,['Society', 'Arts', 'Games', 'Adult'],['Society']
55416,['Arts', 'Society', 'Health', 'Sports'],['Games']
54743,['Recreation', 'Arts', 'Science', 'Computers'],['Society']
36218,['Science', 'Health', 'Computers', 'Arts'],['Science']
42758,['Recreation', 'Business', 'Health', 'Arts'],['Adult']
57957,['Shopping', 'Adult', 'Games', 'Computers'],['Games']
46771,['Computers', 'Sports', 'Business', 'Reference'],['Adult']
13202,['Science', 'Games', 'Sports', 'Shopping'],['Science']
23286,['Adult', 'Science', 'Games', 'Sports'],['Adult']
9337,['Society', 'Health', 'Recreation', 'Business'],['Adult']
43319,['Shopping', 'Sports', 'Society', 'Recreation'],['Society']
1977,['Computers', 'Business', 'Shopping', 'Arts'],['Business']
44629,['Computers', 'Business', 'Science', 'Recreation'],['Science']
51640,['Arts', 'Computers', 'Adult', 'Sports'],['Adult']
25477,['Sports', 'Society', 'Shopping', 'Science'],['Business']
16333,['Arts', 'Sports', 'Computers', 'Shopping'],['Adult']
